"","Year","Month","Day","value"
"1",1957,6,1,-44
"491",1957,6,2,-67
"981",1957,6,3,-67
"1471",1957,6,4,-44
"1961",1957,6,5,-11
"2451",1957,6,6,-28
"2941",1957,6,7,-44
"3431",1957,6,8,-56
"3921",1957,6,9,-17
"4411",1957,6,10,-28
"4901",1957,6,11,-99.9
"5391",1957,6,12,-50
"5881",1957,6,13,-99.9
"6371",1957,6,14,-56
"6861",1957,6,15,-50
"7351",1957,6,16,-61
"7841",1957,6,17,-17
"8331",1957,6,18,-22
"8821",1957,6,19,-44
"9311",1957,6,20,-39
"9801",1957,6,21,-39
"10291",1957,6,22,-39
"10781",1957,6,23,-28
"11271",1957,6,24,-22
"11761",1957,6,25,-111
"12251",1957,6,26,-100
"12741",1957,6,27,-17
"13231",1957,6,28,-50
"13721",1957,6,29,-6
"14180",1957,6,30,-99.9
"2",1957,8,1,0
"492",1957,8,2,-22
"982",1957,8,3,-6
"1472",1957,8,4,11
"1962",1957,8,5,22
"2452",1957,8,6,33
"2942",1957,8,7,28
"3432",1957,8,8,0
"3922",1957,8,9,-6
"4412",1957,8,10,22
"4902",1957,8,11,28
"5392",1957,8,12,28
"5882",1957,8,13,39
"6372",1957,8,14,-99.9
"6862",1957,8,15,6
"7352",1957,8,16,50
"7842",1957,8,17,56
"8332",1957,8,18,28
"8822",1957,8,19,50
"9312",1957,8,20,39
"9802",1957,8,21,39
"10292",1957,8,22,0
"10782",1957,8,23,28
"11272",1957,8,24,6
"11762",1957,8,25,6
"12252",1957,8,26,44
"12742",1957,8,27,33
"13232",1957,8,28,33
"13722",1957,8,29,56
"14181",1957,8,30,33
"14629",1957,8,31,39
"3",1957,9,1,44
"493",1957,9,2,44
"983",1957,9,3,28
"1473",1957,9,4,22
"1963",1957,9,5,61
"2453",1957,9,6,44
"2943",1957,9,7,56
"3433",1957,9,8,33
"3923",1957,9,9,-6
"4413",1957,9,10,11
"4903",1957,9,11,50
"5393",1957,9,12,-6
"5883",1957,9,13,-17
"6373",1957,9,14,-33
"6863",1957,9,15,-39
"7353",1957,9,16,-44
"7843",1957,9,17,-33
"8333",1957,9,18,-44
"8823",1957,9,19,-39
"9313",1957,9,20,-17
"9803",1957,9,21,-61
"10293",1957,9,22,-61
"10783",1957,9,23,-99.9
"11273",1957,9,24,-56
"11763",1957,9,25,-67
"12253",1957,9,26,-17
"12743",1957,9,27,-44
"13233",1957,9,28,-22
"13723",1957,9,29,-44
"14182",1957,9,30,-67
"4",1957,10,1,-61
"494",1957,10,2,-72
"984",1957,10,3,-72
"1474",1957,10,4,-78
"1964",1957,10,5,-72
"2454",1957,10,6,-39
"2944",1957,10,7,-17
"3434",1957,10,8,-28
"3924",1957,10,9,-22
"4414",1957,10,10,-22
"4904",1957,10,11,-122
"5394",1957,10,12,-56
"5884",1957,10,13,-28
"6374",1957,10,14,-56
"6864",1957,10,15,-111
"7354",1957,10,16,-67
"7844",1957,10,17,-100
"8334",1957,10,18,-128
"8824",1957,10,19,-122
"9314",1957,10,20,-167
"9804",1957,10,21,-144
"10294",1957,10,22,-144
"10784",1957,10,23,-122
"11274",1957,10,24,-50
"11764",1957,10,25,-67
"12254",1957,10,26,-72
"12744",1957,10,27,-122
"13234",1957,10,28,-144
"13724",1957,10,29,-139
"14183",1957,10,30,-111
"14630",1957,10,31,-200
"5",1957,11,1,-217
"495",1957,11,2,-267
"985",1957,11,3,-278
"1475",1957,11,4,-294
"1965",1957,11,5,-267
"2455",1957,11,6,-289
"2945",1957,11,7,-261
"3435",1957,11,8,-256
"3925",1957,11,9,-250
"4415",1957,11,10,-283
"4905",1957,11,11,-267
"5395",1957,11,12,-217
"5885",1957,11,13,-211
"6375",1957,11,14,-228
"6865",1957,11,15,-222
"7355",1957,11,16,-161
"7845",1957,11,17,-122
"8335",1957,11,18,-128
"8825",1957,11,19,-300
"9315",1957,11,20,-322
