"","Year","Month","Day","value"
"1",1973,2,1,-99.9
"315",1973,2,2,-99.9
"629",1973,2,3,-99.9
"943",1973,2,4,-99.9
"1257",1973,2,5,-99.9
"1571",1973,2,6,-99.9
"1885",1973,2,7,-99.9
"2199",1973,2,8,-99.9
"2513",1973,2,9,-99.9
"2827",1973,2,10,-99.9
"3141",1973,2,11,-99.9
"3455",1973,2,12,150
"3769",1973,2,13,-99.9
"4083",1973,2,14,-99.9
"4397",1973,2,15,-99.9
"4711",1973,2,16,-99.9
"5025",1973,2,17,-99.9
"5339",1973,2,18,-99.9
"5653",1973,2,19,-99.9
"5967",1973,2,20,-99.9
"6281",1973,2,21,-99.9
"6595",1973,2,22,-99.9
"6909",1973,2,23,-99.9
"7223",1973,2,24,-99.9
"7537",1973,2,25,-99.9
"7851",1973,2,26,-99.9
"8165",1973,2,27,-99.9
"8479",1973,2,28,-99.9
"2",1973,4,1,-99.9
"316",1973,4,2,-99.9
"630",1973,4,3,-99.9
"944",1973,4,4,-99.9
"1258",1973,4,5,250
"1572",1973,4,6,-99.9
"1886",1973,4,7,-99.9
"2200",1973,4,8,-99.9
"2514",1973,4,9,-99.9
"2828",1973,4,10,-99.9
"3142",1973,4,11,-99.9
"3456",1973,4,12,-99.9
"3770",1973,4,13,-99.9
"4084",1973,4,14,-99.9
"4398",1973,4,15,-99.9
"4712",1973,4,16,-99.9
"5026",1973,4,17,-99.9
"5340",1973,4,18,220
"5654",1973,4,19,-99.9
"5968",1973,4,20,-99.9
"6282",1973,4,21,-99.9
"6596",1973,4,22,300
"6910",1973,4,23,290
"7224",1973,4,24,-99.9
"7538",1973,4,25,250
"7852",1973,4,26,-99.9
"8166",1973,4,27,-99.9
"8480",1973,4,28,-99.9
"8793",1973,4,29,-99.9
"9086",1973,4,30,-99.9
"3",1973,5,1,-99.9
"317",1973,5,2,-99.9
"631",1973,5,3,230
"945",1973,5,4,-99.9
"1259",1973,5,5,270
"1573",1973,5,6,250
"1887",1973,5,7,220
"2201",1973,5,8,-99.9
"2515",1973,5,9,-99.9
"2829",1973,5,10,230
"3143",1973,5,11,-99.9
"3457",1973,5,12,-99.9
"3771",1973,5,13,-99.9
"4085",1973,5,14,-99.9
"4399",1973,5,15,-99.9
"4713",1973,5,16,-99.9
"5027",1973,5,17,-99.9
"5341",1973,5,18,-99.9
"5655",1973,5,19,-99.9
"5969",1973,5,20,230
"6283",1973,5,21,-99.9
"6597",1973,5,22,-99.9
"6911",1973,5,23,-99.9
"7225",1973,5,24,260
"7539",1973,5,25,-99.9
"7853",1973,5,26,-99.9
"8167",1973,5,27,-99.9
"8481",1973,5,28,-99.9
"8794",1973,5,29,270
"9087",1973,5,30,-99.9
"9372",1973,5,31,-99.9
"4",1973,6,1,-99.9
"318",1973,6,2,270
"632",1973,6,3,-99.9
"946",1973,6,4,-99.9
"1260",1973,6,5,-99.9
"1574",1973,6,6,280
"1888",1973,6,7,-99.9
"2202",1973,6,8,-99.9
"2516",1973,6,9,-99.9
"2830",1973,6,10,-99.9
"3144",1973,6,11,-99.9
"3458",1973,6,12,-99.9
"3772",1973,6,13,-99.9
"4086",1973,6,14,-99.9
"4400",1973,6,15,-99.9
"4714",1973,6,16,300
"5028",1973,6,17,-99.9
"5342",1973,6,18,-99.9
"5656",1973,6,19,-99.9
"5970",1973,6,20,-99.9
"6284",1973,6,21,-99.9
"6598",1973,6,22,260
"6912",1973,6,23,-99.9
"7226",1973,6,24,-99.9
"7540",1973,6,25,-99.9
"7854",1973,6,26,-99.9
"8168",1973,6,27,-99.9
"8482",1973,6,28,-99.9
"8795",1973,6,29,-99.9
"9088",1973,6,30,-99.9
"5",1973,7,1,-99.9
"319",1973,7,2,230
"633",1973,7,3,-99.9
"947",1973,7,4,-99.9
"1261",1973,7,5,-99.9
"1575",1973,7,6,220
"1889",1973,7,7,-99.9
"2203",1973,7,8,290
"2517",1973,7,9,-99.9
"2831",1973,7,10,-99.9
"3145",1973,7,11,-99.9
"3459",1973,7,12,-99.9
"3773",1973,7,13,-99.9
"4087",1973,7,14,-99.9
"4401",1973,7,15,-99.9
"4715",1973,7,16,-99.9
"5029",1973,7,17,-99.9
"5343",1973,7,18,-99.9
"5657",1973,7,19,-99.9
"5971",1973,7,20,-99.9
"6285",1973,7,21,240
"6599",1973,7,22,-99.9
"6913",1973,7,23,-99.9
"7227",1973,7,24,-99.9
"7541",1973,7,25,-99.9
"7855",1973,7,26,230
"8169",1973,7,27,-99.9
"8483",1973,7,28,-99.9
"8796",1973,7,29,-99.9
"9089",1973,7,30,-99.9
"9373",1973,7,31,-99.9
