"","Year","Month","Day","value"
"1",1963,1,1,-99.9
"556",1963,1,2,-99.9
"1111",1963,1,3,61
"1666",1963,1,4,-99.9
"2221",1963,1,5,-99.9
"2776",1963,1,6,-99.9
"3331",1963,1,7,-99.9
"3886",1963,1,8,-99.9
"4441",1963,1,9,-99.9
"4996",1963,1,10,-99.9
"5551",1963,1,11,-99.9
"6106",1963,1,12,72
"6661",1963,1,13,-99.9
"7216",1963,1,14,-99.9
"7771",1963,1,15,-99.9
"8326",1963,1,16,-99.9
"8881",1963,1,17,-99.9
"9436",1963,1,18,-99.9
"9991",1963,1,19,-99.9
"10546",1963,1,20,-99.9
"11101",1963,1,21,-99.9
"11656",1963,1,22,-99.9
"12211",1963,1,23,-99.9
"12766",1963,1,24,-99.9
"13321",1963,1,25,-99.9
"13876",1963,1,26,-99.9
"14431",1963,1,27,-99.9
"14986",1963,1,28,-99.9
"15541",1963,1,29,-99.9
"16061",1963,1,30,-99.9
"16570",1963,1,31,-99.9
"2",1963,2,1,-99.9
"557",1963,2,2,-99.9
"1112",1963,2,3,-99.9
"1667",1963,2,4,-99.9
"2222",1963,2,5,-99.9
"2777",1963,2,6,-99.9
"3332",1963,2,7,-99.9
"3887",1963,2,8,-99.9
"4442",1963,2,9,78
"4997",1963,2,10,-99.9
"5552",1963,2,11,100
"6107",1963,2,12,-99.9
"6662",1963,2,13,122
"7217",1963,2,14,-99.9
"7772",1963,2,15,78
"8327",1963,2,16,-99.9
"8882",1963,2,17,-99.9
"9437",1963,2,18,-99.9
"9992",1963,2,19,-99.9
"10547",1963,2,20,-99.9
"11102",1963,2,21,-99.9
"11657",1963,2,22,-99.9
"12212",1963,2,23,-99.9
"12767",1963,2,24,-99.9
"13322",1963,2,25,-99.9
"13877",1963,2,26,-99.9
"14432",1963,2,27,-99.9
"14987",1963,2,28,89
"3",1963,3,1,-99.9
"558",1963,3,2,-99.9
"1113",1963,3,3,-99.9
"1668",1963,3,4,-99.9
"2223",1963,3,5,-99.9
"2778",1963,3,6,-99.9
"3333",1963,3,7,61
"3888",1963,3,8,-99.9
"4443",1963,3,9,-99.9
"4998",1963,3,10,-99.9
"5553",1963,3,11,111
"6108",1963,3,12,-99.9
"6663",1963,3,13,-99.9
"7218",1963,3,14,-99.9
"7773",1963,3,15,-99.9
"8328",1963,3,16,-99.9
"8883",1963,3,17,-99.9
"9438",1963,3,18,-99.9
"9993",1963,3,19,-99.9
"10548",1963,3,20,-99.9
"11103",1963,3,21,-99.9
"11658",1963,3,22,-99.9
"12213",1963,3,23,-99.9
"12768",1963,3,24,-99.9
"13323",1963,3,25,-99.9
"13878",1963,3,26,-99.9
"14433",1963,3,27,-99.9
"14988",1963,3,28,-99.9
"15542",1963,3,29,-99.9
"16062",1963,3,30,-99.9
"16571",1963,3,31,-99.9
"4",1963,4,1,-99.9
"559",1963,4,2,-99.9
"1114",1963,4,3,-99.9
"1669",1963,4,4,-99.9
"2224",1963,4,5,-99.9
"2779",1963,4,6,-99.9
"3334",1963,4,7,-99.9
"3889",1963,4,8,-99.9
"4444",1963,4,9,28
"4999",1963,4,10,-99.9
"5554",1963,4,11,-99.9
"6109",1963,4,12,-99.9
"6664",1963,4,13,-99.9
"7219",1963,4,14,-99.9
"7774",1963,4,15,-99.9
"8329",1963,4,16,-99.9
"8884",1963,4,17,-99.9
"9439",1963,4,18,-99.9
"9994",1963,4,19,89
"10549",1963,4,20,-99.9
"11104",1963,4,21,-99.9
"11659",1963,4,22,150
"12214",1963,4,23,-99.9
"12769",1963,4,24,-99.9
"13324",1963,4,25,122
"13879",1963,4,26,-99.9
"14434",1963,4,27,-99.9
"14989",1963,4,28,-99.9
"15543",1963,4,29,-99.9
"16063",1963,4,30,-99.9
"5",1963,5,1,-99.9
"560",1963,5,2,-99.9
"1115",1963,5,3,-99.9
"1670",1963,5,4,39
"2225",1963,5,5,-99.9
"2780",1963,5,6,-99.9
"3335",1963,5,7,-99.9
"3890",1963,5,8,78
"4445",1963,5,9,-99.9
"5000",1963,5,10,-99.9
"5555",1963,5,11,-99.9
"6110",1963,5,12,-99.9
"6665",1963,5,13,-99.9
"7220",1963,5,14,-99.9
"7775",1963,5,15,-99.9
"8330",1963,5,16,-99.9
"8885",1963,5,17,-99.9
"9440",1963,5,18,-99.9
"9995",1963,5,19,-99.9
"10550",1963,5,20,-99.9
"11105",1963,5,21,-99.9
"11660",1963,5,22,-99.9
