"","Year","Month","Day","value"
"1",1961,8,1,78
"593",1961,8,2,111
"1185",1961,8,3,100
"1777",1961,8,4,-99.9
"2369",1961,8,5,139
"2961",1961,8,6,100
"3553",1961,8,7,89
"4145",1961,8,8,89
"4737",1961,8,9,89
"5329",1961,8,10,89
"5921",1961,8,11,78
"6513",1961,8,12,100
"7105",1961,8,13,78
"7697",1961,8,14,100
"8289",1961,8,15,117
"8881",1961,8,16,100
"9473",1961,8,17,139
"10065",1961,8,18,100
"10657",1961,8,19,128
"11249",1961,8,20,100
"11841",1961,8,21,117
"12433",1961,8,22,111
"13025",1961,8,23,94
"13617",1961,8,24,100
"14209",1961,8,25,150
"14801",1961,8,26,100
"15393",1961,8,27,111
"15985",1961,8,28,100
"16577",1961,8,29,111
"17132",1961,8,30,-99.9
"17674",1961,8,31,72
"2",1961,9,1,100
"594",1961,9,2,78
"1186",1961,9,3,100
"1778",1961,9,4,50
"2370",1961,9,5,100
"2962",1961,9,6,78
"3554",1961,9,7,100
"4146",1961,9,8,89
"4738",1961,9,9,100
"5330",1961,9,10,106
"5922",1961,9,11,89
"6514",1961,9,12,61
"7106",1961,9,13,100
"7698",1961,9,14,106
"8290",1961,9,15,100
"8882",1961,9,16,111
"9474",1961,9,17,100
"10066",1961,9,18,72
"10658",1961,9,19,100
"11250",1961,9,20,78
"11842",1961,9,21,100
"12434",1961,9,22,78
"13026",1961,9,23,100
"13618",1961,9,24,78
"14210",1961,9,25,100
"14802",1961,9,26,117
"15394",1961,9,27,100
"15986",1961,9,28,122
"16578",1961,9,29,100
"17133",1961,9,30,111
"3",1961,10,1,100
"595",1961,10,2,106
"1187",1961,10,3,100
"1779",1961,10,4,78
"2371",1961,10,5,100
"2963",1961,10,6,117
"3555",1961,10,7,100
"4147",1961,10,8,100
"4739",1961,10,9,100
"5331",1961,10,10,78
"5923",1961,10,11,89
"6515",1961,10,12,78
"7107",1961,10,13,100
"7699",1961,10,14,89
"8291",1961,10,15,100
"8883",1961,10,16,50
"9475",1961,10,17,100
"10067",1961,10,18,100
"10659",1961,10,19,100
"11251",1961,10,20,128
"11843",1961,10,21,89
"12435",1961,10,22,100
"13027",1961,10,23,100
"13619",1961,10,24,100
"14211",1961,10,25,100
"14803",1961,10,26,111
"15395",1961,10,27,100
"15987",1961,10,28,100
"16579",1961,10,29,100
"17134",1961,10,30,100
"17675",1961,10,31,100
"4",1961,11,1,50
"596",1961,11,2,100
"1188",1961,11,3,39
"1780",1961,11,4,100
"2372",1961,11,5,100
"2964",1961,11,6,100
"3556",1961,11,7,94
"4148",1961,11,8,100
"4740",1961,11,9,100
"5332",1961,11,10,100
"5924",1961,11,11,78
"6516",1961,11,12,100
"7108",1961,11,13,100
"7700",1961,11,14,100
"8292",1961,11,15,122
"8884",1961,11,16,-99.9
"9476",1961,11,17,111
"10068",1961,11,18,100
"10660",1961,11,19,122
"11252",1961,11,20,100
"11844",1961,11,21,111
