"","Year","Month","Day","value"
"1",1965,5,1,-99.9
"18",1965,5,2,-99.9
"35",1965,5,3,-99.9
"52",1965,5,4,-99.9
"69",1965,5,5,-99.9
"86",1965,5,6,-99.9
"103",1965,5,7,-99.9
"120",1965,5,8,-99.9
"137",1965,5,9,-99.9
"154",1965,5,10,-99.9
"171",1965,5,11,-99.9
"188",1965,5,12,-99.9
"205",1965,5,13,-99.9
"222",1965,5,14,217
"239",1965,5,15,222
"256",1965,5,16,222
"273",1965,5,17,217
"290",1965,5,18,211
"307",1965,5,19,222
"324",1965,5,20,222
"341",1965,5,21,222
"358",1965,5,22,222
"375",1965,5,23,222
"392",1965,5,24,228
"409",1965,5,25,217
"426",1965,5,26,228
"443",1965,5,27,217
"460",1965,5,28,217
"477",1965,5,29,217
"493",1965,5,30,233
"509",1965,5,31,233
"2",1965,6,1,233
"19",1965,6,2,233
"36",1965,6,3,228
"53",1965,6,4,228
"70",1965,6,5,228
"87",1965,6,6,228
"104",1965,6,7,228
"121",1965,6,8,228
"138",1965,6,9,222
"155",1965,6,10,233
"172",1965,6,11,222
"189",1965,6,12,211
"206",1965,6,13,228
"223",1965,6,14,239
"240",1965,6,15,233
"257",1965,6,16,239
"274",1965,6,17,233
"291",1965,6,18,228
"308",1965,6,19,228
"325",1965,6,20,244
"342",1965,6,21,228
"359",1965,6,22,233
"376",1965,6,23,222
"393",1965,6,24,233
"410",1965,6,25,233
"427",1965,6,26,228
"444",1965,6,27,228
"461",1965,6,28,222
"478",1965,6,29,228
"494",1965,6,30,222
"3",1965,7,1,233
"20",1965,7,2,233
"37",1965,7,3,233
"54",1965,7,4,239
"71",1965,7,5,233
"88",1965,7,6,233
"105",1965,7,7,228
"122",1965,7,8,222
"139",1965,7,9,233
"156",1965,7,10,228
"173",1965,7,11,233
"190",1965,7,12,239
"207",1965,7,13,233
"224",1965,7,14,233
"241",1965,7,15,233
"258",1965,7,16,222
"275",1965,7,17,228
"292",1965,7,18,233
"309",1965,7,19,233
"326",1965,7,20,239
"343",1965,7,21,239
"360",1965,7,22,228
"377",1965,7,23,233
"394",1965,7,24,233
"411",1965,7,25,233
"428",1965,7,26,228
"445",1965,7,27,233
"462",1965,7,28,228
"479",1965,7,29,222
"495",1965,7,30,233
"510",1965,7,31,228
"4",1965,8,1,222
"21",1965,8,2,239
"38",1965,8,3,233
"55",1965,8,4,222
"72",1965,8,5,222
"89",1965,8,6,233
"106",1965,8,7,228
"123",1965,8,8,222
"140",1965,8,9,228
"157",1965,8,10,228
"174",1965,8,11,222
"191",1965,8,12,222
"208",1965,8,13,228
"225",1965,8,14,222
"242",1965,8,15,228
"259",1965,8,16,239
"276",1965,8,17,244
