"","Year","Month","Day","value"
"1",1920,3,1,-99.9
"968",1920,3,2,-99.9
"1935",1920,3,3,-99.9
"2902",1920,3,4,-99.9
"3869",1920,3,5,-99.9
"4836",1920,3,6,-99.9
"5803",1920,3,7,-99.9
"6770",1920,3,8,-99.9
"7737",1920,3,9,-99.9
"8704",1920,3,10,-99.9
"9671",1920,3,11,-99.9
"10638",1920,3,12,-99.9
"11605",1920,3,13,90
"12572",1920,3,14,100
"13539",1920,3,15,80
"14506",1920,3,16,80
"15473",1920,3,17,100
"16440",1920,3,18,110
"17407",1920,3,19,110
"18374",1920,3,20,100
"19341",1920,3,21,100
"20308",1920,3,22,100
"21275",1920,3,23,80
"22242",1920,3,24,70
"23209",1920,3,25,70
"24176",1920,3,26,80
"25143",1920,3,27,80
"26110",1920,3,28,-99.9
"27077",1920,3,29,90
"27988",1920,3,30,90
"28879",1920,3,31,120
"2",1920,4,1,130
"969",1920,4,2,150
"1936",1920,4,3,140
"2903",1920,4,4,140
"3870",1920,4,5,150
"4837",1920,4,6,160
"5804",1920,4,7,120
"6771",1920,4,8,110
"7738",1920,4,9,150
"8705",1920,4,10,150
"9672",1920,4,11,120
"10639",1920,4,12,100
"11606",1920,4,13,160
"12573",1920,4,14,110
"13540",1920,4,15,170
"14507",1920,4,16,130
"15474",1920,4,17,160
"16441",1920,4,18,170
"17408",1920,4,19,140
"18375",1920,4,20,120
"19342",1920,4,21,120
"20309",1920,4,22,170
"21276",1920,4,23,150
"22243",1920,4,24,120
"23210",1920,4,25,120
"24177",1920,4,26,130
"25144",1920,4,27,170
"26111",1920,4,28,120
"27078",1920,4,29,130
"27989",1920,4,30,170
"3",1920,5,1,130
"970",1920,5,2,140
"1937",1920,5,3,170
"2904",1920,5,4,170
"3871",1920,5,5,140
"4838",1920,5,6,130
"5805",1920,5,7,150
"6772",1920,5,8,170
"7739",1920,5,9,180
"8706",1920,5,10,-99.9
"9673",1920,5,11,-99.9
"10640",1920,5,12,170
"11607",1920,5,13,160
"12574",1920,5,14,160
"13541",1920,5,15,150
"14508",1920,5,16,150
"15475",1920,5,17,150
"16442",1920,5,18,160
"17409",1920,5,19,170
"18376",1920,5,20,-99.9
"19343",1920,5,21,120
"20310",1920,5,22,-99.9
"21277",1920,5,23,140
"22244",1920,5,24,130
"23211",1920,5,25,160
"24178",1920,5,26,170
"25145",1920,5,27,170
"26112",1920,5,28,170
"27079",1920,5,29,150
"27990",1920,5,30,140
"28880",1920,5,31,150
"4",1920,6,1,170
"971",1920,6,2,150
"1938",1920,6,3,140
"2905",1920,6,4,140
"3872",1920,6,5,150
"4839",1920,6,6,190
"5806",1920,6,7,150
"6773",1920,6,8,180
"7740",1920,6,9,160
"8707",1920,6,10,140
"9674",1920,6,11,190
"10641",1920,6,12,200
"11608",1920,6,13,160
"12575",1920,6,14,190
"13542",1920,6,15,190
"14509",1920,6,16,170
"15476",1920,6,17,150
"16443",1920,6,18,170
"17410",1920,6,19,180
"18377",1920,6,20,-99.9
"19344",1920,6,21,170
"20311",1920,6,22,160
"21278",1920,6,23,200
"22245",1920,6,24,200
"23212",1920,6,25,200
"24179",1920,6,26,200
"25146",1920,6,27,210
"26113",1920,6,28,210
"27080",1920,6,29,200
"27991",1920,6,30,170
"5",1920,7,1,200
"972",1920,7,2,200
"1939",1920,7,3,190
"2906",1920,7,4,190
"3873",1920,7,5,190
"4840",1920,7,6,190
"5807",1920,7,7,190
"6774",1920,7,8,210
"7741",1920,7,9,190
"8708",1920,7,10,240
"9675",1920,7,11,210
"10642",1920,7,12,200
"11609",1920,7,13,220
"12576",1920,7,14,220
"13543",1920,7,15,210
"14510",1920,7,16,190
"15477",1920,7,17,190
"16444",1920,7,18,190
"17411",1920,7,19,190
"18378",1920,7,20,220
"19345",1920,7,21,180
"20312",1920,7,22,180
"21279",1920,7,23,190
"22246",1920,7,24,180
"23213",1920,7,25,190
"24180",1920,7,26,180
"25147",1920,7,27,180
"26114",1920,7,28,190
"27081",1920,7,29,190
"27992",1920,7,30,180
"28881",1920,7,31,170
"6",1920,8,1,170
"973",1920,8,2,170
"1940",1920,8,3,180
"2907",1920,8,4,170
"3874",1920,8,5,190
"4841",1920,8,6,180
"5808",1920,8,7,190
"6775",1920,8,8,180
"7742",1920,8,9,190
"8709",1920,8,10,190
"9676",1920,8,11,230
"10643",1920,8,12,200
"11610",1920,8,13,190
"12577",1920,8,14,190
"13544",1920,8,15,180
"14511",1920,8,16,190
"15478",1920,8,17,190
"16445",1920,8,18,180
"17412",1920,8,19,170
"18379",1920,8,20,190
"19346",1920,8,21,190
"20313",1920,8,22,190
"21280",1920,8,23,190
"22247",1920,8,24,190
"23214",1920,8,25,210
"24181",1920,8,26,170
"25148",1920,8,27,230
"26115",1920,8,28,210
"27082",1920,8,29,180
"27993",1920,8,30,180
"28882",1920,8,31,180
"7",1920,9,1,210
"974",1920,9,2,220
"1941",1920,9,3,200
"2908",1920,9,4,210
"3875",1920,9,5,220
"4842",1920,9,6,210
"5809",1920,9,7,210
"6776",1920,9,8,190
"7743",1920,9,9,210
"8710",1920,9,10,220
"9677",1920,9,11,210
"10644",1920,9,12,180
"11611",1920,9,13,190
"12578",1920,9,14,170
"13545",1920,9,15,200
"14512",1920,9,16,170
"15479",1920,9,17,200
"16446",1920,9,18,210
"17413",1920,9,19,200
"18380",1920,9,20,170
"19347",1920,9,21,180
"20314",1920,9,22,200
"21281",1920,9,23,200
"22248",1920,9,24,160
"23215",1920,9,25,190
"24182",1920,9,26,170
"25149",1920,9,27,170
"26116",1920,9,28,170
