"","Year","Month","Day","value"
"1",1919,12,1,-99.9
"289",1919,12,2,-99.9
"577",1919,12,3,-99.9
"865",1919,12,4,60
"1153",1919,12,5,-99.9
"1441",1919,12,6,-99.9
"1729",1919,12,7,-99.9
"2017",1919,12,8,-99.9
"2305",1919,12,9,-99.9
"2593",1919,12,10,-99.9
"2881",1919,12,11,40
"3169",1919,12,12,70
"3457",1919,12,13,50
"3745",1919,12,14,60
"4033",1919,12,15,50
"4321",1919,12,16,-99.9
"4609",1919,12,17,-99.9
"4897",1919,12,18,80
"5185",1919,12,19,50
"5473",1919,12,20,-99.9
"5761",1919,12,21,-99.9
"6049",1919,12,22,-99.9
"6337",1919,12,23,-99.9
"6625",1919,12,24,-99.9
"6913",1919,12,25,-99.9
"7201",1919,12,26,30
"7489",1919,12,27,-99.9
"7777",1919,12,28,-99.9
"8065",1919,12,29,-99.9
"8336",1919,12,30,-99.9
"8599",1919,12,31,-99.9
"2",1920,1,1,-99.9
"290",1920,1,2,20
"578",1920,1,3,-99.9
"866",1920,1,4,-99.9
"1154",1920,1,5,-99.9
"1442",1920,1,6,-99.9
"1730",1920,1,7,-99.9
"2018",1920,1,8,40
"2306",1920,1,9,110
"2594",1920,1,10,80
"2882",1920,1,11,100
"3170",1920,1,12,-99.9
"3458",1920,1,13,90
"3746",1920,1,14,100
"4034",1920,1,15,90
"4322",1920,1,16,90
"4610",1920,1,17,-99.9
"4898",1920,1,18,80
"5186",1920,1,19,90
"5474",1920,1,20,100
"5762",1920,1,21,110
"6050",1920,1,22,100
"6338",1920,1,23,90
"6626",1920,1,24,90
"6914",1920,1,25,-99.9
"7202",1920,1,26,-99.9
"7490",1920,1,27,-99.9
"7778",1920,1,28,-99.9
"8066",1920,1,29,100
"8337",1920,1,30,100
"8600",1920,1,31,110
"3",1920,2,1,110
"291",1920,2,2,100
"579",1920,2,3,100
"867",1920,2,4,100
"1155",1920,2,5,110
"1443",1920,2,6,90
"1731",1920,2,7,100
"2019",1920,2,8,100
"2307",1920,2,9,90
"2595",1920,2,10,90
"2883",1920,2,11,60
"3171",1920,2,12,80
"3459",1920,2,13,100
"3747",1920,2,14,90
"4035",1920,2,15,110
"4323",1920,2,16,100
"4611",1920,2,17,100
"4899",1920,2,18,100
"5187",1920,2,19,100
"5475",1920,2,20,100
"5763",1920,2,21,100
"6051",1920,2,22,100
"6339",1920,2,23,120
"6627",1920,2,24,-99.9
"6915",1920,2,25,80
"7203",1920,2,26,90
"7491",1920,2,27,90
"7779",1920,2,28,90
"8067",1920,2,29,70
"4",1920,3,1,70
"292",1920,3,2,90
"580",1920,3,3,90
"868",1920,3,4,100
"1156",1920,3,5,-99.9
"1444",1920,3,6,100
"1732",1920,3,7,110
"2020",1920,3,8,100
"2308",1920,3,9,110
"2596",1920,3,10,130
"2884",1920,3,11,120
"3172",1920,3,12,130
"3460",1920,3,13,110
"3748",1920,3,14,120
"4036",1920,3,15,120
"4324",1920,3,16,130
"4612",1920,3,17,140
"4900",1920,3,18,140
"5188",1920,3,19,130
"5476",1920,3,20,-99.9
"5764",1920,3,21,120
"6052",1920,3,22,90
"6340",1920,3,23,90
"6628",1920,3,24,100
"6916",1920,3,25,50
"7204",1920,3,26,120
"7492",1920,3,27,140
"7780",1920,3,28,-99.9
"8068",1920,3,29,-99.9
"8338",1920,3,30,110
"8601",1920,3,31,140
"5",1920,4,1,140
"293",1920,4,2,170
"581",1920,4,3,140
"869",1920,4,4,150
"1157",1920,4,5,150
"1445",1920,4,6,120
"1733",1920,4,7,130
"2021",1920,4,8,-99.9
"2309",1920,4,9,120
"2597",1920,4,10,140
"2885",1920,4,11,130
"3173",1920,4,12,120
"3461",1920,4,13,120
"3749",1920,4,14,120
"4037",1920,4,15,-99.9
"4325",1920,4,16,120
"4613",1920,4,17,-99.9
"4901",1920,4,18,140
"5189",1920,4,19,110
"5477",1920,4,20,140
"5765",1920,4,21,-99.9
"6053",1920,4,22,-99.9
"6341",1920,4,23,140
"6629",1920,4,24,-99.9
"6917",1920,4,25,-99.9
"7205",1920,4,26,-99.9
"7493",1920,4,27,-99.9
"7781",1920,4,28,-99.9
"8069",1920,4,29,-99.9
"8339",1920,4,30,-99.9
"6",1924,1,1,70
"294",1924,1,2,70
"582",1924,1,3,60
"870",1924,1,4,60
"1158",1924,1,5,60
"1446",1924,1,6,60
"1734",1924,1,7,60
"2022",1924,1,8,60
"2310",1924,1,9,60
"2598",1924,1,10,70
"2886",1924,1,11,70
"3174",1924,1,12,60
"3462",1924,1,13,60
"3750",1924,1,14,60
"4038",1924,1,15,60
"4326",1924,1,16,60
"4614",1924,1,17,60
"4902",1924,1,18,60
"5190",1924,1,19,60
"5478",1924,1,20,60
"5766",1924,1,21,60
"6054",1924,1,22,60
"6342",1924,1,23,60
"6630",1924,1,24,60
"6918",1924,1,25,60
"7206",1924,1,26,60
"7494",1924,1,27,60
"7782",1924,1,28,30
"8070",1924,1,29,30
"8340",1924,1,30,30
"8602",1924,1,31,30
"7",1924,2,1,30
"295",1924,2,2,30
"583",1924,2,3,30
"871",1924,2,4,30
"1159",1924,2,5,30
"1447",1924,2,6,30
"1735",1924,2,7,90
"2023",1924,2,8,90
"2311",1924,2,9,50
"2599",1924,2,10,50
"2887",1924,2,11,50
"3175",1924,2,12,50
"3463",1924,2,13,50
"3751",1924,2,14,50
"4039",1924,2,15,50
"4327",1924,2,16,50
"4615",1924,2,17,50
"4903",1924,2,18,50
"5191",1924,2,19,-99.9
"5479",1924,2,20,100
"5767",1924,2,21,100
"6055",1924,2,22,100
"6343",1924,2,23,100
"6631",1924,2,24,100
"6919",1924,2,25,100
"7207",1924,2,26,80
"7495",1924,2,27,70
"7783",1924,2,28,70
"8071",1924,2,29,130
"8",1924,3,1,80
"296",1924,3,2,80
"584",1924,3,3,70
"872",1924,3,4,120
"1160",1924,3,5,120
"1448",1924,3,6,140
"1736",1924,3,7,140
"2024",1924,3,8,140
"2312",1924,3,9,140
"2600",1924,3,10,90
"2888",1924,3,11,90
"3176",1924,3,12,120
"3464",1924,3,13,120
"3752",1924,3,14,80
"4040",1924,3,15,80
"4328",1924,3,16,110
"4616",1924,3,17,120
"4904",1924,3,18,90
"5192",1924,3,19,90
"5480",1924,3,20,100
"5768",1924,3,21,90
"6056",1924,3,22,110
"6344",1924,3,23,110
"6632",1924,3,24,130
"6920",1924,3,25,110
"7208",1924,3,26,140
"7496",1924,3,27,140
"7784",1924,3,28,150
"8072",1924,3,29,140
"8341",1924,3,30,150
"8603",1924,3,31,150
"9",1924,4,1,140
"297",1924,4,2,140
"585",1924,4,3,160
"873",1924,4,4,140
"1161",1924,4,5,140
"1449",1924,4,6,120
"1737",1924,4,7,110
"2025",1924,4,8,150
"2313",1924,4,9,180
"2601",1924,4,10,160
"2889",1924,4,11,110
"3177",1924,4,12,120
"3465",1924,4,13,150
"3753",1924,4,14,130
"4041",1924,4,15,110
"4329",1924,4,16,120
"4617",1924,4,17,110
"4905",1924,4,18,130
"5193",1924,4,19,-99.9
"5481",1924,4,20,160
"5769",1924,4,21,-99.9
"6057",1924,4,22,140
"6345",1924,4,23,170
"6633",1924,4,24,-99.9
"6921",1924,4,25,150
"7209",1924,4,26,120
"7497",1924,4,27,120
"7785",1924,4,28,150
"8073",1924,4,29,150
"8342",1924,4,30,170
"10",1924,5,1,150
"298",1924,5,2,150
"586",1924,5,3,150
"874",1924,5,4,140
"1162",1924,5,5,150
"1450",1924,5,6,150
"1738",1924,5,7,160
"2026",1924,5,8,160
"2314",1924,5,9,170
"2602",1924,5,10,170
"2890",1924,5,11,180
"3178",1924,5,12,180
"3466",1924,5,13,180
"3754",1924,5,14,180
"4042",1924,5,15,180
"4330",1924,5,16,150
"4618",1924,5,17,150
"4906",1924,5,18,150
"5194",1924,5,19,160
"5482",1924,5,20,-99.9
"5770",1924,5,21,170
"6058",1924,5,22,160
"6346",1924,5,23,160
"6634",1924,5,24,150
"6922",1924,5,25,170
"7210",1924,5,26,180
"7498",1924,5,27,170
"7786",1924,5,28,180
"8074",1924,5,29,200
"8343",1924,5,30,200
"8604",1924,5,31,200
"11",1924,6,1,190
"299",1924,6,2,200
"587",1924,6,3,180
"875",1924,6,4,190
"1163",1924,6,5,170
"1451",1924,6,6,190
"1739",1924,6,7,200
"2027",1924,6,8,220
"2315",1924,6,9,200
"2603",1924,6,10,190
"2891",1924,6,11,210
"3179",1924,6,12,190
"3467",1924,6,13,190
"3755",1924,6,14,190
"4043",1924,6,15,210
"4331",1924,6,16,240
"4619",1924,6,17,230
"4907",1924,6,18,210
"5195",1924,6,19,200
"5483",1924,6,20,200
"5771",1924,6,21,200
"6059",1924,6,22,200
"6347",1924,6,23,220
"6635",1924,6,24,200
"6923",1924,6,25,210
"7211",1924,6,26,210
"7499",1924,6,27,200
"7787",1924,6,28,210
"8075",1924,6,29,220
"8344",1924,6,30,210
"12",1924,7,1,210
"300",1924,7,2,210
"588",1924,7,3,210
"876",1924,7,4,210
"1164",1924,7,5,220
"1452",1924,7,6,220
"1740",1924,7,7,220
"2028",1924,7,8,230
"2316",1924,7,9,240
"2604",1924,7,10,230
"2892",1924,7,11,220
"3180",1924,7,12,220
"3468",1924,7,13,230
"3756",1924,7,14,230
"4044",1924,7,15,200
"4332",1924,7,16,210
"4620",1924,7,17,230
"4908",1924,7,18,220
"5196",1924,7,19,200
"5484",1924,7,20,200
"5772",1924,7,21,220
"6060",1924,7,22,230
"6348",1924,7,23,220
"6636",1924,7,24,200
"6924",1924,7,25,210
"7212",1924,7,26,220
"7500",1924,7,27,230
"7788",1924,7,28,220
"8076",1924,7,29,220
"8345",1924,7,30,210
"8605",1924,7,31,200
"13",1924,8,1,220
"301",1924,8,2,220
"589",1924,8,3,210
"877",1924,8,4,200
"1165",1924,8,5,210
"1453",1924,8,6,230
"1741",1924,8,7,230
"2029",1924,8,8,220
"2317",1924,8,9,210
"2605",1924,8,10,-99.9
"2893",1924,8,11,210
"3181",1924,8,12,220
"3469",1924,8,13,210
"3757",1924,8,14,220
"4045",1924,8,15,220
"4333",1924,8,16,200
"4621",1924,8,17,210
"4909",1924,8,18,230
"5197",1924,8,19,220
"5485",1924,8,20,210
"5773",1924,8,21,210
"6061",1924,8,22,220
"6349",1924,8,23,220
"6637",1924,8,24,230
"6925",1924,8,25,220
"7213",1924,8,26,240
"7501",1924,8,27,240
"7789",1924,8,28,220
"8077",1924,8,29,220
"8346",1924,8,30,240
"8606",1924,8,31,210
"14",1924,9,1,200
"302",1924,9,2,210
"590",1924,9,3,200
"878",1924,9,4,210
"1166",1924,9,5,220
"1454",1924,9,6,220
"1742",1924,9,7,240
"2030",1924,9,8,230
"2318",1924,9,9,-99.9
"2606",1924,9,10,230
"2894",1924,9,11,230
"3182",1924,9,12,170
"3470",1924,9,13,200
"3758",1924,9,14,200
"4046",1924,9,15,210
"4334",1924,9,16,210
"4622",1924,9,17,210
"4910",1924,9,18,210
"5198",1924,9,19,210
"5486",1924,9,20,-99.9
"5774",1924,9,21,210
"6062",1924,9,22,160
"6350",1924,9,23,120
"6638",1924,9,24,-99.9
"6926",1924,9,25,190
"7214",1924,9,26,190
"7502",1924,9,27,190
"7790",1924,9,28,210
"8078",1924,9,29,220
"8347",1924,9,30,190
"15",1924,10,1,210
"303",1924,10,2,200
"591",1924,10,3,200
"879",1924,10,4,210
"1167",1924,10,5,200
"1455",1924,10,6,-99.9
"1743",1924,10,7,190
"2031",1924,10,8,210
"2319",1924,10,9,210
"2607",1924,10,10,220
"2895",1924,10,11,230
"3183",1924,10,12,200
"3471",1924,10,13,190
"3759",1924,10,14,200
"4047",1924,10,15,220
"4335",1924,10,16,190
"4623",1924,10,17,200
"4911",1924,10,18,210
"5199",1924,10,19,170
"5487",1924,10,20,190
"5775",1924,10,21,220
"6063",1924,10,22,150
"6351",1924,10,23,190
"6639",1924,10,24,190
"6927",1924,10,25,190
"7215",1924,10,26,180
"7503",1924,10,27,-99.9
"7791",1924,10,28,190
"8079",1924,10,29,180
"8348",1924,10,30,170
"8607",1924,10,31,160
"16",1924,11,1,170
"304",1924,11,2,160
"592",1924,11,3,160
"880",1924,11,4,170
"1168",1924,11,5,180
"1456",1924,11,6,-99.9
"1744",1924,11,7,160
"2032",1924,11,8,160
"2320",1924,11,9,170
"2608",1924,11,10,160
"2896",1924,11,11,160
"3184",1924,11,12,170
"3472",1924,11,13,150
"3760",1924,11,14,-99.9
"4048",1924,11,15,140
"4336",1924,11,16,140
"4624",1924,11,17,150
"4912",1924,11,18,140
"5200",1924,11,19,120
"5488",1924,11,20,150
"5776",1924,11,21,150
"6064",1924,11,22,90
"6352",1924,11,23,100
"6640",1924,11,24,-99.9
"6928",1924,11,25,-99.9
"7216",1924,11,26,-99.9
"7504",1924,11,27,-99.9
"7792",1924,11,28,110
"8080",1924,11,29,120
"8349",1924,11,30,110
"17",1924,12,1,120
"305",1924,12,2,120
"593",1924,12,3,100
"881",1924,12,4,90
"1169",1924,12,5,100
"1457",1924,12,6,100
"1745",1924,12,7,70
"2033",1924,12,8,100
"2321",1924,12,9,80
"2609",1924,12,10,90
"2897",1924,12,11,-99.9
"3185",1924,12,12,30
"3473",1924,12,13,40
"3761",1924,12,14,40
"4049",1924,12,15,-99.9
"4337",1924,12,16,110
"4625",1924,12,17,100
"4913",1924,12,18,110
"5201",1924,12,19,100
"5489",1924,12,20,110
"5777",1924,12,21,110
"6065",1924,12,22,-99.9
"6353",1924,12,23,110
"6641",1924,12,24,100
"6929",1924,12,25,120
"7217",1924,12,26,100
"7505",1924,12,27,120
"7793",1924,12,28,110
"8081",1924,12,29,100
"8350",1924,12,30,100
"8608",1924,12,31,100
"18",1925,1,1,-99.9
"306",1925,1,2,-99.9
"594",1925,1,3,-99.9
"882",1925,1,4,-99.9
"1170",1925,1,5,-99.9
"1458",1925,1,6,-99.9
"1746",1925,1,7,100
"2034",1925,1,8,110
"2322",1925,1,9,100
"2610",1925,1,10,110
"2898",1925,1,11,100
"3186",1925,1,12,120
"3474",1925,1,13,-99.9
"3762",1925,1,14,-99.9
"4050",1925,1,15,100
"4338",1925,1,16,110
"4626",1925,1,17,-99.9
"4914",1925,1,18,130
"5202",1925,1,19,100
"5490",1925,1,20,-99.9
"5778",1925,1,21,120
"6066",1925,1,22,110
"6354",1925,1,23,100
"6642",1925,1,24,120
"6930",1925,1,25,110
"7218",1925,1,26,120
"7506",1925,1,27,100
"7794",1925,1,28,130
"8082",1925,1,29,130
"8351",1925,1,30,100
"8609",1925,1,31,120
"19",1925,2,1,120
"307",1925,2,2,100
"595",1925,2,3,110
"883",1925,2,4,100
"1171",1925,2,5,130
"1459",1925,2,6,100
"1747",1925,2,7,100
"2035",1925,2,8,100
"2323",1925,2,9,130
"2611",1925,2,10,-99.9
"2899",1925,2,11,120
"3187",1925,2,12,110
"3475",1925,2,13,130
"3763",1925,2,14,120
"4051",1925,2,15,130
"4339",1925,2,16,110
"4627",1925,2,17,130
"4915",1925,2,18,120
