"","Year","Month","Day","value"
"1",1961,1,1,22
"560",1961,1,2,22
"1119",1961,1,3,-5
"1678",1961,1,4,11
"2237",1961,1,5,-22
"2796",1961,1,6,22
"3355",1961,1,7,-11
"3914",1961,1,8,27
"4473",1961,1,9,11
"5032",1961,1,10,50
"5591",1961,1,11,-27
"6150",1961,1,12,-16
"6709",1961,1,13,55
"7268",1961,1,14,-16
"7827",1961,1,15,-11
"8386",1961,1,16,5
"8945",1961,1,17,27
"9504",1961,1,18,66
"10063",1961,1,19,33
"10622",1961,1,20,-11
"11181",1961,1,21,22
"11740",1961,1,22,61
"12299",1961,1,23,50
"12858",1961,1,24,50
"13417",1961,1,25,5
"13976",1961,1,26,5
"14535",1961,1,27,55
"15094",1961,1,28,27
"15653",1961,1,29,33
"16176",1961,1,30,55
"16687",1961,1,31,22
"2",1961,2,1,22
"561",1961,2,2,33
"1120",1961,2,3,11
"1679",1961,2,4,11
"2238",1961,2,5,66
"2797",1961,2,6,22
"3356",1961,2,7,33
"3915",1961,2,8,38
"4474",1961,2,9,66
"5033",1961,2,10,72
"5592",1961,2,11,61
"6151",1961,2,12,83
"6710",1961,2,13,83
"7269",1961,2,14,88
"7828",1961,2,15,38
"8387",1961,2,16,61
"8946",1961,2,17,72
"9505",1961,2,18,77
"10064",1961,2,19,61
"10623",1961,2,20,72
"11182",1961,2,21,61
"11741",1961,2,22,61
"12300",1961,2,23,55
"12859",1961,2,24,55
"13418",1961,2,25,50
"13977",1961,2,26,44
"14536",1961,2,27,33
"15095",1961,2,28,27
"3",1961,3,1,50
"562",1961,3,2,72
"1121",1961,3,3,55
"1680",1961,3,4,77
"2239",1961,3,5,55
"2798",1961,3,6,72
"3357",1961,3,7,77
"3916",1961,3,8,83
"4475",1961,3,9,66
"5034",1961,3,10,50
"5593",1961,3,11,50
"6152",1961,3,12,83
"6711",1961,3,13,88
"7270",1961,3,14,66
"7829",1961,3,15,77
"8388",1961,3,16,61
"8947",1961,3,17,50
"9506",1961,3,18,33
"10065",1961,3,19,5
"10624",1961,3,20,16
"11183",1961,3,21,27
"11742",1961,3,22,22
"12301",1961,3,23,61
"12860",1961,3,24,61
"13419",1961,3,25,22
"13978",1961,3,26,77
"14537",1961,3,27,0
"15096",1961,3,28,-5
"15654",1961,3,29,38
"16177",1961,3,30,100
"16688",1961,3,31,66
"4",1961,4,1,83
"563",1961,4,2,83
"1122",1961,4,3,27
"1681",1961,4,4,38
"2240",1961,4,5,66
"2799",1961,4,6,83
"3358",1961,4,7,38
"3917",1961,4,8,44
"4476",1961,4,9,83
"5035",1961,4,10,88
"5594",1961,4,11,38
"6153",1961,4,12,88
"6712",1961,4,13,83
"7271",1961,4,14,55
"7830",1961,4,15,44
"8389",1961,4,16,33
"8948",1961,4,17,22
"9507",1961,4,18,61
"10066",1961,4,19,72
"10625",1961,4,20,66
"11184",1961,4,21,77
"11743",1961,4,22,83
"12302",1961,4,23,72
"12861",1961,4,24,38
"13420",1961,4,25,72
"13979",1961,4,26,66
"14538",1961,4,27,44
"15097",1961,4,28,88
"15655",1961,4,29,66
"16178",1961,4,30,88
"5",1961,5,1,83
"564",1961,5,2,61
"1123",1961,5,3,72
"1682",1961,5,4,100
"2241",1961,5,5,61
"2800",1961,5,6,83
"3359",1961,5,7,61
"3918",1961,5,8,72
"4477",1961,5,9,38
"5036",1961,5,10,55
"5595",1961,5,11,66
"6154",1961,5,12,38
"6713",1961,5,13,94
"7272",1961,5,14,72
"7831",1961,5,15,66
"8390",1961,5,16,83
"8949",1961,5,17,77
"9508",1961,5,18,44
"10067",1961,5,19,55
"10626",1961,5,20,88
"11185",1961,5,21,66
"11744",1961,5,22,44
"12303",1961,5,23,72
"12862",1961,5,24,88
"13421",1961,5,25,94
"13980",1961,5,26,38
"14539",1961,5,27,11
"15098",1961,5,28,38
"15656",1961,5,29,83
"16179",1961,5,30,83
"16689",1961,5,31,88
"6",1961,6,1,61
"565",1961,6,2,94
"1124",1961,6,3,105
"1683",1961,6,4,88
"2242",1961,6,5,111
"2801",1961,6,6,105
"3360",1961,6,7,88
"3919",1961,6,8,72
"4478",1961,6,9,55
"5037",1961,6,10,100
"5596",1961,6,11,105
"6155",1961,6,12,100
"6714",1961,6,13,61
"7273",1961,6,14,77
"7832",1961,6,15,116
"8391",1961,6,16,77
"8950",1961,6,17,133
"9509",1961,6,18,88
"10068",1961,6,19,77
"10627",1961,6,20,72
"11186",1961,6,21,105
"11745",1961,6,22,122
"12304",1961,6,23,122
"12863",1961,6,24,100
"13422",1961,6,25,100
"13981",1961,6,26,122
"14540",1961,6,27,66
"15099",1961,6,28,83
"15657",1961,6,29,100
"16180",1961,6,30,122
"7",1961,7,1,150
"566",1961,7,2,122
"1125",1961,7,3,105
"1684",1961,7,4,100
"2243",1961,7,5,66
"2802",1961,7,6,100
"3361",1961,7,7,116
"3920",1961,7,8,144
"4479",1961,7,9,127
"5038",1961,7,10,138
"5597",1961,7,11,133
"6156",1961,7,12,138
"6715",1961,7,13,88
"7274",1961,7,14,94
"7833",1961,7,15,77
"8392",1961,7,16,111
"8951",1961,7,17,111
"9510",1961,7,18,77
"10069",1961,7,19,105
"10628",1961,7,20,83
"11187",1961,7,21,111
"11746",1961,7,22,116
"12305",1961,7,23,116
"12864",1961,7,24,122
"13423",1961,7,25,100
"13982",1961,7,26,133
"14541",1961,7,27,116
"15100",1961,7,28,100
"15658",1961,7,29,100
"16181",1961,7,30,72
"16690",1961,7,31,122
"8",1961,8,1,100
"567",1961,8,2,100
"1126",1961,8,3,88
"1685",1961,8,4,138
"2244",1961,8,5,88
"2803",1961,8,6,105
"3362",1961,8,7,72
"3921",1961,8,8,94
"4480",1961,8,9,83
"5039",1961,8,10,77
"5598",1961,8,11,94
"6157",1961,8,12,83
"6716",1961,8,13,100
"7275",1961,8,14,127
"7834",1961,8,15,127
"8393",1961,8,16,127
"8952",1961,8,17,127
"9511",1961,8,18,127
"10070",1961,8,19,116
"10629",1961,8,20,83
"11188",1961,8,21,127
"11747",1961,8,22,122
"12306",1961,8,23,100
"12865",1961,8,24,111
"13424",1961,8,25,116
"13983",1961,8,26,111
"14542",1961,8,27,100
"15101",1961,8,28,138
"15659",1961,8,29,144
"16182",1961,8,30,83
"16691",1961,8,31,55
"9",1961,9,1,111
"568",1961,9,2,155
"1127",1961,9,3,138
"1686",1961,9,4,133
"2245",1961,9,5,94
"2804",1961,9,6,88
"3363",1961,9,7,83
"3922",1961,9,8,77
"4481",1961,9,9,105
"5040",1961,9,10,127
"5599",1961,9,11,88
"6158",1961,9,12,83
"6717",1961,9,13,116
"7276",1961,9,14,94
"7835",1961,9,15,138
"8394",1961,9,16,127
"8953",1961,9,17,88
"9512",1961,9,18,50
"10071",1961,9,19,105
"10630",1961,9,20,111
"11189",1961,9,21,127
"11748",1961,9,22,77
"12307",1961,9,23,133
"12866",1961,9,24,61
"13425",1961,9,25,55
"13984",1961,9,26,116
"14543",1961,9,27,72
"15102",1961,9,28,94
"15660",1961,9,29,83
"16183",1961,9,30,66
"10",1961,10,1,94
"569",1961,10,2,105
"1128",1961,10,3,111
"1687",1961,10,4,27
"2246",1961,10,5,38
"2805",1961,10,6,72
"3364",1961,10,7,55
"3923",1961,10,8,77
"4482",1961,10,9,66
"5041",1961,10,10,94
"5600",1961,10,11,77
"6159",1961,10,12,50
"6718",1961,10,13,88
"7277",1961,10,14,83
"7836",1961,10,15,105
"8395",1961,10,16,72
"8954",1961,10,17,83
"9513",1961,10,18,66
"10072",1961,10,19,55
"10631",1961,10,20,27
"11190",1961,10,21,38
"11749",1961,10,22,77
"12308",1961,10,23,50
"12867",1961,10,24,72
"13426",1961,10,25,55
"13985",1961,10,26,66
"14544",1961,10,27,66
"15103",1961,10,28,38
"15661",1961,10,29,16
"16184",1961,10,30,33
"16692",1961,10,31,83
"11",1961,11,1,44
"570",1961,11,2,77
"1129",1961,11,3,27
"1688",1961,11,4,16
"2247",1961,11,5,33
"2806",1961,11,6,61
"3365",1961,11,7,72
"3924",1961,11,8,16
"4483",1961,11,9,-5
"5042",1961,11,10,16
"5601",1961,11,11,11
"6160",1961,11,12,5
"6719",1961,11,13,22
"7278",1961,11,14,72
"7837",1961,11,15,61
"8396",1961,11,16,61
"8955",1961,11,17,61
"9514",1961,11,18,61
"10073",1961,11,19,77
"10632",1961,11,20,66
"11191",1961,11,21,55
"11750",1961,11,22,66
"12309",1961,11,23,16
"12868",1961,11,24,33
"13427",1961,11,25,16
"13986",1961,11,26,11
"14545",1961,11,27,27
"15104",1961,11,28,-5
"15662",1961,11,29,11
"16185",1961,11,30,77
"12",1961,12,1,55
"571",1961,12,2,0
"1130",1961,12,3,-5
"1689",1961,12,4,33
"2248",1961,12,5,11
"2807",1961,12,6,-22
"3366",1961,12,7,-50
"3925",1961,12,8,-27
"4484",1961,12,9,61
"5043",1961,12,10,83
"5602",1961,12,11,88
"6161",1961,12,12,77
"6720",1961,12,13,83
"7279",1961,12,14,16
"7838",1961,12,15,77
"8397",1961,12,16,88
"8956",1961,12,17,61
"9515",1961,12,18,27
"10074",1961,12,19,5
"10633",1961,12,20,5
"11192",1961,12,21,27
"11751",1961,12,22,44
"12310",1961,12,23,44
"12869",1961,12,24,-11
"13428",1961,12,25,-16
"13987",1961,12,26,-11
"14546",1961,12,27,0
"15105",1961,12,28,-50
"15663",1961,12,29,-38
"16186",1961,12,30,-5
"16693",1961,12,31,-66
"13",1962,1,1,-50
"572",1962,1,2,-44
"1131",1962,1,3,-44
"1690",1962,1,4,-5
"2249",1962,1,5,-11
"2808",1962,1,6,50
"3367",1962,1,7,33
"3926",1962,1,8,38
"4485",1962,1,9,11
"5044",1962,1,10,11
"5603",1962,1,11,0
"6162",1962,1,12,27
"6721",1962,1,13,5
"7280",1962,1,14,0
"7839",1962,1,15,11
"8398",1962,1,16,16
"8957",1962,1,17,27
"9516",1962,1,18,16
"10075",1962,1,19,27
"10634",1962,1,20,55
"11193",1962,1,21,61
"11752",1962,1,22,16
"12311",1962,1,23,22
"12870",1962,1,24,27
"13429",1962,1,25,72
"13988",1962,1,26,77
"14547",1962,1,27,61
"15106",1962,1,28,61
"15664",1962,1,29,61
"16187",1962,1,30,50
"16694",1962,1,31,77
"14",1962,2,1,27
"573",1962,2,2,33
"1132",1962,2,3,50
"1691",1962,2,4,44
"2250",1962,2,5,55
"2809",1962,2,6,66
"3368",1962,2,7,50
"3927",1962,2,8,22
"4486",1962,2,9,33
"5045",1962,2,10,72
"5604",1962,2,11,16
"6163",1962,2,12,33
"6722",1962,2,13,33
"7281",1962,2,14,-11
"7840",1962,2,15,0
"8399",1962,2,16,77
"8958",1962,2,17,44
"9517",1962,2,18,55
"10076",1962,2,19,55
"10635",1962,2,20,66
"11194",1962,2,21,38
"11753",1962,2,22,33
"12312",1962,2,23,11
"12871",1962,2,24,11
"13430",1962,2,25,22
"13989",1962,2,26,-11
"14548",1962,2,27,-16
"15107",1962,2,28,-11
"15",1962,3,1,0
"574",1962,3,2,-5
"1133",1962,3,3,-38
"1692",1962,3,4,-55
"2251",1962,3,5,-50
"2810",1962,3,6,-61
"3369",1962,3,7,16
