"","Year","Month","Day","value"
"1",1947,1,1,220
"467",1947,1,2,210
"933",1947,1,3,220
"1399",1947,1,4,210
"1865",1947,1,5,210
"2331",1947,1,6,210
"2797",1947,1,7,210
"3263",1947,1,8,210
"3729",1947,1,9,220
"4195",1947,1,10,220
"4661",1947,1,11,240
"5127",1947,1,12,240
"5593",1947,1,13,240
"6059",1947,1,14,250
"6525",1947,1,15,240
"6991",1947,1,16,230
"7457",1947,1,17,220
"7923",1947,1,18,220
"8389",1947,1,19,220
"8855",1947,1,20,230
"9321",1947,1,21,230
"9787",1947,1,22,250
"10253",1947,1,23,240
"10719",1947,1,24,220
"11185",1947,1,25,220
"11651",1947,1,26,240
"12117",1947,1,27,240
"12583",1947,1,28,240
"13049",1947,1,29,230
"13486",1947,1,30,230
"13913",1947,1,31,200
"2",1947,2,1,240
"468",1947,2,2,240
"934",1947,2,3,240
"1400",1947,2,4,240
"1866",1947,2,5,240
"2332",1947,2,6,250
"2798",1947,2,7,240
"3264",1947,2,8,250
"3730",1947,2,9,240
"4196",1947,2,10,240
"4662",1947,2,11,230
"5128",1947,2,12,240
"5594",1947,2,13,230
"6060",1947,2,14,240
"6526",1947,2,15,240
"6992",1947,2,16,240
"7458",1947,2,17,230
"7924",1947,2,18,240
"8390",1947,2,19,240
"8856",1947,2,20,250
"9322",1947,2,21,260
"9788",1947,2,22,250
"10254",1947,2,23,240
"10720",1947,2,24,240
"11186",1947,2,25,250
"11652",1947,2,26,250
"12118",1947,2,27,250
"12584",1947,2,28,250
"3",1947,3,1,250
"469",1947,3,2,250
"935",1947,3,3,250
"1401",1947,3,4,250
"1867",1947,3,5,240
"2333",1947,3,6,240
"2799",1947,3,7,250
"3265",1947,3,8,240
"3731",1947,3,9,240
"4197",1947,3,10,290
"4663",1947,3,11,250
"5129",1947,3,12,250
"5595",1947,3,13,260
"6061",1947,3,14,250
"6527",1947,3,15,250
"6993",1947,3,16,250
"7459",1947,3,17,252
"7925",1947,3,18,250
"8391",1947,3,19,250
"8857",1947,3,20,220
"9323",1947,3,21,230
"9789",1947,3,22,260
"10255",1947,3,23,260
"10721",1947,3,24,260
"11187",1947,3,25,260
"11653",1947,3,26,250
"12119",1947,3,27,250
"12585",1947,3,28,250
"13050",1947,3,29,250
"13487",1947,3,30,250
"13914",1947,3,31,250
"4",1947,4,1,250
"470",1947,4,2,240
"936",1947,4,3,240
"1402",1947,4,4,250
"1868",1947,4,5,250
"2334",1947,4,6,250
"2800",1947,4,7,253
"3266",1947,4,8,260
"3732",1947,4,9,250
"4198",1947,4,10,260
"4664",1947,4,11,250
"5130",1947,4,12,260
"5596",1947,4,13,250
"6062",1947,4,14,260
"6528",1947,4,15,260
"6994",1947,4,16,270
"7460",1947,4,17,250
"7926",1947,4,18,240
"8392",1947,4,19,260
"8858",1947,4,20,250
"9324",1947,4,21,260
"9790",1947,4,22,260
"10256",1947,4,23,250
"10722",1947,4,24,250
"11188",1947,4,25,250
"11654",1947,4,26,240
"12120",1947,4,27,270
"12586",1947,4,28,270
"13051",1947,4,29,270
"13488",1947,4,30,270
"5",1947,5,1,260
"471",1947,5,2,260
"937",1947,5,3,280
"1403",1947,5,4,280
"1869",1947,5,5,280
"2335",1947,5,6,280
"2801",1947,5,7,280
"3267",1947,5,8,280
"3733",1947,5,9,270
"4199",1947,5,10,270
"4665",1947,5,11,270
"5131",1947,5,12,280
"5597",1947,5,13,280
"6063",1947,5,14,280
"6529",1947,5,15,280
"6995",1947,5,16,280
"7461",1947,5,17,280
"7927",1947,5,18,280
"8393",1947,5,19,280
"8859",1947,5,20,280
"9325",1947,5,21,280
"9791",1947,5,22,280
"10257",1947,5,23,270
"10723",1947,5,24,282
"11189",1947,5,25,280
"11655",1947,5,26,280
"12121",1947,5,27,280
"12587",1947,5,28,280
"13052",1947,5,29,280
"13489",1947,5,30,280
"13915",1947,5,31,280
"6",1947,6,1,270
"472",1947,6,2,280
"938",1947,6,3,280
"1404",1947,6,4,280
"1870",1947,6,5,270
"2336",1947,6,6,300
"2802",1947,6,7,300
"3268",1947,6,8,290
"3734",1947,6,9,300
"4200",1947,6,10,290
"4666",1947,6,11,280
"5132",1947,6,12,300
"5598",1947,6,13,280
"6064",1947,6,14,290
"6530",1947,6,15,280
"6996",1947,6,16,280
"7462",1947,6,17,290
"7928",1947,6,18,290
"8394",1947,6,19,280
"8860",1947,6,20,290
"9326",1947,6,21,280
"9792",1947,6,22,280
"10258",1947,6,23,270
"10724",1947,6,24,290
"11190",1947,6,25,290
"11656",1947,6,26,290
"12122",1947,6,27,281
"12588",1947,6,28,283
"13053",1947,6,29,293
"13490",1947,6,30,284
"7",1947,7,1,290
"473",1947,7,2,290
"939",1947,7,3,283
"1405",1947,7,4,300
"1871",1947,7,5,283
"2337",1947,7,6,290
"2803",1947,7,7,290
"3269",1947,7,8,290
"3735",1947,7,9,270
"4201",1947,7,10,310
"4667",1947,7,11,300
"5133",1947,7,12,300
"5599",1947,7,13,294
"6065",1947,7,14,300
"6531",1947,7,15,290
"6997",1947,7,16,320
"7463",1947,7,17,290
"7929",1947,7,18,294
"8395",1947,7,19,280
"8861",1947,7,20,300
"9327",1947,7,21,300
"9793",1947,7,22,292
"10259",1947,7,23,-99.9
"10725",1947,7,24,300
"11191",1947,7,25,280
"11657",1947,7,26,300
"12123",1947,7,27,280
"12589",1947,7,28,290
"13054",1947,7,29,300
"13491",1947,7,30,300
"13916",1947,7,31,300
"8",1947,8,1,290
"474",1947,8,2,290
"940",1947,8,3,300
"1406",1947,8,4,301
"1872",1947,8,5,300
"2338",1947,8,6,300
"2804",1947,8,7,300
"3270",1947,8,8,300
"3736",1947,8,9,290
"4202",1947,8,10,300
"4668",1947,8,11,294
"5134",1947,8,12,294
"5600",1947,8,13,300
"6066",1947,8,14,280
"6532",1947,8,15,293
"6998",1947,8,16,300
"7464",1947,8,17,300
"7930",1947,8,18,280
"8396",1947,8,19,300
"8862",1947,8,20,293
"9328",1947,8,21,290
"9794",1947,8,22,285
"10260",1947,8,23,300
"10726",1947,8,24,300
"11192",1947,8,25,300
"11658",1947,8,26,300
"12124",1947,8,27,300
"12590",1947,8,28,280
"13055",1947,8,29,290
"13492",1947,8,30,300
"13917",1947,8,31,300
"9",1947,9,1,283
"475",1947,9,2,283
"941",1947,9,3,290
"1407",1947,9,4,290
"1873",1947,9,5,294
"2339",1947,9,6,280
"2805",1947,9,7,283
"3271",1947,9,8,290
"3737",1947,9,9,280
"4203",1947,9,10,280
"4669",1947,9,11,280
"5135",1947,9,12,280
"5601",1947,9,13,280
"6067",1947,9,14,270
"6533",1947,9,15,290
"6999",1947,9,16,300
"7465",1947,9,17,290
"7931",1947,9,18,290
"8397",1947,9,19,300
"8863",1947,9,20,300
"9329",1947,9,21,300
"9795",1947,9,22,300
"10261",1947,9,23,300
"10727",1947,9,24,290
"11193",1947,9,25,300
"11659",1947,9,26,290
"12125",1947,9,27,290
"12591",1947,9,28,280
"13056",1947,9,29,280
"13493",1947,9,30,280
"10",1947,10,1,280
"476",1947,10,2,300
"942",1947,10,3,300
"1408",1947,10,4,290
"1874",1947,10,5,300
"2340",1947,10,6,280
"2806",1947,10,7,290
"3272",1947,10,8,300
"3738",1947,10,9,280
"4204",1947,10,10,300
"4670",1947,10,11,290
"5136",1947,10,12,270
"5602",1947,10,13,300
"6068",1947,10,14,290
"6534",1947,10,15,282
"7000",1947,10,16,300
"7466",1947,10,17,250
"7932",1947,10,18,294
"8398",1947,10,19,290
"8864",1947,10,20,300
"9330",1947,10,21,290
"9796",1947,10,22,290
"10262",1947,10,23,290
"10728",1947,10,24,280
"11194",1947,10,25,280
"11660",1947,10,26,290
"12126",1947,10,27,270
"12592",1947,10,28,270
"13057",1947,10,29,280
"13494",1947,10,30,280
"13918",1947,10,31,290
"11",1947,11,1,290
"477",1947,11,2,294
"943",1947,11,3,280
"1409",1947,11,4,282
"1875",1947,11,5,274
"2341",1947,11,6,270
"2807",1947,11,7,280
"3273",1947,11,8,280
"3739",1947,11,9,280
"4205",1947,11,10,290
"4671",1947,11,11,280
"5137",1947,11,12,280
"5603",1947,11,13,270
"6069",1947,11,14,280
"6535",1947,11,15,273
"7001",1947,11,16,290
"7467",1947,11,17,280
"7933",1947,11,18,270
"8399",1947,11,19,280
"8865",1947,11,20,270
"9331",1947,11,21,280
"9797",1947,11,22,288
"10263",1947,11,23,285
"10729",1947,11,24,270
"11195",1947,11,25,260
"11661",1947,11,26,250
"12127",1947,11,27,270
"12593",1947,11,28,280
"13058",1947,11,29,280
"13495",1947,11,30,290
"12",1948,2,1,228
"478",1948,2,2,228
"944",1948,2,3,233
"1410",1948,2,4,222
"1876",1948,2,5,211
"2342",1948,2,6,228
"2808",1948,2,7,228
"3274",1948,2,8,228
"3740",1948,2,9,228
"4206",1948,2,10,228
"4672",1948,2,11,239
"5138",1948,2,12,228
"5604",1948,2,13,239
"6070",1948,2,14,228
"6536",1948,2,15,228
"7002",1948,2,16,239
"7468",1948,2,17,228
"7934",1948,2,18,228
"8400",1948,2,19,228
"8866",1948,2,20,228
"9332",1948,2,21,239
"9798",1948,2,22,233
"10264",1948,2,23,200
"10730",1948,2,24,228
"11196",1948,2,25,239
"11662",1948,2,26,239
"12128",1948,2,27,239
"12594",1948,2,28,239
"13059",1948,2,29,-99.9
"13",1948,3,1,-99.9
"479",1948,3,2,-99.9
"945",1948,3,3,-99.9
"1411",1948,3,4,-99.9
"1877",1948,3,5,-99.9
"2343",1948,3,6,-99.9
"2809",1948,3,7,-99.9
"3275",1948,3,8,-99.9
"3741",1948,3,9,-99.9
"4207",1948,3,10,-99.9
"4673",1948,3,11,-99.9
"5139",1948,3,12,-99.9
"5605",1948,3,13,178
"6071",1948,3,14,167
"6537",1948,3,15,161
"7003",1948,3,16,178
"7469",1948,3,17,178
"7935",1948,3,18,172
"8401",1948,3,19,161
"8867",1948,3,20,178
"9333",1948,3,21,172
"9799",1948,3,22,183
"10265",1948,3,23,172
"10731",1948,3,24,161
"11197",1948,3,25,167
"11663",1948,3,26,150
"12129",1948,3,27,178
"12595",1948,3,28,178
"13060",1948,3,29,161
"13496",1948,3,30,161
"13919",1948,3,31,178
"14",1948,4,1,255
"480",1948,4,2,255
"946",1948,4,3,233
"1412",1948,4,4,256
"1878",1948,4,5,261
"2344",1948,4,6,261
"2810",1948,4,7,261
"3276",1948,4,8,261
"3742",1948,4,9,272
"4208",1948,4,10,267
"4674",1948,4,11,233
"5140",1948,4,12,261
"5606",1948,4,13,255
"6072",1948,4,14,250
"6538",1948,4,15,272
"7004",1948,4,16,261
"7470",1948,4,17,267
"7936",1948,4,18,267
"8402",1948,4,19,233
"8868",1948,4,20,267
"9334",1948,4,21,272
"9800",1948,4,22,278
"10266",1948,4,23,267
"10732",1948,4,24,267
"11198",1948,4,25,267
"11664",1948,4,26,267
"12130",1948,4,27,267
"12596",1948,4,28,278
"13061",1948,4,29,278
"13497",1948,4,30,278
"15",1948,5,1,200
"481",1948,5,2,144
"947",1948,5,3,189
"1413",1948,5,4,194
"1879",1948,5,5,283
"2345",1948,5,6,272
"2811",1948,5,7,283
"3277",1948,5,8,256
"3743",1948,5,9,278
"4209",1948,5,10,283
"4675",1948,5,11,218
"5141",1948,5,12,278
"5607",1948,5,13,267
"6073",1948,5,14,261
"6539",1948,5,15,267
"7005",1948,5,16,278
"7471",1948,5,17,294
"7937",1948,5,18,289
"8403",1948,5,19,289
"8869",1948,5,20,289
"9335",1948,5,21,294
"9801",1948,5,22,278
"10267",1948,5,23,289
"10733",1948,5,24,294
"11199",1948,5,25,283
"11665",1948,5,26,283
"12131",1948,5,27,289
"12597",1948,5,28,289
"13062",1948,5,29,294
"13498",1948,5,30,283
"13920",1948,5,31,283
"16",1948,6,1,278
"482",1948,6,2,267
"948",1948,6,3,283
"1414",1948,6,4,294
"1880",1948,6,5,289
"2346",1948,6,6,306
"2812",1948,6,7,320
"3278",1948,6,8,300
"3744",1948,6,9,306
"4210",1948,6,10,300
"4676",1948,6,11,294
"5142",1948,6,12,283
"5608",1948,6,13,300
"6074",1948,6,14,300
"6540",1948,6,15,300
"7006",1948,6,16,289
"7472",1948,6,17,294
"7938",1948,6,18,294
"8404",1948,6,19,289
"8870",1948,6,20,306
"9336",1948,6,21,311
"9802",1948,6,22,322
