"","Year","Month","Day","value"
"1",1961,7,1,-99.9
"311",1961,7,2,-99.9
"621",1961,7,3,-99.9
"931",1961,7,4,-99.9
"1241",1961,7,5,-99.9
"1551",1961,7,6,-99.9
"1861",1961,7,7,-99.9
"2171",1961,7,8,154
"2481",1961,7,9,152
"2791",1961,7,10,155
"3101",1961,7,11,147
"3411",1961,7,12,146
"3721",1961,7,13,143
"4031",1961,7,14,140
"4341",1961,7,15,142
"4651",1961,7,16,116
"4961",1961,7,17,144
"5271",1961,7,18,136
"5581",1961,7,19,146
"5891",1961,7,20,138
"6201",1961,7,21,142
"6511",1961,7,22,147
"6821",1961,7,23,136
"7131",1961,7,24,134
"7441",1961,7,25,132
"7751",1961,7,26,148
"8061",1961,7,27,140
"8371",1961,7,28,148
"8681",1961,7,29,143
"8973",1961,7,30,144
"9259",1961,7,31,140
"2",1961,8,1,148
"312",1961,8,2,149
"622",1961,8,3,144
"932",1961,8,4,143
"1242",1961,8,5,146
"1552",1961,8,6,140
"1862",1961,8,7,137
"2172",1961,8,8,136
"2482",1961,8,9,134
"2792",1961,8,10,133
"3102",1961,8,11,134
"3412",1961,8,12,132
"3722",1961,8,13,145
"4032",1961,8,14,143
"4342",1961,8,15,145
"4652",1961,8,16,133
"4962",1961,8,17,135
"5272",1961,8,18,138
"5582",1961,8,19,146
"5892",1961,8,20,150
"6202",1961,8,21,154
"6512",1961,8,22,152
"6822",1961,8,23,140
"7132",1961,8,24,148
"7442",1961,8,25,143
"7752",1961,8,26,134
"8062",1961,8,27,144
"8372",1961,8,28,149
"8682",1961,8,29,138
"8974",1961,8,30,147
"9260",1961,8,31,145
"3",1961,9,1,125
"313",1961,9,2,144
"623",1961,9,3,135
"933",1961,9,4,147
"1243",1961,9,5,140
"1553",1961,9,6,124
"1863",1961,9,7,133
"2173",1961,9,8,129
"2483",1961,9,9,128
"2793",1961,9,10,147
"3103",1961,9,11,117
"3413",1961,9,12,146
"3723",1961,9,13,130
"4033",1961,9,14,125
"4343",1961,9,15,115
"4653",1961,9,16,119
"4963",1961,9,17,145
"5273",1961,9,18,128
"5583",1961,9,19,124
"5893",1961,9,20,125
"6203",1961,9,21,128
"6513",1961,9,22,119
"6823",1961,9,23,110
"7133",1961,9,24,118
"7443",1961,9,25,126
"7753",1961,9,26,119
"8063",1961,9,27,144
"8373",1961,9,28,117
"8683",1961,9,29,120
"8975",1961,9,30,135
"4",1961,10,1,148
"314",1961,10,2,132
"624",1961,10,3,130
"934",1961,10,4,145
"1244",1961,10,5,137
"1554",1961,10,6,124
"1864",1961,10,7,143
"2174",1961,10,8,134
"2484",1961,10,9,137
"2794",1961,10,10,129
"3104",1961,10,11,110
"3414",1961,10,12,147
"3724",1961,10,13,124
"4034",1961,10,14,102
"4344",1961,10,15,107
"4654",1961,10,16,106
"4964",1961,10,17,131
"5274",1961,10,18,106
"5584",1961,10,19,134
"5894",1961,10,20,104
"6204",1961,10,21,108
"6514",1961,10,22,104
"6824",1961,10,23,106
"7134",1961,10,24,126
"7444",1961,10,25,113
"7754",1961,10,26,136
"8064",1961,10,27,106
"8374",1961,10,28,106
"8684",1961,10,29,118
"8976",1961,10,30,114
"9261",1961,10,31,120
"5",1961,11,1,137
"315",1961,11,2,134
"625",1961,11,3,144
"935",1961,11,4,118
"1245",1961,11,5,105
"1555",1961,11,6,115
"1865",1961,11,7,99
"2175",1961,11,8,87
"2485",1961,11,9,128
"2795",1961,11,10,134
"3105",1961,11,11,130
"3415",1961,11,12,120
"3725",1961,11,13,126
"4035",1961,11,14,124
"4345",1961,11,15,121
"4655",1961,11,16,124
"4965",1961,11,17,70
"5275",1961,11,18,95
"5585",1961,11,19,119
"5895",1961,11,20,93
"6205",1961,11,21,105
"6515",1961,11,22,132
"6825",1961,11,23,135
"7135",1961,11,24,129
"7445",1961,11,25,134
"7755",1961,11,26,134
"8065",1961,11,27,137
"8375",1961,11,28,130
"8685",1961,11,29,127
"8977",1961,11,30,136
"6",1961,12,1,114
"316",1961,12,2,130
"626",1961,12,3,94
"936",1961,12,4,95
"1246",1961,12,5,102
"1556",1961,12,6,90
"1866",1961,12,7,112
"2176",1961,12,8,76
"2486",1961,12,9,82
"2796",1961,12,10,87
"3106",1961,12,11,82
"3416",1961,12,12,104
"3726",1961,12,13,120
"4036",1961,12,14,87
"4346",1961,12,15,117
"4656",1961,12,16,84
"4966",1961,12,17,105
"5276",1961,12,18,101
"5586",1961,12,19,90
"5896",1961,12,20,80
"6206",1961,12,21,105
"6516",1961,12,22,52
"6826",1961,12,23,-99.9
"7136",1961,12,24,-99.9
"7446",1961,12,25,-99.9
"7756",1961,12,26,-99.9
"8066",1961,12,27,-99.9
"8376",1961,12,28,-99.9
"8686",1961,12,29,-99.9
"8978",1961,12,30,-99.9
"9262",1961,12,31,-99.9
"7",1962,6,1,-99.9
"317",1962,6,2,-99.9
"627",1962,6,3,-99.9
"937",1962,6,4,-99.9
"1247",1962,6,5,-99.9
"1557",1962,6,6,-99.9
"1867",1962,6,7,-99.9
"2177",1962,6,8,-99.9
"2487",1962,6,9,-99.9
"2797",1962,6,10,-99.9
"3107",1962,6,11,-99.9
"3417",1962,6,12,-99.9
"3727",1962,6,13,-99.9
"4037",1962,6,14,-99.9
"4347",1962,6,15,-99.9
"4657",1962,6,16,-99.9
"4967",1962,6,17,150
"5277",1962,6,18,145
"5587",1962,6,19,145
"5897",1962,6,20,130
"6207",1962,6,21,110
"6517",1962,6,22,90
"6827",1962,6,23,115
"7137",1962,6,24,95
"7447",1962,6,25,130
"7757",1962,6,26,100
"8067",1962,6,27,135
"8377",1962,6,28,120
"8687",1962,6,29,125
"8979",1962,6,30,120
"8",1962,7,1,130
"318",1962,7,2,120
"628",1962,7,3,115
"938",1962,7,4,118
"1248",1962,7,5,125
"1558",1962,7,6,135
"1868",1962,7,7,148
"2178",1962,7,8,148
"2488",1962,7,9,123
"2798",1962,7,10,130
"3108",1962,7,11,140
"3418",1962,7,12,135
"3728",1962,7,13,138
"4038",1962,7,14,138
"4348",1962,7,15,130
"4658",1962,7,16,135
"4968",1962,7,17,150
"5278",1962,7,18,140
"5588",1962,7,19,135
"5898",1962,7,20,135
"6208",1962,7,21,138
"6518",1962,7,22,155
"6828",1962,7,23,145
"7138",1962,7,24,138
"7448",1962,7,25,145
"7758",1962,7,26,135
"8068",1962,7,27,142
"8378",1962,7,28,148
"8688",1962,7,29,130
"8980",1962,7,30,145
"9263",1962,7,31,130
"9",1962,8,1,135
"319",1962,8,2,140
"629",1962,8,3,140
"939",1962,8,4,140
"1249",1962,8,5,138
"1559",1962,8,6,147
"1869",1962,8,7,146
"2179",1962,8,8,135
"2489",1962,8,9,136
"2799",1962,8,10,138
"3109",1962,8,11,146
"3419",1962,8,12,140
"3729",1962,8,13,150
"4039",1962,8,14,145
"4349",1962,8,15,145
"4659",1962,8,16,138
"4969",1962,8,17,130
"5279",1962,8,18,130
"5589",1962,8,19,138
"5899",1962,8,20,130
"6209",1962,8,21,130
"6519",1962,8,22,128
"6829",1962,8,23,123
"7139",1962,8,24,126
"7449",1962,8,25,122
"7759",1962,8,26,138
"8069",1962,8,27,125
"8379",1962,8,28,125
"8689",1962,8,29,120
"8981",1962,8,30,148
"9264",1962,8,31,130
"10",1962,9,1,131
"320",1962,9,2,128
"630",1962,9,3,120
"940",1962,9,4,142
"1250",1962,9,5,133
"1560",1962,9,6,120
"1870",1962,9,7,124
"2180",1962,9,8,130
"2490",1962,9,9,140
"2800",1962,9,10,142
"3110",1962,9,11,122
"3420",1962,9,12,120
"3730",1962,9,13,130
"4040",1962,9,14,130
"4350",1962,9,15,143
"4660",1962,9,16,135
"4970",1962,9,17,145
"5280",1962,9,18,130
"5590",1962,9,19,130
"5900",1962,9,20,130
"6210",1962,9,21,130
"6520",1962,9,22,145
"6830",1962,9,23,135
"7140",1962,9,24,130
"7450",1962,9,25,125
"7760",1962,9,26,103
"8070",1962,9,27,128
"8380",1962,9,28,110
"8690",1962,9,29,125
"8982",1962,9,30,131
"11",1962,10,1,130
"321",1962,10,2,140
"631",1962,10,3,140
"941",1962,10,4,140
"1251",1962,10,5,135
"1561",1962,10,6,120
"1871",1962,10,7,105
"2181",1962,10,8,90
"2491",1962,10,9,98
"2801",1962,10,10,95
"3111",1962,10,11,125
"3421",1962,10,12,75
"3731",1962,10,13,85
"4041",1962,10,14,125
"4351",1962,10,15,120
"4661",1962,10,16,90
"4971",1962,10,17,120
"5281",1962,10,18,92
"5591",1962,10,19,112
"5901",1962,10,20,92
"6211",1962,10,21,95
"6521",1962,10,22,90
"6831",1962,10,23,100
"7141",1962,10,24,110
"7451",1962,10,25,115
"7761",1962,10,26,123
"8071",1962,10,27,90
"8381",1962,10,28,85
"8691",1962,10,29,75
"8983",1962,10,30,75
"9265",1962,10,31,80
"12",1962,11,1,80
"322",1962,11,2,80
"632",1962,11,3,118
"942",1962,11,4,110
"1252",1962,11,5,100
"1562",1962,11,6,105
"1872",1962,11,7,135
"2182",1962,11,8,130
"2492",1962,11,9,90
"2802",1962,11,10,106
"3112",1962,11,11,135
"3422",1962,11,12,120
"3732",1962,11,13,125
"4042",1962,11,14,100
"4352",1962,11,15,100
"4662",1962,11,16,113
"4972",1962,11,17,115
"5282",1962,11,18,115
"5592",1962,11,19,90
"5902",1962,11,20,87
"6212",1962,11,21,115
"6522",1962,11,22,120
"6832",1962,11,23,115
"7142",1962,11,24,90
"7452",1962,11,25,130
"7762",1962,11,26,75
"8072",1962,11,27,120
"8382",1962,11,28,71
"8692",1962,11,29,120
"8984",1962,11,30,90
"13",1962,12,1,105
"323",1962,12,2,110
"633",1962,12,3,125
"943",1962,12,4,90
"1253",1962,12,5,75
"1563",1962,12,6,80
"1873",1962,12,7,78
"2183",1962,12,8,70
"2493",1962,12,9,52
"2803",1962,12,10,80
"3113",1962,12,11,80
"3423",1962,12,12,72
"3733",1962,12,13,75
"4043",1962,12,14,80
"4353",1962,12,15,75
"4663",1962,12,16,75
"4973",1962,12,17,70
"5283",1962,12,18,78
"5593",1962,12,19,70
"5903",1962,12,20,84
"6213",1962,12,21,98
"6523",1962,12,22,70
"6833",1962,12,23,65
"7143",1962,12,24,62
"7453",1962,12,25,70
"7763",1962,12,26,66
"8073",1962,12,27,57
"8383",1962,12,28,50
"8693",1962,12,29,60
"8985",1962,12,30,82
"9266",1962,12,31,125
"14",1963,1,1,82
"324",1963,1,2,102
"634",1963,1,3,95
"944",1963,1,4,44
"1254",1963,1,5,52
"1564",1963,1,6,40
"1874",1963,1,7,55
"2184",1963,1,8,62
"2494",1963,1,9,46
"2804",1963,1,10,40
"3114",1963,1,11,50
"3424",1963,1,12,50
"3734",1963,1,13,60
"4044",1963,1,14,68
"4354",1963,1,15,85
"4664",1963,1,16,85
"4974",1963,1,17,74
"5284",1963,1,18,72
"5594",1963,1,19,115
"5904",1963,1,20,75
"6214",1963,1,21,55
"6524",1963,1,22,40
"6834",1963,1,23,65
"7144",1963,1,24,65
"7454",1963,1,25,70
"7764",1963,1,26,65
"8074",1963,1,27,80
"8384",1963,1,28,65
"8694",1963,1,29,82
"8986",1963,1,30,72
"9267",1963,1,31,67
"15",1963,2,1,68
"325",1963,2,2,75
"635",1963,2,3,70
"945",1963,2,4,75
"1255",1963,2,5,61
