"","Year","Month","Day","value"
"1",1950,1,1,228
"811",1950,1,2,228
"1621",1950,1,3,215
"2431",1950,1,4,221
"3241",1950,1,5,220
"4051",1950,1,6,208
"4861",1950,1,7,212
"5671",1950,1,8,210
"6481",1950,1,9,202
"7291",1950,1,10,216
"8101",1950,1,11,215
"8911",1950,1,12,212
"9721",1950,1,13,216
"10531",1950,1,14,218
"11341",1950,1,15,222
"12151",1950,1,16,231
"12961",1950,1,17,224
"13771",1950,1,18,226
"14581",1950,1,19,220
"15391",1950,1,20,224
"16201",1950,1,21,236
"17011",1950,1,22,235
"17821",1950,1,23,228
"18631",1950,1,24,230
"19441",1950,1,25,226
"20251",1950,1,26,222
"21061",1950,1,27,220
"21871",1950,1,28,213
"22681",1950,1,29,213
"23440",1950,1,30,228
"24182",1950,1,31,230
"2",1950,2,1,226
"812",1950,2,2,230
"1622",1950,2,3,218
"2432",1950,2,4,228
"3242",1950,2,5,220
"4052",1950,2,6,216
"4862",1950,2,7,226
"5672",1950,2,8,219
"6482",1950,2,9,221
"7292",1950,2,10,238
"8102",1950,2,11,216
"8912",1950,2,12,230
"9722",1950,2,13,226
"10532",1950,2,14,214
"11342",1950,2,15,237
"12152",1950,2,16,227
"12962",1950,2,17,222
"13772",1950,2,18,246
"14582",1950,2,19,240
"15392",1950,2,20,245
"16202",1950,2,21,230
"17012",1950,2,22,230
"17822",1950,2,23,238
"18632",1950,2,24,238
"19442",1950,2,25,218
"20252",1950,2,26,225
"21062",1950,2,27,236
"21872",1950,2,28,238
"3",1950,3,1,240
"813",1950,3,2,236
"1623",1950,3,3,206
"2433",1950,3,4,206
"3243",1950,3,5,210
"4053",1950,3,6,222
"4863",1950,3,7,218
"5673",1950,3,8,230
"6483",1950,3,9,236
"7293",1950,3,10,230
"8103",1950,3,11,232
"8913",1950,3,12,230
"9723",1950,3,13,228
"10533",1950,3,14,225
"11343",1950,3,15,226
"12153",1950,3,16,232
"12963",1950,3,17,235
"13773",1950,3,18,238
"14583",1950,3,19,218
"15393",1950,3,20,220
"16203",1950,3,21,238
"17013",1950,3,22,225
"17823",1950,3,23,212
"18633",1950,3,24,206
"19443",1950,3,25,210
"20253",1950,3,26,215
"21063",1950,3,27,212
"21873",1950,3,28,231
"22682",1950,3,29,230
"23441",1950,3,30,210
"24183",1950,3,31,198
"4",1950,4,1,195
"814",1950,4,2,204
