"","Year","Month","Day","value"
"1",1944,2,1,-99.9
"490",1944,2,2,-99.9
"979",1944,2,3,-99.9
"1468",1944,2,4,-99.9
"1957",1944,2,5,-99.9
"2446",1944,2,6,-99.9
"2935",1944,2,7,-99.9
"3424",1944,2,8,-99.9
"3913",1944,2,9,-99.9
"4402",1944,2,10,-99.9
"4891",1944,2,11,-99.9
"5380",1944,2,12,-99.9
"5869",1944,2,13,-99.9
"6358",1944,2,14,-99.9
"6847",1944,2,15,-99.9
"7336",1944,2,16,-99.9
"7825",1944,2,17,-99.9
"8314",1944,2,18,-99.9
"8803",1944,2,19,-99.9
"9292",1944,2,20,-99.9
"9781",1944,2,21,-99.9
"10270",1944,2,22,-99.9
"10759",1944,2,23,-99.9
"11248",1944,2,24,-99.9
"11737",1944,2,25,-99.9
"12226",1944,2,26,-99.9
"12715",1944,2,27,-99.9
"13204",1944,2,28,-99.9
"13693",1944,2,29,235
"2",1960,2,1,-99.9
"491",1960,2,2,-99.9
"980",1960,2,3,-99.9
"1469",1960,2,4,-99.9
"1958",1960,2,5,-99.9
"2447",1960,2,6,-99.9
"2936",1960,2,7,-99.9
"3425",1960,2,8,-99.9
"3914",1960,2,9,-99.9
"4403",1960,2,10,-99.9
"4892",1960,2,11,-99.9
"5381",1960,2,12,-99.9
"5870",1960,2,13,-99.9
"6359",1960,2,14,-99.9
"6848",1960,2,15,-99.9
"7337",1960,2,16,-99.9
"7826",1960,2,17,-99.9
"8315",1960,2,18,-99.9
"8804",1960,2,19,-99.9
"9293",1960,2,20,-99.9
"9782",1960,2,21,-99.9
"10271",1960,2,22,-99.9
"10760",1960,2,23,-99.9
"11249",1960,2,24,-99.9
"11738",1960,2,25,-99.9
"12227",1960,2,26,-99.9
"12716",1960,2,27,-99.9
"13205",1960,2,28,-99.9
"13694",1960,2,29,235
"3",1961,1,1,-99.9
"492",1961,1,2,228
"981",1961,1,3,233
"1470",1961,1,4,233
"1959",1961,1,5,239
"2448",1961,1,6,233
"2937",1961,1,7,244
"3426",1961,1,8,239
"3915",1961,1,9,233
"4404",1961,1,10,239
"4893",1961,1,11,239
"5382",1961,1,12,239
"5871",1961,1,13,239
"6360",1961,1,14,244
"6849",1961,1,15,228
"7338",1961,1,16,228
"7827",1961,1,17,250
"8316",1961,1,18,239
"8805",1961,1,19,244
"9294",1961,1,20,233
"9783",1961,1,21,250
"10272",1961,1,22,233
"10761",1961,1,23,256
"11250",1961,1,24,239
"11739",1961,1,25,233
"12228",1961,1,26,233
"12717",1961,1,27,250
"13206",1961,1,28,244
"13695",1961,1,29,233
"14151",1961,1,30,250
"14594",1961,1,31,239
"4",1961,2,1,-99.9
"493",1961,2,2,-99.9
"982",1961,2,3,228
"1471",1961,2,4,228
"1960",1961,2,5,228
"2449",1961,2,6,233
"2938",1961,2,7,-99.9
"3427",1961,2,8,217
"3916",1961,2,9,228
"4405",1961,2,10,233
"4894",1961,2,11,228
"5383",1961,2,12,228
"5872",1961,2,13,233
"6361",1961,2,14,228
"6850",1961,2,15,233
"7339",1961,2,16,233
"7828",1961,2,17,239
"8317",1961,2,18,233
"8806",1961,2,19,239
"9295",1961,2,20,228
"9784",1961,2,21,233
"10273",1961,2,22,233
"10762",1961,2,23,228
"11251",1961,2,24,239
"11740",1961,2,25,239
"12229",1961,2,26,233
"12718",1961,2,27,228
"13207",1961,2,28,222
"5",1961,3,1,222
"494",1961,3,2,222
"983",1961,3,3,217
"1472",1961,3,4,217
"1961",1961,3,5,222
"2450",1961,3,6,222
"2939",1961,3,7,228
"3428",1961,3,8,233
"3917",1961,3,9,233
"4406",1961,3,10,228
"4895",1961,3,11,233
"5384",1961,3,12,228
"5873",1961,3,13,228
"6362",1961,3,14,239
"6851",1961,3,15,233
"7340",1961,3,16,222
"7829",1961,3,17,233
"8318",1961,3,18,244
"8807",1961,3,19,244
"9296",1961,3,20,233
"9785",1961,3,21,244
"10274",1961,3,22,228
"10763",1961,3,23,217
"11252",1961,3,24,217
