"","Year","Month","Day","value"
"1",2013,8,1,267
"30",2013,8,2,261
"59",2013,8,3,256
"88",2013,8,4,250
"117",2013,8,5,261
"146",2013,8,6,244
"175",2013,8,7,261
"204",2013,8,8,250
"233",2013,8,9,256
"262",2013,8,10,256
"291",2013,8,11,261
"320",2013,8,12,261
"349",2013,8,13,256
"378",2013,8,14,261
"407",2013,8,15,261
"436",2013,8,16,261
"465",2013,8,17,250
"494",2013,8,18,256
"523",2013,8,19,256
"552",2013,8,20,256
"581",2013,8,21,250
"610",2013,8,22,250
"639",2013,8,23,250
"668",2013,8,24,244
"697",2013,8,25,244
"726",2013,8,26,250
"755",2013,8,27,261
"784",2013,8,28,256
"813",2013,8,29,261
"840",2013,8,30,261
"866",2013,8,31,261
"2",2013,9,1,261
"31",2013,9,2,261
"60",2013,9,3,261
"89",2013,9,4,256
"118",2013,9,5,261
"147",2013,9,6,250
"176",2013,9,7,250
"205",2013,9,8,256
"234",2013,9,9,250
"263",2013,9,10,261
"292",2013,9,11,261
"321",2013,9,12,256
"350",2013,9,13,256
"379",2013,9,14,261
"408",2013,9,15,261
"437",2013,9,16,256
"466",2013,9,17,261
"495",2013,9,18,261
"524",2013,9,19,250
"553",2013,9,20,250
"582",2013,9,21,244
"611",2013,9,22,244
"640",2013,9,23,250
"669",2013,9,24,250
"698",2013,9,25,256
"727",2013,9,26,261
"756",2013,9,27,261
"785",2013,9,28,261
"814",2013,9,29,250
"841",2013,9,30,261
"3",2013,11,1,261
"32",2013,11,2,261
"61",2013,11,3,261
"90",2013,11,4,267
"119",2013,11,5,261
"148",2013,11,6,256
"177",2013,11,7,256
"206",2013,11,8,261
"235",2013,11,9,261
"264",2013,11,10,256
"293",2013,11,11,261
"322",2013,11,12,256
"351",2013,11,13,261
"380",2013,11,14,261
"409",2013,11,15,261
"438",2013,11,16,267
"467",2013,11,17,261
"496",2013,11,18,261
"525",2013,11,19,261
"554",2013,11,20,256
"583",2013,11,21,256
"612",2013,11,22,261
"641",2013,11,23,261
"670",2013,11,24,261
"699",2013,11,25,256
"728",2013,11,26,261
"757",2013,11,27,261
"786",2013,11,28,256
"815",2013,11,29,256
"842",2013,11,30,261
"4",2013,12,1,267
"33",2013,12,2,261
"62",2013,12,3,261
"91",2013,12,4,267
"120",2013,12,5,261
"149",2013,12,6,261
"178",2013,12,7,261
"207",2013,12,8,256
"236",2013,12,9,261
"265",2013,12,10,261
"294",2013,12,11,267
"323",2013,12,12,267
"352",2013,12,13,261
"381",2013,12,14,267
"410",2013,12,15,261
"439",2013,12,16,261
"468",2013,12,17,261
"497",2013,12,18,261
"526",2013,12,19,267
"555",2013,12,20,261
"584",2013,12,21,261
"613",2013,12,22,256
"642",2013,12,23,256
"671",2013,12,24,244
"700",2013,12,25,256
"729",2013,12,26,256
"758",2013,12,27,261
"787",2013,12,28,256
"816",2013,12,29,267
"843",2013,12,30,261
"867",2013,12,31,261
"5",2014,1,1,261
"34",2014,1,2,261
"63",2014,1,3,261
"92",2014,1,4,250
"121",2014,1,5,256
"150",2014,1,6,250
"179",2014,1,7,261
"208",2014,1,8,261
"237",2014,1,9,256
"266",2014,1,10,250
"295",2014,1,11,256
"324",2014,1,12,250
"353",2014,1,13,250
"382",2014,1,14,261
"411",2014,1,15,261
"440",2014,1,16,256
"469",2014,1,17,256
"498",2014,1,18,256
"527",2014,1,19,261
"556",2014,1,20,256
"585",2014,1,21,244
"614",2014,1,22,250
"643",2014,1,23,250
"672",2014,1,24,250
"701",2014,1,25,244
"730",2014,1,26,244
"759",2014,1,27,256
"788",2014,1,28,256
"817",2014,1,29,250
