"","Year","Month","Day","value"
"1",1951,7,1,244
"793",1951,7,2,244
"1585",1951,7,3,233
"2377",1951,7,4,222
"3169",1951,7,5,239
"3961",1951,7,6,233
"4753",1951,7,7,228
"5545",1951,7,8,239
"6337",1951,7,9,239
"7129",1951,7,10,233
"7921",1951,7,11,228
"8713",1951,7,12,239
"9505",1951,7,13,244
"10297",1951,7,14,250
"11089",1951,7,15,256
"11881",1951,7,16,239
"12673",1951,7,17,244
"13465",1951,7,18,244
"14257",1951,7,19,250
"15049",1951,7,20,250
"15841",1951,7,21,239
"16633",1951,7,22,244
"17425",1951,7,23,250
"18217",1951,7,24,250
"19009",1951,7,25,244
"19801",1951,7,26,250
"20593",1951,7,27,250
"21385",1951,7,28,256
"22177",1951,7,29,256
"22920",1951,7,30,250
"23646",1951,7,31,250
"2",1951,8,1,250
"794",1951,8,2,244
"1586",1951,8,3,239
"2378",1951,8,4,250
"3170",1951,8,5,228
"3962",1951,8,6,233
"4754",1951,8,7,239
"5546",1951,8,8,233
"6338",1951,8,9,239
"7130",1951,8,10,244
"7922",1951,8,11,250
"8714",1951,8,12,233
"9506",1951,8,13,228
"10298",1951,8,14,233
"11090",1951,8,15,250
"11882",1951,8,16,244
"12674",1951,8,17,244
"13466",1951,8,18,233
"14258",1951,8,19,244
"15050",1951,8,20,239
"15842",1951,8,21,233
"16634",1951,8,22,233
"17426",1951,8,23,239
"18218",1951,8,24,233
"19010",1951,8,25,239
"19802",1951,8,26,244
"20594",1951,8,27,228
"21386",1951,8,28,233
"22178",1951,8,29,228
"22921",1951,8,30,233
"23647",1951,8,31,239
"3",1951,9,1,256
"795",1951,9,2,233
"1587",1951,9,3,228
"2379",1951,9,4,244
"3171",1951,9,5,256
"3963",1951,9,6,239
"4755",1951,9,7,244
"5547",1951,9,8,244
"6339",1951,9,9,239
"7131",1951,9,10,239
"7923",1951,9,11,244
"8715",1951,9,12,228
"9507",1951,9,13,239
"10299",1951,9,14,239
"11091",1951,9,15,250
"11883",1951,9,16,233
"12675",1951,9,17,239
"13467",1951,9,18,239
"14259",1951,9,19,239
"15051",1951,9,20,244
"15843",1951,9,21,239
"16635",1951,9,22,244
"17427",1951,9,23,239
"18219",1951,9,24,256
"19011",1951,9,25,233
"19803",1951,9,26,233
"20595",1951,9,27,239
"21387",1951,9,28,261
"22179",1951,9,29,256
"22922",1951,9,30,233
"4",1951,10,1,256
"796",1951,10,2,244
"1588",1951,10,3,239
"2380",1951,10,4,250
"3172",1951,10,5,233
"3964",1951,10,6,239
"4756",1951,10,7,228
"5548",1951,10,8,233
"6340",1951,10,9,239
"7132",1951,10,10,217
"7924",1951,10,11,222
"8716",1951,10,12,233
"9508",1951,10,13,244
"10300",1951,10,14,244
"11092",1951,10,15,228
"11884",1951,10,16,239
"12676",1951,10,17,239
"13468",1951,10,18,228
"14260",1951,10,19,222
"15052",1951,10,20,233
"15844",1951,10,21,239
"16636",1951,10,22,233
"17428",1951,10,23,239
"18220",1951,10,24,222
"19012",1951,10,25,233
"19804",1951,10,26,233
"20596",1951,10,27,233
