"","Year","Month","Day","value"
"1",1949,1,1,222
"224",1949,1,2,222
"447",1949,1,3,206
"670",1949,1,4,189
"893",1949,1,5,200
"1116",1949,1,6,211
"1339",1949,1,7,211
"1562",1949,1,8,222
"1785",1949,1,9,217
"2008",1949,1,10,211
"2231",1949,1,11,211
"2454",1949,1,12,217
"2677",1949,1,13,206
"2900",1949,1,14,217
"3123",1949,1,15,222
"3346",1949,1,16,222
"3569",1949,1,17,211
"3792",1949,1,18,217
"4015",1949,1,19,217
"4238",1949,1,20,217
"4461",1949,1,21,222
"4684",1949,1,22,217
"4907",1949,1,23,217
"5130",1949,1,24,211
"5353",1949,1,25,222
"5576",1949,1,26,194
"5799",1949,1,27,200
"6022",1949,1,28,206
"6245",1949,1,29,194
"6453",1949,1,30,211
"6659",1949,1,31,217
"2",1949,2,1,200
"225",1949,2,2,206
"448",1949,2,3,178
"671",1949,2,4,189
"894",1949,2,5,194
"1117",1949,2,6,211
"1340",1949,2,7,211
"1563",1949,2,8,211
"1786",1949,2,9,211
"2009",1949,2,10,183
"2232",1949,2,11,183
"2455",1949,2,12,217
"2678",1949,2,13,222
"2901",1949,2,14,222
"3124",1949,2,15,222
"3347",1949,2,16,222
"3570",1949,2,17,211
"3793",1949,2,18,206
"4016",1949,2,19,211
"4239",1949,2,20,217
"4462",1949,2,21,222
"4685",1949,2,22,222
"4908",1949,2,23,217
"5131",1949,2,24,222
"5354",1949,2,25,222
"5577",1949,2,26,222
"5800",1949,2,27,222
"6023",1949,2,28,211
"3",1949,3,1,222
"226",1949,3,2,200
"449",1949,3,3,194
"672",1949,3,4,194
"895",1949,3,5,194
"1118",1949,3,6,211
"1341",1949,3,7,200
"1564",1949,3,8,189
"1787",1949,3,9,206
"2010",1949,3,10,200
"2233",1949,3,11,206
"2456",1949,3,12,206
"2679",1949,3,13,200
"2902",1949,3,14,211
"3125",1949,3,15,211
"3348",1949,3,16,200
"3571",1949,3,17,206
"3794",1949,3,18,206
"4017",1949,3,19,217
"4240",1949,3,20,211
"4463",1949,3,21,211
"4686",1949,3,22,217
"4909",1949,3,23,222
"5132",1949,3,24,211
"5355",1949,3,25,211
"5578",1949,3,26,217
"5801",1949,3,27,217
"6024",1949,3,28,222
"6246",1949,3,29,222
"6454",1949,3,30,228
"6660",1949,3,31,228
"4",1949,4,1,222
"227",1949,4,2,228
"450",1949,4,3,206
"673",1949,4,4,222
"896",1949,4,5,228
"1119",1949,4,6,211
"1342",1949,4,7,206
"1565",1949,4,8,211
"1788",1949,4,9,194
"2011",1949,4,10,217
"2234",1949,4,11,211
"2457",1949,4,12,194
"2680",1949,4,13,189
"2903",1949,4,14,189
"3126",1949,4,15,206
"3349",1949,4,16,233
"3572",1949,4,17,222
"3795",1949,4,18,211
"4018",1949,4,19,217
"4241",1949,4,20,217
"4464",1949,4,21,228
"4687",1949,4,22,211
"4910",1949,4,23,228
"5133",1949,4,24,233
"5356",1949,4,25,217
"5579",1949,4,26,222
"5802",1949,4,27,211
"6025",1949,4,28,200
"6247",1949,4,29,194
"6455",1949,4,30,222
"5",1949,5,1,217
"228",1949,5,2,222
"451",1949,5,3,217
"674",1949,5,4,222
"897",1949,5,5,228
"1120",1949,5,6,222
"1343",1949,5,7,222
"1566",1949,5,8,228
"1789",1949,5,9,211
"2012",1949,5,10,222
"2235",1949,5,11,233
"2458",1949,5,12,211
"2681",1949,5,13,-99.9
"2904",1949,5,14,-99.9
"3127",1949,5,15,-99.9
"3350",1949,5,16,-99.9
"3573",1949,5,17,-99.9
"3796",1949,5,18,-99.9
"4019",1949,5,19,-99.9
"4242",1949,5,20,-99.9
"4465",1949,5,21,-99.9
"4688",1949,5,22,-99.9
"4911",1949,5,23,-99.9
"5134",1949,5,24,-99.9
"5357",1949,5,25,-99.9
"5580",1949,5,26,-99.9
"5803",1949,5,27,-99.9
"6026",1949,5,28,-99.9
"6248",1949,5,29,-99.9
"6456",1949,5,30,-99.9
"6661",1949,5,31,-99.9
"6",1979,11,1,-99.9
"229",1979,11,2,220
"452",1979,11,3,220
"675",1979,11,4,220
"898",1979,11,5,-99.9
"1121",1979,11,6,220
"1344",1979,11,7,240
"1567",1979,11,8,230
"1790",1979,11,9,220
"2013",1979,11,10,-99.9
"2236",1979,11,11,-99.9
"2459",1979,11,12,220
"2682",1979,11,13,230
"2905",1979,11,14,230
"3128",1979,11,15,230
"3351",1979,11,16,-99.9
"3574",1979,11,17,220
"3797",1979,11,18,220
"4020",1979,11,19,220
"4243",1979,11,20,-99.9
"4466",1979,11,21,-99.9
"4689",1979,11,22,-99.9
"4912",1979,11,23,220
"5135",1979,11,24,230
"5358",1979,11,25,230
"5581",1979,11,26,220
"5804",1979,11,27,-99.9
"6027",1979,11,28,230
"6249",1979,11,29,230
"6457",1979,11,30,-99.9
"7",1979,12,1,220
"230",1979,12,2,210
"453",1979,12,3,230
"676",1979,12,4,230
"899",1979,12,5,-99.9
"1122",1979,12,6,230
"1345",1979,12,7,220
"1568",1979,12,8,220
"1791",1979,12,9,210
"2014",1979,12,10,210
"2237",1979,12,11,220
"2460",1979,12,12,220
"2683",1979,12,13,220
"2906",1979,12,14,210
"3129",1979,12,15,-99.9
"3352",1979,12,16,230
"3575",1979,12,17,-99.9
"3798",1979,12,18,-99.9
"4021",1979,12,19,-99.9
"4244",1979,12,20,-99.9
"4467",1979,12,21,-99.9
"4690",1979,12,22,220
"4913",1979,12,23,210
"5136",1979,12,24,220
"5359",1979,12,25,230
"5582",1979,12,26,210
"5805",1979,12,27,210
"6028",1979,12,28,220
"6250",1979,12,29,210
"6458",1979,12,30,-99.9
"6662",1979,12,31,-99.9
"8",1980,1,1,-99.9
"231",1980,1,2,210
"454",1980,1,3,-99.9
"677",1980,1,4,-99.9
"900",1980,1,5,210
"1123",1980,1,6,-99.9
"1346",1980,1,7,-99.9
"1569",1980,1,8,-99.9
"1792",1980,1,9,-99.9
"2015",1980,1,10,-99.9
"2238",1980,1,11,-99.9
"2461",1980,1,12,-99.9
"2684",1980,1,13,-99.9
"2907",1980,1,14,-99.9
"3130",1980,1,15,190
"3353",1980,1,16,200
"3576",1980,1,17,-99.9
"3799",1980,1,18,-99.9
"4022",1980,1,19,200
"4245",1980,1,20,-99.9
"4468",1980,1,21,-99.9
"4691",1980,1,22,-99.9
"4914",1980,1,23,-99.9
"5137",1980,1,24,-99.9
"5360",1980,1,25,-99.9
"5583",1980,1,26,-99.9
"5806",1980,1,27,-99.9
"6029",1980,1,28,-99.9
"6251",1980,1,29,-99.9
"6459",1980,1,30,-99.9
"6663",1980,1,31,-99.9
"9",1980,3,1,-99.9
"232",1980,3,2,-99.9
"455",1980,3,3,-99.9
"678",1980,3,4,-99.9
"901",1980,3,5,-99.9
"1124",1980,3,6,-99.9
"1347",1980,3,7,-99.9
"1570",1980,3,8,-99.9
"1793",1980,3,9,-99.9
"2016",1980,3,10,-99.9
"2239",1980,3,11,-99.9
"2462",1980,3,12,-99.9
"2685",1980,3,13,-99.9
"2908",1980,3,14,-99.9
"3131",1980,3,15,-99.9
"3354",1980,3,16,-99.9
"3577",1980,3,17,-99.9
"3800",1980,3,18,-99.9
"4023",1980,3,19,-99.9
"4246",1980,3,20,-99.9
"4469",1980,3,21,-99.9
"4692",1980,3,22,-99.9
"4915",1980,3,23,-99.9
"5138",1980,3,24,220
"5361",1980,3,25,220
"5584",1980,3,26,230
"5807",1980,3,27,-99.9
"6030",1980,3,28,-99.9
"6252",1980,3,29,-99.9
"6460",1980,3,30,-99.9
"6664",1980,3,31,-99.9
"10",1980,4,1,210
"233",1980,4,2,-99.9
"456",1980,4,3,-99.9
"679",1980,4,4,-99.9
"902",1980,4,5,-99.9
"1125",1980,4,6,-99.9
"1348",1980,4,7,-99.9
"1571",1980,4,8,-99.9
"1794",1980,4,9,-99.9
"2017",1980,4,10,-99.9
"2240",1980,4,11,-99.9
"2463",1980,4,12,-99.9
"2686",1980,4,13,-99.9
"2909",1980,4,14,-99.9
"3132",1980,4,15,-99.9
"3355",1980,4,16,-99.9
"3578",1980,4,17,-99.9
"3801",1980,4,18,-99.9
"4024",1980,4,19,-99.9
"4247",1980,4,20,-99.9
"4470",1980,4,21,-99.9
"4693",1980,4,22,-99.9
"4916",1980,4,23,-99.9
"5139",1980,4,24,-99.9
"5362",1980,4,25,-99.9
"5585",1980,4,26,-99.9
"5808",1980,4,27,-99.9
"6031",1980,4,28,-99.9
"6253",1980,4,29,-99.9
"6461",1980,4,30,220
"11",1980,5,1,230
"234",1980,5,2,230
"457",1980,5,3,-99.9
"680",1980,5,4,-99.9
"903",1980,5,5,-99.9
"1126",1980,5,6,-99.9
"1349",1980,5,7,-99.9
"1572",1980,5,8,-99.9
"1795",1980,5,9,-99.9
"2018",1980,5,10,230
"2241",1980,5,11,230
"2464",1980,5,12,-99.9
"2687",1980,5,13,-99.9
"2910",1980,5,14,-99.9
"3133",1980,5,15,-99.9
"3356",1980,5,16,-99.9
"3579",1980,5,17,230
"3802",1980,5,18,220
"4025",1980,5,19,-99.9
"4248",1980,5,20,230
"4471",1980,5,21,230
"4694",1980,5,22,240
"4917",1980,5,23,230
"5140",1980,5,24,-99.9
"5363",1980,5,25,-99.9
"5586",1980,5,26,230
"5809",1980,5,27,220
"6032",1980,5,28,220
"6254",1980,5,29,220
