"","Year","Month","Day","value"
"1",1960,2,1,-99.9
"437",1960,2,2,-99.9
"873",1960,2,3,-99.9
"1309",1960,2,4,-99.9
"1745",1960,2,5,-99.9
"2181",1960,2,6,-99.9
"2617",1960,2,7,-99.9
"3053",1960,2,8,-99.9
"3489",1960,2,9,-99.9
"3925",1960,2,10,-99.9
"4361",1960,2,11,-99.9
"4797",1960,2,12,-99.9
"5233",1960,2,13,-99.9
"5669",1960,2,14,-99.9
"6105",1960,2,15,-99.9
"6541",1960,2,16,-99.9
"6977",1960,2,17,-99.9
"7413",1960,2,18,-99.9
"7849",1960,2,19,-99.9
"8285",1960,2,20,-99.9
"8721",1960,2,21,-99.9
"9157",1960,2,22,-99.9
"9593",1960,2,23,-99.9
"10029",1960,2,24,-99.9
"10465",1960,2,25,-99.9
"10901",1960,2,26,-99.9
"11337",1960,2,27,-99.9
"11773",1960,2,28,-99.9
"12209",1960,2,29,239
"2",1964,2,1,-99.9
"438",1964,2,2,-99.9
"874",1964,2,3,-99.9
"1310",1964,2,4,-99.9
"1746",1964,2,5,-99.9
"2182",1964,2,6,-99.9
"2618",1964,2,7,-99.9
"3054",1964,2,8,-99.9
"3490",1964,2,9,-99.9
"3926",1964,2,10,-99.9
"4362",1964,2,11,-99.9
"4798",1964,2,12,-99.9
"5234",1964,2,13,-99.9
"5670",1964,2,14,-99.9
"6106",1964,2,15,-99.9
"6542",1964,2,16,-99.9
"6978",1964,2,17,-99.9
"7414",1964,2,18,-99.9
"7850",1964,2,19,-99.9
"8286",1964,2,20,-99.9
"8722",1964,2,21,-99.9
"9158",1964,2,22,-99.9
"9594",1964,2,23,-99.9
"10030",1964,2,24,-99.9
"10466",1964,2,25,-99.9
"10902",1964,2,26,-99.9
"11338",1964,2,27,-99.9
"11774",1964,2,28,-99.9
"12210",1964,2,29,250
"3",1976,2,1,-99.9
"439",1976,2,2,-99.9
"875",1976,2,3,-99.9
"1311",1976,2,4,-99.9
"1747",1976,2,5,-99.9
"2183",1976,2,6,-99.9
"2619",1976,2,7,-99.9
"3055",1976,2,8,-99.9
"3491",1976,2,9,-99.9
"3927",1976,2,10,-99.9
"4363",1976,2,11,-99.9
"4799",1976,2,12,-99.9
"5235",1976,2,13,-99.9
"5671",1976,2,14,-99.9
"6107",1976,2,15,-99.9
"6543",1976,2,16,-99.9
"6979",1976,2,17,-99.9
"7415",1976,2,18,-99.9
"7851",1976,2,19,-99.9
"8287",1976,2,20,-99.9
"8723",1976,2,21,-99.9
"9159",1976,2,22,-99.9
"9595",1976,2,23,-99.9
"10031",1976,2,24,-99.9
"10467",1976,2,25,-99.9
"10903",1976,2,26,-99.9
"11339",1976,2,27,-99.9
"11775",1976,2,28,-99.9
"12211",1976,2,29,250
"4",1979,1,1,-99.9
"440",1979,1,2,220
"876",1979,1,3,230
"1312",1979,1,4,240
"1748",1979,1,5,-99.9
"2184",1979,1,6,240
"2620",1979,1,7,230
"3056",1979,1,8,240
"3492",1979,1,9,200
"3928",1979,1,10,-99.9
"4364",1979,1,11,-99.9
"4800",1979,1,12,230
"5236",1979,1,13,230
"5672",1979,1,14,230
"6108",1979,1,15,-99.9
"6544",1979,1,16,240
"6980",1979,1,17,230
"7416",1979,1,18,220
"7852",1979,1,19,240
"8288",1979,1,20,220
"8724",1979,1,21,-99.9
"9160",1979,1,22,220
"9596",1979,1,23,230
"10032",1979,1,24,-99.9
"10468",1979,1,25,230
"10904",1979,1,26,230
"11340",1979,1,27,230
"11776",1979,1,28,230
"12212",1979,1,29,230
"12618",1979,1,30,240
"13014",1979,1,31,240
"5",1979,2,1,220
"441",1979,2,2,240
"877",1979,2,3,230
"1313",1979,2,4,240
"1749",1979,2,5,230
"2185",1979,2,6,250
"2621",1979,2,7,230
"3057",1979,2,8,230
"3493",1979,2,9,230
"3929",1979,2,10,230
"4365",1979,2,11,230
"4801",1979,2,12,220
"5237",1979,2,13,230
"5673",1979,2,14,230
"6109",1979,2,15,-99.9
"6545",1979,2,16,240
"6981",1979,2,17,230
"7417",1979,2,18,230
"7853",1979,2,19,-99.9
"8289",1979,2,20,230
"8725",1979,2,21,230
"9161",1979,2,22,230
"9597",1979,2,23,230
"10033",1979,2,24,230
"10469",1979,2,25,230
"10905",1979,2,26,230
"11341",1979,2,27,230
"11777",1979,2,28,230
"6",1979,3,1,240
"442",1979,3,2,230
"878",1979,3,3,230
"1314",1979,3,4,230
"1750",1979,3,5,230
"2186",1979,3,6,230
"2622",1979,3,7,-99.9
"3058",1979,3,8,230
"3494",1979,3,9,230
"3930",1979,3,10,230
"4366",1979,3,11,230
"4802",1979,3,12,230
"5238",1979,3,13,230
"5674",1979,3,14,230
"6110",1979,3,15,230
"6546",1979,3,16,220
"6982",1979,3,17,230
"7418",1979,3,18,230
"7854",1979,3,19,230
"8290",1979,3,20,230
"8726",1979,3,21,230
"9162",1979,3,22,230
"9598",1979,3,23,240
"10034",1979,3,24,140
"10470",1979,3,25,250
"10906",1979,3,26,240
"11342",1979,3,27,230
"11778",1979,3,28,230
"12213",1979,3,29,230
"12619",1979,3,30,-99.9
