"","Year","Month","Day","value"
"1",1973,1,1,-99.9
"68",1973,1,2,-99.9
"135",1973,1,3,-99.9
"202",1973,1,4,-99.9
"269",1973,1,5,-99.9
"336",1973,1,6,120
"403",1973,1,7,-99.9
"470",1973,1,8,-99.9
"537",1973,1,9,-99.9
"604",1973,1,10,-99.9
"671",1973,1,11,-99.9
"738",1973,1,12,-99.9
"805",1973,1,13,-99.9
"872",1973,1,14,-99.9
"939",1973,1,15,90
"1006",1973,1,16,-99.9
"1073",1973,1,17,-99.9
"1140",1973,1,18,-99.9
"1207",1973,1,19,-99.9
"1274",1973,1,20,-99.9
"1341",1973,1,21,-99.9
"1408",1973,1,22,-99.9
"1475",1973,1,23,-99.9
"1542",1973,1,24,60
"1609",1973,1,25,-99.9
"1676",1973,1,26,-99.9
"1743",1973,1,27,-99.9
"1810",1973,1,28,-99.9
"1877",1973,1,29,-99.9
"1936",1973,1,30,40
"1993",1973,1,31,-99.9
"2",1973,2,1,-99.9
"69",1973,2,2,-99.9
"136",1973,2,3,-99.9
"203",1973,2,4,-99.9
"270",1973,2,5,150
"337",1973,2,6,110
"404",1973,2,7,50
"471",1973,2,8,-99.9
"538",1973,2,9,-99.9
"605",1973,2,10,-99.9
"672",1973,2,11,-99.9
"739",1973,2,12,110
"806",1973,2,13,110
"873",1973,2,14,120
"940",1973,2,15,-99.9
"1007",1973,2,16,-99.9
"1074",1973,2,17,-99.9
"1141",1973,2,18,140
"1208",1973,2,19,-99.9
"1275",1973,2,20,-99.9
"1342",1973,2,21,-99.9
"1409",1973,2,22,-99.9
"1476",1973,2,23,-99.9
"1543",1973,2,24,-99.9
"1610",1973,2,25,-99.9
"1677",1973,2,26,180
"1744",1973,2,27,-99.9
"1811",1973,2,28,-99.9
"3",1973,3,1,-99.9
"70",1973,3,2,-99.9
"137",1973,3,3,-99.9
"204",1973,3,4,-99.9
"271",1973,3,5,-99.9
"338",1973,3,6,-99.9
"405",1973,3,7,-99.9
"472",1973,3,8,-99.9
"539",1973,3,9,-99.9
"606",1973,3,10,170
"673",1973,3,11,180
"740",1973,3,12,-99.9
"807",1973,3,13,-99.9
"874",1973,3,14,-99.9
"941",1973,3,15,-99.9
"1008",1973,3,16,-99.9
"1075",1973,3,17,-99.9
"1142",1973,3,18,-99.9
"1209",1973,3,19,-99.9
"1276",1973,3,20,-99.9
"1343",1973,3,21,-99.9
"1410",1973,3,22,-99.9
"1477",1973,3,23,150
"1544",1973,3,24,140
"1611",1973,3,25,-99.9
"1678",1973,3,26,-99.9
"1745",1973,3,27,180
"1812",1973,3,28,-99.9
"1878",1973,3,29,-99.9
"1937",1973,3,30,-99.9
"1994",1973,3,31,-99.9
"4",1973,4,1,-99.9
"71",1973,4,2,-99.9
"138",1973,4,3,190
"205",1973,4,4,-99.9
"272",1973,4,5,-99.9
"339",1973,4,6,-99.9
"406",1973,4,7,-99.9
"473",1973,4,8,-99.9
"540",1973,4,9,-99.9
"607",1973,4,10,-99.9
"674",1973,4,11,-99.9
"741",1973,4,12,-99.9
"808",1973,4,13,-99.9
"875",1973,4,14,-99.9
"942",1973,4,15,-99.9
"1009",1973,4,16,-99.9
"1076",1973,4,17,-99.9
"1143",1973,4,18,-99.9
"1210",1973,4,19,-99.9
"1277",1973,4,20,-99.9
"1344",1973,4,21,220
"1411",1973,4,22,-99.9
"1478",1973,4,23,-99.9
"1545",1973,4,24,-99.9
"1612",1973,4,25,-99.9
"1679",1973,4,26,-99.9
"1746",1973,4,27,-99.9
"1813",1973,4,28,-99.9
"1879",1973,4,29,-99.9
"1938",1973,4,30,-99.9
"5",1973,5,1,-99.9
"72",1973,5,2,-99.9
"139",1973,5,3,-99.9
"206",1973,5,4,-99.9
"273",1973,5,5,-99.9
"340",1973,5,6,-99.9
"407",1973,5,7,-99.9
"474",1973,5,8,-99.9
"541",1973,5,9,-99.9
"608",1973,5,10,-99.9
"675",1973,5,11,-99.9
"742",1973,5,12,-99.9
"809",1973,5,13,-99.9
"876",1973,5,14,-99.9
"943",1973,5,15,-99.9
"1010",1973,5,16,-99.9
"1077",1973,5,17,-99.9
"1144",1973,5,18,-99.9
"1211",1973,5,19,-99.9
"1278",1973,5,20,-99.9
"1345",1973,5,21,-99.9
"1412",1973,5,22,-99.9
"1479",1973,5,23,-99.9
"1546",1973,5,24,-99.9
"1613",1973,5,25,-99.9
"1680",1973,5,26,290
"1747",1973,5,27,-99.9
"1814",1973,5,28,-99.9
"1880",1973,5,29,-99.9
"1939",1973,5,30,-99.9
"1995",1973,5,31,-99.9
"6",1973,7,1,-99.9
"73",1973,7,2,-99.9
"140",1973,7,3,-99.9
"207",1973,7,4,-99.9
"274",1973,7,5,-99.9
"341",1973,7,6,-99.9
"408",1973,7,7,-99.9
"475",1973,7,8,-99.9
"542",1973,7,9,-99.9
"609",1973,7,10,-99.9
"676",1973,7,11,-99.9
"743",1973,7,12,-99.9
"810",1973,7,13,-99.9
"877",1973,7,14,-99.9
"944",1973,7,15,-99.9
"1011",1973,7,16,-99.9
"1078",1973,7,17,-99.9
"1145",1973,7,18,280
"1212",1973,7,19,-99.9
"1279",1973,7,20,-99.9
"1346",1973,7,21,-99.9
"1413",1973,7,22,-99.9
"1480",1973,7,23,-99.9
"1547",1973,7,24,-99.9
"1614",1973,7,25,-99.9
"1681",1973,7,26,-99.9
"1748",1973,7,27,-99.9
"1815",1973,7,28,-99.9
"1881",1973,7,29,-99.9
"1940",1973,7,30,-99.9
"1996",1973,7,31,-99.9
"7",1973,9,1,-99.9
"74",1973,9,2,-99.9
"141",1973,9,3,-99.9
"208",1973,9,4,-99.9
"275",1973,9,5,-99.9
"342",1973,9,6,-99.9
"409",1973,9,7,-99.9
"476",1973,9,8,-99.9
"543",1973,9,9,-99.9
"610",1973,9,10,-99.9
"677",1973,9,11,-99.9
"744",1973,9,12,-99.9
"811",1973,9,13,-99.9
"878",1973,9,14,-99.9
"945",1973,9,15,-99.9
"1012",1973,9,16,-99.9
"1079",1973,9,17,-99.9
"1146",1973,9,18,-99.9
"1213",1973,9,19,-99.9
"1280",1973,9,20,-99.9
"1347",1973,9,21,-99.9
"1414",1973,9,22,-99.9
"1481",1973,9,23,250
"1548",1973,9,24,-99.9
"1615",1973,9,25,-99.9
"1682",1973,9,26,-99.9
"1749",1973,9,27,240
"1816",1973,9,28,-99.9
"1882",1973,9,29,-99.9
"1941",1973,9,30,-99.9
"8",1973,10,1,-99.9
"75",1973,10,2,240
"142",1973,10,3,-99.9
"209",1973,10,4,-99.9
"276",1973,10,5,-99.9
"343",1973,10,6,-99.9
"410",1973,10,7,-99.9
"477",1973,10,8,-99.9
"544",1973,10,9,-99.9
"611",1973,10,10,-99.9
"678",1973,10,11,-99.9
"745",1973,10,12,-99.9
"812",1973,10,13,-99.9
"879",1973,10,14,-99.9
"946",1973,10,15,-99.9
"1013",1973,10,16,-99.9
"1080",1973,10,17,-99.9
"1147",1973,10,18,-99.9
"1214",1973,10,19,-99.9
"1281",1973,10,20,-99.9
"1348",1973,10,21,-99.9
"1415",1973,10,22,-99.9
"1482",1973,10,23,-99.9
"1549",1973,10,24,-99.9
"1616",1973,10,25,-99.9
"1683",1973,10,26,-99.9
"1750",1973,10,27,-99.9
"1817",1973,10,28,-99.9
"1883",1973,10,29,-99.9
"1942",1973,10,30,-99.9
"1997",1973,10,31,-99.9
"9",1973,11,1,-99.9
"76",1973,11,2,-99.9
"143",1973,11,3,-99.9
"210",1973,11,4,-99.9
"277",1973,11,5,-99.9
"344",1973,11,6,-99.9
"411",1973,11,7,-99.9
"478",1973,11,8,-99.9
"545",1973,11,9,-99.9
"612",1973,11,10,-99.9
"679",1973,11,11,-99.9
"746",1973,11,12,170
"813",1973,11,13,-99.9
"880",1973,11,14,-99.9
"947",1973,11,15,-99.9
"1014",1973,11,16,-99.9
"1081",1973,11,17,-99.9
"1148",1973,11,18,-99.9
"1215",1973,11,19,-99.9
"1282",1973,11,20,-99.9
"1349",1973,11,21,-99.9
"1416",1973,11,22,-99.9
"1483",1973,11,23,-99.9
"1550",1973,11,24,-99.9
"1617",1973,11,25,-99.9
"1684",1973,11,26,-99.9
"1751",1973,11,27,-99.9
"1818",1973,11,28,-99.9
"1884",1973,11,29,-99.9
"1943",1973,11,30,-99.9
"10",1973,12,1,-99.9
"77",1973,12,2,-99.9
"144",1973,12,3,-99.9
"211",1973,12,4,-99.9
"278",1973,12,5,-99.9
"345",1973,12,6,-99.9
"412",1973,12,7,-99.9
"479",1973,12,8,-99.9
"546",1973,12,9,-99.9
"613",1973,12,10,-99.9
"680",1973,12,11,-99.9
"747",1973,12,12,-99.9
"814",1973,12,13,-99.9
"881",1973,12,14,-99.9
"948",1973,12,15,-99.9
"1015",1973,12,16,-99.9
"1082",1973,12,17,-99.9
"1149",1973,12,18,-99.9
"1216",1973,12,19,-99.9
"1283",1973,12,20,-99.9
"1350",1973,12,21,-99.9
"1417",1973,12,22,-99.9
"1484",1973,12,23,90
"1551",1973,12,24,-99.9
"1618",1973,12,25,-99.9
"1685",1973,12,26,-99.9
"1752",1973,12,27,-99.9
"1819",1973,12,28,-99.9
"1885",1973,12,29,-99.9
"1944",1973,12,30,-99.9
"1998",1973,12,31,-99.9
"11",1974,1,1,-99.9
"78",1974,1,2,-99.9
"145",1974,1,3,-99.9
"212",1974,1,4,70
"279",1974,1,5,-99.9
"346",1974,1,6,-99.9
"413",1974,1,7,-99.9
"480",1974,1,8,-99.9
"547",1974,1,9,-99.9
"614",1974,1,10,-99.9
"681",1974,1,11,-99.9
"748",1974,1,12,-99.9
"815",1974,1,13,-99.9
"882",1974,1,14,-99.9
"949",1974,1,15,-99.9
"1016",1974,1,16,-99.9
"1083",1974,1,17,-99.9
"1150",1974,1,18,-99.9
"1217",1974,1,19,-99.9
"1284",1974,1,20,-99.9
"1351",1974,1,21,-99.9
"1418",1974,1,22,100
"1485",1974,1,23,-99.9
"1552",1974,1,24,-99.9
"1619",1974,1,25,-99.9
"1686",1974,1,26,70
"1753",1974,1,27,-99.9
"1820",1974,1,28,-99.9
"1886",1974,1,29,-99.9
"1945",1974,1,30,-99.9
"1999",1974,1,31,-99.9
"12",1974,2,1,-99.9
"79",1974,2,2,-99.9
"146",1974,2,3,-99.9
"213",1974,2,4,-99.9
"280",1974,2,5,-99.9
"347",1974,2,6,-99.9
"414",1974,2,7,-99.9
"481",1974,2,8,-99.9
"548",1974,2,9,-99.9
"615",1974,2,10,-99.9
"682",1974,2,11,-99.9
"749",1974,2,12,-99.9
"816",1974,2,13,-99.9
"883",1974,2,14,-99.9
"950",1974,2,15,-99.9
"1017",1974,2,16,90
"1084",1974,2,17,-99.9
"1151",1974,2,18,-99.9
"1218",1974,2,19,-99.9
