"","Year","Month","Day","value"
"1",1951,1,1,0
"797",1951,1,2,-20
"1593",1951,1,3,0
"2389",1951,1,4,-10
"3185",1951,1,5,40
"3981",1951,1,6,-30
"4777",1951,1,7,10
"5573",1951,1,8,10
"6369",1951,1,9,10
"7165",1951,1,10,-20
"7961",1951,1,11,-20
"8757",1951,1,12,-70
"9553",1951,1,13,-40
"10349",1951,1,14,-30
"11145",1951,1,15,-70
"11941",1951,1,16,-40
"12737",1951,1,17,60
"13533",1951,1,18,20
"14329",1951,1,19,-40
"15125",1951,1,20,20
"15921",1951,1,21,-30
"16717",1951,1,22,0
"17513",1951,1,23,30
"18309",1951,1,24,70
"19105",1951,1,25,10
"19901",1951,1,26,-10
"20697",1951,1,27,-40
"21493",1951,1,28,-80
"22289",1951,1,29,-30
"23035",1951,1,30,-60
"23765",1951,1,31,-30
"2",1951,2,1,-90
"798",1951,2,2,-60
"1594",1951,2,3,40
"2390",1951,2,4,20
"3186",1951,2,5,30
"3982",1951,2,6,60
"4778",1951,2,7,0
"5574",1951,2,8,-60
"6370",1951,2,9,-140
"7166",1951,2,10,-110
"7962",1951,2,11,-40
"8758",1951,2,12,30
"9554",1951,2,13,10
"10350",1951,2,14,10
"11146",1951,2,15,20
"11942",1951,2,16,80
"12738",1951,2,17,60
"13534",1951,2,18,20
"14330",1951,2,19,-20
"15126",1951,2,20,80
"15922",1951,2,21,-20
"16718",1951,2,22,-10
"17514",1951,2,23,10
"18310",1951,2,24,-10
"19106",1951,2,25,0
"19902",1951,2,26,0
"20698",1951,2,27,30
"21494",1951,2,28,10
"3",1951,3,1,20
"799",1951,3,2,90
"1595",1951,3,3,70
"2391",1951,3,4,40
"3187",1951,3,5,30
"3983",1951,3,6,50
"4779",1951,3,7,30
"5575",1951,3,8,50
"6371",1951,3,9,20
"7167",1951,3,10,0
"7963",1951,3,11,30
"8759",1951,3,12,40
"9555",1951,3,13,70
"10351",1951,3,14,90
"11147",1951,3,15,40
"11943",1951,3,16,10
"12739",1951,3,17,60
"13535",1951,3,18,40
"14331",1951,3,19,60
"15127",1951,3,20,60
"15923",1951,3,21,80
"16719",1951,3,22,40
"17515",1951,3,23,40
"18311",1951,3,24,40
"19107",1951,3,25,20
"19903",1951,3,26,60
"20699",1951,3,27,80
"21495",1951,3,28,40
"22290",1951,3,29,50
"23036",1951,3,30,80
"23766",1951,3,31,60
"4",1951,4,1,70
"800",1951,4,2,20
"1596",1951,4,3,30
"2392",1951,4,4,40
"3188",1951,4,5,10
"3984",1951,4,6,20
"4780",1951,4,7,0
"5576",1951,4,8,50
"6372",1951,4,9,80
"7168",1951,4,10,90
"7964",1951,4,11,100
"8760",1951,4,12,120
"9556",1951,4,13,80
"10352",1951,4,14,90
"11148",1951,4,15,70
"11944",1951,4,16,70
"12740",1951,4,17,70
"13536",1951,4,18,70
"14332",1951,4,19,70
"15128",1951,4,20,110
"15924",1951,4,21,100
"16720",1951,4,22,120
"17516",1951,4,23,90
"18312",1951,4,24,60
"19108",1951,4,25,110
"19904",1951,4,26,120
"20700",1951,4,27,130
"21496",1951,4,28,90
"22291",1951,4,29,110
"23037",1951,4,30,110
"5",1951,5,1,110
"801",1951,5,2,140
"1597",1951,5,3,130
"2393",1951,5,4,120
"3189",1951,5,5,100
"3985",1951,5,6,100
"4781",1951,5,7,80
"5577",1951,5,8,90
"6373",1951,5,9,90
"7169",1951,5,10,130
"7965",1951,5,11,110
"8761",1951,5,12,90
"9557",1951,5,13,90
"10353",1951,5,14,80
"11149",1951,5,15,110
"11945",1951,5,16,140
"12741",1951,5,17,160
"13537",1951,5,18,160
"14333",1951,5,19,140
"15129",1951,5,20,140
"15925",1951,5,21,140
"16721",1951,5,22,160
"17517",1951,5,23,170
"18313",1951,5,24,160
"19109",1951,5,25,160
"19905",1951,5,26,180
"20701",1951,5,27,170
"21497",1951,5,28,170
"22292",1951,5,29,180
"23038",1951,5,30,160
"23767",1951,5,31,150
"6",1951,6,1,140
"802",1951,6,2,140
"1598",1951,6,3,170
"2394",1951,6,4,190
"3190",1951,6,5,190
"3986",1951,6,6,180
"4782",1951,6,7,160
"5578",1951,6,8,180
"6374",1951,6,9,180
"7170",1951,6,10,160
"7966",1951,6,11,180
"8762",1951,6,12,170
"9558",1951,6,13,170
"10354",1951,6,14,140
"11150",1951,6,15,160
"11946",1951,6,16,160
"12742",1951,6,17,160
"13538",1951,6,18,190
"14334",1951,6,19,200
"15130",1951,6,20,160
"15926",1951,6,21,180
"16722",1951,6,22,180
"17518",1951,6,23,180
"18314",1951,6,24,190
"19110",1951,6,25,180
"19906",1951,6,26,190
"20702",1951,6,27,190
"21498",1951,6,28,200
"22293",1951,6,29,180
"23039",1951,6,30,190
"7",1951,7,1,190
"803",1951,7,2,160
"1599",1951,7,3,180
"2395",1951,7,4,210
"3191",1951,7,5,160
"3987",1951,7,6,180
"4783",1951,7,7,170
"5579",1951,7,8,210
"6375",1951,7,9,220
"7171",1951,7,10,180
"7967",1951,7,11,210
"8763",1951,7,12,180
"9559",1951,7,13,190
"10355",1951,7,14,150
"11151",1951,7,15,160
"11947",1951,7,16,190
"12743",1951,7,17,190
"13539",1951,7,18,240
"14335",1951,7,19,210
"15131",1951,7,20,210
"15927",1951,7,21,220
"16723",1951,7,22,200
"17519",1951,7,23,140
"18315",1951,7,24,160
"19111",1951,7,25,190
"19907",1951,7,26,180
"20703",1951,7,27,170
"21499",1951,7,28,180
"22294",1951,7,29,160
"23040",1951,7,30,130
"23768",1951,7,31,140
"8",1951,8,1,130
"804",1951,8,2,150
"1600",1951,8,3,170
"2396",1951,8,4,180
"3192",1951,8,5,180
"3988",1951,8,6,190
"4784",1951,8,7,190
"5580",1951,8,8,210
"6376",1951,8,9,220
"7172",1951,8,10,190
"7968",1951,8,11,230
"8764",1951,8,12,210
"9560",1951,8,13,190
"10356",1951,8,14,170
"11152",1951,8,15,170
"11948",1951,8,16,170
"12744",1951,8,17,160
"13540",1951,8,18,120
"14336",1951,8,19,120
"15132",1951,8,20,130
