"","Year","Month","Day","value"
"1",1951,1,1,7
"775",1951,1,2,2
"1549",1951,1,3,-20
"2323",1951,1,4,-23
"3097",1951,1,5,-21
"3871",1951,1,6,-25
"4645",1951,1,7,5
"5419",1951,1,8,-5
"6193",1951,1,9,-13
"6967",1951,1,10,60
"7741",1951,1,11,44
"8515",1951,1,12,-7
"9289",1951,1,13,-33
"10063",1951,1,14,-51
"10837",1951,1,15,-48
"11611",1951,1,16,-49
"12385",1951,1,17,-27
"13159",1951,1,18,-25
"13933",1951,1,19,6
"14707",1951,1,20,29
"15481",1951,1,21,-31
"16255",1951,1,22,-35
"17029",1951,1,23,-53
"17803",1951,1,24,14
"18577",1951,1,25,19
"19351",1951,1,26,4
"20125",1951,1,27,-13
"20899",1951,1,28,-27
"21673",1951,1,29,-33
"22398",1951,1,30,-25
"23107",1951,1,31,-24
"2",1951,2,1,-16
"776",1951,2,2,-21
"1550",1951,2,3,-25
"2324",1951,2,4,-47
"3098",1951,2,5,-50
"3872",1951,2,6,-37
"4646",1951,2,7,-31
"5420",1951,2,8,-53
"6194",1951,2,9,26
"6968",1951,2,10,-99.9
"7742",1951,2,11,-3
"8516",1951,2,12,-13
"9290",1951,2,13,-16
"10064",1951,2,14,-7
"10838",1951,2,15,5
"11612",1951,2,16,-11
"12386",1951,2,17,-16
"13160",1951,2,18,-46
"13934",1951,2,19,21
"14708",1951,2,20,-4
"15482",1951,2,21,-29
"16256",1951,2,22,64
"17030",1951,2,23,39
"17804",1951,2,24,63
"18578",1951,2,25,55
"19352",1951,2,26,13
"20126",1951,2,27,52
"20900",1951,2,28,89
"3",1951,3,1,52
"777",1951,3,2,-16
"1551",1951,3,3,-32
"2325",1951,3,4,-45
"3099",1951,3,5,-35
"3873",1951,3,6,25
"4647",1951,3,7,42
"5421",1951,3,8,3
"6195",1951,3,9,-13
"6969",1951,3,10,63
"7743",1951,3,11,20
"8517",1951,3,12,4
"9291",1951,3,13,-11
"10065",1951,3,14,-20
"10839",1951,3,15,43
"11613",1951,3,16,2
"12387",1951,3,17,41
"13161",1951,3,18,14
"13935",1951,3,19,29
"14709",1951,3,20,-10
"15483",1951,3,21,-6
"16257",1951,3,22,1
"17031",1951,3,23,-10
"17805",1951,3,24,-32
"18579",1951,3,25,2
"19353",1951,3,26,84
"20127",1951,3,27,39
"20901",1951,3,28,73
"21674",1951,3,29,46
"22399",1951,3,30,13
"23108",1951,3,31,-7
"4",1951,4,1,80
"778",1951,4,2,117
"1552",1951,4,3,101
"2326",1951,4,4,65
"3100",1951,4,5,49
"3874",1951,4,6,86
"4648",1951,4,7,109
"5422",1951,4,8,76
"6196",1951,4,9,62
"6970",1951,4,10,25
"7744",1951,4,11,70
"8518",1951,4,12,42
"9292",1951,4,13,16
"10066",1951,4,14,43
"10840",1951,4,15,78
