"","Year","Month","Day","value"
"1",1951,1,1,-99.9
"88",1951,1,2,-99.9
"175",1951,1,3,-99.9
"262",1951,1,4,-99.9
"349",1951,1,5,-99.9
"436",1951,1,6,-99.9
"523",1951,1,7,-99.9
"610",1951,1,8,-99.9
"697",1951,1,9,-99.9
"784",1951,1,10,-99.9
"871",1951,1,11,-99.9
"958",1951,1,12,-99.9
"1045",1951,1,13,-99.9
"1132",1951,1,14,-99.9
"1219",1951,1,15,-99.9
"1306",1951,1,16,-99.9
"1393",1951,1,17,-99.9
"1480",1951,1,18,-99.9
"1567",1951,1,19,-99.9
"1654",1951,1,20,-106
"1741",1951,1,21,-133
"1828",1951,1,22,-150
"1915",1951,1,23,-133
"2002",1951,1,24,-67
"2089",1951,1,25,-94
"2176",1951,1,26,-144
"2263",1951,1,27,-111
"2350",1951,1,28,-39
"2437",1951,1,29,-89
"2518",1951,1,30,-100
"2597",1951,1,31,-94
"2",1951,2,1,-67
"89",1951,2,2,-72
"176",1951,2,3,-78
"263",1951,2,4,-83
"350",1951,2,5,-89
"437",1951,2,6,-89
"524",1951,2,7,-89
"611",1951,2,8,-111
"698",1951,2,9,-100
"785",1951,2,10,-117
"872",1951,2,11,-67
"959",1951,2,12,-150
"1046",1951,2,13,-156
"1133",1951,2,14,-172
"1220",1951,2,15,-189
"1307",1951,2,16,-161
"1394",1951,2,17,-106
"1481",1951,2,18,-111
"1568",1951,2,19,-106
"1655",1951,2,20,-150
"1742",1951,2,21,-133
"1829",1951,2,22,6
"1916",1951,2,23,-39
"2003",1951,2,24,-83
"2090",1951,2,25,-122
"2177",1951,2,26,-44
"2264",1951,2,27,-83
"2351",1951,2,28,-122
"3",1951,3,1,17
"90",1951,3,2,-56
"177",1951,3,3,-94
"264",1951,3,4,-106
"351",1951,3,5,-133
"438",1951,3,6,-94
"525",1951,3,7,-61
"612",1951,3,8,-106
"699",1951,3,9,-106
"786",1951,3,10,17
"873",1951,3,11,6
"960",1951,3,12,-78
"1047",1951,3,13,-117
"1134",1951,3,14,-11
"1221",1951,3,15,-50
"1308",1951,3,16,-50
"1395",1951,3,17,-50
"1482",1951,3,18,28
"1569",1951,3,19,-33
"1656",1951,3,20,-39
"1743",1951,3,21,-56
"1830",1951,3,22,-94
"1917",1951,3,23,-61
"2004",1951,3,24,-39
"2091",1951,3,25,-50
"2178",1951,3,26,-6
"2265",1951,3,27,-39
"2352",1951,3,28,-61
"2438",1951,3,29,-39
"2519",1951,3,30,-56
"2598",1951,3,31,-50
"4",1951,4,1,22
"91",1951,4,2,0
"178",1951,4,3,-44
"265",1951,4,4,17
"352",1951,4,5,17
"439",1951,4,6,17
"526",1951,4,7,33
"613",1951,4,8,11
"700",1951,4,9,-6
"787",1951,4,10,11
"874",1951,4,11,-6
"961",1951,4,12,11
"1048",1951,4,13,-11
"1135",1951,4,14,-11
"1222",1951,4,15,6
"1309",1951,4,16,-6
"1396",1951,4,17,22
"1483",1951,4,18,-11
"1570",1951,4,19,6
