"","Year","Month","Day","value"
"1",1953,5,1,-99.9
"6",1953,5,2,44
"11",1953,5,3,44
"16",1953,5,4,33
"21",1953,5,5,111
"26",1953,5,6,89
"31",1953,5,7,139
"36",1953,5,8,133
"41",1953,5,9,106
"46",1953,5,10,133
"51",1953,5,11,144
"56",1953,5,12,156
"61",1953,5,13,122
"66",1953,5,14,111
"71",1953,5,15,94
"76",1953,5,16,67
"81",1953,5,17,94
"86",1953,5,18,133
"91",1953,5,19,133
"96",1953,5,20,133
"101",1953,5,21,172
"106",1953,5,22,133
"111",1953,5,23,100
"116",1953,5,24,100
"121",1953,5,25,144
"126",1953,5,26,128
"131",1953,5,27,89
"136",1953,5,28,128
"141",1953,5,29,128
"146",1953,5,30,133
"151",1953,5,31,161
"2",1953,6,1,144
"7",1953,6,2,117
"12",1953,6,3,-99.9
"17",1953,6,4,33
"22",1953,6,5,-99.9
"27",1953,6,6,89
"32",1953,6,7,139
"37",1953,6,8,-99.9
"42",1953,6,9,139
"47",1953,6,10,161
"52",1953,6,11,167
"57",1953,6,12,156
"62",1953,6,13,-99.9
"67",1953,6,14,150
"72",1953,6,15,144
"77",1953,6,16,-99.9
"82",1953,6,17,-99.9
"87",1953,6,18,161
"92",1953,6,19,189
"97",1953,6,20,172
"102",1953,6,21,178
"107",1953,6,22,167
"112",1953,6,23,156
"117",1953,6,24,167
"122",1953,6,25,-99.9
"127",1953,6,26,-99.9
"132",1953,6,27,-99.9
"137",1953,6,28,-99.9
"142",1953,6,29,-99.9
"147",1953,6,30,178
"3",1953,7,1,161
"8",1953,7,2,-99.9
"13",1953,7,3,194
"18",1953,7,4,200
"23",1953,7,5,206
"28",1953,7,6,194
"33",1953,7,7,206
"38",1953,7,8,206
"43",1953,7,9,239
"48",1953,7,10,228
"53",1953,7,11,228
"58",1953,7,12,228
"63",1953,7,13,233
"68",1953,7,14,228
"73",1953,7,15,194
"78",1953,7,16,222
"83",1953,7,17,217
"88",1953,7,18,206
"93",1953,7,19,211
"98",1953,7,20,228
"103",1953,7,21,233
"108",1953,7,22,-99.9
"113",1953,7,23,-99.9
"118",1953,7,24,-99.9
"123",1953,7,25,-99.9
"128",1953,7,26,244
"133",1953,7,27,244
"138",1953,7,28,244
"143",1953,7,29,-99.9
"148",1953,7,30,-99.9
"152",1953,7,31,-99.9
"4",1953,8,1,-99.9
"9",1953,8,2,-99.9
"14",1953,8,3,-99.9
"19",1953,8,4,-99.9
"24",1953,8,5,-99.9
"29",1953,8,6,-99.9
"34",1953,8,7,-99.9
"39",1953,8,8,-99.9
"44",1953,8,9,-99.9
"49",1953,8,10,-99.9
"54",1953,8,11,-99.9
"59",1953,8,12,-99.9
"64",1953,8,13,-99.9
"69",1953,8,14,222
"74",1953,8,15,211
"79",1953,8,16,211
"84",1953,8,17,233
"89",1953,8,18,233
"94",1953,8,19,-99.9
"99",1953,8,20,-99.9
"104",1953,8,21,-99.9
"109",1953,8,22,-99.9
"114",1953,8,23,-99.9
"119",1953,8,24,-99.9
"124",1953,8,25,-99.9
"129",1953,8,26,-99.9
"134",1953,8,27,-99.9
"139",1953,8,28,-99.9
"144",1953,8,29,-99.9
"149",1953,8,30,-99.9
"153",1953,8,31,-99.9
"5",1953,10,1,83
"10",1953,10,2,67
"15",1953,10,3,94
"20",1953,10,4,100
"25",1953,10,5,111
"30",1953,10,6,100
"35",1953,10,7,117
"40",1953,10,8,100
"45",1953,10,9,100
"50",1953,10,10,61
"55",1953,10,11,28
"60",1953,10,12,44
"65",1953,10,13,17
"70",1953,10,14,11
"75",1953,10,15,22
"80",1953,10,16,28
"85",1953,10,17,61
"90",1953,10,18,39
"95",1953,10,19,61
"100",1953,10,20,44
"105",1953,10,21,11
"110",1953,10,22,22
"115",1953,10,23,50
"120",1953,10,24,67
"125",1953,10,25,11
"130",1953,10,26,56
"135",1953,10,27,122
"140",1953,10,28,-99.9
"145",1953,10,29,-99.9
"150",1953,10,30,-99.9
"154",1953,10,31,-99.9
