"","Year","Month","Day","value"
"1",1972,9,1,226
"486",1972,9,2,229
"971",1972,9,3,228
"1456",1972,9,4,224
"1941",1972,9,5,225
"2426",1972,9,6,224
"2911",1972,9,7,224
"3396",1972,9,8,219
"3881",1972,9,9,221
"4366",1972,9,10,221
"4851",1972,9,11,222
"5336",1972,9,12,226
"5821",1972,9,13,224
"6306",1972,9,14,223
"6791",1972,9,15,225
"7276",1972,9,16,225
"7761",1972,9,17,223
"8246",1972,9,18,226
"8731",1972,9,19,220
"9216",1972,9,20,223
"9701",1972,9,21,224
"10186",1972,9,22,220
"10671",1972,9,23,223
"11156",1972,9,24,224
"11641",1972,9,25,221
"12126",1972,9,26,215
"12611",1972,9,27,222
"13096",1972,9,28,220
"13581",1972,9,29,224
"14035",1972,9,30,224
"2",1972,10,1,227
"487",1972,10,2,226
"972",1972,10,3,224
"1457",1972,10,4,230
"1942",1972,10,5,227
"2427",1972,10,6,224
"2912",1972,10,7,221
"3397",1972,10,8,214
"3882",1972,10,9,210
"4367",1972,10,10,220
"4852",1972,10,11,223
"5337",1972,10,12,216
"5822",1972,10,13,223
"6307",1972,10,14,228
"6792",1972,10,15,228
"7277",1972,10,16,226
"7762",1972,10,17,228
"8247",1972,10,18,225
"8732",1972,10,19,230
"9217",1972,10,20,230
"9702",1972,10,21,225
"10187",1972,10,22,218
"10672",1972,10,23,222
"11157",1972,10,24,228
"11642",1972,10,25,231
"12127",1972,10,26,233
"12612",1972,10,27,231
"13097",1972,10,28,234
"13582",1972,10,29,235
"14036",1972,10,30,230
"14479",1972,10,31,235
"3",1972,11,1,235
"488",1972,11,2,235
"973",1972,11,3,234
"1458",1972,11,4,232
"1943",1972,11,5,229
"2428",1972,11,6,225
"2913",1972,11,7,230
"3398",1972,11,8,228
"3883",1972,11,9,229
"4368",1972,11,10,227
"4853",1972,11,11,226
"5338",1972,11,12,228
"5823",1972,11,13,232
"6308",1972,11,14,234
"6793",1972,11,15,239
"7278",1972,11,16,239
"7763",1972,11,17,241
"8248",1972,11,18,239
"8733",1972,11,19,234
"9218",1972,11,20,236
"9703",1972,11,21,229
"10188",1972,11,22,244
"10673",1972,11,23,235
"11158",1972,11,24,244
"11643",1972,11,25,236
"12128",1972,11,26,233
"12613",1972,11,27,236
"13098",1972,11,28,239
"13583",1972,11,29,240
"14037",1972,11,30,242
"4",1972,12,1,233
"489",1972,12,2,236
"974",1972,12,3,235
"1459",1972,12,4,237
"1944",1972,12,5,232
"2429",1972,12,6,233
"2914",1972,12,7,205
"3399",1972,12,8,240
"3884",1972,12,9,239
"4369",1972,12,10,241
"4854",1972,12,11,243
"5339",1972,12,12,243
"5824",1972,12,13,230
"6309",1972,12,14,241
"6794",1972,12,15,240
"7279",1972,12,16,235
"7764",1972,12,17,222
"8249",1972,12,18,222
"8734",1972,12,19,254
"9219",1972,12,20,243
"9704",1972,12,21,252
"10189",1972,12,22,254
"10674",1972,12,23,241
"11159",1972,12,24,230
"11644",1972,12,25,220
"12129",1972,12,26,227
"12614",1972,12,27,230
"13099",1972,12,28,256
"13584",1972,12,29,256
"14038",1972,12,30,249
"14480",1972,12,31,232
"5",1973,1,1,254
"490",1973,1,2,236
"975",1973,1,3,249
"1460",1973,1,4,247
"1945",1973,1,5,243
"2430",1973,1,6,243
"2915",1973,1,7,225
"3400",1973,1,8,237
"3885",1973,1,9,238
"4370",1973,1,10,223
"4855",1973,1,11,224
"5340",1973,1,12,205
"5825",1973,1,13,215
"6310",1973,1,14,222
"6795",1973,1,15,235
"7280",1973,1,16,253
"7765",1973,1,17,231
"8250",1973,1,18,227
"8735",1973,1,19,228
"9220",1973,1,20,226
"9705",1973,1,21,221
"10190",1973,1,22,231
"10675",1973,1,23,227
"11160",1973,1,24,226
"11645",1973,1,25,213
"12130",1973,1,26,207
"12615",1973,1,27,217
"13100",1973,1,28,223
"13585",1973,1,29,245
"14039",1973,1,30,225
"14481",1973,1,31,235
"6",1973,2,1,238
"491",1973,2,2,225
"976",1973,2,3,225
"1461",1973,2,4,227
"1946",1973,2,5,228
"2431",1973,2,6,217
"2916",1973,2,7,229
"3401",1973,2,8,224
"3886",1973,2,9,220
"4371",1973,2,10,217
"4856",1973,2,11,221
"5341",1973,2,12,225
"5826",1973,2,13,220
"6311",1973,2,14,240
"6796",1973,2,15,248
"7281",1973,2,16,243
"7766",1973,2,17,254
"8251",1973,2,18,245
"8736",1973,2,19,249
"9221",1973,2,20,251
"9706",1973,2,21,246
"10191",1973,2,22,248
"10676",1973,2,23,248
"11161",1973,2,24,233
"11646",1973,2,25,252
"12131",1973,2,26,236
"12616",1973,2,27,222
"13101",1973,2,28,225
"7",1973,3,1,229
"492",1973,3,2,249
"977",1973,3,3,251
"1462",1973,3,4,240
"1947",1973,3,5,224
"2432",1973,3,6,233
"2917",1973,3,7,234
"3402",1973,3,8,241
"3887",1973,3,9,234
"4372",1973,3,10,247
"4857",1973,3,11,228
"5342",1973,3,12,235
"5827",1973,3,13,240
"6312",1973,3,14,234
"6797",1973,3,15,195
"7282",1973,3,16,234
"7767",1973,3,17,200
"8252",1973,3,18,208
"8737",1973,3,19,245
"9222",1973,3,20,233
"9707",1973,3,21,231
"10192",1973,3,22,220
"10677",1973,3,23,226
"11162",1973,3,24,223
"11647",1973,3,25,228
"12132",1973,3,26,235
"12617",1973,3,27,231
"13102",1973,3,28,213
"13586",1973,3,29,236
"14040",1973,3,30,227
"14482",1973,3,31,244
"8",1973,4,1,249
"493",1973,4,2,248
"978",1973,4,3,242
"1463",1973,4,4,250
"1948",1973,4,5,232
"2433",1973,4,6,246
"2918",1973,4,7,233
"3403",1973,4,8,244
"3888",1973,4,9,252
"4373",1973,4,10,253
"4858",1973,4,11,254
"5343",1973,4,12,247
"5828",1973,4,13,253
"6313",1973,4,14,239
"6798",1973,4,15,241
"7283",1973,4,16,249
"7768",1973,4,17,244
"8253",1973,4,18,244
"8738",1973,4,19,243
"9223",1973,4,20,229
"9708",1973,4,21,243
"10193",1973,4,22,241
"10678",1973,4,23,233
"11163",1973,4,24,244
"11648",1973,4,25,244
"12133",1973,4,26,250
"12618",1973,4,27,244
"13103",1973,4,28,250
"13587",1973,4,29,255
"14041",1973,4,30,252
"9",1973,5,1,253
"494",1973,5,2,236
"979",1973,5,3,235
"1464",1973,5,4,241
"1949",1973,5,5,247
"2434",1973,5,6,243
"2919",1973,5,7,211
"3404",1973,5,8,207
