"","Year","Month","Day","value"
"1",1948,2,1,-99.9
"513",1948,2,2,-99.9
"1025",1948,2,3,-99.9
"1537",1948,2,4,-99.9
"2049",1948,2,5,-99.9
"2561",1948,2,6,-99.9
"3073",1948,2,7,-99.9
"3585",1948,2,8,-99.9
"4097",1948,2,9,0
"4609",1948,2,10,-99.9
"5121",1948,2,11,-99.9
"5633",1948,2,12,-99.9
"6145",1948,2,13,0
"6657",1948,2,14,-99.9
"7169",1948,2,15,11
"7681",1948,2,16,-99.9
"8193",1948,2,17,-99.9
"8705",1948,2,18,-99.9
"9217",1948,2,19,-99.9
"9729",1948,2,20,-99.9
"10241",1948,2,21,-99.9
"10753",1948,2,22,-99.9
"11265",1948,2,23,-99.9
"11777",1948,2,24,-99.9
"12289",1948,2,25,-99.9
"12801",1948,2,26,-99.9
"13313",1948,2,27,-99.9
"13825",1948,2,28,-99.9
"14337",1948,2,29,28
"2",1948,3,1,-99.9
"514",1948,3,2,-99.9
"1026",1948,3,3,-99.9
"1538",1948,3,4,-99.9
"2050",1948,3,5,-99.9
"2562",1948,3,6,-99.9
"3074",1948,3,7,-99.9
"3586",1948,3,8,-99.9
"4098",1948,3,9,-99.9
"4610",1948,3,10,-99.9
"5122",1948,3,11,-99.9
"5634",1948,3,12,-99.9
"6146",1948,3,13,-39
"6658",1948,3,14,-99.9
"7170",1948,3,15,-99.9
"7682",1948,3,16,-99.9
"8194",1948,3,17,-99.9
"8706",1948,3,18,-99.9
"9218",1948,3,19,-99.9
"9730",1948,3,20,-99.9
"10242",1948,3,21,-99.9
"10754",1948,3,22,-99.9
"11266",1948,3,23,-99.9
"11778",1948,3,24,-99.9
"12290",1948,3,25,-99.9
"12802",1948,3,26,-99.9
"13314",1948,3,27,-99.9
"13826",1948,3,28,-99.9
"14338",1948,3,29,-99.9
"14820",1948,3,30,-99.9
"15291",1948,3,31,-99.9
"3",1948,4,1,-99.9
"515",1948,4,2,-99.9
"1027",1948,4,3,-99.9
"1539",1948,4,4,-99.9
"2051",1948,4,5,-99.9
"2563",1948,4,6,-99.9
"3075",1948,4,7,-99.9
"3587",1948,4,8,61
"4099",1948,4,9,100
"4611",1948,4,10,-99.9
"5123",1948,4,11,-99.9
"5635",1948,4,12,39
"6147",1948,4,13,28
"6659",1948,4,14,-99.9
"7171",1948,4,15,-99.9
"7683",1948,4,16,11
"8195",1948,4,17,50
"8707",1948,4,18,-99.9
"9219",1948,4,19,-99.9
"9731",1948,4,20,-99.9
"10243",1948,4,21,-99.9
"10755",1948,4,22,-99.9
"11267",1948,4,23,-99.9
"11779",1948,4,24,-99.9
"12291",1948,4,25,-99.9
"12803",1948,4,26,-99.9
"13315",1948,4,27,-99.9
"13827",1948,4,28,122
"14339",1948,4,29,100
"14821",1948,4,30,122
"4",1948,5,1,-99.9
"516",1948,5,2,-99.9
"1028",1948,5,3,-99.9
"1540",1948,5,4,89
"2052",1948,5,5,-99.9
"2564",1948,5,6,-99.9
"3076",1948,5,7,-99.9
"3588",1948,5,8,-99.9
"4100",1948,5,9,-99.9
"4612",1948,5,10,-99.9
"5124",1948,5,11,-99.9
"5636",1948,5,12,-99.9
"6148",1948,5,13,0
"6660",1948,5,14,-99.9
"7172",1948,5,15,-99.9
"7684",1948,5,16,-99.9
"8196",1948,5,17,89
"8708",1948,5,18,-99.9
"9220",1948,5,19,-99.9
"9732",1948,5,20,-99.9
"10244",1948,5,21,-99.9
"10756",1948,5,22,-99.9
"11268",1948,5,23,100
"11780",1948,5,24,-99.9
"12292",1948,5,25,-99.9
"12804",1948,5,26,-99.9
"13316",1948,5,27,122
"13828",1948,5,28,-99.9
"14340",1948,5,29,-99.9
"14822",1948,5,30,-99.9
"15292",1948,5,31,-99.9
"5",1948,6,1,-99.9
"517",1948,6,2,-99.9
"1029",1948,6,3,-99.9
"1541",1948,6,4,-99.9
"2053",1948,6,5,-99.9
"2565",1948,6,6,-99.9
"3077",1948,6,7,-99.9
"3589",1948,6,8,-99.9
"4101",1948,6,9,-99.9
"4613",1948,6,10,-99.9
"5125",1948,6,11,-99.9
"5637",1948,6,12,-99.9
"6149",1948,6,13,-99.9
"6661",1948,6,14,-99.9
"7173",1948,6,15,-99.9
"7685",1948,6,16,-99.9
"8197",1948,6,17,-99.9
"8709",1948,6,18,-99.9
"9221",1948,6,19,-99.9
"9733",1948,6,20,-99.9
"10245",1948,6,21,-99.9
"10757",1948,6,22,-99.9
"11269",1948,6,23,-99.9
"11781",1948,6,24,-99.9
"12293",1948,6,25,-99.9
"12805",1948,6,26,-99.9
"13317",1948,6,27,-99.9
"13829",1948,6,28,150
"14341",1948,6,29,-99.9
"14823",1948,6,30,-99.9
"6",1948,7,1,-99.9
"518",1948,7,2,-99.9
"1030",1948,7,3,-99.9
"1542",1948,7,4,-99.9
"2054",1948,7,5,-99.9
"2566",1948,7,6,-99.9
"3078",1948,7,7,-99.9
"3590",1948,7,8,-99.9
"4102",1948,7,9,-99.9
"4614",1948,7,10,-99.9
"5126",1948,7,11,189
"5638",1948,7,12,178
"6150",1948,7,13,-99.9
"6662",1948,7,14,-99.9
"7174",1948,7,15,-99.9
"7686",1948,7,16,-99.9
"8198",1948,7,17,-99.9
"8710",1948,7,18,-99.9
"9222",1948,7,19,-99.9
"9734",1948,7,20,-99.9
"10246",1948,7,21,-99.9
"10758",1948,7,22,-99.9
"11270",1948,7,23,-99.9
"11782",1948,7,24,-99.9
"12294",1948,7,25,-99.9
"12806",1948,7,26,-99.9
"13318",1948,7,27,-99.9
"13830",1948,7,28,-99.9
"14342",1948,7,29,-99.9
"14824",1948,7,30,-99.9
"15293",1948,7,31,-99.9
"7",1948,11,1,-99.9
"519",1948,11,2,-99.9
"1031",1948,11,3,-99.9
"1543",1948,11,4,-99.9
"2055",1948,11,5,-99.9
"2567",1948,11,6,-99.9
"3079",1948,11,7,-99.9
"3591",1948,11,8,-11
"4103",1948,11,9,-99.9
"4615",1948,11,10,-99.9
"5127",1948,11,11,-99.9
"5639",1948,11,12,-22
"6151",1948,11,13,0
"6663",1948,11,14,-99.9
"7175",1948,11,15,-99.9
"7687",1948,11,16,-99.9
"8199",1948,11,17,-99.9
"8711",1948,11,18,-99.9
"9223",1948,11,19,-99.9
"9735",1948,11,20,-99.9
"10247",1948,11,21,-99.9
"10759",1948,11,22,-50
"11271",1948,11,23,-99.9
"11783",1948,11,24,-28
"12295",1948,11,25,-99.9
"12807",1948,11,26,-99.9
"13319",1948,11,27,0
"13831",1948,11,28,-99.9
"14343",1948,11,29,-99.9
"14825",1948,11,30,-99.9
"8",1948,12,1,-99.9
"520",1948,12,2,-39
"1032",1948,12,3,-99.9
"1544",1948,12,4,-99.9
"2056",1948,12,5,-61
"2568",1948,12,6,-99.9
"3080",1948,12,7,-99.9
"3592",1948,12,8,-99.9
"4104",1948,12,9,-99.9
"4616",1948,12,10,-99.9
"5128",1948,12,11,-99.9
"5640",1948,12,12,-99.9
"6152",1948,12,13,-99.9
"6664",1948,12,14,-99.9
"7176",1948,12,15,-99.9
"7688",1948,12,16,-99.9
"8200",1948,12,17,-99.9
"8712",1948,12,18,-99.9
"9224",1948,12,19,-99.9
"9736",1948,12,20,-99.9
"10248",1948,12,21,-99.9
"10760",1948,12,22,-99.9
"11272",1948,12,23,-99.9
"11784",1948,12,24,-139
"12296",1948,12,25,-61
"12808",1948,12,26,-99.9
"13320",1948,12,27,-78
"13832",1948,12,28,-99.9
"14344",1948,12,29,-99.9
"14826",1948,12,30,-189
