"","Year","Month","Day","value"
"1",1967,8,1,-99.9
"14",1967,8,2,-99.9
"27",1967,8,3,-99.9
"40",1967,8,4,-99.9
"53",1967,8,5,-99.9
"66",1967,8,6,-99.9
"79",1967,8,7,-99.9
"92",1967,8,8,-99.9
"105",1967,8,9,-99.9
"118",1967,8,10,-99.9
"131",1967,8,11,-99.9
"144",1967,8,12,-99.9
"157",1967,8,13,-99.9
"170",1967,8,14,-99.9
"183",1967,8,15,-99.9
"196",1967,8,16,-99.9
"209",1967,8,17,-99.9
"222",1967,8,18,-99.9
"235",1967,8,19,-99.9
"248",1967,8,20,-99.9
"261",1967,8,21,-99.9
"274",1967,8,22,-99.9
"287",1967,8,23,-99.9
"300",1967,8,24,-99.9
"313",1967,8,25,-99.9
"326",1967,8,26,178
"339",1967,8,27,178
"352",1967,8,28,178
"365",1967,8,29,178
"378",1967,8,30,178
"391",1967,8,31,200
"2",1967,9,1,189
"15",1967,9,2,178
"28",1967,9,3,189
"41",1967,9,4,189
"54",1967,9,5,189
"67",1967,9,6,178
"80",1967,9,7,172
"93",1967,9,8,172
"106",1967,9,9,178
"119",1967,9,10,178
"132",1967,9,11,178
"145",1967,9,12,178
"158",1967,9,13,178
"171",1967,9,14,178
"184",1967,9,15,161
"197",1967,9,16,161
"210",1967,9,17,161
"223",1967,9,18,161
"236",1967,9,19,161
"249",1967,9,20,161
"262",1967,9,21,178
"275",1967,9,22,172
"288",1967,9,23,161
"301",1967,9,24,161
"314",1967,9,25,161
"327",1967,9,26,172
"340",1967,9,27,161
"353",1967,9,28,172
"366",1967,9,29,172
"379",1967,9,30,172
"3",1967,10,1,172
"16",1967,10,2,150
"29",1967,10,3,139
"42",1967,10,4,128
"55",1967,10,5,128
"68",1967,10,6,139
"81",1967,10,7,139
"94",1967,10,8,139
"107",1967,10,9,128
"120",1967,10,10,150
"133",1967,10,11,161
"146",1967,10,12,172
"159",1967,10,13,172
"172",1967,10,14,178
"185",1967,10,15,139
"198",1967,10,16,150
"211",1967,10,17,161
"224",1967,10,18,128
"237",1967,10,19,122
"250",1967,10,20,139
"263",1967,10,21,122
"276",1967,10,22,128
"289",1967,10,23,150
"302",1967,10,24,139
"315",1967,10,25,150
"328",1967,10,26,139
"341",1967,10,27,128
"354",1967,10,28,139
"367",1967,10,29,150
"380",1967,10,30,161
"392",1967,10,31,161
"4",1967,11,1,172
"17",1967,11,2,161
"30",1967,11,3,139
"43",1967,11,4,128
"56",1967,11,5,139
"69",1967,11,6,150
"82",1967,11,7,139
"95",1967,11,8,128
"108",1967,11,9,128
"121",1967,11,10,128
"134",1967,11,11,161
"147",1967,11,12,139
"160",1967,11,13,111
"173",1967,11,14,122
"186",1967,11,15,128
"199",1967,11,16,122
"212",1967,11,17,128
"225",1967,11,18,122
"238",1967,11,19,139
"251",1967,11,20,122
"264",1967,11,21,122
"277",1967,11,22,-99.9
"290",1967,11,23,128
"303",1967,11,24,139
"316",1967,11,25,139
"329",1967,11,26,122
"342",1967,11,27,122
"355",1967,11,28,128
"368",1967,11,29,150
"381",1967,11,30,111
"5",1967,12,1,-99.9
"18",1967,12,2,111
"31",1967,12,3,111
"44",1967,12,4,111
"57",1967,12,5,128
"70",1967,12,6,128
"83",1967,12,7,122
"96",1967,12,8,100
"109",1967,12,9,122
"122",1967,12,10,89
"135",1967,12,11,72
"148",1967,12,12,61
"161",1967,12,13,39
"174",1967,12,14,-99.9
"187",1967,12,15,39
"200",1967,12,16,72
"213",1967,12,17,89
"226",1967,12,18,89
"239",1967,12,19,111
"252",1967,12,20,111
"265",1967,12,21,111
"278",1967,12,22,111
"291",1967,12,23,128
"304",1967,12,24,122
"317",1967,12,25,122
"330",1967,12,26,111
"343",1967,12,27,122
"356",1967,12,28,122
"369",1967,12,29,89
"382",1967,12,30,72
"393",1967,12,31,89
"6",1968,1,1,72
"19",1968,1,2,100
"32",1968,1,3,72
"45",1968,1,4,61
"58",1968,1,5,72
"71",1968,1,6,111
"84",1968,1,7,111
"97",1968,1,8,100
"110",1968,1,9,89
"123",1968,1,10,122
"136",1968,1,11,100
"149",1968,1,12,111
"162",1968,1,13,100
"175",1968,1,14,111
"188",1968,1,15,89
"201",1968,1,16,78
"214",1968,1,17,78
"227",1968,1,18,89
"240",1968,1,19,72
"253",1968,1,20,89
"266",1968,1,21,100
"279",1968,1,22,111
"292",1968,1,23,128
"305",1968,1,24,139
"318",1968,1,25,-99.9
"331",1968,1,26,-99.9
"344",1968,1,27,-99.9
"357",1968,1,28,-99.9
"370",1968,1,29,-99.9
"383",1968,1,30,150
"394",1968,1,31,150
"7",1968,3,1,-99.9
"20",1968,3,2,-99.9
"33",1968,3,3,-99.9
"46",1968,3,4,-99.9
"59",1968,3,5,-99.9
"72",1968,3,6,-99.9
"85",1968,3,7,-99.9
"98",1968,3,8,139
"111",1968,3,9,122
"124",1968,3,10,139
"137",1968,3,11,139
"150",1968,3,12,-99.9
"163",1968,3,13,-99.9
"176",1968,3,14,-99.9
"189",1968,3,15,-99.9
"202",1968,3,16,-99.9
"215",1968,3,17,-99.9
"228",1968,3,18,-99.9
"241",1968,3,19,-99.9
"254",1968,3,20,-99.9
"267",1968,3,21,-99.9
"280",1968,3,22,-99.9
"293",1968,3,23,-99.9
"306",1968,3,24,-99.9
"319",1968,3,25,-99.9
"332",1968,3,26,-99.9
