"","Year","Month","Day","value"
"1",1961,12,1,-99.9
"510",1961,12,2,-99.9
"1019",1961,12,3,-99.9
"1528",1961,12,4,-99.9
"2037",1961,12,5,61
"2546",1961,12,6,72
"3055",1961,12,7,72
"3564",1961,12,8,50
"4073",1961,12,9,11
"4582",1961,12,10,28
"5091",1961,12,11,39
"5600",1961,12,12,50
"6109",1961,12,13,72
"6618",1961,12,14,50
"7127",1961,12,15,50
"7636",1961,12,16,39
"8145",1961,12,17,61
"8654",1961,12,18,50
"9163",1961,12,19,61
"9672",1961,12,20,39
"10181",1961,12,21,28
"10690",1961,12,22,-28
"11199",1961,12,23,0
"11708",1961,12,24,-39
"12217",1961,12,25,28
"12726",1961,12,26,50
"13235",1961,12,27,72
"13744",1961,12,28,61
"14253",1961,12,29,78
"14729",1961,12,30,28
"15195",1961,12,31,22
"2",1962,1,1,50
"511",1962,1,2,61
"1020",1962,1,3,39
"1529",1962,1,4,39
"2038",1962,1,5,39
"2547",1962,1,6,61
"3056",1962,1,7,28
"3565",1962,1,8,39
"4074",1962,1,9,11
"4583",1962,1,10,39
"5092",1962,1,11,28
"5601",1962,1,12,22
"6110",1962,1,13,28
"6619",1962,1,14,50
"7128",1962,1,15,22
"7637",1962,1,16,61
"8146",1962,1,17,72
"8655",1962,1,18,22
"9164",1962,1,19,28
"9673",1962,1,20,61
"10182",1962,1,21,61
"10691",1962,1,22,61
"11200",1962,1,23,61
"11709",1962,1,24,61
"12218",1962,1,25,61
"12727",1962,1,26,61
"13236",1962,1,27,22
"13745",1962,1,28,11
"14254",1962,1,29,22
"14730",1962,1,30,39
"15196",1962,1,31,28
"3",1962,2,1,28
"512",1962,2,2,-28
"1021",1962,2,3,0
"1530",1962,2,4,-11
"2039",1962,2,5,-22
"2548",1962,2,6,22
"3057",1962,2,7,61
"3566",1962,2,8,39
"4075",1962,2,9,72
"4584",1962,2,10,39
"5093",1962,2,11,100
"5602",1962,2,12,78
"6111",1962,2,13,100
"6620",1962,2,14,39
"7129",1962,2,15,39
"7638",1962,2,16,39
"8147",1962,2,17,11
"8656",1962,2,18,0
"9165",1962,2,19,39
"9674",1962,2,20,39
"10183",1962,2,21,61
"10692",1962,2,22,50
"11201",1962,2,23,78
"11710",1962,2,24,50
"12219",1962,2,25,122
"12728",1962,2,26,89
"13237",1962,2,27,-99.9
"13746",1962,2,28,89
"4",1962,3,1,100
"513",1962,3,2,139
"1022",1962,3,3,89
"1531",1962,3,4,139
"2040",1962,3,5,150
"2549",1962,3,6,111
"3058",1962,3,7,111
"3567",1962,3,8,100
"4076",1962,3,9,111
"4585",1962,3,10,111
"5094",1962,3,11,161
"5603",1962,3,12,111
"6112",1962,3,13,100
"6621",1962,3,14,150
"7130",1962,3,15,61
"7639",1962,3,16,11
"8148",1962,3,17,50
"8657",1962,3,18,89
"9166",1962,3,19,89
"9675",1962,3,20,150
"10184",1962,3,21,-99.9
"10693",1962,3,22,161
"11202",1962,3,23,-99.9
"11711",1962,3,24,122
"12220",1962,3,25,128
"12729",1962,3,26,128
"13238",1962,3,27,172
"13747",1962,3,28,189
"14255",1962,3,29,122
"14731",1962,3,30,72
"15197",1962,3,31,100
"5",1962,4,1,100
"514",1962,4,2,139
"1023",1962,4,3,139
"1532",1962,4,4,161
"2041",1962,4,5,228
"2550",1962,4,6,139
"3059",1962,4,7,139
"3568",1962,4,8,111
"4077",1962,4,9,128
"4586",1962,4,10,-99.9
"5095",1962,4,11,150
"5604",1962,4,12,89
"6113",1962,4,13,78
"6622",1962,4,14,-99.9
"7131",1962,4,15,122
"7640",1962,4,16,172
"8149",1962,4,17,139
"8658",1962,4,18,172
"9167",1962,4,19,200
"9676",1962,4,20,200
"10185",1962,4,21,211
"10694",1962,4,22,178
"11203",1962,4,23,172
"11712",1962,4,24,172
"12221",1962,4,25,139
"12730",1962,4,26,178
"13239",1962,4,27,-99.9
"13748",1962,4,28,189
"14256",1962,4,29,161
"14732",1962,4,30,189
"6",1962,5,1,239
"515",1962,5,2,178
"1024",1962,5,3,161
"1533",1962,5,4,172
"2042",1962,5,5,161
"2551",1962,5,6,161
"3060",1962,5,7,150
"3569",1962,5,8,128
"4078",1962,5,9,128
"4587",1962,5,10,128
"5096",1962,5,11,139
"5605",1962,5,12,161
"6114",1962,5,13,189
"6623",1962,5,14,228
"7132",1962,5,15,239
"7641",1962,5,16,200
"8150",1962,5,17,189
"8659",1962,5,18,189
"9168",1962,5,19,222
"9677",1962,5,20,200
"10186",1962,5,21,189
"10695",1962,5,22,189
"11204",1962,5,23,172
"11713",1962,5,24,189
"12222",1962,5,25,200
"12731",1962,5,26,200
"13240",1962,5,27,200
"13749",1962,5,28,222
"14257",1962,5,29,222
"14733",1962,5,30,250
"15198",1962,5,31,261
"7",1962,6,1,250
"516",1962,6,2,239
"1025",1962,6,3,239
"1534",1962,6,4,250
"2043",1962,6,5,239
"2552",1962,6,6,228
"3061",1962,6,7,178
"3570",1962,6,8,211
"4079",1962,6,9,261
"4588",1962,6,10,239
"5097",1962,6,11,200
"5606",1962,6,12,200
"6115",1962,6,13,172
"6624",1962,6,14,222
"7133",1962,6,15,200
"7642",1962,6,16,200
"8151",1962,6,17,189
"8660",1962,6,18,211
"9169",1962,6,19,222
"9678",1962,6,20,250
"10187",1962,6,21,222
"10696",1962,6,22,211
"11205",1962,6,23,200
"11714",1962,6,24,211
"12223",1962,6,25,211
"12732",1962,6,26,211
"13241",1962,6,27,200
"13750",1962,6,28,228
"14258",1962,6,29,200
