"","Year","Month","Day","value"
"1",1957,7,1,222
"571",1957,7,2,239
"1141",1957,7,3,200
"1711",1957,7,4,239
"2281",1957,7,5,222
"2851",1957,7,6,222
"3421",1957,7,7,222
"3991",1957,7,8,211
"4561",1957,7,9,211
"5131",1957,7,10,222
"5701",1957,7,11,228
"6271",1957,7,12,239
"6841",1957,7,13,222
"7411",1957,7,14,228
"7981",1957,7,15,211
"8551",1957,7,16,228
"9121",1957,7,17,228
"9691",1957,7,18,228
"10261",1957,7,19,-99.9
"10831",1957,7,20,222
"11401",1957,7,21,222
"11971",1957,7,22,222
"12541",1957,7,23,228
"13111",1957,7,24,222
"13681",1957,7,25,211
"14251",1957,7,26,228
"14821",1957,7,27,211
"15391",1957,7,28,222
"15961",1957,7,29,-99.9
"16494",1957,7,30,200
"17016",1957,7,31,228
"2",1957,8,1,228
"572",1957,8,2,222
"1142",1957,8,3,222
"1712",1957,8,4,222
"2282",1957,8,5,222
"2852",1957,8,6,211
"3422",1957,8,7,-99.9
"3992",1957,8,8,211
"4562",1957,8,9,222
"5132",1957,8,10,211
"5702",1957,8,11,222
"6272",1957,8,12,211
"6842",1957,8,13,222
"7412",1957,8,14,222
"7982",1957,8,15,211
"8552",1957,8,16,211
"9122",1957,8,17,211
"9692",1957,8,18,228
"10262",1957,8,19,228
"10832",1957,8,20,222
"11402",1957,8,21,239
"11972",1957,8,22,222
"12542",1957,8,23,222
"13112",1957,8,24,222
"13682",1957,8,25,211
"14252",1957,8,26,228
"14822",1957,8,27,211
"15392",1957,8,28,228
"15962",1957,8,29,228
"16495",1957,8,30,211
"17017",1957,8,31,211
"3",1957,9,1,228
"573",1957,9,2,200
"1143",1957,9,3,222
"1713",1957,9,4,222
"2283",1957,9,5,-99.9
"2853",1957,9,6,200
"3423",1957,9,7,222
"3993",1957,9,8,211
"4563",1957,9,9,211
"5133",1957,9,10,222
"5703",1957,9,11,-99.9
"6273",1957,9,12,211
"6843",1957,9,13,211
"7413",1957,9,14,228
"7983",1957,9,15,222
"8553",1957,9,16,222
"9123",1957,9,17,228
"9693",1957,9,18,222
"10263",1957,9,19,222
"10833",1957,9,20,222
"11403",1957,9,21,222
"11973",1957,9,22,222
"12543",1957,9,23,228
"13113",1957,9,24,228
"13683",1957,9,25,211
"14253",1957,9,26,222
"14823",1957,9,27,222
"15393",1957,9,28,222
"15963",1957,9,29,222
"16496",1957,9,30,228
"4",1957,10,1,211
"574",1957,10,2,222
"1144",1957,10,3,211
"1714",1957,10,4,228
"2284",1957,10,5,211
"2854",1957,10,6,228
"3424",1957,10,7,222
"3994",1957,10,8,228
"4564",1957,10,9,222
"5134",1957,10,10,222
"5704",1957,10,11,228
"6274",1957,10,12,228
"6844",1957,10,13,228
"7414",1957,10,14,222
"7984",1957,10,15,211
"8554",1957,10,16,228
"9124",1957,10,17,222
"9694",1957,10,18,222
"10264",1957,10,19,222
"10834",1957,10,20,222
"11404",1957,10,21,222
"11974",1957,10,22,228
"12544",1957,10,23,222
"13114",1957,10,24,222
"13684",1957,10,25,211
"14254",1957,10,26,239
"14824",1957,10,27,228
"15394",1957,10,28,228
"15964",1957,10,29,222
"16497",1957,10,30,200
"17018",1957,10,31,-99.9
"5",1957,11,1,200
"575",1957,11,2,222
"1145",1957,11,3,222
"1715",1957,11,4,211
"2285",1957,11,5,228
"2855",1957,11,6,200
"3425",1957,11,7,222
"3995",1957,11,8,222
"4565",1957,11,9,222
"5135",1957,11,10,228
"5705",1957,11,11,228
"6275",1957,11,12,239
"6845",1957,11,13,222
"7415",1957,11,14,228
"7985",1957,11,15,211
"8555",1957,11,16,200
"9125",1957,11,17,211
"9695",1957,11,18,178
"10265",1957,11,19,178
"10835",1957,11,20,172
"11405",1957,11,21,200
"11975",1957,11,22,189
"12545",1957,11,23,178
"13115",1957,11,24,178
"13685",1957,11,25,178
"14255",1957,11,26,178
"14825",1957,11,27,161
"15395",1957,11,28,172
"15965",1957,11,29,178
"16498",1957,11,30,178
"6",1957,12,1,189
"576",1957,12,2,178
"1146",1957,12,3,172
"1716",1957,12,4,172
"2286",1957,12,5,172
"2856",1957,12,6,172
"3426",1957,12,7,150
"3996",1957,12,8,161
"4566",1957,12,9,150
"5136",1957,12,10,150
"5706",1957,12,11,211
"6276",1957,12,12,178
"6846",1957,12,13,178
"7416",1957,12,14,178
"7986",1957,12,15,200
"8556",1957,12,16,178
"9126",1957,12,17,172
"9696",1957,12,18,172
"10266",1957,12,19,161
"10836",1957,12,20,150
"11406",1957,12,21,139
"11976",1957,12,22,128
"12546",1957,12,23,139
"13116",1957,12,24,161
"13686",1957,12,25,150
"14256",1957,12,26,-99.9
"14826",1957,12,27,150
"15396",1957,12,28,172
"15966",1957,12,29,161
"16499",1957,12,30,161
"17019",1957,12,31,161
"7",1958,1,1,139
"577",1958,1,2,128
"1147",1958,1,3,128
"1717",1958,1,4,139
"2287",1958,1,5,161
"2857",1958,1,6,222
"3427",1958,1,7,211
"3997",1958,1,8,161
"4567",1958,1,9,161
"5137",1958,1,10,139
"5707",1958,1,11,161
"6277",1958,1,12,150
"6847",1958,1,13,139
"7417",1958,1,14,172
"7987",1958,1,15,200
"8557",1958,1,16,261
"9127",1958,1,17,211
"9697",1958,1,18,200
"10267",1958,1,19,189
"10837",1958,1,20,200
"11407",1958,1,21,222
"11977",1958,1,22,228
"12547",1958,1,23,189
"13117",1958,1,24,189
"13687",1958,1,25,200
"14257",1958,1,26,189
"14827",1958,1,27,178
"15397",1958,1,28,172
"15967",1958,1,29,161
"16500",1958,1,30,161
"17020",1958,1,31,161
"8",1958,2,1,172
"578",1958,2,2,222
"1148",1958,2,3,178
"1718",1958,2,4,178
"2288",1958,2,5,178
"2858",1958,2,6,161
"3428",1958,2,7,200
"3998",1958,2,8,189
"4568",1958,2,9,178
"5138",1958,2,10,189
"5708",1958,2,11,178
"6278",1958,2,12,172
"6848",1958,2,13,172
"7418",1958,2,14,172
"7988",1958,2,15,161
"8558",1958,2,16,161
"9128",1958,2,17,139
"9698",1958,2,18,150
"10268",1958,2,19,139
"10838",1958,2,20,161
"11408",1958,2,21,189
"11978",1958,2,22,200
"12548",1958,2,23,211
"13118",1958,2,24,222
"13688",1958,2,25,189
"14258",1958,2,26,200
"14828",1958,2,27,189
"15398",1958,2,28,178
"9",1958,3,1,172
"579",1958,3,2,172
"1149",1958,3,3,178
"1719",1958,3,4,200
"2289",1958,3,5,189
"2859",1958,3,6,189
"3429",1958,3,7,178
"3999",1958,3,8,178
"4569",1958,3,9,189
"5139",1958,3,10,161
"5709",1958,3,11,178
"6279",1958,3,12,200
"6849",1958,3,13,222
"7419",1958,3,14,228
"7989",1958,3,15,211
"8559",1958,3,16,272
"9129",1958,3,17,261
"9699",1958,3,18,261
"10269",1958,3,19,250
"10839",1958,3,20,239
"11409",1958,3,21,239
"11979",1958,3,22,272
"12549",1958,3,23,278
"13119",1958,3,24,278
"13689",1958,3,25,261
"14259",1958,3,26,261
"14829",1958,3,27,278
"15399",1958,3,28,-99.9
"15968",1958,3,29,272
"16501",1958,3,30,278
"17021",1958,3,31,228
"10",1958,4,1,228
"580",1958,4,2,272
"1150",1958,4,3,272
"1720",1958,4,4,272
"2290",1958,4,5,261
"2860",1958,4,6,289
"3430",1958,4,7,278
"4000",1958,4,8,261
"4570",1958,4,9,278
"5140",1958,4,10,289
"5710",1958,4,11,278
"6280",1958,4,12,278
"6850",1958,4,13,-99.9
"7420",1958,4,14,239
"7990",1958,4,15,239
"8560",1958,4,16,250
"9130",1958,4,17,250
"9700",1958,4,18,261
"10270",1958,4,19,272
"10840",1958,4,20,272
"11410",1958,4,21,272
"11980",1958,4,22,278
"12550",1958,4,23,228
"13120",1958,4,24,261
"13690",1958,4,25,261
"14260",1958,4,26,272
"14830",1958,4,27,272
"15400",1958,4,28,272
"15969",1958,4,29,272
"16502",1958,4,30,239
"11",1958,5,1,261
"581",1958,5,2,261
"1151",1958,5,3,261
"1721",1958,5,4,272
"2291",1958,5,5,272
"2861",1958,5,6,272
"3431",1958,5,7,250
"4001",1958,5,8,261
"4571",1958,5,9,261
"5141",1958,5,10,239
"5711",1958,5,11,222
"6281",1958,5,12,228
"6851",1958,5,13,250
"7421",1958,5,14,-99.9
"7991",1958,5,15,239
"8561",1958,5,16,261
"9131",1958,5,17,250
"9701",1958,5,18,239
"10271",1958,5,19,239
"10841",1958,5,20,239
"11411",1958,5,21,211
"11981",1958,5,22,250
"12551",1958,5,23,250
"13121",1958,5,24,200
"13691",1958,5,25,228
"14261",1958,5,26,239
"14831",1958,5,27,222
"15401",1958,5,28,228
"15970",1958,5,29,228
"16503",1958,5,30,250
"17022",1958,5,31,-99.9
"12",1958,6,1,222
"582",1958,6,2,239
"1152",1958,6,3,272
"1722",1958,6,4,239
"2292",1958,6,5,222
"2862",1958,6,6,-99.9
"3432",1958,6,7,222
"4002",1958,6,8,-99.9
"4572",1958,6,9,261
"5142",1958,6,10,211
"5712",1958,6,11,250
"6282",1958,6,12,228
"6852",1958,6,13,250
"7422",1958,6,14,200
"7992",1958,6,15,239
"8562",1958,6,16,239
"9132",1958,6,17,222
"9702",1958,6,18,239
"10272",1958,6,19,222
"10842",1958,6,20,222
"11412",1958,6,21,239
"11982",1958,6,22,239
"12552",1958,6,23,222
"13122",1958,6,24,228
"13692",1958,6,25,222
"14262",1958,6,26,228
"14832",1958,6,27,222
"15402",1958,6,28,-99.9
"15971",1958,6,29,-99.9
"16504",1958,6,30,200
"13",1958,7,1,222
"583",1958,7,2,222
"1153",1958,7,3,222
"1723",1958,7,4,-99.9
"2293",1958,7,5,200
"2863",1958,7,6,222
"3433",1958,7,7,228
"4003",1958,7,8,228
"4573",1958,7,9,222
"5143",1958,7,10,228
"5713",1958,7,11,228
"6283",1958,7,12,228
"6853",1958,7,13,222
"7423",1958,7,14,222
"7993",1958,7,15,211
"8563",1958,7,16,222
"9133",1958,7,17,200
"9703",1958,7,18,222
"10273",1958,7,19,222
"10843",1958,7,20,222
"11413",1958,7,21,211
"11983",1958,7,22,189
"12553",1958,7,23,211
"13123",1958,7,24,228
"13693",1958,7,25,222
"14263",1958,7,26,211
"14833",1958,7,27,222
"15403",1958,7,28,228
"15972",1958,7,29,211
"16505",1958,7,30,222
"17023",1958,7,31,222
"14",1958,8,1,222
"584",1958,8,2,222
"1154",1958,8,3,228
"1724",1958,8,4,222
"2294",1958,8,5,222
"2864",1958,8,6,200
"3434",1958,8,7,222
"4004",1958,8,8,228
"4574",1958,8,9,222
"5144",1958,8,10,228
"5714",1958,8,11,-99.9
"6284",1958,8,12,-99.9
"6854",1958,8,13,211
"7424",1958,8,14,211
"7994",1958,8,15,228
"8564",1958,8,16,222
"9134",1958,8,17,222
"9704",1958,8,18,222
"10274",1958,8,19,-99.9
"10844",1958,8,20,222
"11414",1958,8,21,211
"11984",1958,8,22,222
"12554",1958,8,23,228
"13124",1958,8,24,211
"13694",1958,8,25,-99.9
"14264",1958,8,26,211
"14834",1958,8,27,211
"15404",1958,8,28,222
"15973",1958,8,29,222
"16506",1958,8,30,222
"17024",1958,8,31,222
"15",1958,9,1,211
"585",1958,9,2,211
"1155",1958,9,3,-99.9
"1725",1958,9,4,211
"2295",1958,9,5,211
"2865",1958,9,6,228
"3435",1958,9,7,211
"4005",1958,9,8,228
"4575",1958,9,9,222
"5145",1958,9,10,228
"5715",1958,9,11,211
"6285",1958,9,12,228
"6855",1958,9,13,222
"7425",1958,9,14,222
"7995",1958,9,15,222
"8565",1958,9,16,222
"9135",1958,9,17,-99.9
"9705",1958,9,18,211
"10275",1958,9,19,211
"10845",1958,9,20,200
"11415",1958,9,21,222
"11985",1958,9,22,228
"12555",1958,9,23,200
"13125",1958,9,24,222
"13695",1958,9,25,228
"14265",1958,9,26,211
"14835",1958,9,27,222
"15405",1958,9,28,222
"15974",1958,9,29,211
"16507",1958,9,30,222
"16",1958,10,1,211
"586",1958,10,2,211
"1156",1958,10,3,222
"1726",1958,10,4,200
"2296",1958,10,5,222
"2866",1958,10,6,189
"3436",1958,10,7,222
"4006",1958,10,8,222
"4576",1958,10,9,211
"5146",1958,10,10,222
"5716",1958,10,11,222
"6286",1958,10,12,228
"6856",1958,10,13,222
"7426",1958,10,14,228
"7996",1958,10,15,228
"8566",1958,10,16,211
"9136",1958,10,17,222
"9706",1958,10,18,222
"10276",1958,10,19,228
"10846",1958,10,20,228
"11416",1958,10,21,239
"11986",1958,10,22,222
"12556",1958,10,23,222
"13126",1958,10,24,211
"13696",1958,10,25,222
"14266",1958,10,26,239
"14836",1958,10,27,228
"15406",1958,10,28,228
"15975",1958,10,29,222
"16508",1958,10,30,-99.9
"17025",1958,10,31,239
"17",1958,11,1,239
"587",1958,11,2,239
"1157",1958,11,3,222
"1727",1958,11,4,228
"2297",1958,11,5,222
"2867",1958,11,6,222
"3437",1958,11,7,211
"4007",1958,11,8,200
"4577",1958,11,9,189
"5147",1958,11,10,200
"5717",1958,11,11,228
"6287",1958,11,12,222
"6857",1958,11,13,222
"7427",1958,11,14,222
"7997",1958,11,15,239
"8567",1958,11,16,211
"9137",1958,11,17,222
"9707",1958,11,18,211
"10277",1958,11,19,200
"10847",1958,11,20,200
"11417",1958,11,21,222
"11987",1958,11,22,228
"12557",1958,11,23,228
"13127",1958,11,24,228
"13697",1958,11,25,222
"14267",1958,11,26,211
"14837",1958,11,27,222
"15407",1958,11,28,211
"15976",1958,11,29,189
"16509",1958,11,30,172
"18",1958,12,1,178
"588",1958,12,2,200
"1158",1958,12,3,200
"1728",1958,12,4,189
"2298",1958,12,5,211
"2868",1958,12,6,172
"3438",1958,12,7,172
"4008",1958,12,8,161
"4578",1958,12,9,161
"5148",1958,12,10,161
"5718",1958,12,11,172
"6288",1958,12,12,178
"6858",1958,12,13,189
"7428",1958,12,14,172
"7998",1958,12,15,139
"8568",1958,12,16,150
"9138",1958,12,17,139
"9708",1958,12,18,139
"10278",1958,12,19,150
"10848",1958,12,20,150
"11418",1958,12,21,161
"11988",1958,12,22,172
"12558",1958,12,23,172
"13128",1958,12,24,150
"13698",1958,12,25,122
"14268",1958,12,26,122
"14838",1958,12,27,128
"15408",1958,12,28,128
"15977",1958,12,29,128
"16510",1958,12,30,111
"17026",1958,12,31,111
"19",1961,3,1,-99.9
"589",1961,3,2,-99.9
"1159",1961,3,3,-99.9
"1729",1961,3,4,-99.9
"2299",1961,3,5,-99.9
"2869",1961,3,6,-99.9
"3439",1961,3,7,-99.9
"4009",1961,3,8,-99.9
"4579",1961,3,9,-99.9
"5149",1961,3,10,-99.9
