"","Year","Month","Day","value"
"1",1965,4,1,-99.9
"52",1965,4,2,-99.9
"103",1965,4,3,-99.9
"154",1965,4,4,-99.9
"205",1965,4,5,-99.9
"256",1965,4,6,-99.9
"307",1965,4,7,-99.9
"358",1965,4,8,-99.9
"409",1965,4,9,-99.9
"460",1965,4,10,-99.9
"511",1965,4,11,-99.9
"562",1965,4,12,-99.9
"613",1965,4,13,-99.9
"664",1965,4,14,-99.9
"715",1965,4,15,-99.9
"766",1965,4,16,-99.9
"817",1965,4,17,-99.9
"868",1965,4,18,-99.9
"919",1965,4,19,-99.9
"970",1965,4,20,-99.9
"1021",1965,4,21,-99.9
"1072",1965,4,22,-99.9
"1123",1965,4,23,-99.9
"1174",1965,4,24,-99.9
"1225",1965,4,25,-99.9
"1276",1965,4,26,-99.9
"1327",1965,4,27,-99.9
"1378",1965,4,28,110
"1429",1965,4,29,110
"1477",1965,4,30,120
"2",1965,5,1,140
"53",1965,5,2,140
"104",1965,5,3,150
"155",1965,5,4,140
"206",1965,5,5,170
"257",1965,5,6,140
"308",1965,5,7,150
"359",1965,5,8,160
"410",1965,5,9,150
"461",1965,5,10,170
"512",1965,5,11,150
"563",1965,5,12,160
"614",1965,5,13,140
"665",1965,5,14,180
"716",1965,5,15,160
"767",1965,5,16,140
"818",1965,5,17,190
"869",1965,5,18,170
"920",1965,5,19,140
"971",1965,5,20,170
"1022",1965,5,21,140
"1073",1965,5,22,150
"1124",1965,5,23,160
"1175",1965,5,24,150
"1226",1965,5,25,150
"1277",1965,5,26,160
"1328",1965,5,27,160
"1379",1965,5,28,150
"1430",1965,5,29,150
"1478",1965,5,30,150
"1524",1965,5,31,140
"3",1965,6,1,160
"54",1965,6,2,190
"105",1965,6,3,170
"156",1965,6,4,180
"207",1965,6,5,160
"258",1965,6,6,170
"309",1965,6,7,160
"360",1965,6,8,160
"411",1965,6,9,170
"462",1965,6,10,190
"513",1965,6,11,170
"564",1965,6,12,180
"615",1965,6,13,180
"666",1965,6,14,180
"717",1965,6,15,200
"768",1965,6,16,180
"819",1965,6,17,220
"870",1965,6,18,210
"921",1965,6,19,210
"972",1965,6,20,210
"1023",1965,6,21,210
"1074",1965,6,22,230
"1125",1965,6,23,220
"1176",1965,6,24,210
"1227",1965,6,25,220
"1278",1965,6,26,210
"1329",1965,6,27,220
"1380",1965,6,28,240
"1431",1965,6,29,230
"1479",1965,6,30,230
"4",1965,7,1,210
"55",1965,7,2,210
"106",1965,7,3,210
"157",1965,7,4,210
"208",1965,7,5,170
"259",1965,7,6,180
"310",1965,7,7,210
"361",1965,7,8,220
"412",1965,7,9,180
"463",1965,7,10,190
"514",1965,7,11,180
"565",1965,7,12,230
"616",1965,7,13,210
"667",1965,7,14,200
"718",1965,7,15,200
"769",1965,7,16,210
"820",1965,7,17,200
"871",1965,7,18,200
"922",1965,7,19,190
"973",1965,7,20,200
"1024",1965,7,21,190
"1075",1965,7,22,200
"1126",1965,7,23,200
"1177",1965,7,24,230
"1228",1965,7,25,220
"1279",1965,7,26,210
"1330",1965,7,27,200
"1381",1965,7,28,230
"1432",1965,7,29,200
"1480",1965,7,30,210
"1525",1965,7,31,210
"5",1965,8,1,210
"56",1965,8,2,180
"107",1965,8,3,200
"158",1965,8,4,220
"209",1965,8,5,230
"260",1965,8,6,200
"311",1965,8,7,230
"362",1965,8,8,200
"413",1965,8,9,180
"464",1965,8,10,130
"515",1965,8,11,210
"566",1965,8,12,230
"617",1965,8,13,210
"668",1965,8,14,220
"719",1965,8,15,220
"770",1965,8,16,230
"821",1965,8,17,220
"872",1965,8,18,200
"923",1965,8,19,230
"974",1965,8,20,230
"1025",1965,8,21,220
"1076",1965,8,22,220
"1127",1965,8,23,200
"1178",1965,8,24,180
"1229",1965,8,25,200
"1280",1965,8,26,180
"1331",1965,8,27,190
"1382",1965,8,28,200
"1433",1965,8,29,200
"1481",1965,8,30,210
"1526",1965,8,31,210
"6",1965,9,1,200
"57",1965,9,2,190
"108",1965,9,3,210
"159",1965,9,4,150
"210",1965,9,5,170
"261",1965,9,6,150
"312",1965,9,7,140
"363",1965,9,8,170
"414",1965,9,9,170
"465",1965,9,10,180
"516",1965,9,11,150
"567",1965,9,12,150
"618",1965,9,13,160
"669",1965,9,14,170
"720",1965,9,15,180
"771",1965,9,16,210
"822",1965,9,17,180
"873",1965,9,18,180
"924",1965,9,19,180
"975",1965,9,20,200
"1026",1965,9,21,180
"1077",1965,9,22,180
"1128",1965,9,23,180
"1179",1965,9,24,180
"1230",1965,9,25,200
