"","Year","Month","Day","value"
"1",1948,10,1,200
"431",1948,10,2,200
"861",1948,10,3,200
"1291",1948,10,4,180
"1721",1948,10,5,200
"2151",1948,10,6,185
"2581",1948,10,7,210
"3011",1948,10,8,215
"3441",1948,10,9,215
"3871",1948,10,10,215
"4301",1948,10,11,230
"4731",1948,10,12,235
"5161",1948,10,13,220
"5591",1948,10,14,215
"6021",1948,10,15,210
"6451",1948,10,16,220
"6881",1948,10,17,215
"7311",1948,10,18,210
"7741",1948,10,19,200
"8171",1948,10,20,200
"8601",1948,10,21,205
"9031",1948,10,22,195
"9461",1948,10,23,190
"9891",1948,10,24,190
"10321",1948,10,25,160
"10751",1948,10,26,175
"11181",1948,10,27,195
"11611",1948,10,28,165
"12041",1948,10,29,180
"12444",1948,10,30,175
"12838",1948,10,31,190
"2",1948,11,1,200
"432",1948,11,2,220
"862",1948,11,3,205
"1292",1948,11,4,210
"1722",1948,11,5,220
"2152",1948,11,6,210
"2582",1948,11,7,175
"3012",1948,11,8,200
"3442",1948,11,9,210
"3872",1948,11,10,200
"4302",1948,11,11,200
"4732",1948,11,12,210
"5162",1948,11,13,180
"5592",1948,11,14,190
"6022",1948,11,15,215
"6452",1948,11,16,215
"6882",1948,11,17,220
"7312",1948,11,18,215
"7742",1948,11,19,210
"8172",1948,11,20,165
"8602",1948,11,21,175
"9032",1948,11,22,195
"9462",1948,11,23,195
"9892",1948,11,24,185
"10322",1948,11,25,195
"10752",1948,11,26,200
"11182",1948,11,27,200
"11612",1948,11,28,205
"12042",1948,11,29,205
"12445",1948,11,30,145
"3",1948,12,1,150
"433",1948,12,2,160
"863",1948,12,3,125
"1293",1948,12,4,190
"1723",1948,12,5,180
"2153",1948,12,6,190
"2583",1948,12,7,170
"3013",1948,12,8,180
"3443",1948,12,9,195
"3873",1948,12,10,195
"4303",1948,12,11,170
"4733",1948,12,12,170
"5163",1948,12,13,175
"5593",1948,12,14,210
"6023",1948,12,15,200
"6453",1948,12,16,205
"6883",1948,12,17,210
"7313",1948,12,18,210
"7743",1948,12,19,170
"8173",1948,12,20,175
"8603",1948,12,21,180
"9033",1948,12,22,180
"9463",1948,12,23,200
"9893",1948,12,24,165
"10323",1948,12,25,200
"10753",1948,12,26,190
"11183",1948,12,27,210
"11613",1948,12,28,220
"12043",1948,12,29,230
"12446",1948,12,30,205
"12839",1948,12,31,150
"4",1949,1,1,155
"434",1949,1,2,125
"864",1949,1,3,135
"1294",1949,1,4,120
"1724",1949,1,5,135
"2154",1949,1,6,180
"2584",1949,1,7,160
"3014",1949,1,8,155
"3444",1949,1,9,160
"3874",1949,1,10,140
"4304",1949,1,11,160
"4734",1949,1,12,190
"5164",1949,1,13,200
"5594",1949,1,14,200
"6024",1949,1,15,160
"6454",1949,1,16,160
"6884",1949,1,17,170
"7314",1949,1,18,175
"7744",1949,1,19,195
"8174",1949,1,20,170
"8604",1949,1,21,185
"9034",1949,1,22,180
"9464",1949,1,23,155
"9894",1949,1,24,160
"10324",1949,1,25,180
"10754",1949,1,26,185
"11184",1949,1,27,180
"11614",1949,1,28,190
"12044",1949,1,29,210
"12447",1949,1,30,145
"12840",1949,1,31,135
"5",1949,2,1,145
"435",1949,2,2,175
"865",1949,2,3,170
"1295",1949,2,4,160
"1725",1949,2,5,165
"2155",1949,2,6,195
"2585",1949,2,7,215
"3015",1949,2,8,210
"3445",1949,2,9,190
"3875",1949,2,10,190
"4305",1949,2,11,195
"4735",1949,2,12,160
"5165",1949,2,13,175
"5595",1949,2,14,170
"6025",1949,2,15,170
"6455",1949,2,16,180
"6885",1949,2,17,200
"7315",1949,2,18,160
"7745",1949,2,19,175
"8175",1949,2,20,185
"8605",1949,2,21,195
"9035",1949,2,22,170
"9465",1949,2,23,155
"9895",1949,2,24,150
"10325",1949,2,25,160
"10755",1949,2,26,180
"11185",1949,2,27,185
"11615",1949,2,28,195
"6",1949,3,1,190
"436",1949,3,2,190
"866",1949,3,3,195
"1296",1949,3,4,175
"1726",1949,3,5,180
"2156",1949,3,6,180
"2586",1949,3,7,160
"3016",1949,3,8,170
"3446",1949,3,9,145
"3876",1949,3,10,160
"4306",1949,3,11,175
"4736",1949,3,12,175
"5166",1949,3,13,190
"5596",1949,3,14,200
"6026",1949,3,15,205
"6456",1949,3,16,205
"6886",1949,3,17,165
"7316",1949,3,18,175
"7746",1949,3,19,188
"8176",1949,3,20,185
"8606",1949,3,21,175
"9036",1949,3,22,190
"9466",1949,3,23,205
"9896",1949,3,24,210
"10326",1949,3,25,215
"10756",1949,3,26,215
"11186",1949,3,27,210
"11616",1949,3,28,210
"12045",1949,3,29,195
"12448",1949,3,30,200
"12841",1949,3,31,210
"7",1949,4,1,215
"437",1949,4,2,190
"867",1949,4,3,205
"1297",1949,4,4,210
"1727",1949,4,5,190
"2157",1949,4,6,145
"2587",1949,4,7,125
"3017",1949,4,8,145
"3447",1949,4,9,170
"3877",1949,4,10,195
"4307",1949,4,11,220
"4737",1949,4,12,205
"5167",1949,4,13,185
"5597",1949,4,14,190
"6027",1949,4,15,210
"6457",1949,4,16,220
"6887",1949,4,17,190
"7317",1949,4,18,210
"7747",1949,4,19,220
"8177",1949,4,20,225
"8607",1949,4,21,225
"9037",1949,4,22,220
"9467",1949,4,23,235
"9897",1949,4,24,230
