"","Year","Month","Day","value"
"1",1976,2,1,-99.9
"460",1976,2,2,-99.9
"919",1976,2,3,-99.9
"1378",1976,2,4,-99.9
"1837",1976,2,5,-99.9
"2296",1976,2,6,-99.9
"2755",1976,2,7,-99.9
"3214",1976,2,8,-99.9
"3673",1976,2,9,-99.9
"4132",1976,2,10,-99.9
"4591",1976,2,11,-99.9
"5050",1976,2,12,-99.9
"5509",1976,2,13,-99.9
"5968",1976,2,14,-99.9
"6427",1976,2,15,-99.9
"6886",1976,2,16,-99.9
"7345",1976,2,17,-99.9
"7804",1976,2,18,-99.9
"8263",1976,2,19,-99.9
"8722",1976,2,20,-99.9
"9181",1976,2,21,-99.9
"9640",1976,2,22,-99.9
"10099",1976,2,23,-99.9
"10558",1976,2,24,-99.9
"11017",1976,2,25,-99.9
"11476",1976,2,26,-99.9
"11935",1976,2,27,-99.9
"12394",1976,2,28,-99.9
"12853",1976,2,29,230
"2",1979,1,1,-99.9
"461",1979,1,2,200
"920",1979,1,3,200
"1379",1979,1,4,-99.9
"1838",1979,1,5,-99.9
"2297",1979,1,6,-99.9
"2756",1979,1,7,-99.9
"3215",1979,1,8,-99.9
"3674",1979,1,9,-99.9
"4133",1979,1,10,-99.9
"4592",1979,1,11,-99.9
"5051",1979,1,12,-99.9
"5510",1979,1,13,-99.9
"5969",1979,1,14,-99.9
"6428",1979,1,15,-99.9
"6887",1979,1,16,-99.9
"7346",1979,1,17,-99.9
"7805",1979,1,18,-99.9
"8264",1979,1,19,-99.9
"8723",1979,1,20,100
"9182",1979,1,21,100
"9641",1979,1,22,-99.9
"10100",1979,1,23,190
"10559",1979,1,24,-99.9
"11018",1979,1,25,-99.9
"11477",1979,1,26,-99.9
"11936",1979,1,27,-99.9
"12395",1979,1,28,-99.9
"12854",1979,1,29,-99.9
"13283",1979,1,30,-99.9
"13702",1979,1,31,200
"3",1979,2,1,-99.9
"462",1979,2,2,-99.9
"921",1979,2,3,150
"1380",1979,2,4,-99.9
"1839",1979,2,5,-99.9
"2298",1979,2,6,-99.9
"2757",1979,2,7,-99.9
"3216",1979,2,8,-99.9
"3675",1979,2,9,-99.9
"4134",1979,2,10,-99.9
"4593",1979,2,11,-99.9
"5052",1979,2,12,-99.9
"5511",1979,2,13,200
"5970",1979,2,14,200
"6429",1979,2,15,-99.9
"6888",1979,2,16,200
"7347",1979,2,17,190
"7806",1979,2,18,-99.9
"8265",1979,2,19,190
"8724",1979,2,20,190
"9183",1979,2,21,190
"9642",1979,2,22,190
"10101",1979,2,23,200
"10560",1979,2,24,200
"11019",1979,2,25,-99.9
"11478",1979,2,26,-99.9
"11937",1979,2,27,-99.9
"12396",1979,2,28,200
"4",1979,3,1,-99.9
"463",1979,3,2,100
"922",1979,3,3,100
"1381",1979,3,4,-99.9
"1840",1979,3,5,200
"2299",1979,3,6,200
"2758",1979,3,7,200
"3217",1979,3,8,200
"3676",1979,3,9,-99.9
