"","Year","Month","Day","value"
"1",1972,1,1,178
"547",1972,1,2,154
"1093",1972,1,3,164
"1639",1972,1,4,139
"2185",1972,1,5,132
"2731",1972,1,6,116
"3277",1972,1,7,94
"3823",1972,1,8,95
"4369",1972,1,9,128
"4915",1972,1,10,157
"5461",1972,1,11,120
"6007",1972,1,12,160
"6553",1972,1,13,167
"7099",1972,1,14,137
"7645",1972,1,15,95
"8191",1972,1,16,97
"8737",1972,1,17,152
"9283",1972,1,18,132
"9829",1972,1,19,150
"10375",1972,1,20,105
"10921",1972,1,21,92
"11467",1972,1,22,130
"12013",1972,1,23,67
"12559",1972,1,24,73
"13105",1972,1,25,144
"13651",1972,1,26,78
"14197",1972,1,27,100
"14743",1972,1,28,173
"15289",1972,1,29,147
"15801",1972,1,30,157
"16301",1972,1,31,125
"2",1972,2,1,76
"548",1972,2,2,57
"1094",1972,2,3,85
"1640",1972,2,4,134
"2186",1972,2,5,113
"2732",1972,2,6,73
"3278",1972,2,7,67
"3824",1972,2,8,123
"4370",1972,2,9,93
"4916",1972,2,10,76
"5462",1972,2,11,148
"6008",1972,2,12,60
"6554",1972,2,13,59
"7100",1972,2,14,80
"7646",1972,2,15,68
"8192",1972,2,16,74
"8738",1972,2,17,106
"9284",1972,2,18,157
"9830",1972,2,19,154
"10376",1972,2,20,152
"10922",1972,2,21,172
"11468",1972,2,22,166
"12014",1972,2,23,187
"12560",1972,2,24,112
"13106",1972,2,25,88
"13652",1972,2,26,163
"14198",1972,2,27,74
"14744",1972,2,28,98
"15290",1972,2,29,152
"3",1972,3,1,156
"549",1972,3,2,94
"1095",1972,3,3,157
"1641",1972,3,4,183
"2187",1972,3,5,132
"2733",1972,3,6,73
"3279",1972,3,7,140
"3825",1972,3,8,143
"4371",1972,3,9,170
"4917",1972,3,10,184
"5463",1972,3,11,170
"6009",1972,3,12,170
"6555",1972,3,13,143
"7101",1972,3,14,158
"7647",1972,3,15,167
"8193",1972,3,16,162
"8739",1972,3,17,142
"9285",1972,3,18,71
"9831",1972,3,19,142
"10377",1972,3,20,148
"10923",1972,3,21,160
"11469",1972,3,22,141
"12015",1972,3,23,156
"12561",1972,3,24,140
"13107",1972,3,25,153
"13653",1972,3,26,166
"14199",1972,3,27,164
"14745",1972,3,28,141
"15291",1972,3,29,154
"15802",1972,3,30,127
"16302",1972,3,31,130
"4",1972,4,1,80
"550",1972,4,2,76
"1096",1972,4,3,107
"1642",1972,4,4,131
"2188",1972,4,5,153
"2734",1972,4,6,157
"3280",1972,4,7,157
"3826",1972,4,8,104
"4372",1972,4,9,48
"4918",1972,4,10,78
"5464",1972,4,11,81
"6010",1972,4,12,111
"6556",1972,4,13,62
"7102",1972,4,14,23
"7648",1972,4,15,22
"8194",1972,4,16,44
"8740",1972,4,17,80
"9286",1972,4,18,107
"9832",1972,4,19,49
"10378",1972,4,20,103
"10924",1972,4,21,154
"11470",1972,4,22,155
"12016",1972,4,23,149
"12562",1972,4,24,154
"13108",1972,4,25,118
"13654",1972,4,26,41
"14200",1972,4,27,119
"14746",1972,4,28,88
"15292",1972,4,29,39
"15803",1972,4,30,107
"5",1972,5,1,22
"551",1972,5,2,59
"1097",1972,5,3,123
"1643",1972,5,4,35
"2189",1972,5,5,76
"2735",1972,5,6,91
"3281",1972,5,7,53
"3827",1972,5,8,32
"4373",1972,5,9,44
"4919",1972,5,10,32
"5465",1972,5,11,86
"6011",1972,5,12,127
"6557",1972,5,13,103
"7103",1972,5,14,77
"7649",1972,5,15,78
"8195",1972,5,16,106
"8741",1972,5,17,110
"9287",1972,5,18,34
"9833",1972,5,19,42
"10379",1972,5,20,76
"10925",1972,5,21,12
"11471",1972,5,22,68
"12017",1972,5,23,134
"12563",1972,5,24,103
"13109",1972,5,25,-14
"13655",1972,5,26,24
"14201",1972,5,27,87
"14747",1972,5,28,9
"15293",1972,5,29,48
"15804",1972,5,30,61
"16303",1972,5,31,-4
"6",1972,6,1,93
"552",1972,6,2,82
"1098",1972,6,3,20
"1644",1972,6,4,-7
"2190",1972,6,5,13
"2736",1972,6,6,21
"3282",1972,6,7,-12
"3828",1972,6,8,14
"4374",1972,6,9,6
"4920",1972,6,10,3
"5466",1972,6,11,32
"6012",1972,6,12,70
"6558",1972,6,13,71
"7104",1972,6,14,34
"7650",1972,6,15,36
"8196",1972,6,16,55
"8742",1972,6,17,93
"9288",1972,6,18,-28
"9834",1972,6,19,2
"10380",1972,6,20,14
"10926",1972,6,21,-2
"11472",1972,6,22,27
"12018",1972,6,23,-4
"12564",1972,6,24,-4
"13110",1972,6,25,16
"13656",1972,6,26,-13
"14202",1972,6,27,-14
"14748",1972,6,28,-33
"15294",1972,6,29,4
"15805",1972,6,30,68
"7",1972,7,1,108
"553",1972,7,2,97
"1099",1972,7,3,9
"1645",1972,7,4,28
"2191",1972,7,5,48
"2737",1972,7,6,5
"3283",1972,7,7,-4
"3829",1972,7,8,6
"4375",1972,7,9,76
"4921",1972,7,10,97
"5467",1972,7,11,90
"6013",1972,7,12,81
"6559",1972,7,13,85
"7105",1972,7,14,102
"7651",1972,7,15,16
"8197",1972,7,16,90
"8743",1972,7,17,41
"9289",1972,7,18,56
"9835",1972,7,19,90
"10381",1972,7,20,98
"10927",1972,7,21,101
"11473",1972,7,22,92
"12019",1972,7,23,54
"12565",1972,7,24,28
"13111",1972,7,25,1
"13657",1972,7,26,-2
"14203",1972,7,27,17
"14749",1972,7,28,43
"15295",1972,7,29,36
"15806",1972,7,30,-17
"16304",1972,7,31,-10
"8",1972,8,1,24
"554",1972,8,2,6
"1100",1972,8,3,27
"1646",1972,8,4,12
"2192",1972,8,5,21
"2738",1972,8,6,14
"3284",1972,8,7,-11
"3830",1972,8,8,31
"4376",1972,8,9,66
"4922",1972,8,10,82
"5468",1972,8,11,96
"6014",1972,8,12,74
"6560",1972,8,13,56
"7106",1972,8,14,73
"7652",1972,8,15,88
"8198",1972,8,16,50
"8744",1972,8,17,32
"9290",1972,8,18,0
"9836",1972,8,19,-6
"10382",1972,8,20,6
"10928",1972,8,21,50
"11474",1972,8,22,-10
"12020",1972,8,23,4
"12566",1972,8,24,74
"13112",1972,8,25,104
"13658",1972,8,26,32
"14204",1972,8,27,20
"14750",1972,8,28,-4
"15296",1972,8,29,63
"15807",1972,8,30,112
"16305",1972,8,31,100
"9",1972,9,1,120
"555",1972,9,2,109
"1101",1972,9,3,40
"1647",1972,9,4,0
"2193",1972,9,5,60
"2739",1972,9,6,58
"3285",1972,9,7,118
"3831",1972,9,8,124
"4377",1972,9,9,102
"4923",1972,9,10,40
"5469",1972,9,11,82
"6015",1972,9,12,117
"6561",1972,9,13,117
"7107",1972,9,14,57
"7653",1972,9,15,76
"8199",1972,9,16,94
"8745",1972,9,17,27
"9291",1972,9,18,105
"9837",1972,9,19,106
"10383",1972,9,20,78
"10929",1972,9,21,53
"11475",1972,9,22,78
"12021",1972,9,23,118
"12567",1972,9,24,117
"13113",1972,9,25,126
"13659",1972,9,26,128
"14205",1972,9,27,117
"14751",1972,9,28,56
"15297",1972,9,29,74
"15808",1972,9,30,56
"10",1972,10,1,79
"556",1972,10,2,107
"1102",1972,10,3,115
"1648",1972,10,4,103
"2194",1972,10,5,126
"2740",1972,10,6,136
"3286",1972,10,7,144
"3832",1972,10,8,112
"4378",1972,10,9,105
"4924",1972,10,10,95
"5470",1972,10,11,116
"6016",1972,10,12,117
"6562",1972,10,13,103
"7108",1972,10,14,48
"7654",1972,10,15,100
"8200",1972,10,16,84
"8746",1972,10,17,80
"9292",1972,10,18,58
"9838",1972,10,19,80
"10384",1972,10,20,90
"10930",1972,10,21,122
"11476",1972,10,22,125
"12022",1972,10,23,128
"12568",1972,10,24,127
"13114",1972,10,25,130
"13660",1972,10,26,65
"14206",1972,10,27,61
"14752",1972,10,28,68
"15298",1972,10,29,71
"15809",1972,10,30,117
"16306",1972,10,31,124
"11",1972,11,1,131
"557",1972,11,2,140
"1103",1972,11,3,124
"1649",1972,11,4,142
"2195",1972,11,5,147
"2741",1972,11,6,153
"3287",1972,11,7,148
"3833",1972,11,8,156
"4379",1972,11,9,129
"4925",1972,11,10,102
"5471",1972,11,11,122
"6017",1972,11,12,128
"6563",1972,11,13,149
"7109",1972,11,14,134
"7655",1972,11,15,121
"8201",1972,11,16,128
"8747",1972,11,17,63
"9293",1972,11,18,66
"9839",1972,11,19,103
"10385",1972,11,20,150
"10931",1972,11,21,145
"11477",1972,11,22,119
"12023",1972,11,23,96
"12569",1972,11,24,35
"13115",1972,11,25,132
"13661",1972,11,26,133
"14207",1972,11,27,102
"14753",1972,11,28,146
"15299",1972,11,29,135
"15810",1972,11,30,122
"12",1972,12,1,92
"558",1972,12,2,73
"1104",1972,12,3,52
"1650",1972,12,4,51
"2196",1972,12,5,119
"2742",1972,12,6,74
"3288",1972,12,7,57
"3834",1972,12,8,138
"4380",1972,12,9,89
"4926",1972,12,10,137
"5472",1972,12,11,116
"6018",1972,12,12,140
"6564",1972,12,13,92
"7110",1972,12,14,54
"7656",1972,12,15,142
"8202",1972,12,16,153
"8748",1972,12,17,158
"9294",1972,12,18,116
"9840",1972,12,19,100
"10386",1972,12,20,115
"10932",1972,12,21,82
"11478",1972,12,22,129
"12024",1972,12,23,143
"12570",1972,12,24,138
"13116",1972,12,25,121
"13662",1972,12,26,104
"14208",1972,12,27,82
"14754",1972,12,28,132
"15300",1972,12,29,87
"15811",1972,12,30,132
"16307",1972,12,31,156
"13",1973,1,1,129
"559",1973,1,2,75
"1105",1973,1,3,116
"1651",1973,1,4,132
"2197",1973,1,5,168
"2743",1973,1,6,155
"3289",1973,1,7,148
"3835",1973,1,8,140
"4381",1973,1,9,106
"4927",1973,1,10,170
"5473",1973,1,11,113
"6019",1973,1,12,106
"6565",1973,1,13,76
"7111",1973,1,14,107
"7657",1973,1,15,144
"8203",1973,1,16,152
"8749",1973,1,17,119
"9295",1973,1,18,120
"9841",1973,1,19,142
"10387",1973,1,20,158
"10933",1973,1,21,162
"11479",1973,1,22,163
"12025",1973,1,23,134
"12571",1973,1,24,60
"13117",1973,1,25,150
"13663",1973,1,26,152
"14209",1973,1,27,139
"14755",1973,1,28,114
"15301",1973,1,29,66
"15812",1973,1,30,163
"16308",1973,1,31,142
"14",1973,2,1,169
"560",1973,2,2,169
"1106",1973,2,3,176
"1652",1973,2,4,173
"2198",1973,2,5,142
"2744",1973,2,6,183
"3290",1973,2,7,159
"3836",1973,2,8,121
"4382",1973,2,9,124
"4928",1973,2,10,148
"5474",1973,2,11,134
"6020",1973,2,12,102
"6566",1973,2,13,60
"7112",1973,2,14,64
"7658",1973,2,15,80
"8204",1973,2,16,79
"8750",1973,2,17,124
"9296",1973,2,18,84
"9842",1973,2,19,110
"10388",1973,2,20,116
"10934",1973,2,21,151
"11480",1973,2,22,100
"12026",1973,2,23,98
"12572",1973,2,24,139
"13118",1973,2,25,159
"13664",1973,2,26,96
"14210",1973,2,27,98
"14756",1973,2,28,110
"15",1973,3,1,85
"561",1973,3,2,174
"1107",1973,3,3,169
"1653",1973,3,4,170
"2199",1973,3,5,168
"2745",1973,3,6,127
"3291",1973,3,7,156
"3837",1973,3,8,148
"4383",1973,3,9,147
"4929",1973,3,10,132
"5475",1973,3,11,129
"6021",1973,3,12,128
"6567",1973,3,13,130
"7113",1973,3,14,153
"7659",1973,3,15,187
"8205",1973,3,16,141
"8751",1973,3,17,90
"9297",1973,3,18,88
"9843",1973,3,19,155
"10389",1973,3,20,152
"10935",1973,3,21,117
"11481",1973,3,22,108
"12027",1973,3,23,103
"12573",1973,3,24,102
"13119",1973,3,25,123
"13665",1973,3,26,55
"14211",1973,3,27,28
"14757",1973,3,28,60
"15302",1973,3,29,136
"15813",1973,3,30,150
"16309",1973,3,31,158
"16",1973,4,1,104
"562",1973,4,2,102
"1108",1973,4,3,84
"1654",1973,4,4,109
"2200",1973,4,5,87
"2746",1973,4,6,40
"3292",1973,4,7,88
"3838",1973,4,8,102
"4384",1973,4,9,65
"4930",1973,4,10,117
"5476",1973,4,11,59
"6022",1973,4,12,76
"6568",1973,4,13,98
"7114",1973,4,14,109
"7660",1973,4,15,144
"8206",1973,4,16,120
"8752",1973,4,17,55
"9298",1973,4,18,60
"9844",1973,4,19,107
"10390",1973,4,20,148
"10936",1973,4,21,132
"11482",1973,4,22,130
"12028",1973,4,23,114
"12574",1973,4,24,28
"13120",1973,4,25,64
"13666",1973,4,26,130
"14212",1973,4,27,130
"14758",1973,4,28,138
"15303",1973,4,29,117
"15814",1973,4,30,77
"17",1973,5,1,115
"563",1973,5,2,82
"1109",1973,5,3,135
"1655",1973,5,4,153
"2201",1973,5,5,150
"2747",1973,5,6,90
"3293",1973,5,7,78
"3839",1973,5,8,141
"4385",1973,5,9,116
"4931",1973,5,10,30
"5477",1973,5,11,112
"6023",1973,5,12,76
"6569",1973,5,13,100
"7115",1973,5,14,96
"7661",1973,5,15,87
"8207",1973,5,16,43
"8753",1973,5,17,84
"9299",1973,5,18,42
"9845",1973,5,19,75
"10391",1973,5,20,59
"10937",1973,5,21,-22
"11483",1973,5,22,13
"12029",1973,5,23,113
"12575",1973,5,24,67
"13121",1973,5,25,22
"13667",1973,5,26,48
"14213",1973,5,27,101
"14759",1973,5,28,113
"15304",1973,5,29,124
"15815",1973,5,30,94
"16310",1973,5,31,85
"18",1973,6,1,101
"564",1973,6,2,61
"1110",1973,6,3,128
"1656",1973,6,4,119
"2202",1973,6,5,108
"2748",1973,6,6,114
"3294",1973,6,7,72
"3840",1973,6,8,122
"4386",1973,6,9,27
"4932",1973,6,10,71
"5478",1973,6,11,19
"6024",1973,6,12,46
"6570",1973,6,13,80
"7116",1973,6,14,113
"7662",1973,6,15,82
"8208",1973,6,16,71
"8754",1973,6,17,45
"9300",1973,6,18,-3
"9846",1973,6,19,10
"10392",1973,6,20,-6
"10938",1973,6,21,8
"11484",1973,6,22,81
"12030",1973,6,23,61
"12576",1973,6,24,108
"13122",1973,6,25,120
"13668",1973,6,26,48
"14214",1973,6,27,10
"14760",1973,6,28,26
"15305",1973,6,29,6
"15816",1973,6,30,28
