"","Year","Month","Day","value"
"1",1948,2,1,-99.9
"620",1948,2,2,-99.9
"1239",1948,2,3,-99.9
"1858",1948,2,4,-99.9
"2477",1948,2,5,-99.9
"3096",1948,2,6,-99.9
"3715",1948,2,7,-99.9
"4334",1948,2,8,-99.9
"4953",1948,2,9,-99.9
"5572",1948,2,10,-99.9
"6191",1948,2,11,-99.9
"6810",1948,2,12,-99.9
"7429",1948,2,13,-99.9
"8048",1948,2,14,-99.9
"8667",1948,2,15,-99.9
"9286",1948,2,16,-99.9
"9905",1948,2,17,-99.9
"10524",1948,2,18,-99.9
"11143",1948,2,19,-99.9
"11762",1948,2,20,-99.9
"12381",1948,2,21,-99.9
"13000",1948,2,22,-99.9
"13619",1948,2,23,-99.9
"14238",1948,2,24,-99.9
"14857",1948,2,25,-99.9
"15476",1948,2,26,-99.9
"16095",1948,2,27,-99.9
"16714",1948,2,28,-99.9
"17333",1948,2,29,83
"2",1963,1,1,-99.9
"621",1963,1,2,-99.9
"1240",1963,1,3,78
"1859",1963,1,4,72
"2478",1963,1,5,78
"3097",1963,1,6,78
"3716",1963,1,7,72
"4335",1963,1,8,39
"4954",1963,1,9,78
"5573",1963,1,10,72
"6192",1963,1,11,-99.9
"6811",1963,1,12,-99.9
"7430",1963,1,13,61
"8049",1963,1,14,50
"8668",1963,1,15,72
"9287",1963,1,16,61
"9906",1963,1,17,72
"10525",1963,1,18,72
"11144",1963,1,19,72
"11763",1963,1,20,61
"12382",1963,1,21,50
"13001",1963,1,22,61
"13620",1963,1,23,78
"14239",1963,1,24,72
"14858",1963,1,25,78
"15477",1963,1,26,78
"16096",1963,1,27,61
"16715",1963,1,28,50
"17334",1963,1,29,78
"17913",1963,1,30,39
"18479",1963,1,31,-99.9
"3",1963,2,1,-99.9
"622",1963,2,2,-99.9
"1241",1963,2,3,-99.9
"1860",1963,2,4,-99.9
"2479",1963,2,5,-99.9
"3098",1963,2,6,-99.9
"3717",1963,2,7,-99.9
"4336",1963,2,8,-99.9
"4955",1963,2,9,-99.9
"5574",1963,2,10,-99.9
"6193",1963,2,11,61
"6812",1963,2,12,78
"7431",1963,2,13,89
"8050",1963,2,14,89
"8669",1963,2,15,11
"9288",1963,2,16,72
"9907",1963,2,17,89
"10526",1963,2,18,72
"11145",1963,2,19,100
"11764",1963,2,20,89
"12383",1963,2,21,78
"13002",1963,2,22,89
"13621",1963,2,23,78
"14240",1963,2,24,61
