"","Year","Month","Day","value"
"1",1970,1,1,230
"403",1970,1,2,221
"805",1970,1,3,229
"1207",1970,1,4,231
"1609",1970,1,5,227
"2011",1970,1,6,239
"2413",1970,1,7,222
"2815",1970,1,8,225
"3217",1970,1,9,226
"3619",1970,1,10,219
"4021",1970,1,11,230
"4423",1970,1,12,229
"4825",1970,1,13,232
"5227",1970,1,14,231
"5629",1970,1,15,233
"6031",1970,1,16,231
"6433",1970,1,17,235
"6835",1970,1,18,222
"7237",1970,1,19,233
"7639",1970,1,20,244
"8041",1970,1,21,236
"8443",1970,1,22,228
"8845",1970,1,23,234
"9247",1970,1,24,234
"9649",1970,1,25,230
"10051",1970,1,26,231
"10453",1970,1,27,235
"10855",1970,1,28,233
"11257",1970,1,29,241
"11633",1970,1,30,235
"12001",1970,1,31,251
"2",1970,2,1,239
"404",1970,2,2,229
"806",1970,2,3,238
"1208",1970,2,4,228
"1610",1970,2,5,228
"2012",1970,2,6,226
"2414",1970,2,7,238
"2816",1970,2,8,228
"3218",1970,2,9,226
"3620",1970,2,10,223
"4022",1970,2,11,222
"4424",1970,2,12,233
"4826",1970,2,13,223
"5228",1970,2,14,202
"5630",1970,2,15,228
"6032",1970,2,16,217
"6434",1970,2,17,218
"6836",1970,2,18,227
"7238",1970,2,19,244
"7640",1970,2,20,228
"8042",1970,2,21,228
"8444",1970,2,22,229
"8846",1970,2,23,220
"9248",1970,2,24,233
"9650",1970,2,25,229
"10052",1970,2,26,252
"10454",1970,2,27,219
"10856",1970,2,28,224
"3",1970,3,1,236
"405",1970,3,2,229
"807",1970,3,3,236
"1209",1970,3,4,239
"1611",1970,3,5,239
"2013",1970,3,6,233
"2415",1970,3,7,228
"2817",1970,3,8,226
"3219",1970,3,9,236
"3621",1970,3,10,223
"4023",1970,3,11,229
"4425",1970,3,12,230
"4827",1970,3,13,246
"5229",1970,3,14,226
"5631",1970,3,15,238
"6033",1970,3,16,236
"6435",1970,3,17,228
"6837",1970,3,18,238
"7239",1970,3,19,236
"7641",1970,3,20,220
"8043",1970,3,21,233
"8445",1970,3,22,239
"8847",1970,3,23,233
"9249",1970,3,24,238
"9651",1970,3,25,235
"10053",1970,3,26,232
"10455",1970,3,27,222
"10857",1970,3,28,239
"11258",1970,3,29,230
"11634",1970,3,30,234
"12002",1970,3,31,244
"4",1970,4,1,241
"406",1970,4,2,227
"808",1970,4,3,224
"1210",1970,4,4,233
"1612",1970,4,5,204
"2014",1970,4,6,-99.9
"2416",1970,4,7,209
"2818",1970,4,8,211
"3220",1970,4,9,200
"3622",1970,4,10,228
"4024",1970,4,11,228
"4426",1970,4,12,223
"4828",1970,4,13,226
"5230",1970,4,14,238
"5632",1970,4,15,231
"6034",1970,4,16,229
"6436",1970,4,17,239
"6838",1970,4,18,234
"7240",1970,4,19,245
"7642",1970,4,20,245
"8044",1970,4,21,239
"8446",1970,4,22,239
"8848",1970,4,23,232
"9250",1970,4,24,231
"9652",1970,4,25,251
"10054",1970,4,26,244
"10456",1970,4,27,241
"10858",1970,4,28,247
"11259",1970,4,29,243
"11635",1970,4,30,233
"5",1970,5,1,231
"407",1970,5,2,236
"809",1970,5,3,228
"1211",1970,5,4,234
"1613",1970,5,5,224
"2015",1970,5,6,228
"2417",1970,5,7,242
"2819",1970,5,8,239
"3221",1970,5,9,233
"3623",1970,5,10,218
"4025",1970,5,11,244
"4427",1970,5,12,233
"4829",1970,5,13,231
"5231",1970,5,14,219
"5633",1970,5,15,238
"6035",1970,5,16,243
"6437",1970,5,17,239
"6839",1970,5,18,238
"7241",1970,5,19,234
"7643",1970,5,20,228
"8045",1970,5,21,242
"8447",1970,5,22,226
"8849",1970,5,23,234
"9251",1970,5,24,227
"9653",1970,5,25,222
"10055",1970,5,26,233
"10457",1970,5,27,242
"10859",1970,5,28,241
"11260",1970,5,29,236
"11636",1970,5,30,233
"12003",1970,5,31,226
"6",1970,6,1,239
"408",1970,6,2,245
"810",1970,6,3,236
"1212",1970,6,4,245
"1614",1970,6,5,242
"2016",1970,6,6,241
"2418",1970,6,7,232
"2820",1970,6,8,232
"3222",1970,6,9,223
"3624",1970,6,10,228
"4026",1970,6,11,229
"4428",1970,6,12,222
"4830",1970,6,13,233
"5232",1970,6,14,228
"5634",1970,6,15,239
"6036",1970,6,16,234
"6438",1970,6,17,238
"6840",1970,6,18,232
"7242",1970,6,19,228
"7644",1970,6,20,215
"8046",1970,6,21,214
"8448",1970,6,22,193
"8850",1970,6,23,189
"9252",1970,6,24,217
"9654",1970,6,25,201
"10056",1970,6,26,182
"10458",1970,6,27,187
"10860",1970,6,28,217
"11261",1970,6,29,235
"11637",1970,6,30,194
"7",1970,7,1,214
"409",1970,7,2,225
"811",1970,7,3,239
"1213",1970,7,4,223
"1615",1970,7,5,233
"2017",1970,7,6,212
"2419",1970,7,7,217
"2821",1970,7,8,236
"3223",1970,7,9,228
"3625",1970,7,10,238
"4027",1970,7,11,232
"4429",1970,7,12,219
"4831",1970,7,13,233
"5233",1970,7,14,230
"5635",1970,7,15,236
"6037",1970,7,16,229
"6439",1970,7,17,229
"6841",1970,7,18,233
"7243",1970,7,19,216
"7645",1970,7,20,232
"8047",1970,7,21,233
"8449",1970,7,22,229
"8851",1970,7,23,228
"9253",1970,7,24,212
"9655",1970,7,25,194
"10057",1970,7,26,188
"10459",1970,7,27,186
"10861",1970,7,28,176
"11262",1970,7,29,188
"11638",1970,7,30,207
"12004",1970,7,31,200
"8",1970,8,1,204
"410",1970,8,2,223
"812",1970,8,3,233
"1214",1970,8,4,222
"1616",1970,8,5,227
"2018",1970,8,6,226
"2420",1970,8,7,227
"2822",1970,8,8,239
"3224",1970,8,9,224
"3626",1970,8,10,230
"4028",1970,8,11,233
"4430",1970,8,12,239
"4832",1970,8,13,229
"5234",1970,8,14,229
"5636",1970,8,15,233
"6038",1970,8,16,240
"6440",1970,8,17,228
"6842",1970,8,18,231
"7244",1970,8,19,235
"7646",1970,8,20,241
"8048",1970,8,21,233
"8450",1970,8,22,234
"8852",1970,8,23,225
"9254",1970,8,24,232
"9656",1970,8,25,233
"10058",1970,8,26,222
"10460",1970,8,27,233
"10862",1970,8,28,226
"11263",1970,8,29,229
"11639",1970,8,30,218
"12005",1970,8,31,217
"9",1970,9,1,234
"411",1970,9,2,246
"813",1970,9,3,239
"1215",1970,9,4,234
"1617",1970,9,5,218
"2019",1970,9,6,236
"2421",1970,9,7,223
"2823",1970,9,8,228
"3225",1970,9,9,234
"3627",1970,9,10,227
"4029",1970,9,11,233
"4431",1970,9,12,226
"4833",1970,9,13,228
"5235",1970,9,14,228
"5637",1970,9,15,222
