"","Year","Month","Day","value"
"1",1945,4,1,239
"20",1945,4,2,217
"39",1945,4,3,222
"58",1945,4,4,228
"77",1945,4,5,228
"96",1945,4,6,233
"115",1945,4,7,244
"134",1945,4,8,244
"153",1945,4,9,222
"172",1945,4,10,222
"191",1945,4,11,211
"210",1945,4,12,228
"229",1945,4,13,233
"248",1945,4,14,233
"267",1945,4,15,228
"286",1945,4,16,222
"305",1945,4,17,233
"324",1945,4,18,244
"343",1945,4,19,233
"362",1945,4,20,228
"381",1945,4,21,250
"400",1945,4,22,233
"419",1945,4,23,233
"438",1945,4,24,244
"457",1945,4,25,239
"476",1945,4,26,233
"495",1945,4,27,239
"514",1945,4,28,233
"533",1945,4,29,244
"551",1945,4,30,239
"2",1945,5,1,222
"21",1945,5,2,239
"40",1945,5,3,233
"59",1945,5,4,222
"78",1945,5,5,233
"97",1945,5,6,244
"116",1945,5,7,222
"135",1945,5,8,217
"154",1945,5,9,222
"173",1945,5,10,228
"192",1945,5,11,233
"211",1945,5,12,228
"230",1945,5,13,233
"249",1945,5,14,239
"268",1945,5,15,239
"287",1945,5,16,244
"306",1945,5,17,239
"325",1945,5,18,239
"344",1945,5,19,233
"363",1945,5,20,228
"382",1945,5,21,239
"401",1945,5,22,233
"420",1945,5,23,233
"439",1945,5,24,222
"458",1945,5,25,217
"477",1945,5,26,233
"496",1945,5,27,228
"515",1945,5,28,233
"534",1945,5,29,233
"552",1945,5,30,244
"569",1945,5,31,250
"3",1945,6,1,233
"22",1945,6,2,233
"41",1945,6,3,233
"60",1945,6,4,233
"79",1945,6,5,233
"98",1945,6,6,233
"117",1945,6,7,239
"136",1945,6,8,239
"155",1945,6,9,244
"174",1945,6,10,244
"193",1945,6,11,244
"212",1945,6,12,233
"231",1945,6,13,211
"250",1945,6,14,233
"269",1945,6,15,228
"288",1945,6,16,222
"307",1945,6,17,222
"326",1945,6,18,228
"345",1945,6,19,244
"364",1945,6,20,244
"383",1945,6,21,250
"402",1945,6,22,250
"421",1945,6,23,228
"440",1945,6,24,217
"459",1945,6,25,233
"478",1945,6,26,233
"497",1945,6,27,233
"516",1945,6,28,222
"535",1945,6,29,222
"553",1945,6,30,233
"4",1945,7,1,233
"23",1945,7,2,239
"42",1945,7,3,239
"61",1945,7,4,233
"80",1945,7,5,228
"99",1945,7,6,222
"118",1945,7,7,233
"137",1945,7,8,244
"156",1945,7,9,222
"175",1945,7,10,211
"194",1945,7,11,222
"213",1945,7,12,228
"232",1945,7,13,228
"251",1945,7,14,228
"270",1945,7,15,233
"289",1945,7,16,233
"308",1945,7,17,233
"327",1945,7,18,228
"346",1945,7,19,233
"365",1945,7,20,211
"384",1945,7,21,217
"403",1945,7,22,222
"422",1945,7,23,233
"441",1945,7,24,233
"460",1945,7,25,239
"479",1945,7,26,228
"498",1945,7,27,228
"517",1945,7,28,228
"536",1945,7,29,228
"554",1945,7,30,233
"570",1945,7,31,250
"5",1945,8,1,239
"24",1945,8,2,250
"43",1945,8,3,233
"62",1945,8,4,256
"81",1945,8,5,239
"100",1945,8,6,233
"119",1945,8,7,222
"138",1945,8,8,222
"157",1945,8,9,222
"176",1945,8,10,222
"195",1945,8,11,228
"214",1945,8,12,228
"233",1945,8,13,233
"252",1945,8,14,233
"271",1945,8,15,244
"290",1945,8,16,239
"309",1945,8,17,233
"328",1945,8,18,228
"347",1945,8,19,244
"366",1945,8,20,228
"385",1945,8,21,244
"404",1945,8,22,239
"423",1945,8,23,233
"442",1945,8,24,228
"461",1945,8,25,233
"480",1945,8,26,233
"499",1945,8,27,228
"518",1945,8,28,222
"537",1945,8,29,228
"555",1945,8,30,233
"571",1945,8,31,233
"6",1945,9,1,233
"25",1945,9,2,244
"44",1945,9,3,228
"63",1945,9,4,228
"82",1945,9,5,222
"101",1945,9,6,211
"120",1945,9,7,222
"139",1945,9,8,222
"158",1945,9,9,217
"177",1945,9,10,228
"196",1945,9,11,233
"215",1945,9,12,233
"234",1945,9,13,233
"253",1945,9,14,233
"272",1945,9,15,222
"291",1945,9,16,222
"310",1945,9,17,228
"329",1945,9,18,233
"348",1945,9,19,239
"367",1945,9,20,233
"386",1945,9,21,239
"405",1945,9,22,239
"424",1945,9,23,239
"443",1945,9,24,228
"462",1945,9,25,222
"481",1945,9,26,233
"500",1945,9,27,233
"519",1945,9,28,233
"538",1945,9,29,244
"556",1945,9,30,233
"7",1945,10,1,233
"26",1945,10,2,228
"45",1945,10,3,244
"64",1945,10,4,233
"83",1945,10,5,250
"102",1945,10,6,239
"121",1945,10,7,233
"140",1945,10,8,228
"159",1945,10,9,233
"178",1945,10,10,244
"197",1945,10,11,250
"216",1945,10,12,233
"235",1945,10,13,233
"254",1945,10,14,228
"273",1945,10,15,239
"292",1945,10,16,256
"311",1945,10,17,256
"330",1945,10,18,267
"349",1945,10,19,233
"368",1945,10,20,239
"387",1945,10,21,239
"406",1945,10,22,222
"425",1945,10,23,239
"444",1945,10,24,222
"463",1945,10,25,239
"482",1945,10,26,239
"501",1945,10,27,261
"520",1945,10,28,244
"539",1945,10,29,233
"557",1945,10,30,239
"572",1945,10,31,250
"8",1945,11,1,256
"27",1945,11,2,256
"46",1945,11,3,239
"65",1945,11,4,244
"84",1945,11,5,250
"103",1945,11,6,244
"122",1945,11,7,233
"141",1945,11,8,239
"160",1945,11,9,239
"179",1945,11,10,239
"198",1945,11,11,239
"217",1945,11,12,239
"236",1945,11,13,239
"255",1945,11,14,233
"274",1945,11,15,239
"293",1945,11,16,233
"312",1945,11,17,239
"331",1945,11,18,239
"350",1945,11,19,267
"369",1945,11,20,256
"388",1945,11,21,272
"407",1945,11,22,228
"426",1945,11,23,244
"445",1945,11,24,239
"464",1945,11,25,250
"483",1945,11,26,239
"502",1945,11,27,239
"521",1945,11,28,233
"540",1945,11,29,228
"558",1945,11,30,211
"9",1945,12,1,244
"28",1945,12,2,256
"47",1945,12,3,244
"66",1945,12,4,250
"85",1945,12,5,244
"104",1945,12,6,250
"123",1945,12,7,228
"142",1945,12,8,233
"161",1945,12,9,239
"180",1945,12,10,233
"199",1945,12,11,228
"218",1945,12,12,244
"237",1945,12,13,244
"256",1945,12,14,228
"275",1945,12,15,244
"294",1945,12,16,233
"313",1945,12,17,244
"332",1945,12,18,239
"351",1945,12,19,256
"370",1945,12,20,228
"389",1945,12,21,233
"408",1945,12,22,239
"427",1945,12,23,228
"446",1945,12,24,233
"465",1945,12,25,222
"484",1945,12,26,233
"503",1945,12,27,233
"522",1945,12,28,233
"541",1945,12,29,250
"559",1945,12,30,233
"573",1945,12,31,233
"10",1946,1,1,233
"29",1946,1,2,244
"48",1946,1,3,244
"67",1946,1,4,233
"86",1946,1,5,233
"105",1946,1,6,233
"124",1946,1,7,233
"143",1946,1,8,244
"162",1946,1,9,244
"181",1946,1,10,261
"200",1946,1,11,250
"219",1946,1,12,250
"238",1946,1,13,244
"257",1946,1,14,244
"276",1946,1,15,256
"295",1946,1,16,250
"314",1946,1,17,233
"333",1946,1,18,239
"352",1946,1,19,244
"371",1946,1,20,250
"390",1946,1,21,239
"409",1946,1,22,239
"428",1946,1,23,222
"447",1946,1,24,239
"466",1946,1,25,244
"485",1946,1,26,244
"504",1946,1,27,239
"523",1946,1,28,233
"542",1946,1,29,228
"560",1946,1,30,233
"574",1946,1,31,250
"11",1946,2,1,250
"30",1946,2,2,244
"49",1946,2,3,239
"68",1946,2,4,261
"87",1946,2,5,244
"106",1946,2,6,244
"125",1946,2,7,239
"144",1946,2,8,233
"163",1946,2,9,244
"182",1946,2,10,239
"201",1946,2,11,244
"220",1946,2,12,244
"239",1946,2,13,250
"258",1946,2,14,233
"277",1946,2,15,239
"296",1946,2,16,244
"315",1946,2,17,250
"334",1946,2,18,239
"353",1946,2,19,239
"372",1946,2,20,239
"391",1946,2,21,250
"410",1946,2,22,244
"429",1946,2,23,239
"448",1946,2,24,261
"467",1946,2,25,239
"486",1946,2,26,267
"505",1946,2,27,261
"524",1946,2,28,261
"12",1946,3,1,239
"31",1946,3,2,244
"50",1946,3,3,267
"69",1946,3,4,267
"88",1946,3,5,250
"107",1946,3,6,244
"126",1946,3,7,250
"145",1946,3,8,250
"164",1946,3,9,256
"183",1946,3,10,250
"202",1946,3,11,244
"221",1946,3,12,244
"240",1946,3,13,222
"259",1946,3,14,233
"278",1946,3,15,239
"297",1946,3,16,228
"316",1946,3,17,244
"335",1946,3,18,239
"354",1946,3,19,250
"373",1946,3,20,239
"392",1946,3,21,233
"411",1946,3,22,261
"430",1946,3,23,250
"449",1946,3,24,250
"468",1946,3,25,239
"487",1946,3,26,244
"506",1946,3,27,244
"525",1946,3,28,239
"543",1946,3,29,228
"561",1946,3,30,244
"575",1946,3,31,244
"13",1946,4,1,233
"32",1946,4,2,228
"51",1946,4,3,239
"70",1946,4,4,244
"89",1946,4,5,233
"108",1946,4,6,256
"127",1946,4,7,244
"146",1946,4,8,217
"165",1946,4,9,239
"184",1946,4,10,244
"203",1946,4,11,250
"222",1946,4,12,261
"241",1946,4,13,261
"260",1946,4,14,244
"279",1946,4,15,244
"298",1946,4,16,233
"317",1946,4,17,244
"336",1946,4,18,244
"355",1946,4,19,228
"374",1946,4,20,239
"393",1946,4,21,239
"412",1946,4,22,244
"431",1946,4,23,233
"450",1946,4,24,239
"469",1946,4,25,239
"488",1946,4,26,239
"507",1946,4,27,244
"526",1946,4,28,244
"544",1946,4,29,250
"562",1946,4,30,244
"14",1946,5,1,250
"33",1946,5,2,250
"52",1946,5,3,250
"71",1946,5,4,244
"90",1946,5,5,244
"109",1946,5,6,228
"128",1946,5,7,244
"147",1946,5,8,244
"166",1946,5,9,244
"185",1946,5,10,239
"204",1946,5,11,239
"223",1946,5,12,250
"242",1946,5,13,261
"261",1946,5,14,239
"280",1946,5,15,239
"299",1946,5,16,239
"318",1946,5,17,233
"337",1946,5,18,222
"356",1946,5,19,233
"375",1946,5,20,250
"394",1946,5,21,250
"413",1946,5,22,244
"432",1946,5,23,233
"451",1946,5,24,239
"470",1946,5,25,239
"489",1946,5,26,250
"508",1946,5,27,-99.9
"527",1946,5,28,-99.9
"545",1946,5,29,-99.9
"563",1946,5,30,-99.9
"576",1946,5,31,-99.9
"15",1946,9,1,-99.9
"34",1946,9,2,-99.9
"53",1946,9,3,-99.9
