"","Year","Month","Day","value"
"1",1956,1,1,222
"44",1956,1,2,244
"87",1956,1,3,239
"130",1956,1,4,217
"173",1956,1,5,244
"216",1956,1,6,239
"259",1956,1,7,233
"302",1956,1,8,233
"345",1956,1,9,233
"388",1956,1,10,244
"431",1956,1,11,239
"474",1956,1,12,244
"517",1956,1,13,239
"560",1956,1,14,244
"603",1956,1,15,233
"646",1956,1,16,244
"689",1956,1,17,244
"732",1956,1,18,233
"775",1956,1,19,233
"818",1956,1,20,233
"861",1956,1,21,250
"904",1956,1,22,256
"947",1956,1,23,250
"990",1956,1,24,233
"1033",1956,1,25,233
"1076",1956,1,26,239
"1119",1956,1,27,239
"1162",1956,1,28,256
"1205",1956,1,29,217
"1245",1956,1,30,244
"1284",1956,1,31,261
"2",1956,2,1,256
"45",1956,2,2,244
"88",1956,2,3,228
"131",1956,2,4,261
"174",1956,2,5,233
"217",1956,2,6,239
"260",1956,2,7,228
"303",1956,2,8,244
"346",1956,2,9,-99.9
"389",1956,2,10,244
"432",1956,2,11,233
"475",1956,2,12,217
"518",1956,2,13,250
"561",1956,2,14,233
"604",1956,2,15,256
"647",1956,2,16,244
"690",1956,2,17,233
"733",1956,2,18,239
"776",1956,2,19,250
"819",1956,2,20,239
"862",1956,2,21,244
"905",1956,2,22,233
"948",1956,2,23,244
"991",1956,2,24,239
"1034",1956,2,25,244
"1077",1956,2,26,239
"1120",1956,2,27,244
"1163",1956,2,28,250
"1206",1956,2,29,233
"3",1956,3,1,222
"46",1956,3,2,256
"89",1956,3,3,233
"132",1956,3,4,222
"175",1956,3,5,228
"218",1956,3,6,239
"261",1956,3,7,244
"304",1956,3,8,239
"347",1956,3,9,256
"390",1956,3,10,261
"433",1956,3,11,267
"476",1956,3,12,267
"519",1956,3,13,239
"562",1956,3,14,261
"605",1956,3,15,256
"648",1956,3,16,261
"691",1956,3,17,256
"734",1956,3,18,256
"777",1956,3,19,228
"820",1956,3,20,228
"863",1956,3,21,244
"906",1956,3,22,-99.9
"949",1956,3,23,233
"992",1956,3,24,239
"1035",1956,3,25,233
"1078",1956,3,26,228
"1121",1956,3,27,228
"1164",1956,3,28,233
"1207",1956,3,29,228
"1246",1956,3,30,250
"1285",1956,3,31,228
"4",1956,4,1,222
"47",1956,4,2,250
"90",1956,4,3,244
"133",1956,4,4,244
"176",1956,4,5,244
"219",1956,4,6,244
"262",1956,4,7,233
"305",1956,4,8,228
"348",1956,4,9,239
"391",1956,4,10,233
"434",1956,4,11,233
"477",1956,4,12,233
"520",1956,4,13,233
"563",1956,4,14,233
"606",1956,4,15,233
"649",1956,4,16,228
"692",1956,4,17,222
"735",1956,4,18,256
"778",1956,4,19,-99.9
"821",1956,4,20,233
"864",1956,4,21,228
"907",1956,4,22,228
"950",1956,4,23,239
"993",1956,4,24,-99.9
"1036",1956,4,25,250
"1079",1956,4,26,-99.9
"1122",1956,4,27,233
"1165",1956,4,28,239
"1208",1956,4,29,239
"1247",1956,4,30,244
"5",1956,5,1,239
"48",1956,5,2,244
"91",1956,5,3,-99.9
"134",1956,5,4,228
"177",1956,5,5,222
"220",1956,5,6,228
"263",1956,5,7,233
"306",1956,5,8,239
"349",1956,5,9,256
"392",1956,5,10,261
"435",1956,5,11,239
"478",1956,5,12,256
"521",1956,5,13,239
"564",1956,5,14,250
"607",1956,5,15,250
"650",1956,5,16,228
"693",1956,5,17,233
"736",1956,5,18,233
"779",1956,5,19,233
"822",1956,5,20,233
"865",1956,5,21,233
"908",1956,5,22,250
"951",1956,5,23,228
"994",1956,5,24,228
"1037",1956,5,25,244
"1080",1956,5,26,250
"1123",1956,5,27,256
"1166",1956,5,28,228
"1209",1956,5,29,228
"1248",1956,5,30,233
"1286",1956,5,31,233
"6",1956,7,1,239
"49",1956,7,2,228
"92",1956,7,3,233
"135",1956,7,4,228
"178",1956,7,5,228
"221",1956,7,6,239
"264",1956,7,7,244
"307",1956,7,8,244
"350",1956,7,9,222
"393",1956,7,10,222
"436",1956,7,11,228
"479",1956,7,12,211
"522",1956,7,13,228
"565",1956,7,14,233
"608",1956,7,15,233
"651",1956,7,16,239
"694",1956,7,17,239
"737",1956,7,18,228
"780",1956,7,19,239
"823",1956,7,20,-99.9
"866",1956,7,21,233
"909",1956,7,22,228
"952",1956,7,23,222
"995",1956,7,24,-99.9
"1038",1956,7,25,244
"1081",1956,7,26,239
"1124",1956,7,27,239
"1167",1956,7,28,228
"1210",1956,7,29,217
"1249",1956,7,30,228
"1287",1956,7,31,-99.9
"7",1956,8,1,233
"50",1956,8,2,244
"93",1956,8,3,233
"136",1956,8,4,233
"179",1956,8,5,-99.9
"222",1956,8,6,233
"265",1956,8,7,233
"308",1956,8,8,233
"351",1956,8,9,244
"394",1956,8,10,256
"437",1956,8,11,256
"480",1956,8,12,239
"523",1956,8,13,233
"566",1956,8,14,261
"609",1956,8,15,239
"652",1956,8,16,250
"695",1956,8,17,239
"738",1956,8,18,256
"781",1956,8,19,228
"824",1956,8,20,244
"867",1956,8,21,-99.9
"910",1956,8,22,228
"953",1956,8,23,244
"996",1956,8,24,239
"1039",1956,8,25,-99.9
"1082",1956,8,26,233
"1125",1956,8,27,228
"1168",1956,8,28,222
"1211",1956,8,29,222
"1250",1956,8,30,239
"1288",1956,8,31,233
"8",1956,9,1,228
"51",1956,9,2,239
"94",1956,9,3,-99.9
"137",1956,9,4,239
"180",1956,9,5,228
"223",1956,9,6,222
"266",1956,9,7,217
"309",1956,9,8,222
"352",1956,9,9,256
"395",1956,9,10,244
"438",1956,9,11,228
"481",1956,9,12,222
"524",1956,9,13,228
"567",1956,9,14,222
"610",1956,9,15,239
"653",1956,9,16,217
"696",1956,9,17,222
"739",1956,9,18,217
"782",1956,9,19,222
"825",1956,9,20,228
"868",1956,9,21,222
"911",1956,9,22,233
"954",1956,9,23,239
"997",1956,9,24,233
"1040",1956,9,25,239
"1083",1956,9,26,233
"1126",1956,9,27,256
"1169",1956,9,28,239
"1212",1956,9,29,233
"1251",1956,9,30,233
"9",1956,10,1,222
"52",1956,10,2,228
"95",1956,10,3,228
"138",1956,10,4,217
"181",1956,10,5,217
"224",1956,10,6,233
"267",1956,10,7,233
"310",1956,10,8,244
"353",1956,10,9,228
"396",1956,10,10,217
"439",1956,10,11,222
"482",1956,10,12,228
"525",1956,10,13,222
"568",1956,10,14,261
"611",1956,10,15,256
"654",1956,10,16,233
"697",1956,10,17,222
"740",1956,10,18,-99.9
"783",1956,10,19,244
"826",1956,10,20,244
"869",1956,10,21,233
"912",1956,10,22,222
"955",1956,10,23,228
"998",1956,10,24,261
"1041",1956,10,25,233
"1084",1956,10,26,244
"1127",1956,10,27,233
"1170",1956,10,28,256
"1213",1956,10,29,239
"1252",1956,10,30,217
"1289",1956,10,31,256
"10",1956,11,1,256
