"","Year","Month","Day","value"
"1",1951,1,1,217
"799",1951,1,2,229
"1597",1951,1,3,199
"2395",1951,1,4,196
"3193",1951,1,5,192
"3991",1951,1,6,208
"4789",1951,1,7,196
"5587",1951,1,8,201
"6385",1951,1,9,178
"7183",1951,1,10,182
"7981",1951,1,11,163
"8779",1951,1,12,171
"9577",1951,1,13,203
"10375",1951,1,14,131
"11173",1951,1,15,144
"11971",1951,1,16,154
"12769",1951,1,17,155
"13567",1951,1,18,173
"14365",1951,1,19,182
"15163",1951,1,20,183
"15961",1951,1,21,172
"16759",1951,1,22,172
"17557",1951,1,23,181
"18355",1951,1,24,177
"19153",1951,1,25,161
"19951",1951,1,26,200
"20749",1951,1,27,232
"21547",1951,1,28,233
"22345",1951,1,29,221
"23093",1951,1,30,194
"23824",1951,1,31,232
"2",1951,2,1,189
"800",1951,2,2,205
"1598",1951,2,3,189
"2396",1951,2,4,211
"3194",1951,2,5,194
"3992",1951,2,6,160
"4790",1951,2,7,158
"5588",1951,2,8,170
"6386",1951,2,9,169
"7184",1951,2,10,173
"7982",1951,2,11,193
"8780",1951,2,12,173
"9578",1951,2,13,199
"10376",1951,2,14,176
"11174",1951,2,15,217
"11972",1951,2,16,231
"12770",1951,2,17,171
"13568",1951,2,18,167
"14366",1951,2,19,186
"15164",1951,2,20,149
"15962",1951,2,21,177
"16760",1951,2,22,218
"17558",1951,2,23,216
"18356",1951,2,24,217
"19154",1951,2,25,211
"19952",1951,2,26,201
"20750",1951,2,27,190
"21548",1951,2,28,212
"3",1951,3,1,228
"801",1951,3,2,217
"1599",1951,3,3,195
"2397",1951,3,4,199
"3195",1951,3,5,204
"3993",1951,3,6,224
"4791",1951,3,7,182
"5589",1951,3,8,210
"6387",1951,3,9,228
"7185",1951,3,10,211
"7983",1951,3,11,211
"8781",1951,3,12,179
"9579",1951,3,13,191
"10377",1951,3,14,203
"11175",1951,3,15,199
"11973",1951,3,16,217
"12771",1951,3,17,208
"13569",1951,3,18,211
"14367",1951,3,19,211
"15165",1951,3,20,192
"15963",1951,3,21,186
"16761",1951,3,22,248
"17559",1951,3,23,211
"18357",1951,3,24,217
"19155",1951,3,25,211
"19953",1951,3,26,220
"20751",1951,3,27,212
"21549",1951,3,28,206
"22346",1951,3,29,201
"23094",1951,3,30,212
"23825",1951,3,31,219
"4",1951,4,1,217
"802",1951,4,2,246
"1600",1951,4,3,221
"2398",1951,4,4,240
"3196",1951,4,5,229
"3994",1951,4,6,224
"4792",1951,4,7,222
"5590",1951,4,8,214
"6388",1951,4,9,219
"7186",1951,4,10,227
"7984",1951,4,11,233
"8782",1951,4,12,242
"9580",1951,4,13,239
"10378",1951,4,14,233
"11176",1951,4,15,236
"11974",1951,4,16,237
"12772",1951,4,17,239
"13570",1951,4,18,229
"14368",1951,4,19,226
"15166",1951,4,20,229
"15964",1951,4,21,233
"16762",1951,4,22,237
"17560",1951,4,23,250
"18358",1951,4,24,238
"19156",1951,4,25,229
"19954",1951,4,26,234
"20752",1951,4,27,234
"21550",1951,4,28,238
"22347",1951,4,29,248
"23095",1951,4,30,246
"5",1951,5,1,241
"803",1951,5,2,228
"1601",1951,5,3,237
"2399",1951,5,4,250
"3197",1951,5,5,280
"3995",1951,5,6,283
"4793",1951,5,7,233
"5591",1951,5,8,237
"6389",1951,5,9,226
"7187",1951,5,10,234
"7985",1951,5,11,238
"8783",1951,5,12,238
"9581",1951,5,13,249
"10379",1951,5,14,238
"11177",1951,5,15,249
"11975",1951,5,16,244
"12773",1951,5,17,241
"13571",1951,5,18,239
"14369",1951,5,19,244
"15167",1951,5,20,241
"15965",1951,5,21,231
"16763",1951,5,22,237
"17561",1951,5,23,233
"18359",1951,5,24,244
"19157",1951,5,25,241
"19955",1951,5,26,238
"20753",1951,5,27,253
"21551",1951,5,28,236
"22348",1951,5,29,246
"23096",1951,5,30,239
"23826",1951,5,31,228
"6",1951,6,1,239
"804",1951,6,2,239
"1602",1951,6,3,243
"2400",1951,6,4,244
"3198",1951,6,5,237
"3996",1951,6,6,219
"4794",1951,6,7,250
"5592",1951,6,8,253
"6390",1951,6,9,250
"7188",1951,6,10,238
"7986",1951,6,11,237
"8784",1951,6,12,238
"9582",1951,6,13,242
"10380",1951,6,14,238
"11178",1951,6,15,236
"11976",1951,6,16,239
"12774",1951,6,17,239
"13572",1951,6,18,236
"14370",1951,6,19,239
"15168",1951,6,20,240
"15966",1951,6,21,231
"16764",1951,6,22,217
"17562",1951,6,23,240
"18360",1951,6,24,239
"19158",1951,6,25,241
"19956",1951,6,26,221
"20754",1951,6,27,242
"21552",1951,6,28,241
"22349",1951,6,29,248
"23097",1951,6,30,222
"7",1951,7,1,228
"805",1951,7,2,217
"1603",1951,7,3,232
"2401",1951,7,4,240
"3199",1951,7,5,231
"3997",1951,7,6,229
"4795",1951,7,7,226
"5593",1951,7,8,228
"6391",1951,7,9,234
"7189",1951,7,10,233
"7987",1951,7,11,237
"8785",1951,7,12,238
"9583",1951,7,13,241
"10381",1951,7,14,239
"11179",1951,7,15,238
"11977",1951,7,16,233
"12775",1951,7,17,232
"13573",1951,7,18,241
"14371",1951,7,19,229
"15169",1951,7,20,244
"15967",1951,7,21,247
"16765",1951,7,22,228
"17563",1951,7,23,240
"18361",1951,7,24,245
"19159",1951,7,25,255
"19957",1951,7,26,249
"20755",1951,7,27,242
"21553",1951,7,28,236
"22350",1951,7,29,239
"23098",1951,7,30,222
"23827",1951,7,31,230
"8",1951,8,1,245
"806",1951,8,2,244
"1604",1951,8,3,238
"2402",1951,8,4,244
"3200",1951,8,5,266
"3998",1951,8,6,237
"4796",1951,8,7,244
"5594",1951,8,8,228
"6392",1951,8,9,240
"7190",1951,8,10,256
"7988",1951,8,11,244
"8786",1951,8,12,244
"9584",1951,8,13,236
"10382",1951,8,14,223
"11180",1951,8,15,250
"11978",1951,8,16,253
"12776",1951,8,17,244
"13574",1951,8,18,239
"14372",1951,8,19,239
"15170",1951,8,20,250
"15968",1951,8,21,251
"16766",1951,8,22,247
"17564",1951,8,23,236
"18362",1951,8,24,233
"19160",1951,8,25,243
"19958",1951,8,26,232
"20756",1951,8,27,239
"21554",1951,8,28,232
"22351",1951,8,29,240
"23099",1951,8,30,236
"23828",1951,8,31,233
"9",1951,9,1,239
"807",1951,9,2,233
"1605",1951,9,3,244
"2403",1951,9,4,246
"3201",1951,9,5,237
"3999",1951,9,6,233
"4797",1951,9,7,237
"5595",1951,9,8,239
"6393",1951,9,9,232
"7191",1951,9,10,246
"7989",1951,9,11,238
"8787",1951,9,12,235
"9585",1951,9,13,234
"10383",1951,9,14,238
"11181",1951,9,15,232
"11979",1951,9,16,222
"12777",1951,9,17,241
"13575",1951,9,18,240
"14373",1951,9,19,229
"15171",1951,9,20,236
"15969",1951,9,21,236
"16767",1951,9,22,239
"17565",1951,9,23,242
"18363",1951,9,24,240
"19161",1951,9,25,244
"19959",1951,9,26,238
"20757",1951,9,27,230
"21555",1951,9,28,239
"22352",1951,9,29,239
"23100",1951,9,30,239
"10",1951,10,1,234
"808",1951,10,2,237
"1606",1951,10,3,236
"2404",1951,10,4,233
"3202",1951,10,5,234
"4000",1951,10,6,237
"4798",1951,10,7,237
"5596",1951,10,8,234
"6394",1951,10,9,237
"7192",1951,10,10,250
"7990",1951,10,11,239
"8788",1951,10,12,244
"9586",1951,10,13,239
"10384",1951,10,14,228
"11182",1951,10,15,228
"11980",1951,10,16,219
"12778",1951,10,17,222
"13576",1951,10,18,240
"14374",1951,10,19,231
"15172",1951,10,20,237
"15970",1951,10,21,233
"16768",1951,10,22,240
"17566",1951,10,23,229
"18364",1951,10,24,236
"19162",1951,10,25,232
"19960",1951,10,26,221
"20758",1951,10,27,233
"21556",1951,10,28,244
"22353",1951,10,29,233
"23101",1951,10,30,240
"23829",1951,10,31,196
"11",1951,11,1,172
"809",1951,11,2,239
"1607",1951,11,3,247
"2405",1951,11,4,248
"3203",1951,11,5,254
"4001",1951,11,6,254
"4799",1951,11,7,228
"5597",1951,11,8,257
"6395",1951,11,9,228
"7193",1951,11,10,222
"7991",1951,11,11,244
"8789",1951,11,12,228
"9587",1951,11,13,221
"10385",1951,11,14,221
"11183",1951,11,15,251
"11981",1951,11,16,242
"12779",1951,11,17,222
"13577",1951,11,18,231
"14375",1951,11,19,217
"15173",1951,11,20,227
"15971",1951,11,21,243
"16769",1951,11,22,252
"17567",1951,11,23,231
"18365",1951,11,24,242
"19163",1951,11,25,250
"19961",1951,11,26,216
"20759",1951,11,27,227
"21557",1951,11,28,213
"22354",1951,11,29,209
"23102",1951,11,30,217
"12",1951,12,1,206
"810",1951,12,2,204
"1608",1951,12,3,203
"2406",1951,12,4,242
"3204",1951,12,5,240
"4002",1951,12,6,238
"4800",1951,12,7,232
"5598",1951,12,8,211
"6396",1951,12,9,200
"7194",1951,12,10,244
"7992",1951,12,11,227
"8790",1951,12,12,228
"9588",1951,12,13,232
"10386",1951,12,14,214
"11184",1951,12,15,211
"11982",1951,12,16,199
"12780",1951,12,17,214
"13578",1951,12,18,200
"14376",1951,12,19,202
"15174",1951,12,20,211
"15972",1951,12,21,197
"16770",1951,12,22,213
"17568",1951,12,23,211
"18366",1951,12,24,217
"19164",1951,12,25,202
"19962",1951,12,26,221
"20760",1951,12,27,211
"21558",1951,12,28,204
"22355",1951,12,29,217
"23103",1951,12,30,207
"23830",1951,12,31,203
"13",1952,1,1,193
"811",1952,1,2,181
"1609",1952,1,3,168
"2407",1952,1,4,181
"3205",1952,1,5,199
"4003",1952,1,6,211
"4801",1952,1,7,211
"5599",1952,1,8,164
"6397",1952,1,9,175
"7195",1952,1,10,173
"7993",1952,1,11,174
"8791",1952,1,12,167
"9589",1952,1,13,187
"10387",1952,1,14,186
"11185",1952,1,15,222
"11983",1952,1,16,239
"12781",1952,1,17,219
"13579",1952,1,18,216
"14377",1952,1,19,211
"15175",1952,1,20,199
"15973",1952,1,21,188
"16771",1952,1,22,189
"17569",1952,1,23,222
"18367",1952,1,24,227
"19165",1952,1,25,194
"19963",1952,1,26,181
"20761",1952,1,27,211
"21559",1952,1,28,207
"22356",1952,1,29,217
"23104",1952,1,30,203
"23831",1952,1,31,201
"14",1952,2,1,194
"812",1952,2,2,194
"1610",1952,2,3,227
"2408",1952,2,4,199
"3206",1952,2,5,171
"4004",1952,2,6,180
"4802",1952,2,7,211
"5600",1952,2,8,224
"6398",1952,2,9,222
"7196",1952,2,10,206
"7994",1952,2,11,216
"8792",1952,2,12,202
"9590",1952,2,13,197
"10388",1952,2,14,200
"11186",1952,2,15,211
"11984",1952,2,16,211
"12782",1952,2,17,200
"13580",1952,2,18,229
"14378",1952,2,19,226
"15176",1952,2,20,206
"15974",1952,2,21,208
"16772",1952,2,22,213
"17570",1952,2,23,200
"18368",1952,2,24,190
"19166",1952,2,25,187
"19964",1952,2,26,183
"20762",1952,2,27,193
"21560",1952,2,28,194
"22357",1952,2,29,171
"15",1952,3,1,203
"813",1952,3,2,222
"1611",1952,3,3,218
"2409",1952,3,4,217
"3207",1952,3,5,224
"4005",1952,3,6,222
"4803",1952,3,7,210
"5601",1952,3,8,217
"6399",1952,3,9,218
"7197",1952,3,10,211
"7995",1952,3,11,189
"8793",1952,3,12,202
"9591",1952,3,13,207
"10389",1952,3,14,215
"11187",1952,3,15,228
"11985",1952,3,16,217
"12783",1952,3,17,217
"13581",1952,3,18,239
"14379",1952,3,19,202
"15177",1952,3,20,226
"15975",1952,3,21,222
"16773",1952,3,22,197
"17571",1952,3,23,231
"18369",1952,3,24,206
"19167",1952,3,25,251
"19965",1952,3,26,257
"20763",1952,3,27,222
"21561",1952,3,28,186
"22358",1952,3,29,217
"23105",1952,3,30,224
"23832",1952,3,31,209
"16",1952,4,1,236
"814",1952,4,2,219
"1612",1952,4,3,227
"2410",1952,4,4,226
"3208",1952,4,5,250
"4006",1952,4,6,239
