"","Year","Month","Day","value"
"1",1949,1,1,206
"229",1949,1,2,217
"457",1949,1,3,211
"685",1949,1,4,194
"913",1949,1,5,211
"1141",1949,1,6,211
"1369",1949,1,7,189
"1597",1949,1,8,183
"1825",1949,1,9,183
"2053",1949,1,10,189
"2281",1949,1,11,167
"2509",1949,1,12,178
"2737",1949,1,13,222
"2965",1949,1,14,211
"3193",1949,1,15,217
"3421",1949,1,16,211
"3649",1949,1,17,183
"3877",1949,1,18,178
"4105",1949,1,19,189
"4333",1949,1,20,183
"4561",1949,1,21,189
"4789",1949,1,22,228
"5017",1949,1,23,211
"5245",1949,1,24,211
"5473",1949,1,25,200
"5701",1949,1,26,211
"5929",1949,1,27,211
"6157",1949,1,28,222
"6385",1949,1,29,200
"6598",1949,1,30,200
"6807",1949,1,31,183
"2",1949,2,1,189
"230",1949,2,2,178
"458",1949,2,3,200
"686",1949,2,4,206
"914",1949,2,5,189
"1142",1949,2,6,183
"1370",1949,2,7,189
"1598",1949,2,8,211
"1826",1949,2,9,211
"2054",1949,2,10,228
"2282",1949,2,11,222
"2510",1949,2,12,206
"2738",1949,2,13,211
"2966",1949,2,14,217
"3194",1949,2,15,217
"3422",1949,2,16,189
"3650",1949,2,17,178
"3878",1949,2,18,200
"4106",1949,2,19,189
"4334",1949,2,20,211
"4562",1949,2,21,222
"4790",1949,2,22,200
"5018",1949,2,23,200
"5246",1949,2,24,200
"5474",1949,2,25,206
"5702",1949,2,26,194
"5930",1949,2,27,189
"6158",1949,2,28,217
"3",1949,3,1,217
"231",1949,3,2,217
"459",1949,3,3,211
"687",1949,3,4,217
"915",1949,3,5,222
"1143",1949,3,6,222
"1371",1949,3,7,217
"1599",1949,3,8,211
"1827",1949,3,9,217
"2055",1949,3,10,217
"2283",1949,3,11,211
"2511",1949,3,12,206
"2739",1949,3,13,211
"2967",1949,3,14,233
"3195",1949,3,15,233
"3423",1949,3,16,233
"3651",1949,3,17,222
"3879",1949,3,18,222
"4107",1949,3,19,217
"4335",1949,3,20,222
"4563",1949,3,21,200
"4791",1949,3,22,211
"5019",1949,3,23,222
"5247",1949,3,24,233
"5475",1949,3,25,239
"5703",1949,3,26,211
"5931",1949,3,27,239
"6159",1949,3,28,211
"6386",1949,3,29,217
"6599",1949,3,30,217
"6808",1949,3,31,206
"4",1949,4,1,211
"232",1949,4,2,222
"460",1949,4,3,211
"688",1949,4,4,211
"916",1949,4,5,228
"1144",1949,4,6,244
"1372",1949,4,7,239
"1600",1949,4,8,222
"1828",1949,4,9,222
"2056",1949,4,10,228
"2284",1949,4,11,250
"2512",1949,4,12,250
"2740",1949,4,13,233
"2968",1949,4,14,256
"3196",1949,4,15,244
"3424",1949,4,16,250
"3652",1949,4,17,233
"3880",1949,4,18,228
"4108",1949,4,19,222
"4336",1949,4,20,239
"4564",1949,4,21,233
"4792",1949,4,22,211
"5020",1949,4,23,222
"5248",1949,4,24,244
"5476",1949,4,25,233
"5704",1949,4,26,233
"5932",1949,4,27,244
"6160",1949,4,28,233
"6387",1949,4,29,233
"6600",1949,4,30,244
"5",1949,5,1,256
"233",1949,5,2,250
"461",1949,5,3,250
"689",1949,5,4,239
"917",1949,5,5,250
"1145",1949,5,6,239
"1373",1949,5,7,233
"1601",1949,5,8,239
"1829",1949,5,9,233
"2057",1949,5,10,239
"2285",1949,5,11,233
"2513",1949,5,12,228
"2741",1949,5,13,250
"2969",1949,5,14,233
"3197",1949,5,15,244
"3425",1949,5,16,250
"3653",1949,5,17,233
"3881",1949,5,18,239
"4109",1949,5,19,239
"4337",1949,5,20,256
"4565",1949,5,21,261
"4793",1949,5,22,244
"5021",1949,5,23,256
"5249",1949,5,24,256
"5477",1949,5,25,244
"5705",1949,5,26,244
"5933",1949,5,27,250
"6161",1949,5,28,250
"6388",1949,5,29,239
"6601",1949,5,30,239
"6809",1949,5,31,244
"6",1949,6,1,250
"234",1949,6,2,217
"462",1949,6,3,239
"690",1949,6,4,244
"918",1949,6,5,244
"1146",1949,6,6,244
"1374",1949,6,7,256
"1602",1949,6,8,244
"1830",1949,6,9,239
"2058",1949,6,10,222
"2286",1949,6,11,239
"2514",1949,6,12,239
"2742",1949,6,13,250
"2970",1949,6,14,228
"3198",1949,6,15,233
"3426",1949,6,16,228
"3654",1949,6,17,222
"3882",1949,6,18,239
"4110",1949,6,19,239
"4338",1949,6,20,233
"4566",1949,6,21,228
"4794",1949,6,22,222
"5022",1949,6,23,222
"5250",1949,6,24,239
"5478",1949,6,25,239
"5706",1949,6,26,239
"5934",1949,6,27,228
"6162",1949,6,28,222
"6389",1949,6,29,239
"6602",1949,6,30,239
"7",1949,7,1,239
