"","Year","Month","Day","value"
"1",1974,5,1,-99.9
"494",1974,5,2,-99.9
"987",1974,5,3,-99.9
"1480",1974,5,4,-99.9
"1973",1974,5,5,-99.9
"2466",1974,5,6,-99.9
"2959",1974,5,7,-99.9
"3452",1974,5,8,-99.9
"3945",1974,5,9,-99.9
"4438",1974,5,10,-99.9
"4931",1974,5,11,-99.9
"5424",1974,5,12,190
"5917",1974,5,13,-99.9
"6410",1974,5,14,-99.9
"6903",1974,5,15,-99.9
"7396",1974,5,16,-99.9
"7889",1974,5,17,-99.9
"8382",1974,5,18,-99.9
"8875",1974,5,19,-99.9
"9368",1974,5,20,-99.9
"9861",1974,5,21,-99.9
"10354",1974,5,22,-99.9
"10847",1974,5,23,-99.9
"11340",1974,5,24,-99.9
"11833",1974,5,25,-99.9
"12326",1974,5,26,-99.9
"12819",1974,5,27,-99.9
"13312",1974,5,28,-99.9
"13805",1974,5,29,-99.9
"14267",1974,5,30,-99.9
"14719",1974,5,31,-99.9
"2",1976,6,1,-99.9
"495",1976,6,2,-99.9
"988",1976,6,3,-99.9
"1481",1976,6,4,-99.9
"1974",1976,6,5,-99.9
"2467",1976,6,6,-99.9
"2960",1976,6,7,-99.9
"3453",1976,6,8,-99.9
"3946",1976,6,9,-99.9
"4439",1976,6,10,-99.9
"4932",1976,6,11,210
"5425",1976,6,12,-99.9
"5918",1976,6,13,-99.9
"6411",1976,6,14,210
"6904",1976,6,15,-99.9
"7397",1976,6,16,-99.9
"7890",1976,6,17,-99.9
"8383",1976,6,18,-99.9
"8876",1976,6,19,-99.9
"9369",1976,6,20,210
"9862",1976,6,21,-99.9
"10355",1976,6,22,-99.9
"10848",1976,6,23,-99.9
"11341",1976,6,24,-99.9
"11834",1976,6,25,-99.9
"12327",1976,6,26,-99.9
"12820",1976,6,27,-99.9
"13313",1976,6,28,-99.9
"13806",1976,6,29,-99.9
"14268",1976,6,30,-99.9
"3",1976,7,1,-99.9
"496",1976,7,2,-99.9
"989",1976,7,3,-99.9
"1482",1976,7,4,-99.9
"1975",1976,7,5,-99.9
"2468",1976,7,6,-99.9
"2961",1976,7,7,-99.9
"3454",1976,7,8,-99.9
"3947",1976,7,9,210
"4440",1976,7,10,240
"4933",1976,7,11,-99.9
"5426",1976,7,12,-99.9
"5919",1976,7,13,-99.9
"6412",1976,7,14,-99.9
"6905",1976,7,15,-99.9
"7398",1976,7,16,-99.9
"7891",1976,7,17,-99.9
"8384",1976,7,18,-99.9
"8877",1976,7,19,-99.9
"9370",1976,7,20,-99.9
"9863",1976,7,21,-99.9
"10356",1976,7,22,-99.9
"10849",1976,7,23,-99.9
"11342",1976,7,24,-99.9
"11835",1976,7,25,-99.9
"12328",1976,7,26,-99.9
"12821",1976,7,27,-99.9
"13314",1976,7,28,-99.9
"13807",1976,7,29,-99.9
"14269",1976,7,30,220
"14720",1976,7,31,-99.9
"4",1976,8,1,-99.9
"497",1976,8,2,-99.9
"990",1976,8,3,-99.9
"1483",1976,8,4,210
"1976",1976,8,5,-99.9
"2469",1976,8,6,-99.9
"2962",1976,8,7,-99.9
"3455",1976,8,8,-99.9
"3948",1976,8,9,-99.9
"4441",1976,8,10,-99.9
"4934",1976,8,11,-99.9
"5427",1976,8,12,-99.9
"5920",1976,8,13,-99.9
"6413",1976,8,14,-99.9
"6906",1976,8,15,-99.9
"7399",1976,8,16,200
"7892",1976,8,17,-99.9
"8385",1976,8,18,240
"8878",1976,8,19,210
"9371",1976,8,20,-99.9
"9864",1976,8,21,-99.9
"10357",1976,8,22,-99.9
"10850",1976,8,23,-99.9
"11343",1976,8,24,-99.9
"11836",1976,8,25,-99.9
"12329",1976,8,26,-99.9
"12822",1976,8,27,-99.9
"13315",1976,8,28,-99.9
"13808",1976,8,29,-99.9
"14270",1976,8,30,-99.9
"14721",1976,8,31,-99.9
"5",1976,9,1,-99.9
"498",1976,9,2,-99.9
"991",1976,9,3,-99.9
"1484",1976,9,4,-99.9
"1977",1976,9,5,-99.9
"2470",1976,9,6,-99.9
"2963",1976,9,7,-99.9
"3456",1976,9,8,-99.9
"3949",1976,9,9,-99.9
"4442",1976,9,10,-99.9
"4935",1976,9,11,-99.9
"5428",1976,9,12,-99.9
"5921",1976,9,13,-99.9
"6414",1976,9,14,-99.9
"6907",1976,9,15,-99.9
"7400",1976,9,16,200
"7893",1976,9,17,-99.9
"8386",1976,9,18,-99.9
"8879",1976,9,19,-99.9
"9372",1976,9,20,-99.9
"9865",1976,9,21,190
"10358",1976,9,22,-99.9
"10851",1976,9,23,-99.9
"11344",1976,9,24,-99.9
"11837",1976,9,25,-99.9
"12330",1976,9,26,-99.9
"12823",1976,9,27,-99.9
"13316",1976,9,28,-99.9
"13809",1976,9,29,-99.9
"14271",1976,9,30,190
"6",1976,10,1,180
"499",1976,10,2,-99.9
"992",1976,10,3,-99.9
"1485",1976,10,4,200
"1978",1976,10,5,-99.9
"2471",1976,10,6,-99.9
"2964",1976,10,7,-99.9
"3457",1976,10,8,-99.9
"3950",1976,10,9,-99.9
"4443",1976,10,10,-99.9
"4936",1976,10,11,-99.9
"5429",1976,10,12,-99.9
"5922",1976,10,13,-99.9
"6415",1976,10,14,-99.9
"6908",1976,10,15,-99.9
"7401",1976,10,16,-99.9
"7894",1976,10,17,-99.9
"8387",1976,10,18,140
"8880",1976,10,19,-99.9
"9373",1976,10,20,-99.9
"9866",1976,10,21,-99.9
"10359",1976,10,22,-99.9
"10852",1976,10,23,-99.9
"11345",1976,10,24,-99.9
"11838",1976,10,25,-99.9
"12331",1976,10,26,-99.9
"12824",1976,10,27,-99.9
"13317",1976,10,28,-99.9
"13810",1976,10,29,-99.9
"14272",1976,10,30,-99.9
"14722",1976,10,31,-99.9
"7",1976,11,1,-99.9
"500",1976,11,2,70
"993",1976,11,3,-99.9
"1486",1976,11,4,-99.9
"1979",1976,11,5,-99.9
"2472",1976,11,6,-99.9
"2965",1976,11,7,-99.9
"3458",1976,11,8,-99.9
"3951",1976,11,9,-99.9
"4444",1976,11,10,-99.9
"4937",1976,11,11,-99.9
"5430",1976,11,12,-99.9
"5923",1976,11,13,-99.9
"6416",1976,11,14,130
