"","Year","Month","Day","value"
"1",1961,5,1,165
"669",1961,5,2,173
"1337",1961,5,3,200
"2005",1961,5,4,175
"2673",1961,5,5,180
"3341",1961,5,6,135
"4009",1961,5,7,165
"4677",1961,5,8,170
"5345",1961,5,9,170
"6013",1961,5,10,165
"6681",1961,5,11,170
"7349",1961,5,12,155
"8017",1961,5,13,166
"8685",1961,5,14,135
"9353",1961,5,15,160
"10021",1961,5,16,204
"10689",1961,5,17,199
"11357",1961,5,18,220
"12025",1961,5,19,183
"12693",1961,5,20,169
"13361",1961,5,21,188
"14029",1961,5,22,195
"14697",1961,5,23,187
"15365",1961,5,24,182
"16033",1961,5,25,192
"16701",1961,5,26,193
"17369",1961,5,27,176
"18037",1961,5,28,174
"18705",1961,5,29,165
"19333",1961,5,30,165
"19947",1961,5,31,172
"2",1961,6,1,166
"670",1961,6,2,164
"1338",1961,6,3,174
"2006",1961,6,4,174
"2674",1961,6,5,173
"3342",1961,6,6,180
"4010",1961,6,7,170
"4678",1961,6,8,160
"5346",1961,6,9,165
"6014",1961,6,10,180
"6682",1961,6,11,180
"7350",1961,6,12,185
"8018",1961,6,13,185
"8686",1961,6,14,200
"9354",1961,6,15,200
"10022",1961,6,16,190
"10690",1961,6,17,200
"11358",1961,6,18,200
"12026",1961,6,19,195
"12694",1961,6,20,195
"13362",1961,6,21,190
"14030",1961,6,22,195
"14698",1961,6,23,200
"15366",1961,6,24,200
"16034",1961,6,25,200
"16702",1961,6,26,200
"17370",1961,6,27,190
"18038",1961,6,28,200
"18706",1961,6,29,210
"19334",1961,6,30,210
"3",1961,7,1,200
"671",1961,7,2,205
"1339",1961,7,3,200
"2007",1961,7,4,205
"2675",1961,7,5,205
"3343",1961,7,6,205
"4011",1961,7,7,205
"4679",1961,7,8,200
"5347",1961,7,9,210
"6015",1961,7,10,200
"6683",1961,7,11,215
"7351",1961,7,12,215
"8019",1961,7,13,220
"8687",1961,7,14,195
"9355",1961,7,15,195
"10023",1961,7,16,235
"10691",1961,7,17,215
"11359",1961,7,18,215
"12027",1961,7,19,225
"12695",1961,7,20,220
"13363",1961,7,21,225
"14031",1961,7,22,225
"14699",1961,7,23,225
"15367",1961,7,24,230
"16035",1961,7,25,235
"16703",1961,7,26,235
"17371",1961,7,27,230
"18039",1961,7,28,225
"18707",1961,7,29,220
"19335",1961,7,30,225
"19948",1961,7,31,235
"4",1961,8,1,230
"672",1961,8,2,235
"1340",1961,8,3,230
"2008",1961,8,4,235
"2676",1961,8,5,230
"3344",1961,8,6,230
"4012",1961,8,7,230
"4680",1961,8,8,230
"5348",1961,8,9,225
"6016",1961,8,10,230
"6684",1961,8,11,225
"7352",1961,8,12,230
"8020",1961,8,13,240
"8688",1961,8,14,230
"9356",1961,8,15,230
"10024",1961,8,16,225
"10692",1961,8,17,225
"11360",1961,8,18,220
"12028",1961,8,19,205
"12696",1961,8,20,220
"13364",1961,8,21,225
"14032",1961,8,22,220
"14700",1961,8,23,215
"15368",1961,8,24,210
"16036",1961,8,25,210
"16704",1961,8,26,220
"17372",1961,8,27,220
"18040",1961,8,28,215
"18708",1961,8,29,210
"19336",1961,8,30,210
"19949",1961,8,31,215
"5",1961,9,1,220
"673",1961,9,2,225
"1341",1961,9,3,215
"2009",1961,9,4,210
"2677",1961,9,5,200
"3345",1961,9,6,210
"4013",1961,9,7,205
"4681",1961,9,8,230
"5349",1961,9,9,210
"6017",1961,9,10,225
"6685",1961,9,11,205
"7353",1961,9,12,230
"8021",1961,9,13,225
"8689",1961,9,14,220
"9357",1961,9,15,215
"10025",1961,9,16,225
"10693",1961,9,17,225
"11361",1961,9,18,235
"12029",1961,9,19,210
"12697",1961,9,20,190
"13365",1961,9,21,190
"14033",1961,9,22,220
"14701",1961,9,23,220
"15369",1961,9,24,220
"16037",1961,9,25,220
"16705",1961,9,26,225
"17373",1961,9,27,220
"18041",1961,9,28,215
"18709",1961,9,29,190
"19337",1961,9,30,185
"6",1961,10,1,185
"674",1961,10,2,160
"1342",1961,10,3,150
"2010",1961,10,4,165
"2678",1961,10,5,185
"3346",1961,10,6,160
"4014",1961,10,7,155
"4682",1961,10,8,190
"5350",1961,10,9,180
"6018",1961,10,10,205
"6686",1961,10,11,205
"7354",1961,10,12,195
"8022",1961,10,13,200
"8690",1961,10,14,195
"9358",1961,10,15,200
"10026",1961,10,16,180
"10694",1961,10,17,185
"11362",1961,10,18,180
"12030",1961,10,19,185
"12698",1961,10,20,150
"13366",1961,10,21,150
"14034",1961,10,22,150
"14702",1961,10,23,145
"15370",1961,10,24,145
"16038",1961,10,25,145
"16706",1961,10,26,155
"17374",1961,10,27,170
"18042",1961,10,28,160
"18710",1961,10,29,140
"19338",1961,10,30,145
"19950",1961,10,31,150
"7",1961,11,1,165
"675",1961,11,2,140
"1343",1961,11,3,175
"2011",1961,11,4,155
"2679",1961,11,5,165
"3347",1961,11,6,130
"4015",1961,11,7,150
"4683",1961,11,8,140
"5351",1961,11,9,130
"6019",1961,11,10,150
"6687",1961,11,11,150
"7355",1961,11,12,125
"8023",1961,11,13,125
"8691",1961,11,14,100
"9359",1961,11,15,100
"10027",1961,11,16,115
"10695",1961,11,17,140
"11363",1961,11,18,140
"12031",1961,11,19,125
"12699",1961,11,20,145
"13367",1961,11,21,135
"14035",1961,11,22,145
"14703",1961,11,23,135
"15371",1961,11,24,140
