"","Year","Month","Day","value"
"1",1965,1,1,-109
"613",1965,1,2,-254
"1225",1965,1,3,-192
"1837",1965,1,4,-187
"2449",1965,1,5,-234
"3061",1965,1,6,-339
"3673",1965,1,7,-171
"4285",1965,1,8,-299
"4897",1965,1,9,-379
"5509",1965,1,10,-399
"6121",1965,1,11,-439
"6733",1965,1,12,-171
"7345",1965,1,13,-206
"7957",1965,1,14,-132
"8569",1965,1,15,-88
"9181",1965,1,16,-221
"9793",1965,1,17,-189
"10405",1965,1,18,-133
"11017",1965,1,19,-235
"11629",1965,1,20,-294
"12241",1965,1,21,-277
"12853",1965,1,22,-109
"13465",1965,1,23,-142
"14077",1965,1,24,-284
"14689",1965,1,25,-257
"15301",1965,1,26,-203
"15913",1965,1,27,-309
"16525",1965,1,28,-303
"17137",1965,1,29,-231
"17710",1965,1,30,-244
"18270",1965,1,31,-222
"2",1965,2,1,-93
"614",1965,2,2,-179
"1226",1965,2,3,-232
"1838",1965,2,4,-130
"2450",1965,2,5,-39
"3062",1965,2,6,-102
"3674",1965,2,7,-75
"4286",1965,2,8,-225
"4898",1965,2,9,-99
"5510",1965,2,10,-143
"6122",1965,2,11,-107
"6734",1965,2,12,-229
"7346",1965,2,13,-189
"7958",1965,2,14,-190
"8570",1965,2,15,-239
"9182",1965,2,16,-291
"9794",1965,2,17,-249
"10406",1965,2,18,-145
"11018",1965,2,19,-61
"11630",1965,2,20,-66
"12242",1965,2,21,-108
"12854",1965,2,22,-169
"13466",1965,2,23,-191
"14078",1965,2,24,-135
"14690",1965,2,25,-207
"15302",1965,2,26,-269
"15914",1965,2,27,-307
"16526",1965,2,28,-199
"3",1965,3,1,-185
"615",1965,3,2,-279
"1227",1965,3,3,-239
"1839",1965,3,4,-279
"2451",1965,3,5,-307
"3063",1965,3,6,-339
"3675",1965,3,7,-316
"4287",1965,3,8,-154
"4899",1965,3,9,-244
"5511",1965,3,10,-241
"6123",1965,3,11,-141
"6735",1965,3,12,-81
"7347",1965,3,13,-109
