"","Year","Month","Day","value"
"1",1928,9,1,201
"19",1928,9,2,158
"37",1928,9,3,148
"55",1928,9,4,158
"73",1928,9,5,-99.9
"91",1928,9,6,201
"109",1928,9,7,144
"127",1928,9,8,142
"145",1928,9,9,123
"163",1928,9,10,120
"181",1928,9,11,180
"199",1928,9,12,150
"217",1928,9,13,142
"235",1928,9,14,132
"253",1928,9,15,135
"271",1928,9,16,145
"289",1928,9,17,150
"307",1928,9,18,-99.9
"325",1928,9,19,-99.9
"343",1928,9,20,-99.9
"361",1928,9,21,140
"379",1928,9,22,-99.9
"397",1928,9,23,170
"415",1928,9,24,160
"433",1928,9,25,-99.9
"451",1928,9,26,140
"469",1928,9,27,144
"487",1928,9,28,140
"505",1928,9,29,175
"521",1928,9,30,185
"2",1928,10,1,144
"20",1928,10,2,150
"38",1928,10,3,154
"56",1928,10,4,200
"74",1928,10,5,168
"92",1928,10,6,90
"110",1928,10,7,80
"128",1928,10,8,72
"146",1928,10,9,84
"164",1928,10,10,122
"182",1928,10,11,144
"200",1928,10,12,90
"218",1928,10,13,141
"236",1928,10,14,80
"254",1928,10,15,106
"272",1928,10,16,96
"290",1928,10,17,80
"308",1928,10,18,124
"326",1928,10,19,86
"344",1928,10,20,61
"362",1928,10,21,88
"380",1928,10,22,83
"398",1928,10,23,71
"416",1928,10,24,57
"434",1928,10,25,50
"452",1928,10,26,72
"470",1928,10,27,56
"488",1928,10,28,99
"506",1928,10,29,72
"522",1928,10,30,91
"537",1928,10,31,113
"3",1928,11,1,150
"21",1928,11,2,100
"39",1928,11,3,100
"57",1928,11,4,90
"75",1928,11,5,70
"93",1928,11,6,60
"111",1928,11,7,100
"129",1928,11,8,110
"147",1928,11,9,80
"165",1928,11,10,70
"183",1928,11,11,60
"201",1928,11,12,70
"219",1928,11,13,70
"237",1928,11,14,60
"255",1928,11,15,90
"273",1928,11,16,110
"291",1928,11,17,50
"309",1928,11,18,30
"327",1928,11,19,40
"345",1928,11,20,70
"363",1928,11,21,120
"381",1928,11,22,100
"399",1928,11,23,100
"417",1928,11,24,80
"435",1928,11,25,50
"453",1928,11,26,30
"471",1928,11,27,50
"489",1928,11,28,50
"507",1928,11,29,30
"523",1928,11,30,70
"4",1928,12,1,62
"22",1928,12,2,110
"40",1928,12,3,126
"58",1928,12,4,50
"76",1928,12,5,30
"94",1928,12,6,90
"112",1928,12,7,78
"130",1928,12,8,50
"148",1928,12,9,10
"166",1928,12,10,8
"184",1928,12,11,30
"202",1928,12,12,30
"220",1928,12,13,10
"238",1928,12,14,50
"256",1928,12,15,56
"274",1928,12,16,32
"292",1928,12,17,30
"310",1928,12,18,60
"328",1928,12,19,68
"346",1928,12,20,4
"364",1928,12,21,52
"382",1928,12,22,12
"400",1928,12,23,20
"418",1928,12,24,20
"436",1928,12,25,35
"454",1928,12,26,50
"472",1928,12,27,70
"490",1928,12,28,57
"508",1928,12,29,20
"524",1928,12,30,58
"538",1928,12,31,93
"5",1929,1,1,120
"23",1929,1,2,30
"41",1929,1,3,20
"59",1929,1,4,30
"77",1929,1,5,8
"95",1929,1,6,2
"113",1929,1,7,48
"131",1929,1,8,60
"149",1929,1,9,50
"167",1929,1,10,10
"185",1929,1,11,40
"203",1929,1,12,0
"221",1929,1,13,50
"239",1929,1,14,50
"257",1929,1,15,52
"275",1929,1,16,-10
"293",1929,1,17,10
"311",1929,1,18,0
"329",1929,1,19,10
"347",1929,1,20,50
"365",1929,1,21,2
"383",1929,1,22,0
"401",1929,1,23,0
"419",1929,1,24,30
"437",1929,1,25,-20
"455",1929,1,26,-22
"473",1929,1,27,-18
"491",1929,1,28,-4
"509",1929,1,29,-2
"525",1929,1,30,8
"539",1929,1,31,40
"6",1929,2,1,40
"24",1929,2,2,50
"42",1929,2,3,44
"60",1929,2,4,30
"78",1929,2,5,40
"96",1929,2,6,40
"114",1929,2,7,35
"132",1929,2,8,50
"150",1929,2,9,0
"168",1929,2,10,50
"186",1929,2,11,50
"204",1929,2,12,20
"222",1929,2,13,0
"240",1929,2,14,20
"258",1929,2,15,10
"276",1929,2,16,30
"294",1929,2,17,50
"312",1929,2,18,60
"330",1929,2,19,40
"348",1929,2,20,60
"366",1929,2,21,55
"384",1929,2,22,60
"402",1929,2,23,50
"420",1929,2,24,60
"438",1929,2,25,60
"456",1929,2,26,30
"474",1929,2,27,40
"492",1929,2,28,-99.9
"7",1929,3,1,-99.9
"25",1929,3,2,30
"43",1929,3,3,60
"61",1929,3,4,56
"79",1929,3,5,65
"97",1929,3,6,33
"115",1929,3,7,100
"133",1929,3,8,53
"151",1929,3,9,67
"169",1929,3,10,45
"187",1929,3,11,46
"205",1929,3,12,42
"223",1929,3,13,36
"241",1929,3,14,80
"259",1929,3,15,69
"277",1929,3,16,50
"295",1929,3,17,18
"313",1929,3,18,49
"331",1929,3,19,30
"349",1929,3,20,29
"367",1929,3,21,28
"385",1929,3,22,-12
"403",1929,3,23,2
"421",1929,3,24,28
"439",1929,3,25,28
"457",1929,3,26,9
"475",1929,3,27,42
"493",1929,3,28,82
"510",1929,3,29,43
"526",1929,3,30,40
"540",1929,3,31,60
"8",1929,4,1,32
"26",1929,4,2,24
"44",1929,4,3,0
"62",1929,4,4,32
"80",1929,4,5,130
"98",1929,4,6,112
"116",1929,4,7,46
"134",1929,4,8,21
"152",1929,4,9,86
"170",1929,4,10,84
"188",1929,4,11,20
"206",1929,4,12,13
"224",1929,4,13,36
"242",1929,4,14,60
"260",1929,4,15,51
"278",1929,4,16,100
"296",1929,4,17,24
"314",1929,4,18,34
"332",1929,4,19,86
"350",1929,4,20,55
"368",1929,4,21,80
"386",1929,4,22,63
"404",1929,4,23,66
"422",1929,4,24,58
"440",1929,4,25,81
"458",1929,4,26,85
"476",1929,4,27,84
"494",1929,4,28,65
"511",1929,4,29,74
"527",1929,4,30,124
"9",1929,5,1,56
"27",1929,5,2,85
"45",1929,5,3,94
"63",1929,5,4,88
"81",1929,5,5,126
"99",1929,5,6,128
"117",1929,5,7,144
"135",1929,5,8,72
"153",1929,5,9,50
"171",1929,5,10,91
"189",1929,5,11,80
"207",1929,5,12,100
"225",1929,5,13,98
"243",1929,5,14,120
"261",1929,5,15,147
"279",1929,5,16,82
"297",1929,5,17,112
"315",1929,5,18,70
"333",1929,5,19,110
"351",1929,5,20,173
"369",1929,5,21,125
"387",1929,5,22,126
"405",1929,5,23,154
"423",1929,5,24,154
"441",1929,5,25,110
"459",1929,5,26,113
"477",1929,5,27,158
"495",1929,5,28,128
"512",1929,5,29,130
"528",1929,5,30,113
"541",1929,5,31,109
"10",1929,6,1,108
"28",1929,6,2,95
"46",1929,6,3,102
"64",1929,6,4,90
"82",1929,6,5,107
"100",1929,6,6,112
"118",1929,6,7,184
"136",1929,6,8,155
"154",1929,6,9,163
"172",1929,6,10,118
"190",1929,6,11,160
"208",1929,6,12,180
"226",1929,6,13,166
"244",1929,6,14,120
"262",1929,6,15,96
"280",1929,6,16,112
"298",1929,6,17,108
"316",1929,6,18,134
"334",1929,6,19,144
"352",1929,6,20,134
"370",1929,6,21,140
"388",1929,6,22,185
"406",1929,6,23,178
"424",1929,6,24,184
"442",1929,6,25,174
"460",1929,6,26,108
"478",1929,6,27,140
"496",1929,6,28,135
"513",1929,6,29,154
"529",1929,6,30,141
"11",1929,10,1,-99.9
"29",1929,10,2,-99.9
"47",1929,10,3,-99.9
"65",1929,10,4,-99.9
"83",1929,10,5,-99.9
"101",1929,10,6,-99.9
"119",1929,10,7,-99.9
"137",1929,10,8,-99.9
"155",1929,10,9,-99.9
"173",1929,10,10,-99.9
"191",1929,10,11,-99.9
"209",1929,10,12,-99.9
"227",1929,10,13,-99.9
"245",1929,10,14,-99.9
"263",1929,10,15,80
"281",1929,10,16,80
"299",1929,10,17,80
"317",1929,10,18,70
"335",1929,10,19,80
"353",1929,10,20,80
"371",1929,10,21,85
"389",1929,10,22,90
"407",1929,10,23,90
"425",1929,10,24,70
"443",1929,10,25,80
"461",1929,10,26,110
"479",1929,10,27,110
"497",1929,10,28,120
"514",1929,10,29,130
"530",1929,10,30,135
"542",1929,10,31,100
"12",1929,11,1,75
"30",1929,11,2,75
"48",1929,11,3,70
"66",1929,11,4,65
"84",1929,11,5,50
"102",1929,11,6,80
"120",1929,11,7,40
"138",1929,11,8,56
"156",1929,11,9,40
"174",1929,11,10,50
"192",1929,11,11,60
"210",1929,11,12,60
"228",1929,11,13,60
"246",1929,11,14,130
"264",1929,11,15,60
"282",1929,11,16,36
"300",1929,11,17,62
"318",1929,11,18,51
"336",1929,11,19,51
"354",1929,11,20,80
"372",1929,11,21,82
"390",1929,11,22,153
"408",1929,11,23,141
"426",1929,11,24,54
"444",1929,11,25,30
"462",1929,11,26,48
"480",1929,11,27,118
"498",1929,11,28,98
"515",1929,11,29,120
"531",1929,11,30,102
"13",1929,12,1,82
"31",1929,12,2,70
"49",1929,12,3,42
"67",1929,12,4,30
"85",1929,12,5,61
"103",1929,12,6,87
"121",1929,12,7,90
"139",1929,12,8,40
"157",1929,12,9,40
"175",1929,12,10,77
"193",1929,12,11,48
"211",1929,12,12,69
"229",1929,12,13,98
"247",1929,12,14,48
"265",1929,12,15,72
"283",1929,12,16,61
"301",1929,12,17,73
"319",1929,12,18,10
"337",1929,12,19,9
"355",1929,12,20,8
"373",1929,12,21,2
"391",1929,12,22,2
"409",1929,12,23,50
"427",1929,12,24,70
"445",1929,12,25,54
"463",1929,12,26,2
"481",1929,12,27,51
"499",1929,12,28,6
"516",1929,12,29,1
"532",1929,12,30,19
"543",1929,12,31,13
"14",1930,1,1,-13
"32",1930,1,2,10
"50",1930,1,3,14
"68",1930,1,4,4
"86",1930,1,5,30
"104",1930,1,6,24
"122",1930,1,7,55
"140",1930,1,8,41
"158",1930,1,9,40
"176",1930,1,10,-20
"194",1930,1,11,-12
"212",1930,1,12,43
"230",1930,1,13,-1
"248",1930,1,14,50
"266",1930,1,15,38
"284",1930,1,16,37
"302",1930,1,17,39
"320",1930,1,18,40
"338",1930,1,19,49
"356",1930,1,20,20
"374",1930,1,21,37
"392",1930,1,22,27
"410",1930,1,23,-1
"428",1930,1,24,43
"446",1930,1,25,7
"464",1930,1,26,-8
"482",1930,1,27,-2
"500",1930,1,28,-28
"517",1930,1,29,3
"533",1930,1,30,44
"544",1930,1,31,71
"15",1930,2,1,61
"33",1930,2,2,33
"51",1930,2,3,8
"69",1930,2,4,53
"87",1930,2,5,58
"105",1930,2,6,61
"123",1930,2,7,6
"141",1930,2,8,50
"159",1930,2,9,41
"177",1930,2,10,29
"195",1930,2,11,76
"213",1930,2,12,61
"231",1930,2,13,82
"249",1930,2,14,67
"267",1930,2,15,32
"285",1930,2,16,53
"303",1930,2,17,39
"321",1930,2,18,44
"339",1930,2,19,91
"357",1930,2,20,31
"375",1930,2,21,78
"393",1930,2,22,44
"411",1930,2,23,68
