"","Year","Month","Day","value"
"1",1951,1,1,151
"738",1951,1,2,160
"1475",1951,1,3,181
"2212",1951,1,4,157
"2949",1951,1,5,213
"3686",1951,1,6,225
"4423",1951,1,7,202
"5160",1951,1,8,221
"5897",1951,1,9,215
"6634",1951,1,10,213
"7371",1951,1,11,220
"8108",1951,1,12,222
"8845",1951,1,13,232
"9582",1951,1,14,194
"10319",1951,1,15,189
"11056",1951,1,16,189
"11793",1951,1,17,175
"12530",1951,1,18,197
"13267",1951,1,19,194
"14004",1951,1,20,226
"14741",1951,1,21,221
"15478",1951,1,22,219
"16215",1951,1,23,213
"16952",1951,1,24,230
"17689",1951,1,25,241
"18426",1951,1,26,239
"19163",1951,1,27,216
"19900",1951,1,28,229
"20637",1951,1,29,217
"21328",1951,1,30,212
"22003",1951,1,31,213
"2",1951,2,1,214
"739",1951,2,2,201
"1476",1951,2,3,193
"2213",1951,2,4,207
"2950",1951,2,5,211
"3687",1951,2,6,196
"4424",1951,2,7,202
"5161",1951,2,8,187
"5898",1951,2,9,220
"6635",1951,2,10,231
"7372",1951,2,11,215
"8109",1951,2,12,227
"8846",1951,2,13,228
"9583",1951,2,14,243
"10320",1951,2,15,228
"11057",1951,2,16,229
"11794",1951,2,17,215
"12531",1951,2,18,209
"13268",1951,2,19,204
"14005",1951,2,20,209
"14742",1951,2,21,242
"15479",1951,2,22,230
"16216",1951,2,23,213
"16953",1951,2,24,212
"17690",1951,2,25,228
"18427",1951,2,26,226
"19164",1951,2,27,236
"19901",1951,2,28,235
"3",1951,3,1,234
"740",1951,3,2,239
"1477",1951,3,3,242
"2214",1951,3,4,220
"2951",1951,3,5,214
"3688",1951,3,6,241
"4425",1951,3,7,263
"5162",1951,3,8,257
"5899",1951,3,9,256
"6636",1951,3,10,257
"7373",1951,3,11,250
"8110",1951,3,12,229
"8847",1951,3,13,237
"9584",1951,3,14,241
"10321",1951,3,15,227
"11058",1951,3,16,240
"11795",1951,3,17,249
"12532",1951,3,18,259
"13269",1951,3,19,263
"14006",1951,3,20,259
"14743",1951,3,21,260
"15480",1951,3,22,240
"16217",1951,3,23,245
"16954",1951,3,24,241
"17691",1951,3,25,234
"18428",1951,3,26,250
"19165",1951,3,27,241
"19902",1951,3,28,237
"20638",1951,3,29,260
"21329",1951,3,30,232
"22004",1951,3,31,261
"4",1951,4,1,242
"741",1951,4,2,249
"1478",1951,4,3,272
"2215",1951,4,4,272
"2952",1951,4,5,268
"3689",1951,4,6,278
"4426",1951,4,7,271
"5163",1951,4,8,273
"5900",1951,4,9,278
"6637",1951,4,10,281
"7374",1951,4,11,284
"8111",1951,4,12,282
"8848",1951,4,13,242
"9585",1951,4,14,229
"10322",1951,4,15,255
"11059",1951,4,16,254
"11796",1951,4,17,272
"12533",1951,4,18,260
"13270",1951,4,19,269
"14007",1951,4,20,266
"14744",1951,4,21,281
"15481",1951,4,22,247
"16218",1951,4,23,238
"16955",1951,4,24,244
"17692",1951,4,25,251
"18429",1951,4,26,243
"19166",1951,4,27,273
"19903",1951,4,28,256
"20639",1951,4,29,250
"21330",1951,4,30,252
"5",1951,5,1,251
"742",1951,5,2,244
"1479",1951,5,3,225
"2216",1951,5,4,256
"2953",1951,5,5,251
"3690",1951,5,6,251
"4427",1951,5,7,255
"5164",1951,5,8,257
"5901",1951,5,9,242
"6638",1951,5,10,245
"7375",1951,5,11,248
"8112",1951,5,12,236
"8849",1951,5,13,257
"9586",1951,5,14,267
"10323",1951,5,15,275
"11060",1951,5,16,276
"11797",1951,5,17,266
"12534",1951,5,18,259
"13271",1951,5,19,265
"14008",1951,5,20,251
"14745",1951,5,21,243
"15482",1951,5,22,248
"16219",1951,5,23,248
"16956",1951,5,24,239
"17693",1951,5,25,233
"18430",1951,5,26,241
"19167",1951,5,27,252
"19904",1951,5,28,252
"20640",1951,5,29,256
"21331",1951,5,30,263
"22005",1951,5,31,261
"6",1951,6,1,240
"743",1951,6,2,253
"1480",1951,6,3,250
"2217",1951,6,4,254
"2954",1951,6,5,250
"3691",1951,6,6,271
"4428",1951,6,7,253
"5165",1951,6,8,247
"5902",1951,6,9,247
"6639",1951,6,10,263
"7376",1951,6,11,253
"8113",1951,6,12,246
"8850",1951,6,13,247
"9587",1951,6,14,257
"10324",1951,6,15,269
"11061",1951,6,16,264
"11798",1951,6,17,257
"12535",1951,6,18,265
"13272",1951,6,19,245
