"","Year","Month","Day","value"
"1",1964,1,1,200
"49",1964,1,2,228
"97",1964,1,3,222
"145",1964,1,4,244
"193",1964,1,5,222
"241",1964,1,6,211
"289",1964,1,7,200
"337",1964,1,8,211
"385",1964,1,9,206
"433",1964,1,10,194
"481",1964,1,11,194
"529",1964,1,12,200
"577",1964,1,13,211
"625",1964,1,14,206
"673",1964,1,15,222
"721",1964,1,16,233
"769",1964,1,17,228
"817",1964,1,18,217
"865",1964,1,19,233
"913",1964,1,20,239
"961",1964,1,21,228
"1009",1964,1,22,228
"1057",1964,1,23,239
"1105",1964,1,24,222
"1153",1964,1,25,222
"1201",1964,1,26,211
"1249",1964,1,27,228
"1297",1964,1,28,222
"1345",1964,1,29,211
"1390",1964,1,30,211
"1434",1964,1,31,222
"2",1964,2,1,228
"50",1964,2,2,228
"98",1964,2,3,211
"146",1964,2,4,206
"194",1964,2,5,222
"242",1964,2,6,228
"290",1964,2,7,233
"338",1964,2,8,233
"386",1964,2,9,233
"434",1964,2,10,239
"482",1964,2,11,239
"530",1964,2,12,233
"578",1964,2,13,194
"626",1964,2,14,222
"674",1964,2,15,228
"722",1964,2,16,228
"770",1964,2,17,239
"818",1964,2,18,250
"866",1964,2,19,256
"914",1964,2,20,233
"962",1964,2,21,222
"1010",1964,2,22,228
"1058",1964,2,23,211
"1106",1964,2,24,228
"1154",1964,2,25,217
"1202",1964,2,26,183
"1250",1964,2,27,183
"1298",1964,2,28,161
"1346",1964,2,29,178
"3",1964,3,1,222
"51",1964,3,2,194
"99",1964,3,3,222
"147",1964,3,4,228
"195",1964,3,5,217
"243",1964,3,6,222
"291",1964,3,7,211
"339",1964,3,8,222
"387",1964,3,9,250
"435",1964,3,10,233
"483",1964,3,11,228
"531",1964,3,12,239
"579",1964,3,13,222
"627",1964,3,14,228
"675",1964,3,15,211
"723",1964,3,16,222
"771",1964,3,17,244
"819",1964,3,18,244
"867",1964,3,19,244
"915",1964,3,20,244
"963",1964,3,21,244
"1011",1964,3,22,239
"1059",1964,3,23,244
"1107",1964,3,24,250
"1155",1964,3,25,250
"1203",1964,3,26,228
"1251",1964,3,27,228
"1299",1964,3,28,233
"1347",1964,3,29,250
"1391",1964,3,30,250
"1435",1964,3,31,267
"4",1964,4,1,250
"52",1964,4,2,244
"100",1964,4,3,267
"148",1964,4,4,250
"196",1964,4,5,244
"244",1964,4,6,244
"292",1964,4,7,261
"340",1964,4,8,267
"388",1964,4,9,267
"436",1964,4,10,250
"484",1964,4,11,267
"532",1964,4,12,256
"580",1964,4,13,244
"628",1964,4,14,267
"676",1964,4,15,250
"724",1964,4,16,267
"772",1964,4,17,256
"820",1964,4,18,256
"868",1964,4,19,244
"916",1964,4,20,250
"964",1964,4,21,256
"1012",1964,4,22,244
"1060",1964,4,23,239
"1108",1964,4,24,250
"1156",1964,4,25,244
"1204",1964,4,26,244
"1252",1964,4,27,250
"1300",1964,4,28,244
"1348",1964,4,29,239
"1392",1964,4,30,244
"5",1964,5,1,-99.9
"53",1964,5,2,250
"101",1964,5,3,244
"149",1964,5,4,233
"197",1964,5,5,244
"245",1964,5,6,250
"293",1964,5,7,244
"341",1964,5,8,239
"389",1964,5,9,239
"437",1964,5,10,250
"485",1964,5,11,250
"533",1964,5,12,239
"581",1964,5,13,239
"629",1964,5,14,244
"677",1964,5,15,239
"725",1964,5,16,250
"773",1964,5,17,256
"821",1964,5,18,261
"869",1964,5,19,250
"917",1964,5,20,244
"965",1964,5,21,256
"1013",1964,5,22,250
"1061",1964,5,23,250
"1109",1964,5,24,256
"1157",1964,5,25,256
"1205",1964,5,26,250
"1253",1964,5,27,261
"1301",1964,5,28,261
"1349",1964,5,29,261
"1393",1964,5,30,256
"1436",1964,5,31,256
"6",1964,6,1,256
"54",1964,6,2,256
"102",1964,6,3,256
"150",1964,6,4,256
"198",1964,6,5,256
"246",1964,6,6,244
"294",1964,6,7,250
"342",1964,6,8,250
"390",1964,6,9,261
"438",1964,6,10,261
