"","Year","Month","Day","value"
"1",1960,12,1,-99.9
"112",1960,12,2,-99.9
"223",1960,12,3,-99.9
"334",1960,12,4,-99.9
"445",1960,12,5,-99.9
"556",1960,12,6,-99.9
"667",1960,12,7,-99.9
"778",1960,12,8,-99.9
"889",1960,12,9,-99.9
"1000",1960,12,10,-99.9
"1111",1960,12,11,-99.9
"1222",1960,12,12,-99.9
"1333",1960,12,13,-99.9
"1444",1960,12,14,-99.9
"1555",1960,12,15,-99.9
"1666",1960,12,16,-99.9
"1777",1960,12,17,-99.9
"1888",1960,12,18,-99.9
"1999",1960,12,19,-99.9
"2110",1960,12,20,-99.9
"2221",1960,12,21,-99.9
"2332",1960,12,22,-99.9
"2443",1960,12,23,-99.9
"2554",1960,12,24,-99.9
"2665",1960,12,25,-99.9
"2776",1960,12,26,-99.9
"2887",1960,12,27,-99.9
"2998",1960,12,28,-99.9
"3109",1960,12,29,-99.9
"3212",1960,12,30,-278
"3312",1960,12,31,-99.9
"2",1961,1,1,-99.9
"113",1961,1,2,-99.9
"224",1961,1,3,-99.9
"335",1961,1,4,-99.9
"446",1961,1,5,-99.9
"557",1961,1,6,-99.9
"668",1961,1,7,-99.9
"779",1961,1,8,-99.9
"890",1961,1,9,-99.9
"1001",1961,1,10,-99.9
"1112",1961,1,11,-99.9
"1223",1961,1,12,-99.9
"1334",1961,1,13,-99.9
"1445",1961,1,14,-99.9
"1556",1961,1,15,-99.9
"1667",1961,1,16,-99.9
"1778",1961,1,17,-99.9
"1889",1961,1,18,-99.9
"2000",1961,1,19,-99.9
"2111",1961,1,20,-99.9
"2222",1961,1,21,-99.9
"2333",1961,1,22,-99.9
"2444",1961,1,23,-228
"2555",1961,1,24,-99.9
"2666",1961,1,25,-99.9
"2777",1961,1,26,-99.9
"2888",1961,1,27,-278
"2999",1961,1,28,-172
"3110",1961,1,29,-99.9
"3213",1961,1,30,-189
"3313",1961,1,31,-99.9
"3",1961,2,1,-99.9
"114",1961,2,2,-99.9
"225",1961,2,3,-99.9
"336",1961,2,4,-200
"447",1961,2,5,-99.9
"558",1961,2,6,-99.9
"669",1961,2,7,-99.9
"780",1961,2,8,-99.9
"891",1961,2,9,-99.9
"1002",1961,2,10,-99.9
"1113",1961,2,11,-99.9
"1224",1961,2,12,-99.9
"1335",1961,2,13,-99.9
"1446",1961,2,14,-99.9
