"","Year","Month","Day","value"
"1",1930,1,1,14
"1033",1930,1,2,0
"2065",1930,1,3,14
"3097",1930,1,4,14
"4129",1930,1,5,29
"5161",1930,1,6,2
"6193",1930,1,7,-23
"7225",1930,1,8,-14
"8257",1930,1,9,-49
"9289",1930,1,10,-39
"10321",1930,1,11,-32
"11353",1930,1,12,-26
"12385",1930,1,13,-23
"13417",1930,1,14,15
"14449",1930,1,15,16
"15481",1930,1,16,9
"16513",1930,1,17,-14
"17545",1930,1,18,10
"18577",1930,1,19,-8
"19609",1930,1,20,0
"20641",1930,1,21,-19
"21673",1930,1,22,-54
"22705",1930,1,23,-58
"23737",1930,1,24,-28
"24769",1930,1,25,-62
"25801",1930,1,26,-56
"26833",1930,1,27,-54
"27865",1930,1,28,13
"28897",1930,1,29,36
"29864",1930,1,30,3
"30810",1930,1,31,35
"2",1930,2,1,10
"1034",1930,2,2,12
"2066",1930,2,3,32
"3098",1930,2,4,6
"4130",1930,2,5,48
"5162",1930,2,6,-32
"6194",1930,2,7,-30
"7226",1930,2,8,-30
"8258",1930,2,9,-19
"9290",1930,2,10,-38
"10322",1930,2,11,-53
"11354",1930,2,12,-82
"12386",1930,2,13,-45
"13418",1930,2,14,-68
"14450",1930,2,15,-65
"15482",1930,2,16,-80
"16514",1930,2,17,-80
"17546",1930,2,18,-73
"18578",1930,2,19,-63
"19610",1930,2,20,-2
"20642",1930,2,21,-43
"21674",1930,2,22,-50
"22706",1930,2,23,-49
"23738",1930,2,24,-23
"24770",1930,2,25,-28
"25802",1930,2,26,-44
"26834",1930,2,27,-54
"27866",1930,2,28,-54
"3",1930,3,1,-40
"1035",1930,3,2,-43
"2067",1930,3,3,-38
"3099",1930,3,4,-14
"4131",1930,3,5,-25
"5163",1930,3,6,-25
"6195",1930,3,7,-4
"7227",1930,3,8,-60
"8259",1930,3,9,-36
"9291",1930,3,10,-46
"10323",1930,3,11,24
"11355",1930,3,12,40
"12387",1930,3,13,45
"13419",1930,3,14,80
"14451",1930,3,15,-45
"15483",1930,3,16,-44
"16515",1930,3,17,12
"17547",1930,3,18,55
"18579",1930,3,19,30
"19611",1930,3,20,36
"20643",1930,3,21,48
"21675",1930,3,22,72
"22707",1930,3,23,84
"23739",1930,3,24,44
"24771",1930,3,25,5
"25803",1930,3,26,4
"26835",1930,3,27,16
"27867",1930,3,28,34
"28898",1930,3,29,58
"29865",1930,3,30,10
"30811",1930,3,31,-20
"4",1930,4,1,-13
"1036",1930,4,2,40
"2068",1930,4,3,5
"3100",1930,4,4,-7
"4132",1930,4,5,-9
"5164",1930,4,6,5
"6196",1930,4,7,98
"7228",1930,4,8,47
"8260",1930,4,9,13
"9292",1930,4,10,46
"10324",1930,4,11,54
"11356",1930,4,12,10
"12388",1930,4,13,42
"13420",1930,4,14,2
"14452",1930,4,15,24
"15484",1930,4,16,66
"16516",1930,4,17,60
"17548",1930,4,18,94
"18580",1930,4,19,70
"19612",1930,4,20,66
"20644",1930,4,21,40
"21676",1930,4,22,22
"22708",1930,4,23,46
"23740",1930,4,24,66
"24772",1930,4,25,96
"25804",1930,4,26,90
"26836",1930,4,27,95
"27868",1930,4,28,85
"28899",1930,4,29,70
"29866",1930,4,30,95
"5",1930,5,1,117
"1037",1930,5,2,130
"2069",1930,5,3,90
"3101",1930,5,4,103
"4133",1930,5,5,60
"5165",1930,5,6,23
"6197",1930,5,7,27
"7229",1930,5,8,58
"8261",1930,5,9,87
"9293",1930,5,10,128
"10325",1930,5,11,109
"11357",1930,5,12,115
"12389",1930,5,13,96
"13421",1930,5,14,117
"14453",1930,5,15,115
"15485",1930,5,16,82
"16517",1930,5,17,80
"17549",1930,5,18,70
"18581",1930,5,19,88
"19613",1930,5,20,52
"20645",1930,5,21,80
"21677",1930,5,22,110
"22709",1930,5,23,106
"23741",1930,5,24,106
"24773",1930,5,25,98
"25805",1930,5,26,100
"26837",1930,5,27,96
"27869",1930,5,28,112
"28900",1930,5,29,133
"29867",1930,5,30,126
"30812",1930,5,31,110
"6",1930,6,1,128
"1038",1930,6,2,118
"2070",1930,6,3,103
"3102",1930,6,4,120
"4134",1930,6,5,138
"5166",1930,6,6,80
"6198",1930,6,7,87
"7230",1930,6,8,96
"8262",1930,6,9,56
"9294",1930,6,10,65
"10326",1930,6,11,100
"11358",1930,6,12,110
"12390",1930,6,13,100
"13422",1930,6,14,117
"14454",1930,6,15,101
"15486",1930,6,16,127
"16518",1930,6,17,124
"17550",1930,6,18,140
"18582",1930,6,19,126
"19614",1930,6,20,132
"20646",1930,6,21,135
"21678",1930,6,22,130
"22710",1930,6,23,142
"23742",1930,6,24,108
"24774",1930,6,25,112
"25806",1930,6,26,87
"26838",1930,6,27,106
"27870",1930,6,28,121
"28901",1930,6,29,127
"29868",1930,6,30,132
"7",1930,7,1,127
"1039",1930,7,2,135
"2071",1930,7,3,147
"3103",1930,7,4,107
"4135",1930,7,5,116
"5167",1930,7,6,128
"6199",1930,7,7,115
"7231",1930,7,8,175
"8263",1930,7,9,117
"9295",1930,7,10,140
"10327",1930,7,11,149
"11359",1930,7,12,139
"12391",1930,7,13,140
"13423",1930,7,14,162
"14455",1930,7,15,183
"15487",1930,7,16,108
"16519",1930,7,17,130
"17551",1930,7,18,162
"18583",1930,7,19,148
"19615",1930,7,20,170
"20647",1930,7,21,112
"21679",1930,7,22,136
"22711",1930,7,23,126
"23743",1930,7,24,116
"24775",1930,7,25,145
"25807",1930,7,26,163
"26839",1930,7,27,175
"27871",1930,7,28,169
"28902",1930,7,29,163
"29869",1930,7,30,175
"30813",1930,7,31,158
"8",1930,8,1,172
"1040",1930,8,2,140
"2072",1930,8,3,165
"3104",1930,8,4,173
"4136",1930,8,5,185
"5168",1930,8,6,155
"6200",1930,8,7,160
"7232",1930,8,8,135
"8264",1930,8,9,165
"9296",1930,8,10,173
"10328",1930,8,11,185
"11360",1930,8,12,143
"12392",1930,8,13,99
"13424",1930,8,14,116
"14456",1930,8,15,130
"15488",1930,8,16,150
"16520",1930,8,17,167
"17552",1930,8,18,158
"18584",1930,8,19,150
"19616",1930,8,20,140
"20648",1930,8,21,139
"21680",1930,8,22,142
"22712",1930,8,23,153
"23744",1930,8,24,155
"24776",1930,8,25,170
"25808",1930,8,26,152
"26840",1930,8,27,155
"27872",1930,8,28,102
"28903",1930,8,29,120
"29870",1930,8,30,125
"30814",1930,8,31,102
"9",1930,9,1,148
"1041",1930,9,2,116
"2073",1930,9,3,103
"3105",1930,9,4,109
"4137",1930,9,5,80
"5169",1930,9,6,50
"6201",1930,9,7,66
"7233",1930,9,8,76
"8265",1930,9,9,104
"9297",1930,9,10,100
"10329",1930,9,11,100
"11361",1930,9,12,100
"12393",1930,9,13,84
"13425",1930,9,14,99
"14457",1930,9,15,80
"15489",1930,9,16,105
"16521",1930,9,17,100
"17553",1930,9,18,135
"18585",1930,9,19,125
"19617",1930,9,20,135
"20649",1930,9,21,85
"21681",1930,9,22,82
"22713",1930,9,23,97
"23745",1930,9,24,113
"24777",1930,9,25,130
"25809",1930,9,26,98
"26841",1930,9,27,110
"27873",1930,9,28,115
"28904",1930,9,29,96
"29871",1930,9,30,100
"10",1930,10,1,111
"1042",1930,10,2,112
"2074",1930,10,3,79
"3106",1930,10,4,70
"4138",1930,10,5,48
"5170",1930,10,6,35
"6202",1930,10,7,42
"7234",1930,10,8,75
"8266",1930,10,9,49
"9298",1930,10,10,30
"10330",1930,10,11,32
"11362",1930,10,12,55
"12394",1930,10,13,63
"13426",1930,10,14,65
"14458",1930,10,15,60
"15490",1930,10,16,65
"16522",1930,10,17,23
"17554",1930,10,18,26
"18586",1930,10,19,32
"19618",1930,10,20,30
"20650",1930,10,21,35
"21682",1930,10,22,45
"22714",1930,10,23,50
"23746",1930,10,24,54
"24778",1930,10,25,62
"25810",1930,10,26,100
"26842",1930,10,27,120
"27874",1930,10,28,88
"28905",1930,10,29,75
"29872",1930,10,30,28
"30815",1930,10,31,38
"11",1930,11,1,68
"1043",1930,11,2,75
"2075",1930,11,3,98
"3107",1930,11,4,48
"4139",1930,11,5,50
"5171",1930,11,6,60
"6203",1930,11,7,71
"7235",1930,11,8,38
"8267",1930,11,9,40
"9299",1930,11,10,55
"10331",1930,11,11,50
"11363",1930,11,12,30
"12395",1930,11,13,30
"13427",1930,11,14,55
"14459",1930,11,15,20
"15491",1930,11,16,13
"16523",1930,11,17,13
"17555",1930,11,18,14
"18587",1930,11,19,16
"19619",1930,11,20,-35
"20651",1930,11,21,-32
"21683",1930,11,22,8
"22715",1930,11,23,26
"23747",1930,11,24,24
"24779",1930,11,25,25
"25811",1930,11,26,24
"26843",1930,11,27,-16
"27875",1930,11,28,-23
"28906",1930,11,29,-22
"29873",1930,11,30,-17
"12",1930,12,1,-33
"1044",1930,12,2,23
"2076",1930,12,3,9
"3108",1930,12,4,10
"4140",1930,12,5,9
"5172",1930,12,6,0
"6204",1930,12,7,-6
"7236",1930,12,8,-21
"8268",1930,12,9,-32
"9300",1930,12,10,-30
"10332",1930,12,11,-20
"11364",1930,12,12,-10
"12396",1930,12,13,42
"13428",1930,12,14,58
"14460",1930,12,15,20
"15492",1930,12,16,24
"16524",1930,12,17,17
"17556",1930,12,18,20
"18588",1930,12,19,25
"19620",1930,12,20,46
"20652",1930,12,21,-2
"21684",1930,12,22,-23
"22716",1930,12,23,-52
"23748",1930,12,24,-44
"24780",1930,12,25,-40
"25812",1930,12,26,-5
"26844",1930,12,27,0
"27876",1930,12,28,-5
"28907",1930,12,29,2
"29874",1930,12,30,-32
"30816",1930,12,31,-54
"13",1931,1,1,-50
"1045",1931,1,2,-40
"2077",1931,1,3,-30
"3109",1931,1,4,-8
"4141",1931,1,5,20
"5173",1931,1,6,7
"6205",1931,1,7,-10
"7237",1931,1,8,-13
"8269",1931,1,9,-13
"9301",1931,1,10,-12
"10333",1931,1,11,-23
"11365",1931,1,12,-41
"12397",1931,1,13,-30
"13429",1931,1,14,-22
"14461",1931,1,15,10
"15493",1931,1,16,25
"16525",1931,1,17,10
"17557",1931,1,18,-10
"18589",1931,1,19,-30
"19621",1931,1,20,-35
"20653",1931,1,21,-43
"21685",1931,1,22,-45
"22717",1931,1,23,-50
"23749",1931,1,24,-95
"24781",1931,1,25,126
"25813",1931,1,26,-32
"26845",1931,1,27,-34
"27877",1931,1,28,-8
"28908",1931,1,29,-48
"29875",1931,1,30,-53
"30817",1931,1,31,110
"14",1931,2,1,-52
"1046",1931,2,2,-36
"2078",1931,2,3,-22
"3110",1931,2,4,-20
"4142",1931,2,5,14
"5174",1931,2,6,10
"6206",1931,2,7,-6
"7238",1931,2,8,-10
"8270",1931,2,9,-5
"9302",1931,2,10,10
"10334",1931,2,11,2
"11366",1931,2,12,0
"12398",1931,2,13,15
"13430",1931,2,14,15
"14462",1931,2,15,0
"15494",1931,2,16,4
"16526",1931,2,17,10
"17558",1931,2,18,40
"18590",1931,2,19,-12
"19622",1931,2,20,-24
"20654",1931,2,21,-26
"21686",1931,2,22,-24
"22718",1931,2,23,-15
"23750",1931,2,24,0
"24782",1931,2,25,5
"25814",1931,2,26,14
"26846",1931,2,27,-18
"27878",1931,2,28,-17
"15",1931,3,1,12
"1047",1931,3,2,22
"2079",1931,3,3,-31
"3111",1931,3,4,-40
"4143",1931,3,5,-72
"5175",1931,3,6,-66
"6207",1931,3,7,-20
"7239",1931,3,8,-11
"8271",1931,3,9,55
"9303",1931,3,10,53
"10335",1931,3,11,52
"11367",1931,3,12,35
"12399",1931,3,13,48
"13431",1931,3,14,90
"14463",1931,3,15,88
"15495",1931,3,16,85
"16527",1931,3,17,92
"17559",1931,3,18,-26
"18591",1931,3,19,-55
"19623",1931,3,20,-66
"20655",1931,3,21,-62
"21687",1931,3,22,-50
"22719",1931,3,23,-34
"23751",1931,3,24,14
"24783",1931,3,25,8
"25815",1931,3,26,33
"26847",1931,3,27,-2
"27879",1931,3,28,8
"28909",1931,3,29,10
"29876",1931,3,30,-30
"30818",1931,3,31,-80
"16",1931,4,1,-72
"1048",1931,4,2,-10
"2080",1931,4,3,-26
"3112",1931,4,4,-64
"4144",1931,4,5,-53
"5176",1931,4,6,8
"6208",1931,4,7,12
"7240",1931,4,8,20
"8272",1931,4,9,33
"9304",1931,4,10,40
"10336",1931,4,11,25
"11368",1931,4,12,2
"12400",1931,4,13,0
"13432",1931,4,14,-36
"14464",1931,4,15,-20
"15496",1931,4,16,23
"16528",1931,4,17,10
"17560",1931,4,18,12
"18592",1931,4,19,34
"19624",1931,4,20,38
"20656",1931,4,21,48
"21688",1931,4,22,52
"22720",1931,4,23,82
"23752",1931,4,24,92
"24784",1931,4,25,75
"25816",1931,4,26,76
"26848",1931,4,27,65
"27880",1931,4,28,53
"28910",1931,4,29,78
"29877",1931,4,30,83
"17",1931,5,1,40
"1049",1931,5,2,65
"2081",1931,5,3,65
"3113",1931,5,4,50
"4145",1931,5,5,69
"5177",1931,5,6,53
"6209",1931,5,7,65
"7241",1931,5,8,93
"8273",1931,5,9,95
"9305",1931,5,10,78
"10337",1931,5,11,62
"11369",1931,5,12,77
"12401",1931,5,13,64
"13433",1931,5,14,34
"14465",1931,5,15,47
"15497",1931,5,16,68
"16529",1931,5,17,68
"17561",1931,5,18,96
"18593",1931,5,19,128
"19625",1931,5,20,129
"20657",1931,5,21,116
"21689",1931,5,22,175
"22721",1931,5,23,156
"23753",1931,5,24,148
"24785",1931,5,25,160
"25817",1931,5,26,136
"26849",1931,5,27,132
"27881",1931,5,28,113
"28911",1931,5,29,99
"29878",1931,5,30,135
"30819",1931,5,31,135
"18",1931,6,1,128
"1050",1931,6,2,118
"2082",1931,6,3,117
"3114",1931,6,4,147
"4146",1931,6,5,165
"5178",1931,6,6,164
"6210",1931,6,7,138
"7242",1931,6,8,95
"8274",1931,6,9,100
"9306",1931,6,10,142
"10338",1931,6,11,142
"11370",1931,6,12,140
"12402",1931,6,13,136
"13434",1931,6,14,104
"14466",1931,6,15,105
"15498",1931,6,16,102
"16530",1931,6,17,84
"17562",1931,6,18,93
"18594",1931,6,19,112
"19626",1931,6,20,110
"20658",1931,6,21,110
"21690",1931,6,22,136
"22722",1931,6,23,99
"23754",1931,6,24,129
"24786",1931,6,25,139
"25818",1931,6,26,144
"26850",1931,6,27,160
"27882",1931,6,28,150
"28912",1931,6,29,124
"29879",1931,6,30,132
"19",1931,7,1,141
"1051",1931,7,2,150
"2083",1931,7,3,118
"3115",1931,7,4,106
