"","Year","Month","Day","value"
"1",1955,3,1,-99.9
"153",1955,3,2,-99.9
"305",1955,3,3,-99.9
"457",1955,3,4,-99.9
"609",1955,3,5,-99.9
"761",1955,3,6,-99.9
"913",1955,3,7,-99.9
"1065",1955,3,8,-99.9
"1217",1955,3,9,-99.9
"1369",1955,3,10,-99.9
"1521",1955,3,11,-99.9
"1673",1955,3,12,-99.9
"1825",1955,3,13,-99.9
"1977",1955,3,14,-99.9
"2129",1955,3,15,-99.9
"2281",1955,3,16,-99.9
"2433",1955,3,17,-99.9
"2585",1955,3,18,-99.9
"2737",1955,3,19,-99.9
"2889",1955,3,20,-99.9
"3041",1955,3,21,-99.9
"3193",1955,3,22,-99.9
"3345",1955,3,23,-99.9
"3497",1955,3,24,-99.9
"3649",1955,3,25,-99.9
"3801",1955,3,26,67
"3953",1955,3,27,72
"4105",1955,3,28,56
"4257",1955,3,29,122
"4400",1955,3,30,-99.9
"4540",1955,3,31,-99.9
"2",1955,6,1,-99.9
"154",1955,6,2,-99.9
"306",1955,6,3,-99.9
"458",1955,6,4,-99.9
"610",1955,6,5,-99.9
"762",1955,6,6,-99.9
"914",1955,6,7,-99.9
"1066",1955,6,8,-99.9
"1218",1955,6,9,-99.9
"1370",1955,6,10,-99.9
"1522",1955,6,11,-99.9
"1674",1955,6,12,-99.9
"1826",1955,6,13,-99.9
"1978",1955,6,14,-99.9
"2130",1955,6,15,-99.9
"2282",1955,6,16,189
"2434",1955,6,17,-99.9
"2586",1955,6,18,172
"2738",1955,6,19,206
"2890",1955,6,20,217
"3042",1955,6,21,222
"3194",1955,6,22,183
"3346",1955,6,23,161
"3498",1955,6,24,194
"3650",1955,6,25,194
"3802",1955,6,26,200
"3954",1955,6,27,200
"4106",1955,6,28,200
"4258",1955,6,29,228
"4401",1955,6,30,228
"3",1955,7,1,228
"155",1955,7,2,217
"307",1955,7,3,211
"459",1955,7,4,200
"611",1955,7,5,211
"763",1955,7,6,217
"915",1955,7,7,217
"1067",1955,7,8,233
"1219",1955,7,9,217
"1371",1955,7,10,228
"1523",1955,7,11,211
"1675",1955,7,12,217
"1827",1955,7,13,217
"1979",1955,7,14,217
"2131",1955,7,15,222
"2283",1955,7,16,239
"2435",1955,7,17,228
"2587",1955,7,18,222
"2739",1955,7,19,228
"2891",1955,7,20,244
"3043",1955,7,21,239
"3195",1955,7,22,222
"3347",1955,7,23,217
"3499",1955,7,24,211
"3651",1955,7,25,233
"3803",1955,7,26,228
"3955",1955,7,27,228
"4107",1955,7,28,228
"4259",1955,7,29,233
"4402",1955,7,30,233
"4541",1955,7,31,200
"4",1955,8,1,200
"156",1955,8,2,200
"308",1955,8,3,189
"460",1955,8,4,217
"612",1955,8,5,228
"764",1955,8,6,222
"916",1955,8,7,228
"1068",1955,8,8,233
"1220",1955,8,9,228
"1372",1955,8,10,211
"1524",1955,8,11,217
"1676",1955,8,12,222
"1828",1955,8,13,206
"1980",1955,8,14,217
"2132",1955,8,15,217
"2284",1955,8,16,211
"2436",1955,8,17,200
"2588",1955,8,18,200
"2740",1955,8,19,200
"2892",1955,8,20,211
"3044",1955,8,21,217
"3196",1955,8,22,222
"3348",1955,8,23,206
"3500",1955,8,24,217
"3652",1955,8,25,211
"3804",1955,8,26,194
"3956",1955,8,27,178
"4108",1955,8,28,189
"4260",1955,8,29,217
"4403",1955,8,30,211
"4542",1955,8,31,211
"5",1955,9,1,222
"157",1955,9,2,222
"309",1955,9,3,211
"461",1955,9,4,222
"613",1955,9,5,217
"765",1955,9,6,222
"917",1955,9,7,211
"1069",1955,9,8,206
"1221",1955,9,9,206
"1373",1955,9,10,200
"1525",1955,9,11,194
"1677",1955,9,12,-99.9
"1829",1955,9,13,-99.9
"1981",1955,9,14,189
"2133",1955,9,15,211
"2285",1955,9,16,206
"2437",1955,9,17,206
"2589",1955,9,18,206
"2741",1955,9,19,189
"2893",1955,9,20,178
"3045",1955,9,21,206
"3197",1955,9,22,206
"3349",1955,9,23,206
"3501",1955,9,24,206
"3653",1955,9,25,194
"3805",1955,9,26,178
"3957",1955,9,27,178
"4109",1955,9,28,156
"4261",1955,9,29,172
"4404",1955,9,30,178
"6",1955,10,1,206
"158",1955,10,2,200
"310",1955,10,3,189
"462",1955,10,4,189
"614",1955,10,5,183
"766",1955,10,6,167
"918",1955,10,7,161
"1070",1955,10,8,178
"1222",1955,10,9,183
"1374",1955,10,10,194
"1526",1955,10,11,178
"1678",1955,10,12,194
"1830",1955,10,13,200
"1982",1955,10,14,178
"2134",1955,10,15,167
"2286",1955,10,16,161
"2438",1955,10,17,167
"2590",1955,10,18,167
"2742",1955,10,19,156
"2894",1955,10,20,161
"3046",1955,10,21,172
"3198",1955,10,22,144
"3350",1955,10,23,194
"3502",1955,10,24,189
"3654",1955,10,25,161
"3806",1955,10,26,156
"3958",1955,10,27,167
"4110",1955,10,28,156
"4262",1955,10,29,139
"4405",1955,10,30,139
"4543",1955,10,31,150
"7",1955,11,1,139
"159",1955,11,2,133
"311",1955,11,3,139
"463",1955,11,4,150
"615",1955,11,5,189
"767",1955,11,6,167
"919",1955,11,7,161
"1071",1955,11,8,172
"1223",1955,11,9,128
"1375",1955,11,10,128
"1527",1955,11,11,117
"1679",1955,11,12,89
"1831",1955,11,13,89
"1983",1955,11,14,89
"2135",1955,11,15,94
"2287",1955,11,16,122
"2439",1955,11,17,122
"2591",1955,11,18,122
"2743",1955,11,19,128
"2895",1955,11,20,117
"3047",1955,11,21,106
"3199",1955,11,22,117
"3351",1955,11,23,56
"3503",1955,11,24,56
"3655",1955,11,25,61
"3807",1955,11,26,111
"3959",1955,11,27,122
"4111",1955,11,28,100
"4263",1955,11,29,67
"4406",1955,11,30,67
"8",1955,12,1,33
"160",1955,12,2,11
"312",1955,12,3,22
"464",1955,12,4,11
"616",1955,12,5,56
"768",1955,12,6,78
"920",1955,12,7,39
"1072",1955,12,8,33
"1224",1955,12,9,83
"1376",1955,12,10,100
"1528",1955,12,11,117
"1680",1955,12,12,100
"1832",1955,12,13,106
"1984",1955,12,14,100
"2136",1955,12,15,78
"2288",1955,12,16,78
"2440",1955,12,17,56
"2592",1955,12,18,50
"2744",1955,12,19,89
"2896",1955,12,20,106
"3048",1955,12,21,106
"3200",1955,12,22,111
"3352",1955,12,23,139
"3504",1955,12,24,128
"3656",1955,12,25,100
"3808",1955,12,26,72
"3960",1955,12,27,67
"4112",1955,12,28,94
"4264",1955,12,29,67
"4407",1955,12,30,78
"4544",1955,12,31,56
"9",1956,1,1,72
"161",1956,1,2,72
"313",1956,1,3,67
"465",1956,1,4,72
"617",1956,1,5,72
