"","Year","Month","Day","value"
"1",1973,1,1,-99.9
"431",1973,1,2,-99.9
"861",1973,1,3,-99.9
"1291",1973,1,4,-99.9
"1721",1973,1,5,-99.9
"2151",1973,1,6,-99.9
"2581",1973,1,7,-99.9
"3011",1973,1,8,-99.9
"3441",1973,1,9,-99.9
"3871",1973,1,10,-99.9
"4301",1973,1,11,-99.9
"4731",1973,1,12,-99.9
"5161",1973,1,13,-99.9
"5591",1973,1,14,190
"6021",1973,1,15,170
"6451",1973,1,16,-99.9
"6881",1973,1,17,-99.9
"7311",1973,1,18,-99.9
"7741",1973,1,19,-99.9
"8171",1973,1,20,-99.9
"8601",1973,1,21,-99.9
"9031",1973,1,22,-99.9
"9461",1973,1,23,-99.9
"9891",1973,1,24,-99.9
"10321",1973,1,25,-99.9
"10751",1973,1,26,-99.9
"11181",1973,1,27,-99.9
"11611",1973,1,28,-99.9
"12041",1973,1,29,-99.9
"12445",1973,1,30,-99.9
"12840",1973,1,31,-99.9
"2",1973,2,1,-99.9
"432",1973,2,2,-99.9
"862",1973,2,3,-99.9
"1292",1973,2,4,-99.9
"1722",1973,2,5,180
"2152",1973,2,6,-99.9
"2582",1973,2,7,-99.9
"3012",1973,2,8,-99.9
"3442",1973,2,9,-99.9
"3872",1973,2,10,-99.9
"4302",1973,2,11,200
"4732",1973,2,12,-99.9
"5162",1973,2,13,-99.9
"5592",1973,2,14,-99.9
"6022",1973,2,15,-99.9
"6452",1973,2,16,-99.9
"6882",1973,2,17,-99.9
"7312",1973,2,18,-99.9
"7742",1973,2,19,-99.9
"8172",1973,2,20,-99.9
"8602",1973,2,21,-99.9
"9032",1973,2,22,-99.9
"9462",1973,2,23,-99.9
"9892",1973,2,24,-99.9
"10322",1973,2,25,-99.9
"10752",1973,2,26,-99.9
"11182",1973,2,27,190
"11612",1973,2,28,-99.9
"3",1973,4,1,200
"433",1973,4,2,-99.9
"863",1973,4,3,-99.9
"1293",1973,4,4,-99.9
"1723",1973,4,5,-99.9
"2153",1973,4,6,-99.9
