"","Year","Month","Day","value"
"1",1963,10,1,-99.9
"424",1963,10,2,-99.9
"847",1963,10,3,-99.9
"1270",1963,10,4,-99.9
"1693",1963,10,5,-99.9
"2116",1963,10,6,-99.9
"2539",1963,10,7,-99.9
"2962",1963,10,8,-99.9
"3385",1963,10,9,-99.9
"3808",1963,10,10,-99.9
"4231",1963,10,11,-99.9
"4654",1963,10,12,-99.9
"5077",1963,10,13,-99.9
"5500",1963,10,14,-99.9
"5923",1963,10,15,-99.9
"6346",1963,10,16,67
"6769",1963,10,17,61
"7192",1963,10,18,67
"7615",1963,10,19,56
"8038",1963,10,20,56
"8461",1963,10,21,117
"8884",1963,10,22,61
"9307",1963,10,23,78
"9730",1963,10,24,89
"10153",1963,10,25,17
"10576",1963,10,26,44
"10999",1963,10,27,44
"11422",1963,10,28,-33
"11845",1963,10,29,-33
"12242",1963,10,30,28
"12629",1963,10,31,33
"2",1963,11,1,-67
"425",1963,11,2,-72
"848",1963,11,3,0
"1271",1963,11,4,-56
"1694",1963,11,5,-22
"2117",1963,11,6,-50
"2540",1963,11,7,-39
"2963",1963,11,8,-17
"3386",1963,11,9,-17
"3809",1963,11,10,-11
"4232",1963,11,11,-11
"4655",1963,11,12,-44
"5078",1963,11,13,-128
"5501",1963,11,14,-122
"5924",1963,11,15,-100
"6347",1963,11,16,-22
"6770",1963,11,17,-17
"7193",1963,11,18,-72
"7616",1963,11,19,-78
"8039",1963,11,20,-78
"8462",1963,11,21,-61
"8885",1963,11,22,-78
"9308",1963,11,23,-111
"9731",1963,11,24,-100
"10154",1963,11,25,-50
"10577",1963,11,26,-83
"11000",1963,11,27,-39
"11423",1963,11,28,-22
"11846",1963,11,29,-94
"12243",1963,11,30,-78
"3",1963,12,1,-61
"426",1963,12,2,-128
"849",1963,12,3,-39
"1272",1963,12,4,-61
"1695",1963,12,5,-67
"2118",1963,12,6,-50
"2541",1963,12,7,-33
"2964",1963,12,8,-56
"3387",1963,12,9,-133
"3810",1963,12,10,-133
"4233",1963,12,11,-156
"4656",1963,12,12,-194
"5079",1963,12,13,-222
"5502",1963,12,14,-261
"5925",1963,12,15,-256
"6348",1963,12,16,-256
"6771",1963,12,17,-150
"7194",1963,12,18,-283
"7617",1963,12,19,-272
"8040",1963,12,20,-178
"8463",1963,12,21,-167
"8886",1963,12,22,-150
"9309",1963,12,23,-189
"9732",1963,12,24,-94
"10155",1963,12,25,-61
"10578",1963,12,26,-39
"11001",1963,12,27,-94
"11424",1963,12,28,-117
"11847",1963,12,29,-111
"12244",1963,12,30,-139
"12630",1963,12,31,-139
"4",1964,1,1,-56
"427",1964,1,2,-28
"850",1964,1,3,-39
"1273",1964,1,4,-61
"1696",1964,1,5,-50
"2119",1964,1,6,-111
"2542",1964,1,7,-100
"2965",1964,1,8,-67
"3388",1964,1,9,-178
"3811",1964,1,10,-167
"4234",1964,1,11,-150
"4657",1964,1,12,-211
"5080",1964,1,13,-289
"5503",1964,1,14,-228
"5926",1964,1,15,-133
"6349",1964,1,16,-122
"6772",1964,1,17,-117
"7195",1964,1,18,-56
"7618",1964,1,19,-22
"8041",1964,1,20,-89
"8464",1964,1,21,-67
"8887",1964,1,22,-56
"9310",1964,1,23,-72
"9733",1964,1,24,-150
"10156",1964,1,25,-156
"10579",1964,1,26,-100
"11002",1964,1,27,-100
"11425",1964,1,28,-133
"11848",1964,1,29,-111
"12245",1964,1,30,-78
"12631",1964,1,31,-72
"5",1964,2,1,-94
"428",1964,2,2,-61
"851",1964,2,3,-39
"1274",1964,2,4,-67
"1697",1964,2,5,-117
"2120",1964,2,6,-100
"2543",1964,2,7,-167
"2966",1964,2,8,-161
"3389",1964,2,9,-67
"3812",1964,2,10,-56
"4235",1964,2,11,-106
"4658",1964,2,12,-72
"5081",1964,2,13,-117
"5504",1964,2,14,-128
"5927",1964,2,15,-128
"6350",1964,2,16,-172
"6773",1964,2,17,-167
"7196",1964,2,18,-94
"7619",1964,2,19,-167
"8042",1964,2,20,-189
"8465",1964,2,21,-167
"8888",1964,2,22,-111
"9311",1964,2,23,-178
"9734",1964,2,24,-167
"10157",1964,2,25,-122
"10580",1964,2,26,-156
"11003",1964,2,27,-139
"11426",1964,2,28,-106
"11849",1964,2,29,-78
"6",1964,3,1,-56
"429",1964,3,2,-61
"852",1964,3,3,-61
"1275",1964,3,4,-111
"1698",1964,3,5,-117
"2121",1964,3,6,-78
"2544",1964,3,7,-122
"2967",1964,3,8,-100
"3390",1964,3,9,-100
"3813",1964,3,10,-67
"4236",1964,3,11,-111
"4659",1964,3,12,-100
"5082",1964,3,13,-28
"5505",1964,3,14,-72
"5928",1964,3,15,-61
"6351",1964,3,16,-39
"6774",1964,3,17,-72
"7197",1964,3,18,-50
"7620",1964,3,19,-28
"8043",1964,3,20,-94
"8466",1964,3,21,-161
"8889",1964,3,22,-139
"9312",1964,3,23,-44
"9735",1964,3,24,-139
"10158",1964,3,25,-150
"10581",1964,3,26,-206
"11004",1964,3,27,-61
"11427",1964,3,28,-111
"11850",1964,3,29,-156
"12246",1964,3,30,-150
"12632",1964,3,31,-50
"7",1964,4,1,-17
"430",1964,4,2,39
"853",1964,4,3,6
"1276",1964,4,4,-22
"1699",1964,4,5,-33
"2122",1964,4,6,-33
"2545",1964,4,7,-17
"2968",1964,4,8,-89
"3391",1964,4,9,-61
"3814",1964,4,10,-11
"4237",1964,4,11,11
"4660",1964,4,12,67
"5083",1964,4,13,0
"5506",1964,4,14,-22
"5929",1964,4,15,22
"6352",1964,4,16,94
"6775",1964,4,17,44
"7198",1964,4,18,11
"7621",1964,4,19,17
"8044",1964,4,20,56
"8467",1964,4,21,17
"8890",1964,4,22,6
"9313",1964,4,23,6
"9736",1964,4,24,39
"10159",1964,4,25,94
"10582",1964,4,26,78
"11005",1964,4,27,6
"11428",1964,4,28,0
"11851",1964,4,29,-11
"12247",1964,4,30,0
"8",1964,5,1,22
"431",1964,5,2,56
"854",1964,5,3,44
"1277",1964,5,4,22
"1700",1964,5,5,83
"2123",1964,5,6,50
"2546",1964,5,7,78
"2969",1964,5,8,111
"3392",1964,5,9,61
"3815",1964,5,10,39
"4238",1964,5,11,94
"4661",1964,5,12,56
"5084",1964,5,13,-11
"5507",1964,5,14,72
"5930",1964,5,15,100
"6353",1964,5,16,106
"6776",1964,5,17,156
"7199",1964,5,18,172
"7622",1964,5,19,106
"8045",1964,5,20,133
"8468",1964,5,21,178
"8891",1964,5,22,156
"9314",1964,5,23,156
"9737",1964,5,24,22
"10160",1964,5,25,72
"10583",1964,5,26,133
"11006",1964,5,27,106
"11429",1964,5,28,100
"11852",1964,5,29,72
"12248",1964,5,30,83
"12633",1964,5,31,0
"9",1964,6,1,44
"432",1964,6,2,39
"855",1964,6,3,44
"1278",1964,6,4,89
"1701",1964,6,5,61
"2124",1964,6,6,122
"2547",1964,6,7,117
"2970",1964,6,8,194
"3393",1964,6,9,133
"3816",1964,6,10,44
"4239",1964,6,11,100
"4662",1964,6,12,94
"5085",1964,6,13,139
"5508",1964,6,14,156
"5931",1964,6,15,133
"6354",1964,6,16,150
"6777",1964,6,17,156
"7200",1964,6,18,167
"7623",1964,6,19,100
"8046",1964,6,20,133
"8469",1964,6,21,144
"8892",1964,6,22,128
"9315",1964,6,23,144
"9738",1964,6,24,133
"10161",1964,6,25,100
"10584",1964,6,26,161
"11007",1964,6,27,156
"11430",1964,6,28,156
"11853",1964,6,29,194
"12249",1964,6,30,161
"10",1964,7,1,167
"433",1964,7,2,172
"856",1964,7,3,161
"1279",1964,7,4,183
"1702",1964,7,5,211
"2125",1964,7,6,189
"2548",1964,7,7,178
"2971",1964,7,8,139
"3394",1964,7,9,167
"3817",1964,7,10,194
"4240",1964,7,11,172
"4663",1964,7,12,144
"5086",1964,7,13,133
"5509",1964,7,14,133
"5932",1964,7,15,144
"6355",1964,7,16,206
"6778",1964,7,17,217
"7201",1964,7,18,189
"7624",1964,7,19,194
"8047",1964,7,20,189
"8470",1964,7,21,178
"8893",1964,7,22,189
"9316",1964,7,23,244
"9739",1964,7,24,206
"10162",1964,7,25,128
"10585",1964,7,26,150
"11008",1964,7,27,172
"11431",1964,7,28,200
"11854",1964,7,29,117
"12250",1964,7,30,156
"12634",1964,7,31,222
"11",1964,8,1,239
"434",1964,8,2,244
"857",1964,8,3,206
"1280",1964,8,4,144
"1703",1964,8,5,156
"2126",1964,8,6,178
"2549",1964,8,7,128
"2972",1964,8,8,139
"3395",1964,8,9,183
"3818",1964,8,10,167
"4241",1964,8,11,128
"4664",1964,8,12,28
"5087",1964,8,13,78
"5510",1964,8,14,106
"5933",1964,8,15,139
"6356",1964,8,16,100
"6779",1964,8,17,150
"7202",1964,8,18,150
"7625",1964,8,19,150
"8048",1964,8,20,128
"8471",1964,8,21,106
"8894",1964,8,22,117
"9317",1964,8,23,72
"9740",1964,8,24,100
"10163",1964,8,25,44
"10586",1964,8,26,44
"11009",1964,8,27,133
"11432",1964,8,28,72
"11855",1964,8,29,139
"12251",1964,8,30,83
"12635",1964,8,31,133
"12",1964,10,1,161
"435",1964,10,2,17
"858",1964,10,3,17
