"","Year","Month","Day","value"
"1",1992,1,1,44
"305",1992,1,2,50
"609",1992,1,3,33
"913",1992,1,4,33
"1217",1992,1,5,67
"1521",1992,1,6,11
"1825",1992,1,7,11
"2129",1992,1,8,11
"2433",1992,1,9,28
"2737",1992,1,10,56
"3041",1992,1,11,33
"3345",1992,1,12,50
"3649",1992,1,13,-11
"3953",1992,1,14,6
"4257",1992,1,15,22
"4561",1992,1,16,39
"4865",1992,1,17,39
"5169",1992,1,18,56
"5473",1992,1,19,89
"5777",1992,1,20,67
"6081",1992,1,21,11
"6385",1992,1,22,22
"6689",1992,1,23,33
"6993",1992,1,24,39
"7297",1992,1,25,72
"7601",1992,1,26,72
"7905",1992,1,27,72
"8209",1992,1,28,78
"8513",1992,1,29,100
"8800",1992,1,30,89
"9080",1992,1,31,94
"2",1992,2,1,111
"306",1992,2,2,100
"610",1992,2,3,61
"914",1992,2,4,100
"1218",1992,2,5,83
"1522",1992,2,6,117
"1826",1992,2,7,83
"2130",1992,2,8,89
"2434",1992,2,9,94
"2738",1992,2,10,83
"3042",1992,2,11,89
"3346",1992,2,12,83
"3650",1992,2,13,67
"3954",1992,2,14,72
"4258",1992,2,15,50
"4562",1992,2,16,50
"4866",1992,2,17,50
"5170",1992,2,18,50
"5474",1992,2,19,61
"5778",1992,2,20,83
"6082",1992,2,21,83
"6386",1992,2,22,111
"6690",1992,2,23,100
"6994",1992,2,24,56
"7298",1992,2,25,78
"7602",1992,2,26,94
"7906",1992,2,27,94
"8210",1992,2,28,94
"8514",1992,2,29,111
"3",1992,3,1,150
"307",1992,3,2,89
"611",1992,3,3,89
"915",1992,3,4,89
"1219",1992,3,5,72
"1523",1992,3,6,78
"1827",1992,3,7,83
"2131",1992,3,8,56
"2435",1992,3,9,39
"2739",1992,3,10,56
"3043",1992,3,11,83
"3347",1992,3,12,94
"3651",1992,3,13,94
"3955",1992,3,14,111
"4259",1992,3,15,139
"4563",1992,3,16,122
"4867",1992,3,17,78
"5171",1992,3,18,72
"5475",1992,3,19,100
"5779",1992,3,20,144
"6083",1992,3,21,94
"6387",1992,3,22,100
"6691",1992,3,23,89
"6995",1992,3,24,83
"7299",1992,3,25,117
"7603",1992,3,26,100
"7907",1992,3,27,106
"8211",1992,3,28,100
"8515",1992,3,29,94
"8801",1992,3,30,106
"9081",1992,3,31,100
"4",1992,4,1,111
"308",1992,4,2,89
"612",1992,4,3,111
"916",1992,4,4,122
"1220",1992,4,5,128
"1524",1992,4,6,133
"1828",1992,4,7,133
"2132",1992,4,8,128
"2436",1992,4,9,133
"2740",1992,4,10,128
"3044",1992,4,11,144
"3348",1992,4,12,194
"3652",1992,4,13,183
"3956",1992,4,14,133
"4260",1992,4,15,117
"4564",1992,4,16,139
"4868",1992,4,17,144
"5172",1992,4,18,139
"5476",1992,4,19,106
"5780",1992,4,20,94
"6084",1992,4,21,128
"6388",1992,4,22,122
"6692",1992,4,23,128
"6996",1992,4,24,161
"7300",1992,4,25,194
"7604",1992,4,26,183
"7908",1992,4,27,178
"8212",1992,4,28,172
"8516",1992,4,29,106
"8802",1992,4,30,94
"5",1992,5,1,39
"309",1992,5,2,6
"613",1992,5,3,28
"917",1992,5,4,67
"1221",1992,5,5,72
"1525",1992,5,6,56
"1829",1992,5,7,28
"2133",1992,5,8,33
"2437",1992,5,9,22
"2741",1992,5,10,11
"3045",1992,5,11,56
"3349",1992,5,12,61
"3653",1992,5,13,28
"3957",1992,5,14,33
"4261",1992,5,15,50
"4565",1992,5,16,39
"4869",1992,5,17,28
"5173",1992,5,18,72
"5477",1992,5,19,67
"5781",1992,5,20,61
"6085",1992,5,21,61
"6389",1992,5,22,44
"6693",1992,5,23,17
"6997",1992,5,24,44
"7301",1992,5,25,39
"7605",1992,5,26,83
"7909",1992,5,27,67
"8213",1992,5,28,67
"8517",1992,5,29,56
"8803",1992,5,30,50
"9082",1992,5,31,67
"6",1992,6,1,83
"310",1992,6,2,83
"614",1992,6,3,89
"918",1992,6,4,89
"1222",1992,6,5,128
"1526",1992,6,6,67
"1830",1992,6,7,44
"2134",1992,6,8,83
"2438",1992,6,9,67
"2742",1992,6,10,89
"3046",1992,6,11,61
"3350",1992,6,12,44
"3654",1992,6,13,22
"3958",1992,6,14,39
"4262",1992,6,15,-11
"4566",1992,6,16,28
"4870",1992,6,17,11
"5174",1992,6,18,28
"5478",1992,6,19,44
"5782",1992,6,20,50
"6086",1992,6,21,56
"6390",1992,6,22,89
"6694",1992,6,23,100
"6998",1992,6,24,89
"7302",1992,6,25,83
"7606",1992,6,26,67
"7910",1992,6,27,83
"8214",1992,6,28,111
"8518",1992,6,29,133
"8804",1992,6,30,106
"7",1992,7,1,61
"311",1992,7,2,33
"615",1992,7,3,67
"919",1992,7,4,139
"1223",1992,7,5,133
"1527",1992,7,6,117
"1831",1992,7,7,139
"2135",1992,7,8,128
"2439",1992,7,9,83
"2743",1992,7,10,106
"3047",1992,7,11,122
"3351",1992,7,12,100
"3655",1992,7,13,100
"3959",1992,7,14,78
"4263",1992,7,15,78
"4567",1992,7,16,89
"4871",1992,7,17,111
"5175",1992,7,18,111
"5479",1992,7,19,100
"5783",1992,7,20,128
"6087",1992,7,21,133
"6391",1992,7,22,156
"6695",1992,7,23,133
"6999",1992,7,24,111
"7303",1992,7,25,100
"7607",1992,7,26,94
"7911",1992,7,27,94
"8215",1992,7,28,106
"8519",1992,7,29,122
"8805",1992,7,30,156
"9083",1992,7,31,128
"8",1992,8,1,106
"312",1992,8,2,128
"616",1992,8,3,139
"920",1992,8,4,122
"1224",1992,8,5,139
"1528",1992,8,6,117
"1832",1992,8,7,111
"2136",1992,8,8,122
"2440",1992,8,9,100
"2744",1992,8,10,139
"3048",1992,8,11,133
"3352",1992,8,12,111
"3656",1992,8,13,128
"3960",1992,8,14,139
"4264",1992,8,15,133
"4568",1992,8,16,139
"4872",1992,8,17,139
"5176",1992,8,18,139
"5480",1992,8,19,128
"5784",1992,8,20,139
"6088",1992,8,21,117
"6392",1992,8,22,111
"6696",1992,8,23,111
"7000",1992,8,24,56
"7304",1992,8,25,94
"7608",1992,8,26,67
"7912",1992,8,27,39
"8216",1992,8,28,61
"8520",1992,8,29,89
"8806",1992,8,30,94
"9084",1992,8,31,56
"9",1992,9,1,44
"313",1992,9,2,61
"617",1992,9,3,78
"921",1992,9,4,128
"1225",1992,9,5,83
"1529",1992,9,6,78
"1833",1992,9,7,83
"2137",1992,9,8,94
"2441",1992,9,9,78
"2745",1992,9,10,61
"3049",1992,9,11,100
"3353",1992,9,12,106
"3657",1992,9,13,94
"3961",1992,9,14,100
"4265",1992,9,15,94
"4569",1992,9,16,94
"4873",1992,9,17,83
"5177",1992,9,18,106
"5481",1992,9,19,67
"5785",1992,9,20,67
"6089",1992,9,21,89
"6393",1992,9,22,67
"6697",1992,9,23,83
"7001",1992,9,24,100
"7305",1992,9,25,44
"7609",1992,9,26,11
"7913",1992,9,27,44
"8217",1992,9,28,56
"8521",1992,9,29,83
"8807",1992,9,30,72
"10",1992,10,1,78
"314",1992,10,2,67
"618",1992,10,3,28
"922",1992,10,4,0
"1226",1992,10,5,0
"1530",1992,10,6,6
"1834",1992,10,7,-6
"2138",1992,10,8,-17
"2442",1992,10,9,33
"2746",1992,10,10,17
"3050",1992,10,11,11
"3354",1992,10,12,28
"3658",1992,10,13,33
"3962",1992,10,14,61
"4266",1992,10,15,33
"4570",1992,10,16,44
"4874",1992,10,17,11
"5178",1992,10,18,50
"5482",1992,10,19,33
"5786",1992,10,20,22
"6090",1992,10,21,50
"6394",1992,10,22,22
"6698",1992,10,23,28
"7002",1992,10,24,56
"7306",1992,10,25,22
"7610",1992,10,26,6
"7914",1992,10,27,39
"8218",1992,10,28,22
"8522",1992,10,29,39
"8808",1992,10,30,56
"9085",1992,10,31,-28
"11",1992,11,1,-39
"315",1992,11,2,11
"619",1992,11,3,-22
"923",1992,11,4,-50
"1227",1992,11,5,-61
"1531",1992,11,6,-56
"1835",1992,11,7,-44
"2139",1992,11,8,-28
"2443",1992,11,9,-17
"2747",1992,11,10,-50
"3051",1992,11,11,-100
"3355",1992,11,12,-67
"3659",1992,11,13,-56
"3963",1992,11,14,-28
"4267",1992,11,15,-22
