"","Year","Month","Day","value"
"1",1986,4,1,-99.9
"333",1986,4,2,-99.9
"665",1986,4,3,-99.9
"997",1986,4,4,-99.9
"1329",1986,4,5,-99.9
"1661",1986,4,6,-99.9
"1993",1986,4,7,-99.9
"2325",1986,4,8,-99.9
"2657",1986,4,9,-99.9
"2989",1986,4,10,-99.9
"3321",1986,4,11,-99.9
"3653",1986,4,12,-99.9
"3985",1986,4,13,-99.9
"4317",1986,4,14,-99.9
"4649",1986,4,15,-99.9
"4981",1986,4,16,-99.9
"5313",1986,4,17,-99.9
"5645",1986,4,18,-99.9
"5977",1986,4,19,-99.9
"6309",1986,4,20,-99.9
"6641",1986,4,21,-99.9
"6973",1986,4,22,-99.9
"7305",1986,4,23,-99.9
"7637",1986,4,24,78
"7969",1986,4,25,83
"8301",1986,4,26,-50
"8633",1986,4,27,-67
"8965",1986,4,28,17
"9297",1986,4,29,61
"9609",1986,4,30,50
"2",1986,5,1,56
"334",1986,5,2,67
"666",1986,5,3,78
"998",1986,5,4,17
"1330",1986,5,5,-39
"1662",1986,5,6,6
"1994",1986,5,7,-17
"2326",1986,5,8,11
"2658",1986,5,9,-33
"2990",1986,5,10,39
"3322",1986,5,11,56
"3654",1986,5,12,17
"3986",1986,5,13,39
"4318",1986,5,14,83
"4650",1986,5,15,61
"4982",1986,5,16,39
"5314",1986,5,17,-6
"5646",1986,5,18,6
"5978",1986,5,19,61
"6310",1986,5,20,83
"6642",1986,5,21,117
"6974",1986,5,22,61
"7306",1986,5,23,33
"7638",1986,5,24,56
"7970",1986,5,25,56
"8302",1986,5,26,67
"8634",1986,5,27,78
"8966",1986,5,28,133
"9298",1986,5,29,89
"9610",1986,5,30,83
"9914",1986,5,31,100
"3",1986,6,1,94
"335",1986,6,2,128
"667",1986,6,3,89
"999",1986,6,4,133
"1331",1986,6,5,139
"1663",1986,6,6,122
"1995",1986,6,7,89
"2327",1986,6,8,94
"2659",1986,6,9,83
"2991",1986,6,10,50
"3323",1986,6,11,72
"3655",1986,6,12,100
"3987",1986,6,13,117
"4319",1986,6,14,-99.9
"4651",1986,6,15,-99.9
"4983",1986,6,16,-99.9
"5315",1986,6,17,-99.9
"5647",1986,6,18,178
"5979",1986,6,19,94
"6311",1986,6,20,83
"6643",1986,6,21,111
"6975",1986,6,22,67
"7307",1986,6,23,106
"7639",1986,6,24,172
"7971",1986,6,25,106
"8303",1986,6,26,111
"8635",1986,6,27,133
"8967",1986,6,28,161
"9299",1986,6,29,167
"9611",1986,6,30,144
"4",1986,7,1,128
"336",1986,7,2,133
"668",1986,7,3,183
"1000",1986,7,4,183
"1332",1986,7,5,156
"1664",1986,7,6,144
"1996",1986,7,7,172
"2328",1986,7,8,161
"2660",1986,7,9,133
"2992",1986,7,10,133
"3324",1986,7,11,161
"3656",1986,7,12,156
"3988",1986,7,13,117
"4320",1986,7,14,161
"4652",1986,7,15,161
"4984",1986,7,16,156
"5316",1986,7,17,156
"5648",1986,7,18,139
"5980",1986,7,19,122
"6312",1986,7,20,139
"6644",1986,7,21,122
"6976",1986,7,22,133
"7308",1986,7,23,133
"7640",1986,7,24,106
"7972",1986,7,25,128
"8304",1986,7,26,111
"8636",1986,7,27,83
"8968",1986,7,28,106
