"","Year","Month","Day","value"
"1",1998,10,1,-99.9
"226",1998,10,2,-99.9
"451",1998,10,3,-99.9
"676",1998,10,4,-99.9
"901",1998,10,5,-99.9
"1126",1998,10,6,-99.9
"1351",1998,10,7,-99.9
"1576",1998,10,8,-99.9
"1801",1998,10,9,-99.9
"2026",1998,10,10,-99.9
"2251",1998,10,11,-99.9
"2476",1998,10,12,-99.9
"2701",1998,10,13,-99.9
"2926",1998,10,14,-99.9
"3151",1998,10,15,-99.9
"3376",1998,10,16,-99.9
"3601",1998,10,17,-99.9
"3826",1998,10,18,-99.9
"4051",1998,10,19,-99.9
"4276",1998,10,20,-99.9
"4501",1998,10,21,-99.9
"4726",1998,10,22,-99.9
"4951",1998,10,23,-99.9
"5176",1998,10,24,-99.9
"5401",1998,10,25,-99.9
"5626",1998,10,26,-99.9
"5851",1998,10,27,-99.9
"6076",1998,10,28,-99.9
"6301",1998,10,29,-513
"6512",1998,10,30,-54
"6718",1998,10,31,-50
"2",1998,11,1,-28
"227",1998,11,2,-59
"452",1998,11,3,1
"677",1998,11,4,-10
"902",1998,11,5,-36
"1127",1998,11,6,-46
"1352",1998,11,7,-31
"1577",1998,11,8,-62
"1802",1998,11,9,-85
"2027",1998,11,10,-33
"2252",1998,11,11,-56
"2477",1998,11,12,-98
"2702",1998,11,13,-44
"2927",1998,11,14,-18
"3152",1998,11,15,6
"3377",1998,11,16,-9
"3602",1998,11,17,-22
"3827",1998,11,18,-42
"4052",1998,11,19,-66
"4277",1998,11,20,0
"4502",1998,11,21,6
"4727",1998,11,22,-3
"4952",1998,11,23,-3
"5177",1998,11,24,-17
"5402",1998,11,25,1
"5627",1998,11,26,10
"5852",1998,11,27,-12
"6077",1998,11,28,-25
"6302",1998,11,29,-23
"6513",1998,11,30,-10
"3",1998,12,1,-27
"228",1998,12,2,-20
"453",1998,12,3,-86
"678",1998,12,4,-135
"903",1998,12,5,-164
"1128",1998,12,6,-110
"1353",1998,12,7,-106
"1578",1998,12,8,-130
"1803",1998,12,9,-161
"2028",1998,12,10,-77
"2253",1998,12,11,-77
"2478",1998,12,12,12
"2703",1998,12,13,0
"2928",1998,12,14,-39
"3153",1998,12,15,-57
"3378",1998,12,16,-42
"3603",1998,12,17,-40
"3828",1998,12,18,-79
"4053",1998,12,19,-111
"4278",1998,12,20,-210
"4503",1998,12,21,-244
"4728",1998,12,22,-183
"4953",1998,12,23,-196
"5178",1998,12,24,-93
"5403",1998,12,25,-33
"5628",1998,12,26,-44
"5853",1998,12,27,-54
"6078",1998,12,28,4
"6303",1998,12,29,-38
"6514",1998,12,30,-42
"6719",1998,12,31,-39
"4",1999,1,1,-55
"229",1999,1,2,-82
"454",1999,1,3,-84
"679",1999,1,4,-93
"904",1999,1,5,-70
"1129",1999,1,6,-70
"1354",1999,1,7,-82
"1579",1999,1,8,-97
"1804",1999,1,9,-93
"2029",1999,1,10,-73
"2254",1999,1,11,-40
"2479",1999,1,12,-14
"2704",1999,1,13,-41
"2929",1999,1,14,-13
"3154",1999,1,15,8
"3379",1999,1,16,-10
"3604",1999,1,17,-10
"3829",1999,1,18,-2
"4054",1999,1,19,-2
"4279",1999,1,20,-26
"4504",1999,1,21,-45
"4729",1999,1,22,-37
"4954",1999,1,23,-71
"5179",1999,1,24,-97
"5404",1999,1,25,-111
"5629",1999,1,26,-74
"5854",1999,1,27,-174
"6079",1999,1,28,-94
"6304",1999,1,29,-69
"6515",1999,1,30,-46
"6720",1999,1,31,-123
"5",1999,2,1,-192
"230",1999,2,2,-91
"455",1999,2,3,-115
"680",1999,2,4,-125
"905",1999,2,5,-176
"1130",1999,2,6,-28
"1355",1999,2,7,-79
"1580",1999,2,8,-74
"1805",1999,2,9,-134
"2030",1999,2,10,-139
"2255",1999,2,11,-185
"2480",1999,2,12,-73
"2705",1999,2,13,-16
"2930",1999,2,14,-133
"3155",1999,2,15,-170
"3380",1999,2,16,-31
"3605",1999,2,17,-50
"3830",1999,2,18,-23
"4055",1999,2,19,-111
"4280",1999,2,20,-116
"4505",1999,2,21,-60
"4730",1999,2,22,-30
"4955",1999,2,23,-3
"5180",1999,2,24,-1
"5405",1999,2,25,-97
"5630",1999,2,26,-131
"5855",1999,2,27,-17
"6080",1999,2,28,-2
"6",1999,3,1,-56
"231",1999,3,2,-74
"456",1999,3,3,-44
"681",1999,3,4,-88
"906",1999,3,5,-102
"1131",1999,3,6,-104
"1356",1999,3,7,-157
"1581",1999,3,8,-43
"1806",1999,3,9,-74
"2031",1999,3,10,-115
"2256",1999,3,11,-139
"2481",1999,3,12,-124
"2706",1999,3,13,3
"2931",1999,3,14,-10
"3156",1999,3,15,-61
"3381",1999,3,16,-42
"3606",1999,3,17,-52
"3831",1999,3,18,-6
"4056",1999,3,19,-21
"4281",1999,3,20,3
"4506",1999,3,21,-18
"4731",1999,3,22,-18
"4956",1999,3,23,-31
"5181",1999,3,24,6
"5406",1999,3,25,-11
"5631",1999,3,26,-31
"5856",1999,3,27,-55
"6081",1999,3,28,-46
"6305",1999,3,29,-49
"6516",1999,3,30,-104
"6721",1999,3,31,-67
"7",1999,4,1,-62
"232",1999,4,2,-56
"457",1999,4,3,-63
"682",1999,4,4,-90
"907",1999,4,5,-43
"1132",1999,4,6,-55
"1357",1999,4,7,-40
"1582",1999,4,8,-79
"1807",1999,4,9,-111
"2032",1999,4,10,-37
"2257",1999,4,11,-23
"2482",1999,4,12,-33
"2707",1999,4,13,10
"2932",1999,4,14,1
"3157",1999,4,15,5
"3382",1999,4,16,-7
"3607",1999,4,17,33
"3832",1999,4,18,46
"4057",1999,4,19,39
"4282",1999,4,20,25
"4507",1999,4,21,-8
"4732",1999,4,22,-16
"4957",1999,4,23,13
"5182",1999,4,24,24
"5407",1999,4,25,23
"5632",1999,4,26,-7
"5857",1999,4,27,-37
"6082",1999,4,28,-54
"6306",1999,4,29,-9
"6517",1999,4,30,26
"8",1999,5,1,6
"233",1999,5,2,-4
"458",1999,5,3,-15
"683",1999,5,4,-20
"908",1999,5,5,-34
"1133",1999,5,6,10
"1358",1999,5,7,-45
"1583",1999,5,8,-35
"1808",1999,5,9,-49
"2033",1999,5,10,-25
"2258",1999,5,11,38
"2483",1999,5,12,-9
"2708",1999,5,13,-33
"2933",1999,5,14,-27
"3158",1999,5,15,-48
"3383",1999,5,16,-31
"3608",1999,5,17,52
"3833",1999,5,18,27
"4058",1999,5,19,12
"4283",1999,5,20,49
"4508",1999,5,21,16
"4733",1999,5,22,47
"4958",1999,5,23,87
"5183",1999,5,24,79
"5408",1999,5,25,77
"5633",1999,5,26,65
"5858",1999,5,27,69
"6083",1999,5,28,85
"6307",1999,5,29,72
"6518",1999,5,30,31
"6722",1999,5,31,33
"9",1999,6,1,37
"234",1999,6,2,6
"459",1999,6,3,20
"684",1999,6,4,36
"909",1999,6,5,49
"1134",1999,6,6,1
"1359",1999,6,7,-13
"1584",1999,6,8,-22
"1809",1999,6,9,-4
"2034",1999,6,10,17
"2259",1999,6,11,52
"2484",1999,6,12,59
"2709",1999,6,13,87
"2934",1999,6,14,86
"3159",1999,6,15,65
"3384",1999,6,16,83
"3609",1999,6,17,66
"3834",1999,6,18,89
"4059",1999,6,19,70
"4284",1999,6,20,77
"4509",1999,6,21,105
"4734",1999,6,22,62
"4959",1999,6,23,91
"5184",1999,6,24,58
"5409",1999,6,25,12
"5634",1999,6,26,27
"5859",1999,6,27,36
"6084",1999,6,28,79
"6308",1999,6,29,91
"6519",1999,6,30,109
"10",1999,7,1,68
"235",1999,7,2,54
"460",1999,7,3,24
"685",1999,7,4,16
"910",1999,7,5,61
"1135",1999,7,6,63
"1360",1999,7,7,54
"1585",1999,7,8,86
"1810",1999,7,9,86
"2035",1999,7,10,120
"2260",1999,7,11,152
"2485",1999,7,12,165
"2710",1999,7,13,140
"2935",1999,7,14,103
"3160",1999,7,15,34
"3385",1999,7,16,68
"3610",1999,7,17,56
"3835",1999,7,18,51
"4060",1999,7,19,63
"4285",1999,7,20,102
"4510",1999,7,21,81
"4735",1999,7,22,-99.9
"4960",1999,7,23,74
"5185",1999,7,24,92
"5410",1999,7,25,84
"5635",1999,7,26,106
"5860",1999,7,27,81
"6085",1999,7,28,81
"6309",1999,7,29,87
"6520",1999,7,30,68
"6723",1999,7,31,94
"11",1999,8,1,112
"236",1999,8,2,89
"461",1999,8,3,82
"686",1999,8,4,111
"911",1999,8,5,105
"1136",1999,8,6,58
"1361",1999,8,7,51
