"","Year","Month","Day","value"
"1",2010,9,1,-99.9
"46",2010,9,2,-99.9
"91",2010,9,3,-99.9
"136",2010,9,4,-99.9
"181",2010,9,5,-99.9
"226",2010,9,6,-99.9
"271",2010,9,7,-99.9
"316",2010,9,8,-99.9
"361",2010,9,9,-99.9
"406",2010,9,10,-99.9
"451",2010,9,11,-99.9
"496",2010,9,12,-99.9
"541",2010,9,13,-99.9
"586",2010,9,14,-99.9
"631",2010,9,15,-99.9
"676",2010,9,16,-99.9
"721",2010,9,17,-99.9
"766",2010,9,18,-99.9
"811",2010,9,19,-99.9
"856",2010,9,20,-99.9
"901",2010,9,21,-99.9
"946",2010,9,22,-99.9
"991",2010,9,23,-99.9
"1036",2010,9,24,-99.9
"1081",2010,9,25,-99.9
"1126",2010,9,26,-99.9
"1171",2010,9,27,-99.9
"1216",2010,9,28,205
"1261",2010,9,29,226
"1303",2010,9,30,211
"2",2010,10,1,214
"47",2010,10,2,220
"92",2010,10,3,184
"137",2010,10,4,209
"182",2010,10,5,169
"227",2010,10,6,144
"272",2010,10,7,98
"317",2010,10,8,116
"362",2010,10,9,156
"407",2010,10,10,116
"452",2010,10,11,129
"497",2010,10,12,135
"542",2010,10,13,157
"587",2010,10,14,204
"632",2010,10,15,182
"677",2010,10,16,142
"722",2010,10,17,161
"767",2010,10,18,137
"812",2010,10,19,132
"857",2010,10,20,118
"902",2010,10,21,88
"947",2010,10,22,106
"992",2010,10,23,93
"1037",2010,10,24,101
"1082",2010,10,25,136
"1127",2010,10,26,114
"1172",2010,10,27,110
"1217",2010,10,28,115
"1262",2010,10,29,106
"1304",2010,10,30,109
"1344",2010,10,31,92
"3",2010,11,1,145
"48",2010,11,2,178
"93",2010,11,3,134
"138",2010,11,4,138
"183",2010,11,5,101
"228",2010,11,6,87
"273",2010,11,7,93
"318",2010,11,8,81
"363",2010,11,9,78
"408",2010,11,10,17
"453",2010,11,11,60
"498",2010,11,12,91
"543",2010,11,13,57
"588",2010,11,14,54
"633",2010,11,15,37
"678",2010,11,16,52
"723",2010,11,17,45
"768",2010,11,18,50
"813",2010,11,19,40
"858",2010,11,20,106
"903",2010,11,21,104
"948",2010,11,22,39
"993",2010,11,23,-14
"1038",2010,11,24,42
"1083",2010,11,25,57
"1128",2010,11,26,50
"1173",2010,11,27,-7
"1218",2010,11,28,16
"1263",2010,11,29,-3
"1305",2010,11,30,37
"4",2010,12,1,84
"49",2010,12,2,18
"94",2010,12,3,30
"139",2010,12,4,30
"184",2010,12,5,48
"229",2010,12,6,87
"274",2010,12,7,107
"319",2010,12,8,47
"364",2010,12,9,28
"409",2010,12,10,55
"454",2010,12,11,68
"499",2010,12,12,141
"544",2010,12,13,77
"589",2010,12,14,43
"634",2010,12,15,56
"679",2010,12,16,58
"724",2010,12,17,34
"769",2010,12,18,55
"814",2010,12,19,58
"859",2010,12,20,66
"904",2010,12,21,103
"949",2010,12,22,117
"994",2010,12,23,61
"1039",2010,12,24,73
"1084",2010,12,25,25
"1129",2010,12,26,34
"1174",2010,12,27,71
"1219",2010,12,28,28
"1264",2010,12,29,32
"1306",2010,12,30,-22
"1345",2010,12,31,-41
"5",2011,1,1,-50
"50",2011,1,2,-2
"95",2011,1,3,-22
"140",2011,1,4,44
"185",2011,1,5,58
"230",2011,1,6,65
"275",2011,1,7,2
"320",2011,1,8,-21
"365",2011,1,9,15
"410",2011,1,10,5
"455",2011,1,11,20
"500",2011,1,12,49
"545",2011,1,13,59
"590",2011,1,14,65
"635",2011,1,15,106
"680",2011,1,16,65
"725",2011,1,17,102
"770",2011,1,18,50
"815",2011,1,19,53
"860",2011,1,20,94
"905",2011,1,21,98
"950",2011,1,22,13
"995",2011,1,23,88
"1040",2011,1,24,75
"1085",2011,1,25,47
"1130",2011,1,26,83
"1175",2011,1,27,111
"1220",2011,1,28,26
"1265",2011,1,29,11
"1307",2011,1,30,32
"1346",2011,1,31,64
"6",2011,2,1,17
"51",2011,2,2,-21
"96",2011,2,3,-39
"141",2011,2,4,-52
"186",2011,2,5,-25
"231",2011,2,6,3
"276",2011,2,7,62
"321",2011,2,8,54
"366",2011,2,9,58
"411",2011,2,10,61
"456",2011,2,11,76
"501",2011,2,12,64
"546",2011,2,13,18
"591",2011,2,14,28
"636",2011,2,15,52
"681",2011,2,16,52
"726",2011,2,17,79
"771",2011,2,18,22
"816",2011,2,19,70
"861",2011,2,20,61
"906",2011,2,21,17
"951",2011,2,22,-10
"996",2011,2,23,3
"1041",2011,2,24,5
"1086",2011,2,25,2
"1131",2011,2,26,42
"1176",2011,2,27,29
"1221",2011,2,28,46
"7",2011,3,1,71
"52",2011,3,2,49
"97",2011,3,3,118
"142",2011,3,4,129
"187",2011,3,5,122
"232",2011,3,6,61
"277",2011,3,7,125
"322",2011,3,8,70
"367",2011,3,9,107
"412",2011,3,10,75
"457",2011,3,11,87
"502",2011,3,12,91
"547",2011,3,13,63
"592",2011,3,14,92
"637",2011,3,15,98
"682",2011,3,16,91
"727",2011,3,17,114
"772",2011,3,18,101
"817",2011,3,19,75
"862",2011,3,20,48
"907",2011,3,21,95
"952",2011,3,22,28
"997",2011,3,23,45
"1042",2011,3,24,68
"1087",2011,3,25,68
"1132",2011,3,26,63
"1177",2011,3,27,53
"1222",2011,3,28,65
"1266",2011,3,29,88
"1308",2011,3,30,84
"1347",2011,3,31,148
"8",2011,4,1,127
"53",2011,4,2,149
"98",2011,4,3,129
"143",2011,4,4,104
"188",2011,4,5,89
"233",2011,4,6,148
"278",2011,4,7,111
"323",2011,4,8,104
"368",2011,4,9,61
"413",2011,4,10,46
"458",2011,4,11,97
"503",2011,4,12,86
"548",2011,4,13,81
"593",2011,4,14,107
"638",2011,4,15,145
"683",2011,4,16,173
"728",2011,4,17,151
"773",2011,4,18,132
"818",2011,4,19,122
"863",2011,4,20,101
"908",2011,4,21,117
"953",2011,4,22,117
"998",2011,4,23,114
"1043",2011,4,24,115
"1088",2011,4,25,116
"1133",2011,4,26,116
"1178",2011,4,27,155
"1223",2011,4,28,112
"1267",2011,4,29,152
