"","Year","Month","Day","value"
"1",1961,1,1,220
"585",1961,1,2,242
"1169",1961,1,3,226
"1753",1961,1,4,237
"2337",1961,1,5,237
"2921",1961,1,6,230
"3505",1961,1,7,216
"4089",1961,1,8,232
"4673",1961,1,9,233
"5257",1961,1,10,230
"5841",1961,1,11,240
"6425",1961,1,12,243
"7009",1961,1,13,217
"7593",1961,1,14,238
"8177",1961,1,15,228
"8761",1961,1,16,237
"9345",1961,1,17,233
"9929",1961,1,18,226
"10513",1961,1,19,219
"11097",1961,1,20,222
"11681",1961,1,21,247
"12265",1961,1,22,239
"12849",1961,1,23,240
"13433",1961,1,24,235
"14017",1961,1,25,224
"14601",1961,1,26,231
"15185",1961,1,27,219
"15769",1961,1,28,226
"16353",1961,1,29,238
"16901",1961,1,30,224
"17437",1961,1,31,237
"2",1961,2,1,226
"586",1961,2,2,230
"1170",1961,2,3,236
"1754",1961,2,4,229
"2338",1961,2,5,210
"2922",1961,2,6,219
"3506",1961,2,7,214
"4090",1961,2,8,213
"4674",1961,2,9,219
"5258",1961,2,10,216
"5842",1961,2,11,204
"6426",1961,2,12,205
"7010",1961,2,13,209
"7594",1961,2,14,240
"8178",1961,2,15,212
"8762",1961,2,16,219
"9346",1961,2,17,216
"9930",1961,2,18,228
"10514",1961,2,19,227
"11098",1961,2,20,232
"11682",1961,2,21,216
"12266",1961,2,22,215
"12850",1961,2,23,245
"13434",1961,2,24,231
"14018",1961,2,25,217
"14602",1961,2,26,240
"15186",1961,2,27,228
"15770",1961,2,28,250
"3",1961,3,1,241
"587",1961,3,2,229
"1171",1961,3,3,216
"1755",1961,3,4,226
"2339",1961,3,5,221
"2923",1961,3,6,248
"3507",1961,3,7,240
"4091",1961,3,8,244
"4675",1961,3,9,220
"5259",1961,3,10,242
"5843",1961,3,11,244
"6427",1961,3,12,227
"7011",1961,3,13,235
"7595",1961,3,14,233
"8179",1961,3,15,222
"8763",1961,3,16,257
"9347",1961,3,17,256
"9931",1961,3,18,252
"10515",1961,3,19,227
"11099",1961,3,20,243
"11683",1961,3,21,230
"12267",1961,3,22,240
"12851",1961,3,23,259
"13435",1961,3,24,226
"14019",1961,3,25,237
"14603",1961,3,26,265
"15187",1961,3,27,262
"15771",1961,3,28,244
"16354",1961,3,29,252
"16902",1961,3,30,269
"17438",1961,3,31,268
"4",1961,4,1,266
"588",1961,4,2,242
"1172",1961,4,3,228
"1756",1961,4,4,240
"2340",1961,4,5,240
"2924",1961,4,6,229
"3508",1961,4,7,251
"4092",1961,4,8,267
"4676",1961,4,9,245
"5260",1961,4,10,265
"5844",1961,4,11,234
"6428",1961,4,12,266
"7012",1961,4,13,257
"7596",1961,4,14,264
"8180",1961,4,15,268
"8764",1961,4,16,271
"9348",1961,4,17,269
"9932",1961,4,18,245
"10516",1961,4,19,268
"11100",1961,4,20,268
"11684",1961,4,21,267
"12268",1961,4,22,255
"12852",1961,4,23,239
"13436",1961,4,24,250
"14020",1961,4,25,228
"14604",1961,4,26,221
"15188",1961,4,27,227
"15772",1961,4,28,259
"16355",1961,4,29,250
"16903",1961,4,30,262
"5",1961,5,1,249
"589",1961,5,2,242
"1173",1961,5,3,264
"1757",1961,5,4,242
"2341",1961,5,5,265
"2925",1961,5,6,244
"3509",1961,5,7,242
"4093",1961,5,8,240
"4677",1961,5,9,252
"5261",1961,5,10,272
"5845",1961,5,11,242
"6429",1961,5,12,252
"7013",1961,5,13,252
"7597",1961,5,14,240
"8181",1961,5,15,268
"8765",1961,5,16,270
"9349",1961,5,17,271
"9933",1961,5,18,270
"10517",1961,5,19,270
"11101",1961,5,20,252
"11685",1961,5,21,244
"12269",1961,5,22,245
"12853",1961,5,23,246
"13437",1961,5,24,268
"14021",1961,5,25,246
"14605",1961,5,26,267
"15189",1961,5,27,269
"15773",1961,5,28,265
"16356",1961,5,29,246
"16904",1961,5,30,270
"17439",1961,5,31,150
"6",1961,6,1,266
"590",1961,6,2,243
"1174",1961,6,3,237
"1758",1961,6,4,253
"2342",1961,6,5,268
"2926",1961,6,6,258
"3510",1961,6,7,260
"4094",1961,6,8,256
"4678",1961,6,9,256
"5262",1961,6,10,242
"5846",1961,6,11,246
"6430",1961,6,12,243
"7014",1961,6,13,250
"7598",1961,6,14,254
"8182",1961,6,15,248
"8766",1961,6,16,259
"9350",1961,6,17,234
"9934",1961,6,18,242
"10518",1961,6,19,260
"11102",1961,6,20,261
"11686",1961,6,21,242
"12270",1961,6,22,252
"12854",1961,6,23,260
"13438",1961,6,24,234
"14022",1961,6,25,265
"14606",1961,6,26,244
"15190",1961,6,27,234
"15774",1961,6,28,236
"16357",1961,6,29,247
"16905",1961,6,30,258
"7",1961,7,1,237
"591",1961,7,2,231
"1175",1961,7,3,257
"1759",1961,7,4,250
"2343",1961,7,5,238
"2927",1961,7,6,265
"3511",1961,7,7,248
"4095",1961,7,8,258
"4679",1961,7,9,257
"5263",1961,7,10,238
"5847",1961,7,11,238
"6431",1961,7,12,263
"7015",1961,7,13,249
"7599",1961,7,14,262
"8183",1961,7,15,240
"8767",1961,7,16,241
"9351",1961,7,17,250
"9935",1961,7,18,238
"10519",1961,7,19,232
"11103",1961,7,20,236
"11687",1961,7,21,252
"12271",1961,7,22,250
"12855",1961,7,23,230
"13439",1961,7,24,240
"14023",1961,7,25,254
"14607",1961,7,26,249
"15191",1961,7,27,234
"15775",1961,7,28,257
"16358",1961,7,29,252
"16906",1961,7,30,234
"17440",1961,7,31,232
"8",1961,8,1,244
"592",1961,8,2,244
"1176",1961,8,3,256
"1760",1961,8,4,240
"2344",1961,8,5,240
"2928",1961,8,6,245
"3512",1961,8,7,248
"4096",1961,8,8,237
"4680",1961,8,9,232
"5264",1961,8,10,246
"5848",1961,8,11,244
"6432",1961,8,12,251
"7016",1961,8,13,255
"7600",1961,8,14,248
"8184",1961,8,15,246
"8768",1961,8,16,232
"9352",1961,8,17,240
"9936",1961,8,18,240
"10520",1961,8,19,248
"11104",1961,8,20,237
"11688",1961,8,21,232
"12272",1961,8,22,256
"12856",1961,8,23,238
"13440",1961,8,24,246
"14024",1961,8,25,286
"14608",1961,8,26,262
"15192",1961,8,27,260
"15776",1961,8,28,258
"16359",1961,8,29,258
"16907",1961,8,30,260
"17441",1961,8,31,264
"9",1961,9,1,242
"593",1961,9,2,234
"1177",1961,9,3,232
"1761",1961,9,4,252
"2345",1961,9,5,242
"2929",1961,9,6,245
"3513",1961,9,7,254
"4097",1961,9,8,239
"4681",1961,9,9,239
"5265",1961,9,10,242
"5849",1961,9,11,278
"6433",1961,9,12,268
"7017",1961,9,13,232
"7601",1961,9,14,242
"8185",1961,9,15,246
"8769",1961,9,16,228
"9353",1961,9,17,247
"9937",1961,9,18,247
"10521",1961,9,19,242
"11105",1961,9,20,229
"11689",1961,9,21,235
"12273",1961,9,22,245
"12857",1961,9,23,235
"13441",1961,9,24,233
"14025",1961,9,25,238
"14609",1961,9,26,236
"15193",1961,9,27,250
"15777",1961,9,28,274
"16360",1961,9,29,285
"16908",1961,9,30,282
"10",1961,10,1,276
"594",1961,10,2,260
"1178",1961,10,3,280
"1762",1961,10,4,271
"2346",1961,10,5,240
"2930",1961,10,6,241
"3514",1961,10,7,221
"4098",1961,10,8,244
"4682",1961,10,9,244
"5266",1961,10,10,248
"5850",1961,10,11,232
"6434",1961,10,12,233
"7018",1961,10,13,231
"7602",1961,10,14,231
"8186",1961,10,15,232
"8770",1961,10,16,232
"9354",1961,10,17,234
"9938",1961,10,18,248
"10522",1961,10,19,242
"11106",1961,10,20,239
"11690",1961,10,21,245
"12274",1961,10,22,254
"12858",1961,10,23,263
"13442",1961,10,24,255
"14026",1961,10,25,238
"14610",1961,10,26,222
"15194",1961,10,27,240
"15778",1961,10,28,258
"16361",1961,10,29,240
"16909",1961,10,30,232
"17442",1961,10,31,262
"11",1961,11,1,212
"595",1961,11,2,205
"1179",1961,11,3,225
"1763",1961,11,4,222
"2347",1961,11,5,218
"2931",1961,11,6,223
"3515",1961,11,7,228
"4099",1961,11,8,234
"4683",1961,11,9,237
"5267",1961,11,10,238
"5851",1961,11,11,234
"6435",1961,11,12,220
"7019",1961,11,13,222
"7603",1961,11,14,210
"8187",1961,11,15,229
"8771",1961,11,16,224
"9355",1961,11,17,215
"9939",1961,11,18,213
"10523",1961,11,19,212
"11107",1961,11,20,225
"11691",1961,11,21,229
"12275",1961,11,22,240
"12859",1961,11,23,233
"13443",1961,11,24,220
"14027",1961,11,25,222
"14611",1961,11,26,240
"15195",1961,11,27,228
"15779",1961,11,28,220
"16362",1961,11,29,232
"16910",1961,11,30,234
"12",1961,12,1,230
"596",1961,12,2,210
"1180",1961,12,3,232
"1764",1961,12,4,218
"2348",1961,12,5,214
"2932",1961,12,6,238
"3516",1961,12,7,244
"4100",1961,12,8,238
"4684",1961,12,9,230
"5268",1961,12,10,225
"5852",1961,12,11,210
"6436",1961,12,12,206
"7020",1961,12,13,215
"7604",1961,12,14,214
"8188",1961,12,15,220
"8772",1961,12,16,214
"9356",1961,12,17,233
"9940",1961,12,18,219
"10524",1961,12,19,198
"11108",1961,12,20,219
"11692",1961,12,21,202
"12276",1961,12,22,218
"12860",1961,12,23,209
"13444",1961,12,24,218
"14028",1961,12,25,246
"14612",1961,12,26,216
"15196",1961,12,27,217
"15780",1961,12,28,218
"16363",1961,12,29,221
"16911",1961,12,30,240
"17443",1961,12,31,234
"13",1962,1,1,227
"597",1962,1,2,238
"1181",1962,1,3,213
"1765",1962,1,4,233
"2349",1962,1,5,204
"2933",1962,1,6,221
"3517",1962,1,7,240
"4101",1962,1,8,205
"4685",1962,1,9,213
"5269",1962,1,10,204
"5853",1962,1,11,213
"6437",1962,1,12,212
"7021",1962,1,13,232
"7605",1962,1,14,224
"8189",1962,1,15,240
"8773",1962,1,16,233
"9357",1962,1,17,234
"9941",1962,1,18,228
"10525",1962,1,19,229
"11109",1962,1,20,225
"11693",1962,1,21,230
"12277",1962,1,22,228
"12861",1962,1,23,205
"13445",1962,1,24,214
"14029",1962,1,25,232
"14613",1962,1,26,227
"15197",1962,1,27,223
"15781",1962,1,28,225
"16364",1962,1,29,204
"16912",1962,1,30,232
"17444",1962,1,31,204
"14",1962,2,1,202
"598",1962,2,2,210
"1182",1962,2,3,216
"1766",1962,2,4,194
"2350",1962,2,5,192
"2934",1962,2,6,204
"3518",1962,2,7,224
"4102",1962,2,8,230
"4686",1962,2,9,230
"5270",1962,2,10,215
"5854",1962,2,11,218
"6438",1962,2,12,204
"7022",1962,2,13,200
"7606",1962,2,14,217
"8190",1962,2,15,234
"8774",1962,2,16,232
"9358",1962,2,17,222
"9942",1962,2,18,210
"10526",1962,2,19,240
"11110",1962,2,20,242
"11694",1962,2,21,224
"12278",1962,2,22,214
"12862",1962,2,23,220
"13446",1962,2,24,216
"14030",1962,2,25,216
"14614",1962,2,26,210
"15198",1962,2,27,228
"15782",1962,2,28,235
"15",1962,3,1,203
"599",1962,3,2,190
"1183",1962,3,3,223
"1767",1962,3,4,214
