"","Year","Month","Day","value"
"1",1971,1,1,245
"559",1971,1,2,233
"1117",1971,1,3,238
"1675",1971,1,4,245
"2233",1971,1,5,257
"2791",1971,1,6,225
"3349",1971,1,7,261
"3907",1971,1,8,240
"4465",1971,1,9,242
"5023",1971,1,10,250
"5581",1971,1,11,240
"6139",1971,1,12,264
"6697",1971,1,13,253
"7255",1971,1,14,240
"7813",1971,1,15,264
"8371",1971,1,16,260
"8929",1971,1,17,260
"9487",1971,1,18,237
"10045",1971,1,19,234
"10603",1971,1,20,231
"11161",1971,1,21,238
"11719",1971,1,22,238
"12277",1971,1,23,232
"12835",1971,1,24,230
"13393",1971,1,25,239
"13951",1971,1,26,223
"14509",1971,1,27,225
"15067",1971,1,28,232
"15625",1971,1,29,229
"16148",1971,1,30,230
"16659",1971,1,31,221
"2",1971,2,1,240
"560",1971,2,2,229
"1118",1971,2,3,240
"1676",1971,2,4,242
"2234",1971,2,5,223
"2792",1971,2,6,231
"3350",1971,2,7,245
"3908",1971,2,8,243
"4466",1971,2,9,238
"5024",1971,2,10,239
"5582",1971,2,11,226
"6140",1971,2,12,238
"6698",1971,2,13,245
"7256",1971,2,14,230
"7814",1971,2,15,250
"8372",1971,2,16,243
"8930",1971,2,17,252
"9488",1971,2,18,262
"10046",1971,2,19,240
"10604",1971,2,20,234
"11162",1971,2,21,232
"11720",1971,2,22,231
"12278",1971,2,23,239
"12836",1971,2,24,237
"13394",1971,2,25,231
"13952",1971,2,26,237
"14510",1971,2,27,231
"15068",1971,2,28,245
"3",1971,3,1,253
"561",1971,3,2,230
"1119",1971,3,3,230
"1677",1971,3,4,228
"2235",1971,3,5,247
"2793",1971,3,6,240
"3351",1971,3,7,258
"3909",1971,3,8,248
"4467",1971,3,9,240
"5025",1971,3,10,231
"5583",1971,3,11,222
"6141",1971,3,12,250
"6699",1971,3,13,246
"7257",1971,3,14,245
"7815",1971,3,15,251
"8373",1971,3,16,252
"8931",1971,3,17,250
"9489",1971,3,18,240
"10047",1971,3,19,256
"10605",1971,3,20,251
"11163",1971,3,21,233
"11721",1971,3,22,233
"12279",1971,3,23,243
"12837",1971,3,24,244
"13395",1971,3,25,246
"13953",1971,3,26,216
"14511",1971,3,27,229
"15069",1971,3,28,226
"15626",1971,3,29,235
"16149",1971,3,30,233
"16660",1971,3,31,235
"4",1971,4,1,265
"562",1971,4,2,259
"1120",1971,4,3,233
"1678",1971,4,4,243
"2236",1971,4,5,225
"2794",1971,4,6,260
"3352",1971,4,7,250
"3910",1971,4,8,252
"4468",1971,4,9,240
"5026",1971,4,10,254
"5584",1971,4,11,247
