SCCS_ID,SCCS_Name,Time.focus,Longitude,Latitude,Plant.start,Plant.start.date,Plant.end,Plant.end.date
1,Nama Hottentot,1860,17,-27.5,,,,
2,Kung Bushmen,1950,20.53000069,-19.94000053,,,,
8,Nyakyusa,1934,33.86000061,-9.550000191,349,15-Dec,47,16-Feb
8,Nyakyusa,1934,33.86000061,-9.550000191,32,1-Feb,90,31-Mar
8,Nyakyusa,1934,33.86000061,-9.550000191,244,1-Sep,304,31-Oct
9,Hadza,1930,35,-3.75,,,,
12,Ganda,1875,32.56000137,0.479999989,,,,
13,Mbuti,1950,28.32999992,1.75,91,1-Apr,151,31-May
21,Wolof,1950,-15.21000004,13.75,152,1-Jun,243,31-Aug
21,Wolof,1950,-15.21000004,13.75,152,1-Jun,212,31-Jul
22,Bambara,1902,-7.349999905,13.02999973,,,,
23,Tallensi,1934,-0.819999993,10.77999973,121,1-May,212,31-Jul
23,Tallensi,1934,-0.819999993,10.77999973,,,,
23,Tallensi,1934,-0.819999993,10.77999973,121,1-May,212,31-Jul
24,Songhai,1940,-2,16.66667,121,1-May,212,31-Jul
25,Pastoral Fulani,1951,12,21,,,,
26,Hausa,1900,7.75,11.06000042,121,1-May,212,31-Jul
26,Hausa,1900,7.75,11.06000042,152,1-Jun,181,30-Jun
26,Hausa,1900,7.75,11.06000042,121,1-May,181,30-Jun
27,Massa (Masa),1910,15.3,10.33333,121,1-May,212,31-Jul
27,Massa (Masa),1910,15.3,10.33333,152,1-Jun,212,31-Jul
29,Fur (Darfur),1880,25.5,13.5,152,1-Jun,212,31-Jul
30,Otoro Nuba,1930,30.75,11.93000031,91,1-Apr,151,31-May
32,Mao,1939,34.66667,9.33333,60,1-Mar,143,23-May
32,Mao,1939,34.66667,9.33333,91,1-Apr,151,31-May
34,Masai,1900,35.86000061,-4.900000095,,,,
35,Konso,1935,37.43999863,5.340000153,60,1-Mar,142,22-May
36,Somali,1900,47,9,,,,
37,Amhara,1953,37.45000076,12.60000038,121,1-May,212,31-Jul
